Model,Params,Class,Precision,Recall,F1-Score
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0,0.3584905660377358,0.6333333333333333,0.4578313253012048
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",1,0.6923076923076923,0.3,0.4186046511627907
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",2,0.4,0.28,0.32941176470588235
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",3,0.34615384615384615,0.225,0.2727272727272727
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",4,1.0,1.0,1.0
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0,0.3626373626373626,0.55,0.4370860927152318
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",1,0.6923076923076923,0.3,0.4186046511627907
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",2,0.36363636363636365,0.32,0.3404255319148936
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",3,0.4375,0.35,0.3888888888888889
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",4,1.0,1.0,1.0
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0,0.4215686274509804,0.7166666666666667,0.5308641975308642
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",1,0.6666666666666666,0.26666666666666666,0.38095238095238093
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",2,0.4166666666666667,0.4,0.40816326530612246
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",3,0.3333333333333333,0.15,0.20689655172413793
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",4,1.0,1.0,1.0
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0,0.4166666666666667,0.75,0.5357142857142857
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",1,0.8181818181818182,0.3,0.43902439024390244
