file_name,entropy,mean,variance,std_dev,skewness,kurtosis,energy,rms,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,histogram_11,histogram_12,histogram_13,histogram_14,histogram_15,histogram_16,histogram_17,histogram_18,histogram_19,histogram_20,histogram_21,histogram_22,histogram_23,histogram_24,histogram_25,histogram_26,histogram_27,histogram_28,histogram_29,histogram_30,histogram_31,histogram_32,histogram_33,histogram_34,histogram_35,histogram_36,histogram_37,histogram_38,histogram_39,histogram_40,histogram_41,histogram_42,histogram_43,histogram_44,histogram_45,histogram_46,histogram_47,histogram_48,histogram_49,histogram_50,histogram_51,histogram_52,histogram_53,histogram_54,histogram_55,histogram_56,histogram_57,histogram_58,histogram_59,histogram_60,histogram_61,histogram_62,histogram_63,histogram_64,histogram_65,histogram_66,histogram_67,histogram_68,histogram_69,histogram_70,histogram_71,histogram_72,histogram_73,histogram_74,histogram_75,histogram_76,histogram_77,histogram_78,histogram_79,histogram_80,histogram_81,histogram_82,histogram_83,histogram_84,histogram_85,histogram_86,histogram_87,histogram_88,histogram_89,histogram_90,histogram_91,histogram_92,histogram_93,histogram_94,histogram_95,histogram_96,histogram_97,histogram_98,histogram_99,histogram_100,histogram_101,histogram_102,histogram_103,histogram_104,histogram_105,histogram_106,histogram_107,histogram_108,histogram_109,histogram_110,histogram_111,histogram_112,histogram_113,histogram_114,histogram_115,histogram_116,histogram_117,histogram_118,histogram_119,histogram_120,histogram_121,histogram_122,histogram_123,histogram_124,histogram_125,histogram_126,histogram_127,histogram_128,histogram_129,histogram_130,histogram_131,histogram_132,histogram_133,histogram_134,histogram_135,histogram_136,histogram_137,histogram_138,histogram_139,histogram_140,histogram_141,histogram_142,histogram_143,histogram_144,histogram_145,histogram_146,histogram_147,histogram_148,histogram_149,histogram_150,histogram_151,histogram_152,histogram_153,histogram_154,histogram_155,histogram_156,histogram_157,histogram_158,histogram_159,histogram_160,histogram_161,histogram_162,histogram_163,histogram_164,histogram_165,histogram_166,histogram_167,histogram_168,histogram_169,histogram_170,histogram_171,histogram_172,histogram_173,histogram_174,histogram_175,histogram_176,histogram_177,histogram_178,histogram_179,histogram_180,histogram_181,histogram_182,histogram_183,histogram_184,histogram_185,histogram_186,histogram_187,histogram_188,histogram_189,histogram_190,histogram_191,histogram_192,histogram_193,histogram_194,histogram_195,histogram_196,histogram_197,histogram_198,histogram_199,histogram_200,histogram_201,histogram_202,histogram_203,histogram_204,histogram_205,histogram_206,histogram_207,histogram_208,histogram_209,histogram_210,histogram_211,histogram_212,histogram_213,histogram_214,histogram_215,histogram_216,histogram_217,histogram_218,histogram_219,histogram_220,histogram_221,histogram_222,histogram_223,histogram_224,histogram_225,histogram_226,histogram_227,histogram_228,histogram_229,histogram_230,histogram_231,histogram_232,histogram_233,histogram_234,histogram_235,histogram_236,histogram_237,histogram_238,histogram_239,histogram_240,histogram_241,histogram_242,histogram_243,histogram_244,histogram_245,histogram_246,histogram_247,histogram_248,histogram_249,histogram_250,histogram_251,histogram_252,histogram_253,histogram_254,histogram_255,algorithm
file0359.txt.enc,7.874751411275645,126.5027027027027,5426.840533235939,73.66709260745898,0.010800641165084477,-1.2016223409718794,159202,10.371543709540973,3,5,5,3,3,5,10,6,8,7,3,9,8,8,5,8,7,3,5,5,9,6,3,6,5,8,3,3,14,4,6,10,6,7,5,6,8,6,1,3,10,7,4,7,4,10,7,6,4,8,7,7,7,5,6,6,5,5,3,3,1,10,7,5,5,2,3,5,2,10,5,7,6,4,7,4,7,7,3,10,5,7,6,7,2,2,5,8,5,10,8,4,3,8,6,8,6,6,7,2,1,8,3,7,8,8,8,8,5,8,4,5,2,6,6,5,7,1,5,8,4,9,5,7,3,13,7,7,3,9,10,5,5,3,5,11,8,6,5,7,6,4,2,6,4,5,1,6,6,6,6,6,9,6,4,4,4,5,5,9,6,9,13,3,4,7,5,9,7,5,5,2,9,8,5,5,6,4,4,5,2,3,9,6,11,6,8,5,8,6,4,7,3,7,5,4,4,4,7,6,5,6,6,6,3,5,5,5,2,3,8,5,6,6,5,5,6,5,5,4,4,9,3,6,7,4,14,11,8,4,6,4,4,3,6,6,6,9,10,4,5,7,13,2,7,7,2,4,6,5,6,4,7,4,4,2,DES
file0349.txt.enc,7.94706173549393,126.47472222222223,5538.406583256173,74.42047153341728,0.028583747773777413,-1.1960031776688236,379535,10.267735333991078,14,13,11,16,15,17,20,13,22,8,17,16,22,14,14,8,16,7,21,12,18,14,13,18,16,8,18,15,18,14,15,14,20,15,11,13,9,11,19,14,9,14,7,9,15,12,13,17,18,16,12,11,19,7,20,9,12,17,11,18,14,15,16,11,15,15,11,16,11,12,8,14,16,14,26,12,25,10,16,14,6,17,22,18,16,15,15,15,19,14,15,13,15,13,9,10,9,20,15,8,11,17,11,14,16,12,19,13,11,16,19,11,12,15,22,16,14,13,15,10,14,12,20,13,16,10,20,20,14,12,13,8,16,10,18,18,9,18,12,15,15,13,15,17,14,12,15,18,10,7,16,16,11,4,9,7,15,15,10,16,16,20,14,12,16,10,20,15,21,17,7,16,18,13,10,15,12,13,8,11,16,12,11,17,17,15,13,20,20,9,12,8,14,20,12,14,8,11,11,13,12,10,16,12,11,14,17,14,13,11,18,12,12,12,17,18,15,7,14,9,17,16,15,14,5,16,18,14,13,10,13,13,12,15,10,9,14,11,16,9,16,17,16,19,21,14,18,21,14,19,21,13,14,11,15,10,DES
file0474.txt.enc,7.976433844615491,128.3813374125874,5502.731548560979,74.18039868159903,-0.003546906256348774,-1.2029998485334097,963290,10.25936592391748,40,29,26,37,34,46,32,39,29,37,34,35,40,32,41,28,36,36,31,40,43,42,37,30,34,28,39,35,29,40,35,46,32,32,29,36,40,34,28,30,31,53,31,41,40,28,23,41,45,34,26,38,34,36,32,38,40,33,32,34,25,28,44,31,39,43,41,43,34,35,41,26,31,23,46,37,35,43,41,47,31,42,36,29,28,30,32,30,33,42,35,35,43,34,32,42,30,33,33,27,37,45,38,49,33,30,22,48,35,37,43,43,31,42,46,38,38,38,41,33,29,48,41,44,24,39,25,46,44,42,26,31,35,31,43,34,28,34,30,27,23,33,34,35,27,41,39,32,32,30,34,42,26,42,29,31,30,25,48,48,38,30,45,48,32,44,26,24,30,38,43,31,32,49,43,28,28,37,36,34,34,32,33,36,26,30,44,35,40,40,34,30,42,35,40,38,37,43,26,27,31,41,29,29,55,34,41,36,33,39,46,39,27,55,35,29,31,31,43,27,37,40,35,35,35,30,34,44,38,34,41,29,31,41,38,47,26,40,28,39,27,36,37,31,38,38,40,44,42,36,43,38,42,37,34,48,DES
file0464.txt.enc,7.89473226151227,125.66649159663865,5459.2600956743,73.8868059647614,0.04618792074759651,-1.2041163473933587,193215,10.073652087825677,6,5,5,11,7,8,10,7,11,11,11,7,5,3,9,6,11,12,7,2,5,1,5,10,12,4,8,7,8,8,3,4,12,11,10,7,7,8,7,6,9,8,11,9,11,11,8,3,8,8,7,9,6,5,8,11,9,9,5,13,11,3,9,9,9,8,8,6,4,4,7,5,9,10,10,8,10,6,1,6,8,4,9,1,8,5,11,9,5,11,10,7,14,8,14,6,5,8,8,6,6,6,7,5,11,11,7,6,13,11,11,7,9,7,6,11,8,9,7,5,7,6,8,10,6,13,10,6,10,9,7,9,9,2,10,7,4,11,3,7,8,7,7,7,7,5,8,4,5,9,4,8,1,5,3,8,7,9,10,5,3,4,10,4,7,7,6,8,10,12,7,1,4,9,10,10,2,5,6,8,6,8,5,8,12,6,9,4,9,7,9,11,8,3,9,6,11,15,7,8,5,5,2,3,10,7,11,9,4,8,12,8,7,7,5,12,4,6,8,5,5,5,7,9,14,9,5,10,10,10,7,4,6,8,3,7,8,6,8,9,10,7,8,5,4,5,8,5,4,11,7,7,8,8,11,5,DES
file0416.txt.enc,7.975843308853654,128.41618993135012,5454.062769922736,73.85162672495939,-0.012061442557973015,-1.18615087558833,740818,10.293310017738778,23,25,33,22,30,22,32,23,31,30,36,24,28,28,24,24,19,32,27,19,34,26,30,22,23,29,26,28,21,24,29,32,27,30,26,29,35,36,25,30,18,23,30,24,23,16,32,26,18,26,28,37,23,30,37,26,23,21,27,31,36,15,28,19,22,22,32,29,28,20,24,39,25,35,27,22,24,27,28,25,24,33,19,22,27,23,34,25,23,31,25,35,33,31,21,23,28,27,31,25,25,29,24,24,27,21,26,30,31,35,22,40,22,28,39,27,32,19,27,25,32,36,34,31,22,35,28,22,25,29,22,31,18,23,39,25,31,33,27,22,24,29,24,24,36,23,23,23,22,31,32,24,23,34,27,24,26,25,28,31,27,27,32,27,30,42,30,34,27,32,22,27,27,35,29,35,24,32,28,27,23,21,25,31,19,26,30,26,40,29,21,29,26,31,28,25,22,27,28,32,15,21,30,24,22,27,25,21,28,36,24,27,32,25,20,28,22,25,39,28,32,33,27,23,21,30,22,29,25,25,31,33,30,28,17,29,29,30,34,25,23,24,26,25,39,25,25,28,29,31,31,35,25,31,30,29,DES
file0406.txt.enc,7.979861156709933,127.45538651315789,5521.788305689423,74.30873640218506,0.008783640989582328,-1.210136849507917,1030458,10.292085056130832,30,47,43,41,41,30,43,35,43,40,35,30,40,51,36,31,31,42,40,29,50,35,44,48,31,42,33,33,38,37,34,43,37,30,42,36,29,47,39,38,37,33,35,56,49,39,38,34,36,43,36,48,33,46,36,35,32,32,40,34,27,33,42,35,44,36,36,46,44,38,42,44,37,34,33,41,46,31,34,35,34,54,30,33,35,28,47,26,40,39,46,35,41,53,42,33,40,45,34,24,50,41,29,37,39,42,44,39,38,49,40,56,37,32,36,35,41,44,50,33,32,39,40,28,40,40,32,38,37,38,46,28,39,30,27,44,37,36,37,29,38,25,39,30,37,35,40,31,42,28,35,33,38,30,50,32,40,40,41,35,36,30,32,52,38,51,34,48,31,37,40,36,41,37,31,25,41,37,35,38,30,49,30,35,36,41,52,40,36,39,36,42,37,32,31,28,31,48,40,35,39,36,48,46,39,30,35,36,36,48,31,33,36,37,40,50,23,45,38,43,47,43,38,42,36,36,37,38,46,34,33,27,40,39,30,49,44,28,43,44,36,39,34,39,40,44,40,33,39,31,38,42,44,31,54,42,DES
file0382.txt.enc,7.950720369447926,128.69677419354838,5495.345688518903,74.13059886793647,-0.011120940307067654,-1.200527145692909,390220,10.241965117220698,13,7,15,16,15,15,5,22,16,11,8,15,15,19,9,18,22,14,19,14,10,15,15,16,16,20,13,14,17,11,12,15,14,11,17,17,13,15,12,14,19,14,17,18,19,8,10,8,12,12,12,21,12,16,18,12,13,17,14,17,15,10,11,10,20,5,14,13,20,13,13,12,16,19,19,16,13,11,13,13,10,11,20,17,17,15,11,19,10,22,17,13,11,20,14,16,13,9,10,11,17,13,8,13,12,10,16,22,16,13,15,19,12,17,16,8,17,14,14,12,16,18,8,21,21,15,11,9,18,19,12,14,16,20,10,19,14,17,11,14,16,25,15,17,11,19,15,11,11,17,11,18,14,14,8,13,9,16,12,16,18,12,10,17,17,19,14,13,23,16,15,11,10,22,13,10,13,21,14,12,14,18,9,13,14,12,19,15,10,10,12,17,10,17,14,13,17,13,20,19,11,11,12,11,17,21,14,15,13,19,13,13,9,24,16,18,14,10,15,16,9,18,6,12,14,17,14,16,24,14,18,16,10,12,11,19,18,16,7,23,16,13,10,18,12,14,15,11,21,19,19,19,15,13,18,14,DES
file0392.txt.enc,7.802733459528184,125.47669491525424,5427.590558567941,73.67218307182122,0.03883284692441597,-1.2317226258611378,101048,10.346128400583279,6,6,3,2,3,3,2,3,1,6,1,2,2,2,8,1,3,4,11,4,6,4,1,2,2,2,2,5,2,4,5,6,4,4,5,4,6,6,3,6,4,2,2,1,6,5,2,7,4,4,3,4,4,4,8,3,5,9,3,7,2,4,2,3,3,5,6,3,4,8,4,3,6,3,0,2,4,4,4,4,4,2,3,4,3,3,3,4,5,4,1,5,4,5,1,6,4,6,5,1,3,4,6,4,3,5,5,5,4,5,1,2,1,3,3,1,4,3,6,1,1,4,4,9,1,4,3,2,4,4,4,2,4,0,2,3,4,5,1,4,6,3,1,5,1,9,3,5,1,4,4,3,6,4,3,5,1,1,2,5,0,6,4,2,6,2,3,3,9,4,4,4,3,5,3,2,8,3,3,5,1,2,4,4,5,3,7,4,3,5,5,1,5,2,5,4,4,5,1,2,5,3,5,4,1,7,6,3,1,7,5,2,2,6,2,5,3,1,7,1,6,4,2,5,1,7,2,4,3,5,6,3,2,2,4,7,1,2,3,3,1,4,4,4,1,3,3,3,5,3,5,4,4,4,2,3,DES
file0366.txt.enc,7.789458352292099,126.26086956521739,5646.305860113422,75.14190482090152,0.0666210539675278,-1.2233037949707972,100424,10.447799851601793,4,4,2,2,6,1,2,4,9,3,1,3,3,4,0,4,1,4,4,1,4,5,6,7,4,2,3,9,5,3,6,8,4,4,2,6,3,4,6,3,4,3,5,4,5,1,4,2,4,5,3,2,3,4,4,6,5,2,1,1,2,4,4,3,4,3,6,3,4,6,6,5,6,5,3,3,3,1,4,5,2,2,4,5,4,1,6,2,3,4,4,10,4,3,2,2,6,3,2,4,0,5,2,3,6,3,1,5,1,4,4,0,4,6,3,2,5,8,2,3,6,3,5,1,2,3,1,0,3,2,5,3,5,7,2,1,7,5,0,4,4,3,3,3,4,4,7,1,4,8,4,2,3,4,6,1,4,2,6,3,4,3,2,7,6,2,2,4,6,4,3,4,2,2,2,6,4,5,4,3,3,4,0,4,3,4,3,0,2,3,3,0,3,3,1,3,0,1,3,7,5,4,2,6,3,4,4,1,2,2,4,5,3,7,2,3,3,2,3,4,1,6,3,3,4,4,6,2,4,1,4,1,3,3,5,4,6,4,4,3,7,5,6,3,6,1,2,6,3,2,4,4,4,5,8,4,DES
file0376.txt.enc,7.91150567918582,128.05954545454546,5486.402363429752,74.07025289162817,-0.006832466992664426,-1.2331678772451795,232397,10.277888888288295,7,5,10,11,6,9,9,6,6,10,8,6,9,7,15,10,8,11,5,12,7,8,11,13,6,8,3,7,8,9,8,6,10,11,6,8,11,13,8,5,9,7,9,11,5,11,12,11,9,6,12,7,10,5,10,12,4,9,11,7,10,7,8,11,10,8,13,12,4,9,11,3,6,11,12,4,8,14,8,6,11,9,13,10,5,12,4,7,8,9,10,11,6,11,14,7,6,6,9,10,7,7,9,5,6,10,12,11,4,10,10,7,8,7,9,10,13,17,6,6,6,3,13,19,6,4,10,4,10,12,6,7,4,6,5,8,4,8,7,14,11,5,13,7,8,6,7,5,7,12,7,13,6,10,5,5,9,5,7,6,6,11,10,12,6,8,14,8,10,6,10,10,10,11,12,2,9,7,4,5,4,11,9,9,9,7,10,11,4,9,11,10,10,10,6,11,10,14,7,6,7,9,12,10,4,9,11,12,5,15,11,9,11,11,12,8,4,7,12,9,12,7,13,8,11,6,6,8,18,8,12,15,11,6,9,6,8,8,5,7,8,7,5,7,4,15,9,10,8,6,10,6,3,16,4,11,DES
