file_name,format,entropy,mean,variance,std_dev,skewness,kurtosis,energy,rms,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,histogram_11,histogram_12,histogram_13,histogram_14,histogram_15,histogram_16,histogram_17,histogram_18,histogram_19,histogram_20,histogram_21,histogram_22,histogram_23,histogram_24,histogram_25,histogram_26,histogram_27,histogram_28,histogram_29,histogram_30,histogram_31,histogram_32,histogram_33,histogram_34,histogram_35,histogram_36,histogram_37,histogram_38,histogram_39,histogram_40,histogram_41,histogram_42,histogram_43,histogram_44,histogram_45,histogram_46,histogram_47,histogram_48,histogram_49,histogram_50,histogram_51,histogram_52,histogram_53,histogram_54,histogram_55,histogram_56,histogram_57,histogram_58,histogram_59,histogram_60,histogram_61,histogram_62,histogram_63,histogram_64,histogram_65,histogram_66,histogram_67,histogram_68,histogram_69,histogram_70,histogram_71,histogram_72,histogram_73,histogram_74,histogram_75,histogram_76,histogram_77,histogram_78,histogram_79,histogram_80,histogram_81,histogram_82,histogram_83,histogram_84,histogram_85,histogram_86,histogram_87,histogram_88,histogram_89,histogram_90,histogram_91,histogram_92,histogram_93,histogram_94,histogram_95,histogram_96,histogram_97,histogram_98,histogram_99,histogram_100,histogram_101,histogram_102,histogram_103,histogram_104,histogram_105,histogram_106,histogram_107,histogram_108,histogram_109,histogram_110,histogram_111,histogram_112,histogram_113,histogram_114,histogram_115,histogram_116,histogram_117,histogram_118,histogram_119,histogram_120,histogram_121,histogram_122,histogram_123,histogram_124,histogram_125,histogram_126,histogram_127,histogram_128,histogram_129,histogram_130,histogram_131,histogram_132,histogram_133,histogram_134,histogram_135,histogram_136,histogram_137,histogram_138,histogram_139,histogram_140,histogram_141,histogram_142,histogram_143,histogram_144,histogram_145,histogram_146,histogram_147,histogram_148,histogram_149,histogram_150,histogram_151,histogram_152,histogram_153,histogram_154,histogram_155,histogram_156,histogram_157,histogram_158,histogram_159,histogram_160,histogram_161,histogram_162,histogram_163,histogram_164,histogram_165,histogram_166,histogram_167,histogram_168,histogram_169,histogram_170,histogram_171,histogram_172,histogram_173,histogram_174,histogram_175,histogram_176,histogram_177,histogram_178,histogram_179,histogram_180,histogram_181,histogram_182,histogram_183,histogram_184,histogram_185,histogram_186,histogram_187,histogram_188,histogram_189,histogram_190,histogram_191,histogram_192,histogram_193,histogram_194,histogram_195,histogram_196,histogram_197,histogram_198,histogram_199,histogram_200,histogram_201,histogram_202,histogram_203,histogram_204,histogram_205,histogram_206,histogram_207,histogram_208,histogram_209,histogram_210,histogram_211,histogram_212,histogram_213,histogram_214,histogram_215,histogram_216,histogram_217,histogram_218,histogram_219,histogram_220,histogram_221,histogram_222,histogram_223,histogram_224,histogram_225,histogram_226,histogram_227,histogram_228,histogram_229,histogram_230,histogram_231,histogram_232,histogram_233,histogram_234,histogram_235,histogram_236,histogram_237,histogram_238,histogram_239,histogram_240,histogram_241,histogram_242,histogram_243,histogram_244,histogram_245,histogram_246,histogram_247,histogram_248,histogram_249,histogram_250,histogram_251,histogram_252,histogram_253,histogram_254,histogram_255,algorithm
file0320.html.enc,html_cbc,7.97594032603679,127.8053121577218,5487.441559951846,74.0772674978758,0.008010075544929612,-1.2077716596696773,776102,10.308109399236965,32,28,29,25,28,31,25,26,27,30,20,23,23,27,25,27,33,23,23,28,25,27,44,28,36,26,29,30,35,34,38,29,26,34,27,28,39,21,33,25,25,23,29,30,25,37,23,26,28,21,20,31,33,29,32,32,24,31,21,25,29,25,28,34,26,38,25,29,36,26,29,29,33,36,30,31,26,35,34,30,25,36,26,24,33,15,33,25,25,28,42,36,34,29,24,25,31,20,29,31,25,35,33,24,21,31,30,27,31,26,18,27,24,31,29,23,25,30,33,27,31,23,34,33,30,27,24,27,23,24,27,27,32,23,25,25,44,22,39,16,28,29,25,24,33,34,30,28,39,26,37,29,29,32,30,30,26,24,26,29,31,35,29,27,36,22,20,20,25,23,23,35,33,32,25,22,29,34,26,24,24,44,31,30,21,26,35,33,27,39,21,24,35,30,22,26,12,25,30,25,25,22,19,29,24,31,28,36,31,29,25,32,28,25,26,33,25,31,33,27,35,31,37,32,25,21,34,43,27,26,31,31,26,27,22,28,28,36,24,26,30,31,29,24,36,28,31,26,38,29,37,27,18,27,35,32,DES
file0321.html.enc,html_cbc,7.974248634260012,127.60399159663865,5380.539343310855,73.35215977263965,-0.007583559974206037,-1.1926749156477607,809398,10.309025070255657,31,30,25,27,28,20,29,42,25,25,30,31,28,36,27,25,26,31,26,28,33,29,30,28,30,18,38,38,30,31,32,26,25,39,36,34,30,27,29,29,28,23,16,42,32,28,29,33,26,29,37,27,31,29,36,26,34,34,21,29,26,33,30,28,37,24,29,27,27,35,23,20,26,22,32,26,26,29,38,29,21,25,28,27,27,40,37,35,32,32,21,30,27,34,25,33,22,32,30,36,26,37,38,28,43,28,28,34,32,36,27,43,32,21,32,27,28,43,37,23,33,32,29,33,19,41,27,27,28,32,25,30,38,29,34,18,37,46,31,31,21,31,32,23,21,32,27,28,23,21,31,28,31,23,34,22,29,43,29,30,31,34,26,36,33,32,23,38,30,30,24,26,28,37,31,32,30,25,28,28,28,28,28,42,30,28,33,22,24,33,34,23,31,45,24,22,33,29,30,34,22,28,27,39,27,33,36,34,28,40,31,38,24,31,25,22,36,43,31,29,33,20,33,28,24,32,30,34,23,26,33,35,30,34,35,30,20,32,26,36,34,21,26,29,26,30,26,26,40,36,30,27,25,11,22,31,DES
file0228.html.enc,html_cbc,7.967864000008629,127.00489267676768,5340.130500051614,73.076196535203,0.018977673532873825,-1.1696930072653287,673213,10.307863588914861,21,32,20,23,24,33,20,24,19,30,22,24,27,24,29,20,20,26,17,24,24,24,22,18,30,28,28,23,18,25,25,21,21,24,25,22,22,22,27,16,23,21,19,25,24,28,27,19,27,28,37,28,38,19,26,24,13,25,36,20,22,23,28,22,37,11,28,22,35,27,23,36,19,26,22,19,23,18,31,30,26,26,34,20,33,30,25,28,21,24,35,21,27,17,24,34,20,26,28,18,28,34,21,24,26,18,34,22,27,37,25,24,23,22,34,34,31,40,22,38,19,27,19,26,18,28,24,22,21,33,26,17,28,26,24,20,23,36,30,27,21,23,33,20,23,15,25,32,16,32,27,31,26,24,20,24,23,21,27,22,14,28,27,24,24,27,26,15,26,24,31,30,19,26,25,28,32,22,32,19,25,24,17,16,28,23,23,23,26,28,20,27,25,29,26,29,14,21,24,28,22,30,20,18,27,23,23,19,23,24,22,23,21,34,23,29,29,27,25,21,16,25,19,34,25,23,23,25,18,23,24,22,25,25,30,18,35,27,25,34,16,27,29,25,17,21,16,21,27,37,22,24,22,21,23,21,DES
file0229.html.enc,html_cbc,7.955559555906031,128.61598671726756,5471.849450307224,73.97195042924868,-0.031462949542559945,-1.2070662307785904,447941,10.307660514158503,15,20,12,15,15,19,17,16,18,15,7,17,20,11,19,20,15,14,17,21,19,18,18,10,10,22,22,16,19,13,24,15,23,16,19,10,21,18,14,11,19,11,11,19,17,19,13,20,14,19,11,22,14,20,14,11,21,21,17,22,13,13,14,14,16,19,13,9,14,14,17,15,17,12,8,11,16,19,17,23,24,22,14,17,15,14,20,20,16,19,16,9,21,13,25,13,10,17,13,10,14,15,14,12,13,10,19,16,18,12,14,14,16,22,14,17,17,14,11,25,22,12,22,17,10,13,17,14,16,14,21,20,16,20,18,22,14,20,12,18,17,18,17,15,18,22,15,18,24,13,24,16,18,14,17,9,13,13,14,16,15,13,24,14,22,15,25,20,15,12,16,13,19,20,18,14,14,20,16,12,10,18,20,18,15,15,29,15,17,14,17,20,14,28,19,13,19,19,20,15,11,13,13,18,17,27,18,18,11,11,22,22,13,9,22,20,15,22,13,20,17,11,24,18,23,15,22,22,10,12,12,20,9,19,17,13,16,19,15,10,12,25,15,16,21,11,18,18,15,19,20,22,14,13,19,13,DES
file0369.html.enc,html_cbc,7.9785485904856985,125.90391869237217,5385.722013143431,73.38747858554231,0.029789548692625484,-1.1908466203334003,1015359,10.31441487594066,33,37,39,39,32,40,32,34,35,44,38,31,32,40,37,37,37,30,42,52,45,33,25,44,41,39,27,36,32,40,42,36,38,46,39,39,36,43,39,45,34,43,33,35,39,41,35,53,41,39,36,43,36,47,39,38,39,37,39,53,34,30,37,43,28,44,45,40,43,31,37,39,31,42,28,47,45,38,46,46,32,29,26,28,41,31,38,52,27,43,39,43,44,28,30,35,39,38,23,26,41,45,33,41,31,39,39,48,34,48,35,55,32,41,32,37,47,41,43,34,31,29,42,55,22,38,38,39,53,29,33,40,37,35,43,32,46,40,39,43,46,35,30,39,22,36,47,33,38,43,33,23,32,41,34,44,37,54,28,44,37,36,40,38,34,34,27,33,35,32,39,45,40,40,33,37,38,46,25,35,42,31,42,45,35,40,35,40,33,40,33,32,35,42,31,28,29,34,43,44,39,37,48,44,44,35,49,36,39,32,35,40,23,45,40,35,37,28,33,35,36,40,26,35,41,37,26,26,41,31,40,44,34,35,39,40,31,32,26,36,37,32,30,32,32,33,49,32,26,38,43,40,32,34,40,35,DES
file0368.html.enc,html_cbc,7.977831518696387,127.22445342205323,5494.60848472977,74.12562636989836,-0.0013786839113402913,-1.2105874186828656,902407,10.354958539260787,32,26,45,32,32,41,25,32,36,30,29,38,32,39,46,38,29,27,30,50,28,29,45,28,40,25,33,33,28,34,40,35,30,32,31,28,34,31,34,31,36,32,46,28,35,27,25,37,34,32,29,30,28,37,31,36,26,37,34,35,24,34,36,29,31,36,32,30,27,38,38,27,27,33,28,44,39,29,36,42,37,33,33,30,26,46,29,40,23,37,31,25,40,37,34,30,30,31,34,23,32,34,32,37,35,34,32,41,31,25,35,23,32,40,25,27,33,26,33,26,32,32,37,24,50,40,20,36,42,29,31,21,33,35,47,42,31,33,45,39,32,33,30,32,28,32,26,33,35,30,43,30,32,26,34,30,22,25,28,41,42,37,30,33,40,23,29,34,33,25,34,34,23,35,28,39,39,30,46,25,33,32,32,28,30,34,28,37,32,30,32,26,44,27,42,34,29,37,26,32,28,39,25,29,27,41,30,33,35,34,31,35,31,34,36,29,44,47,32,38,32,29,34,24,36,32,44,34,31,37,39,39,38,19,38,29,31,30,33,40,37,36,23,34,31,39,32,43,30,25,36,23,32,28,25,35,DES
file0261.html.enc,html_cbc,7.939053737467036,125.10897435897436,5374.288823889786,73.30954115181588,0.05767423090669183,-1.1849073798358785,358684,10.223094199490436,10,14,9,16,12,16,14,9,17,16,9,5,23,6,12,10,13,17,12,15,22,12,8,15,17,20,10,13,10,23,8,16,18,14,11,13,15,11,16,11,15,14,8,19,14,17,15,15,16,19,13,14,13,15,17,15,20,13,9,10,15,11,14,15,13,20,13,15,16,20,8,13,7,15,12,9,14,16,12,15,14,12,12,12,12,14,22,19,19,23,14,14,17,15,10,14,10,16,13,12,15,14,14,15,11,13,9,17,13,18,17,21,10,17,22,13,9,10,10,9,6,9,17,12,22,9,15,11,13,6,18,15,6,17,14,9,12,16,12,11,16,8,17,16,10,19,18,10,14,8,15,18,14,12,14,15,19,14,16,4,11,14,14,16,11,9,12,12,13,11,10,10,12,10,19,21,20,13,12,12,14,18,16,12,16,16,12,11,15,15,9,7,19,10,13,11,17,9,13,13,14,15,13,21,10,8,8,15,15,8,7,11,8,5,17,14,13,19,11,14,19,9,16,15,12,12,16,10,12,15,11,12,12,17,11,7,7,18,8,13,13,12,5,10,9,16,15,24,5,13,11,11,14,19,15,14,DES
file0260.html.enc,html_cbc,7.9636918469830755,127.7288,5481.31845056,74.03592675559617,-0.009215719600750811,-1.2034497848596197,528752,10.283501349248708,25,28,16,23,16,21,20,18,23,21,16,16,14,19,15,22,13,20,18,22,16,19,22,20,19,17,22,21,19,21,19,34,16,20,13,21,26,22,19,17,23,15,11,21,24,19,12,21,20,25,24,19,26,26,19,16,21,17,17,17,16,12,18,18,16,17,14,21,18,24,18,21,21,22,14,17,22,16,21,24,19,26,18,22,28,28,20,25,22,18,16,21,18,14,18,14,17,18,27,12,22,17,17,14,21,21,12,18,18,22,27,13,16,20,22,21,9,15,17,17,20,15,23,18,16,23,24,15,24,27,33,10,20,20,20,22,23,16,28,17,21,17,17,13,27,21,19,20,26,10,19,18,23,18,23,14,19,25,25,22,10,16,30,24,22,21,17,17,14,20,16,25,24,15,15,29,12,15,22,26,18,22,33,17,13,16,18,21,18,12,20,20,15,21,15,22,16,21,22,21,23,10,18,16,23,18,29,20,16,23,16,16,27,19,25,28,19,14,19,22,19,23,14,16,16,22,22,24,27,17,20,21,17,18,17,19,17,29,18,14,19,23,21,28,17,18,18,20,22,14,16,18,20,24,19,18,DES
file0284.html.enc,html_cbc,7.916946322913094,125.79529616724739,5478.914542333888,74.01969023397685,0.0016309983248356888,-1.2194853993644015,251292,10.46172716102067,14,9,13,9,10,10,5,8,10,4,7,11,14,8,15,7,11,6,13,7,8,13,13,6,7,11,8,11,5,4,9,10,8,8,8,11,17,11,7,11,10,13,12,9,8,11,12,11,13,9,9,6,8,13,4,6,12,9,6,10,11,6,7,9,5,5,5,5,11,10,12,10,8,7,12,12,8,6,9,13,19,11,6,15,11,9,10,5,7,11,8,6,6,6,11,6,7,10,10,2,5,7,9,8,7,8,10,8,11,7,7,13,11,7,11,11,9,9,10,3,11,7,8,14,8,8,12,6,7,5,4,6,11,8,7,8,14,12,14,4,9,9,10,7,5,11,8,7,10,13,13,15,4,9,13,6,11,12,7,5,5,7,11,16,11,5,7,10,12,6,11,6,8,17,11,9,9,4,8,10,17,9,11,7,5,6,11,11,7,13,3,7,15,6,11,8,9,6,10,6,10,6,8,12,11,9,8,9,6,14,9,7,7,6,11,6,10,12,15,12,8,12,14,5,9,9,6,5,8,13,13,12,8,9,7,9,10,5,10,12,9,9,8,10,2,4,4,7,10,8,5,8,11,6,12,6,DES
file0285.html.enc,html_cbc,7.931407390720119,128.20715297450425,5475.2223142740495,73.99474518014134,0.002052312435617735,-1.205244943899471,302085,10.34265967075954,13,9,11,6,13,18,8,11,12,6,11,11,9,11,11,10,11,6,7,17,6,7,7,13,9,6,12,15,9,10,13,14,11,18,10,12,13,11,16,9,8,13,19,14,7,4,13,9,18,8,16,9,12,19,10,10,9,11,13,12,7,6,14,14,18,9,5,14,6,10,11,12,7,13,12,13,7,17,10,7,12,9,14,15,9,15,10,12,12,5,16,6,13,8,8,8,13,11,10,6,7,14,13,10,10,12,15,10,8,6,15,12,16,12,14,9,12,16,7,10,15,17,7,12,10,11,6,16,13,14,7,8,1,17,9,11,11,9,8,10,8,16,12,9,10,12,8,9,12,13,9,12,11,10,19,12,11,9,12,16,11,8,14,16,10,14,10,9,13,12,12,7,16,9,13,8,7,11,11,9,9,9,10,9,11,10,10,8,8,11,15,10,12,9,5,9,14,11,11,20,9,6,15,14,10,7,14,11,9,21,14,15,12,11,16,10,12,8,12,4,15,17,10,9,16,7,6,3,9,9,9,12,14,10,13,13,7,11,9,11,14,9,16,11,13,15,12,12,7,12,9,12,8,12,12,19,DES
