file_name,format,entropy,mean,variance,std_dev,skewness,kurtosis,energy,rms,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,histogram_11,histogram_12,histogram_13,histogram_14,histogram_15,histogram_16,histogram_17,histogram_18,histogram_19,histogram_20,histogram_21,histogram_22,histogram_23,histogram_24,histogram_25,histogram_26,histogram_27,histogram_28,histogram_29,histogram_30,histogram_31,histogram_32,histogram_33,histogram_34,histogram_35,histogram_36,histogram_37,histogram_38,histogram_39,histogram_40,histogram_41,histogram_42,histogram_43,histogram_44,histogram_45,histogram_46,histogram_47,histogram_48,histogram_49,histogram_50,histogram_51,histogram_52,histogram_53,histogram_54,histogram_55,histogram_56,histogram_57,histogram_58,histogram_59,histogram_60,histogram_61,histogram_62,histogram_63,histogram_64,histogram_65,histogram_66,histogram_67,histogram_68,histogram_69,histogram_70,histogram_71,histogram_72,histogram_73,histogram_74,histogram_75,histogram_76,histogram_77,histogram_78,histogram_79,histogram_80,histogram_81,histogram_82,histogram_83,histogram_84,histogram_85,histogram_86,histogram_87,histogram_88,histogram_89,histogram_90,histogram_91,histogram_92,histogram_93,histogram_94,histogram_95,histogram_96,histogram_97,histogram_98,histogram_99,histogram_100,histogram_101,histogram_102,histogram_103,histogram_104,histogram_105,histogram_106,histogram_107,histogram_108,histogram_109,histogram_110,histogram_111,histogram_112,histogram_113,histogram_114,histogram_115,histogram_116,histogram_117,histogram_118,histogram_119,histogram_120,histogram_121,histogram_122,histogram_123,histogram_124,histogram_125,histogram_126,histogram_127,histogram_128,histogram_129,histogram_130,histogram_131,histogram_132,histogram_133,histogram_134,histogram_135,histogram_136,histogram_137,histogram_138,histogram_139,histogram_140,histogram_141,histogram_142,histogram_143,histogram_144,histogram_145,histogram_146,histogram_147,histogram_148,histogram_149,histogram_150,histogram_151,histogram_152,histogram_153,histogram_154,histogram_155,histogram_156,histogram_157,histogram_158,histogram_159,histogram_160,histogram_161,histogram_162,histogram_163,histogram_164,histogram_165,histogram_166,histogram_167,histogram_168,histogram_169,histogram_170,histogram_171,histogram_172,histogram_173,histogram_174,histogram_175,histogram_176,histogram_177,histogram_178,histogram_179,histogram_180,histogram_181,histogram_182,histogram_183,histogram_184,histogram_185,histogram_186,histogram_187,histogram_188,histogram_189,histogram_190,histogram_191,histogram_192,histogram_193,histogram_194,histogram_195,histogram_196,histogram_197,histogram_198,histogram_199,histogram_200,histogram_201,histogram_202,histogram_203,histogram_204,histogram_205,histogram_206,histogram_207,histogram_208,histogram_209,histogram_210,histogram_211,histogram_212,histogram_213,histogram_214,histogram_215,histogram_216,histogram_217,histogram_218,histogram_219,histogram_220,histogram_221,histogram_222,histogram_223,histogram_224,histogram_225,histogram_226,histogram_227,histogram_228,histogram_229,histogram_230,histogram_231,histogram_232,histogram_233,histogram_234,histogram_235,histogram_236,histogram_237,histogram_238,histogram_239,histogram_240,histogram_241,histogram_242,histogram_243,histogram_244,histogram_245,histogram_246,histogram_247,histogram_248,histogram_249,histogram_250,histogram_251,histogram_252,histogram_253,histogram_254,histogram_255,algorithm
file0380.py.enc,pyth_cbc,7.458196863641798,125.65625,5315.5380859375,72.90773680438517,0.0015683072379498212,-1.1857721775006465,43181,10.188252095881353,1,0,5,2,2,1,4,3,1,0,0,1,1,2,3,1,1,3,2,2,1,1,1,3,0,2,2,4,0,2,1,1,5,0,2,1,1,1,1,2,1,1,0,2,1,0,2,2,3,0,2,1,1,2,3,3,3,2,1,1,4,2,1,3,0,0,1,2,0,3,3,2,3,1,4,0,0,2,0,0,4,4,1,1,3,1,3,1,2,0,1,3,2,1,3,2,0,1,1,2,2,1,4,3,1,3,1,2,2,2,0,2,1,1,3,2,0,0,1,3,1,0,5,1,2,3,3,0,0,3,3,1,1,3,1,4,2,5,1,0,0,2,2,0,1,0,1,1,0,0,3,1,1,1,3,3,0,1,5,1,0,2,0,0,4,0,1,0,3,0,2,2,3,3,1,1,0,1,4,2,4,0,2,4,1,4,3,3,2,2,1,2,1,0,2,6,1,2,2,0,1,0,1,0,3,1,2,2,3,1,0,2,3,0,1,0,4,2,3,2,0,2,2,3,1,4,3,1,2,3,0,1,1,0,1,0,2,0,3,0,1,0,1,3,3,1,1,1,0,1,2,1,3,2,2,0,DES
file0280.py.enc,pyth_cbc,7.907674032916773,126.91358695652174,5388.07568495983,73.40351275626958,0.03615581998506245,-1.202439538989194,193351,10.250954356419275,6,9,7,9,7,4,5,5,8,4,7,4,9,7,10,8,3,7,8,11,12,9,6,3,6,10,9,8,4,5,4,4,6,4,6,7,8,6,8,7,4,6,3,11,6,7,3,4,10,7,9,7,10,9,10,8,12,5,9,9,10,17,11,7,6,9,8,6,6,8,6,15,6,5,5,2,8,5,10,5,11,3,6,7,11,9,10,17,8,6,12,11,6,6,7,12,9,7,5,9,11,8,3,6,9,5,7,9,8,6,7,9,7,6,9,6,6,4,8,4,7,6,4,10,2,11,8,10,3,9,13,10,5,9,3,7,5,4,5,3,9,5,8,6,3,9,9,5,9,7,4,9,10,6,6,7,11,6,11,4,7,8,8,6,6,6,5,6,7,8,6,8,7,4,8,7,8,8,9,5,5,8,8,9,7,8,6,9,9,5,4,3,9,7,11,7,5,4,6,7,9,7,5,7,9,5,6,4,10,5,6,5,5,10,14,3,10,9,7,6,5,8,9,7,5,9,8,10,14,9,6,7,5,10,7,5,8,8,12,3,4,7,3,8,8,10,5,13,8,7,6,7,4,9,4,4,DES
file0292.py.enc,pyth_cbc,7.971705621718892,127.54483523447402,5484.83861084104,74.05969626484462,-0.005837111057515878,-1.2114155788770864,671401,10.313533813449492,25,27,29,26,28,27,25,16,19,32,18,21,24,23,22,24,35,29,23,38,19,27,13,16,31,22,32,24,18,23,34,32,22,33,21,24,25,29,21,24,22,25,24,24,25,30,25,20,20,17,30,19,35,15,23,17,25,24,21,29,24,21,28,24,29,29,24,20,27,30,26,25,22,35,21,25,23,19,31,34,30,20,23,24,23,27,26,24,26,25,15,22,29,24,27,27,22,30,30,21,27,20,20,29,23,28,19,17,26,25,25,29,21,27,25,26,27,22,30,20,21,26,24,20,23,15,27,15,25,22,20,23,20,30,17,25,26,28,30,19,32,35,25,30,29,22,25,21,28,28,27,21,26,23,16,34,19,25,19,18,25,28,27,21,22,20,18,29,21,15,23,34,25,22,29,21,22,25,32,20,25,32,23,21,34,29,33,24,24,28,28,22,27,16,25,25,27,26,23,30,23,20,23,29,21,31,26,30,26,32,26,27,23,20,24,21,18,21,21,21,22,32,27,24,25,12,21,30,19,35,22,27,23,20,32,34,21,26,40,33,22,21,23,26,20,30,28,30,25,25,29,15,19,22,23,17,DES
file0392.py.enc,pyth_cbc,7.97972027174514,128.1132328654005,5355.573986740985,73.18178726118258,-0.025886839562221927,-1.171720107665812,1021821,10.26999771246508,37,46,30,42,32,34,47,37,28,30,40,34,39,44,38,35,43,32,36,42,35,38,35,46,41,41,28,33,33,41,35,44,40,38,33,47,38,23,26,41,48,30,36,37,31,40,38,25,40,32,45,30,47,29,32,42,30,36,42,38,35,48,38,39,31,36,26,47,36,34,40,44,47,32,29,26,37,31,31,36,35,35,46,23,34,35,37,39,46,34,30,41,35,45,41,51,25,33,36,29,29,34,43,55,53,46,45,43,35,38,38,37,41,52,39,33,31,47,42,45,42,29,27,40,39,35,40,48,44,45,45,33,39,31,39,27,40,36,52,33,35,30,37,34,43,42,53,42,28,24,44,35,32,38,41,50,41,35,44,37,35,41,36,42,51,45,42,40,33,44,35,40,43,39,41,36,43,46,36,33,44,51,29,48,46,37,28,52,43,37,42,37,46,28,37,36,35,49,49,48,36,39,41,34,41,36,46,39,31,33,34,30,42,30,30,43,42,40,27,36,40,37,29,35,29,47,35,36,44,36,34,37,36,35,43,31,35,35,38,34,33,35,40,41,41,35,31,34,46,38,35,42,35,33,36,36,DES
file0302.py.enc,pyth_cbc,7.965501506823642,128.09809870550163,5443.43637178961,73.77964740895426,0.00047123092049023395,-1.211359030491863,520845,10.263961601983432,25,13,28,11,18,18,17,17,18,14,13,19,23,17,15,17,17,10,13,18,20,24,15,32,16,22,15,24,21,26,23,13,19,22,22,17,22,15,16,21,20,24,20,15,20,17,18,20,22,18,22,23,20,17,23,16,21,18,19,21,16,30,23,20,22,26,19,20,27,24,20,24,19,13,18,21,18,21,27,22,22,20,15,19,26,17,14,23,9,14,14,16,23,18,16,12,22,25,18,15,19,14,16,12,24,12,17,28,21,21,17,14,18,15,29,21,20,14,16,15,21,18,21,24,15,21,22,13,28,23,21,18,13,27,20,16,18,18,18,19,16,20,22,21,21,23,20,14,18,22,14,18,18,22,18,23,22,22,19,15,18,20,22,17,17,13,27,21,22,21,27,20,18,15,21,10,18,20,19,18,18,20,23,21,14,23,24,17,23,25,23,19,16,16,22,20,16,16,23,19,18,11,22,17,17,14,17,20,18,22,22,18,22,15,23,27,12,20,23,17,32,27,18,16,19,15,23,16,23,18,19,20,19,17,19,20,27,19,12,26,16,21,24,26,17,19,15,25,19,9,23,11,16,30,18,20,DES
file0202.py.enc,pyth_cbc,7.930174905209686,127.94047619047619,5552.403202947847,74.51444962520925,-0.004241395643445684,-1.2107189086027739,317646,10.248983689452661,13,12,13,12,13,13,9,13,14,11,17,18,15,4,10,15,15,4,16,15,13,8,9,12,6,12,15,5,13,15,10,6,16,16,10,17,9,11,8,10,13,11,10,10,16,13,6,12,10,8,9,12,11,10,13,10,15,12,12,10,21,13,13,11,15,13,9,8,7,8,13,19,12,21,12,13,14,13,19,9,18,13,8,18,14,9,12,9,8,12,14,8,12,11,10,15,9,11,9,12,10,10,16,9,9,10,9,11,8,12,5,10,16,9,7,15,14,9,9,14,8,18,11,16,11,8,14,12,8,11,8,10,5,7,17,11,14,11,14,10,10,20,9,19,19,12,21,14,6,13,13,18,7,11,11,10,13,16,14,10,9,10,10,14,11,12,11,14,9,10,12,11,16,12,11,7,1,18,15,10,12,10,6,10,11,12,18,11,7,12,15,12,5,12,10,15,12,9,16,17,13,15,14,12,4,12,17,11,8,12,12,10,7,9,5,12,8,10,11,15,13,8,20,14,21,11,20,13,6,13,4,11,11,14,16,16,13,18,15,14,14,4,11,10,13,14,11,8,9,17,12,16,16,11,9,13,DES
file0361.py.enc,pyth_cbc,7.9702790462336095,126.58689839572193,5409.262502144757,73.54768862544054,0.013610940605688439,-1.1896986960594382,632880,10.284066903981202,22,17,25,22,26,24,23,26,21,33,22,27,21,29,19,21,25,25,24,26,32,20,25,24,25,22,24,20,19,28,20,22,28,14,16,27,16,31,21,25,31,27,22,25,23,18,20,24,21,22,13,23,34,27,23,30,13,15,22,28,26,25,24,24,26,15,20,18,17,31,31,28,23,25,24,20,16,28,26,26,22,33,31,29,19,23,20,30,21,26,22,39,22,24,21,21,19,25,20,26,21,18,34,25,26,16,23,28,19,21,18,27,22,17,30,25,21,23,27,29,18,28,24,15,22,37,26,30,27,19,25,25,28,31,25,24,20,20,15,26,20,25,21,31,20,20,24,19,23,26,23,21,23,32,21,21,29,21,18,28,27,21,23,23,25,23,25,30,29,18,27,26,18,18,27,25,19,19,25,26,21,21,22,19,20,17,17,18,19,28,22,27,25,26,32,22,23,19,15,23,23,24,22,21,19,21,13,23,18,25,29,28,22,22,21,31,24,23,25,35,21,23,20,30,21,34,17,25,26,20,21,27,39,13,29,26,26,28,18,21,18,20,15,22,28,18,21,24,24,20,14,16,25,21,29,20,DES
file0261.py.enc,pyth_cbc,7.976273257381815,127.78072763028516,5469.045823266031,73.95299739203294,-0.01346521714459235,-1.1882464350922806,853412,10.241743682969709,34,35,36,26,33,41,32,29,31,37,28,45,30,31,26,33,30,30,35,42,38,22,28,29,42,23,46,22,31,31,32,30,27,30,27,26,30,24,29,32,32,36,33,32,31,38,31,26,27,35,34,23,28,28,44,29,36,37,31,26,27,26,23,26,35,39,42,27,37,36,35,23,35,29,34,35,31,36,20,28,40,40,33,35,25,24,39,30,40,24,34,18,26,24,16,31,37,36,24,28,38,31,30,32,32,27,35,31,31,32,34,31,36,28,40,34,40,34,29,25,25,33,22,32,34,40,31,29,31,28,32,36,26,42,28,39,29,30,46,34,34,26,31,31,28,29,34,36,30,28,30,34,27,38,39,36,32,26,31,44,41,34,23,39,25,35,31,27,31,44,31,39,35,33,33,29,43,37,25,39,29,38,26,24,37,25,30,34,44,29,41,42,28,26,33,17,29,28,35,45,29,25,33,36,28,26,31,33,21,28,37,38,30,27,36,25,33,38,35,30,21,26,36,22,32,29,28,27,42,33,33,28,28,25,31,31,28,34,42,33,29,36,36,32,25,40,30,40,34,25,23,44,30,39,31,31,DES
file0210.py.enc,pyth_cbc,7.978753844388045,127.44300911854103,5476.948373113391,74.00640764902315,-0.0029546939491722616,-1.1937128597178115,838194,10.303118718094485,35,32,36,26,45,23,37,38,29,33,31,21,39,36,29,36,25,30,28,25,35,30,29,29,29,30,28,19,37,30,34,36,20,29,28,32,35,31,30,33,28,28,28,34,45,24,32,31,21,26,28,26,43,39,26,29,30,34,40,38,28,36,26,33,23,27,31,29,25,29,24,36,33,31,31,27,30,40,29,34,30,33,33,23,33,25,24,38,32,22,24,37,33,30,34,27,29,24,26,34,37,33,27,31,24,27,28,39,30,33,36,40,37,49,28,23,34,35,33,29,29,21,34,37,25,28,37,27,32,32,31,24,28,39,34,33,25,34,26,41,34,23,26,35,23,29,31,35,31,25,36,23,32,27,35,41,28,30,33,27,32,25,29,33,21,47,40,25,35,22,33,32,33,40,35,36,26,32,27,27,32,34,31,23,35,25,38,36,25,29,30,28,21,26,25,31,31,30,33,31,33,37,31,33,34,36,31,36,30,37,21,27,29,32,24,27,33,28,26,31,28,39,26,30,34,34,24,32,31,27,41,21,22,42,26,34,34,31,25,29,41,37,33,33,33,30,22,34,34,35,31,32,25,27,30,34,DES
file0310.py.enc,pyth_cbc,7.97682156980877,128.08617021276595,5440.033798098688,73.75658477789416,-0.012037719351855861,-1.185784910571794,802102,10.32775387003389,41,27,24,24,32,27,29,33,36,21,33,30,29,28,28,25,26,20,35,30,23,30,36,31,33,32,20,29,30,30,29,31,25,31,37,25,39,33,20,27,27,24,30,29,33,41,31,27,25,32,30,19,24,31,31,28,29,25,30,34,22,33,26,24,21,33,23,27,27,21,30,30,23,32,28,19,28,30,28,35,26,30,27,31,35,32,32,29,26,22,32,24,28,35,47,27,38,26,32,21,32,24,34,30,31,35,27,26,24,36,38,34,36,22,36,29,26,33,28,32,30,27,28,31,20,45,22,20,26,36,31,32,33,25,29,25,24,34,34,33,31,24,31,29,37,30,30,33,37,36,33,22,33,36,34,26,25,28,32,37,23,29,23,37,34,32,35,28,25,24,28,24,29,23,29,26,33,24,22,21,32,37,32,37,25,27,31,33,36,26,27,37,27,31,29,28,26,30,25,24,26,32,37,24,41,28,21,29,21,38,23,38,37,34,36,27,21,20,36,27,31,33,35,18,31,24,26,25,30,34,28,35,31,19,33,25,25,27,29,37,25,33,38,32,32,42,22,24,27,37,42,26,30,27,27,24,DES
