file_name,format,entropy,mean,variance,std_dev,skewness,kurtosis,energy,rms,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,histogram_11,histogram_12,histogram_13,histogram_14,histogram_15,histogram_16,histogram_17,histogram_18,histogram_19,histogram_20,histogram_21,histogram_22,histogram_23,histogram_24,histogram_25,histogram_26,histogram_27,histogram_28,histogram_29,histogram_30,histogram_31,histogram_32,histogram_33,histogram_34,histogram_35,histogram_36,histogram_37,histogram_38,histogram_39,histogram_40,histogram_41,histogram_42,histogram_43,histogram_44,histogram_45,histogram_46,histogram_47,histogram_48,histogram_49,histogram_50,histogram_51,histogram_52,histogram_53,histogram_54,histogram_55,histogram_56,histogram_57,histogram_58,histogram_59,histogram_60,histogram_61,histogram_62,histogram_63,histogram_64,histogram_65,histogram_66,histogram_67,histogram_68,histogram_69,histogram_70,histogram_71,histogram_72,histogram_73,histogram_74,histogram_75,histogram_76,histogram_77,histogram_78,histogram_79,histogram_80,histogram_81,histogram_82,histogram_83,histogram_84,histogram_85,histogram_86,histogram_87,histogram_88,histogram_89,histogram_90,histogram_91,histogram_92,histogram_93,histogram_94,histogram_95,histogram_96,histogram_97,histogram_98,histogram_99,histogram_100,histogram_101,histogram_102,histogram_103,histogram_104,histogram_105,histogram_106,histogram_107,histogram_108,histogram_109,histogram_110,histogram_111,histogram_112,histogram_113,histogram_114,histogram_115,histogram_116,histogram_117,histogram_118,histogram_119,histogram_120,histogram_121,histogram_122,histogram_123,histogram_124,histogram_125,histogram_126,histogram_127,histogram_128,histogram_129,histogram_130,histogram_131,histogram_132,histogram_133,histogram_134,histogram_135,histogram_136,histogram_137,histogram_138,histogram_139,histogram_140,histogram_141,histogram_142,histogram_143,histogram_144,histogram_145,histogram_146,histogram_147,histogram_148,histogram_149,histogram_150,histogram_151,histogram_152,histogram_153,histogram_154,histogram_155,histogram_156,histogram_157,histogram_158,histogram_159,histogram_160,histogram_161,histogram_162,histogram_163,histogram_164,histogram_165,histogram_166,histogram_167,histogram_168,histogram_169,histogram_170,histogram_171,histogram_172,histogram_173,histogram_174,histogram_175,histogram_176,histogram_177,histogram_178,histogram_179,histogram_180,histogram_181,histogram_182,histogram_183,histogram_184,histogram_185,histogram_186,histogram_187,histogram_188,histogram_189,histogram_190,histogram_191,histogram_192,histogram_193,histogram_194,histogram_195,histogram_196,histogram_197,histogram_198,histogram_199,histogram_200,histogram_201,histogram_202,histogram_203,histogram_204,histogram_205,histogram_206,histogram_207,histogram_208,histogram_209,histogram_210,histogram_211,histogram_212,histogram_213,histogram_214,histogram_215,histogram_216,histogram_217,histogram_218,histogram_219,histogram_220,histogram_221,histogram_222,histogram_223,histogram_224,histogram_225,histogram_226,histogram_227,histogram_228,histogram_229,histogram_230,histogram_231,histogram_232,histogram_233,histogram_234,histogram_235,histogram_236,histogram_237,histogram_238,histogram_239,histogram_240,histogram_241,histogram_242,histogram_243,histogram_244,histogram_245,histogram_246,histogram_247,histogram_248,histogram_249,histogram_250,histogram_251,histogram_252,histogram_253,histogram_254,histogram_255,algorithm
file0298.txt.enc,txt_cbc,7.939068158793239,127.80888157894736,5470.612486907029,73.96358892662678,0.0008608367242403522,-1.1908880268858533,318453,10.234953654794412,12,16,10,8,19,20,8,15,9,7,15,10,9,13,6,8,15,12,14,6,20,7,7,12,5,10,20,17,13,20,6,11,11,12,13,10,9,14,9,14,14,14,12,19,8,13,9,8,7,9,7,14,11,9,9,13,11,7,9,9,13,13,15,13,14,9,13,7,14,15,19,15,10,17,13,13,12,6,13,17,10,11,9,22,14,12,13,12,21,12,10,15,13,8,11,13,7,9,17,15,16,10,9,11,7,14,6,10,6,12,14,12,12,13,12,13,11,17,11,13,4,16,12,12,12,8,8,14,14,8,9,8,12,10,7,17,14,13,11,11,16,8,14,18,11,9,7,17,14,15,15,13,10,11,14,16,16,10,17,10,8,14,14,10,14,12,10,16,12,10,11,8,6,12,10,9,10,11,8,14,15,10,19,10,14,11,12,11,16,15,8,12,10,15,9,10,17,5,8,16,8,18,10,8,8,14,15,15,19,10,11,11,7,12,12,12,11,8,15,8,11,12,13,12,13,10,11,13,10,14,8,12,17,13,12,10,13,8,19,11,7,13,9,11,15,15,10,11,10,14,16,20,5,14,12,13,DES
file0288.txt.enc,txt_cbc,7.976908491829566,127.70069721115537,5432.367340151347,73.70459510879459,0.007062237177768729,-1.1963901416879756,851286,10.294989207806127,31,22,27,28,31,26,37,33,31,28,39,43,30,26,42,39,24,33,24,27,19,33,16,21,29,32,33,32,33,38,28,26,23,25,35,24,36,30,35,38,34,32,30,39,45,34,45,35,35,22,40,39,25,32,35,36,31,35,28,28,33,22,39,28,26,24,33,27,18,29,28,32,40,33,36,33,28,33,34,28,35,33,23,32,34,37,28,47,32,35,27,30,37,31,28,24,36,32,37,37,34,40,27,30,28,30,25,35,38,34,29,27,32,32,30,28,35,32,37,34,20,19,36,33,30,27,45,23,44,29,30,33,27,29,36,34,20,30,22,38,38,34,28,33,27,30,29,31,33,23,36,34,47,30,25,32,21,29,29,25,36,33,33,31,27,42,33,36,29,24,30,35,31,39,32,31,20,39,33,33,32,46,37,36,32,30,26,27,24,30,37,30,43,29,33,33,26,35,33,24,24,25,22,32,25,32,26,43,34,26,27,28,26,30,32,28,36,36,36,30,34,35,29,37,45,29,26,24,32,28,31,29,31,35,30,34,32,26,30,31,35,29,38,34,24,35,33,29,37,27,29,28,28,35,34,39,DES
file0221.txt.enc,txt_cbc,7.971321685117992,126.34831305309734,5573.261559654211,74.65428025005808,0.014414306758714808,-1.2221333236005008,759477,10.247740145873388,36,33,40,30,34,23,26,39,25,31,34,31,35,27,29,24,19,30,26,34,22,29,29,29,19,31,33,32,29,32,36,28,31,34,28,22,32,26,25,28,28,33,29,32,22,32,36,27,28,30,38,16,32,30,26,31,24,26,22,31,29,29,28,37,26,28,19,30,39,17,41,30,31,23,28,35,26,24,22,32,32,19,38,32,29,22,31,16,28,27,27,24,31,31,32,33,29,35,40,25,31,34,29,29,31,25,21,22,26,25,25,29,23,23,31,33,25,29,22,23,28,30,28,28,33,19,29,30,35,25,27,28,23,13,27,22,29,19,24,29,17,30,34,30,33,21,23,30,37,31,22,27,27,24,26,23,35,25,26,26,43,28,31,34,28,35,32,24,27,35,17,22,27,19,21,20,29,32,27,32,33,23,35,33,36,28,20,34,26,40,24,26,28,19,39,23,34,33,22,35,15,19,25,29,30,33,30,23,27,21,22,23,22,24,29,30,27,35,20,32,44,26,29,25,23,29,31,37,21,30,37,39,27,38,21,31,14,31,24,28,32,30,35,29,30,29,38,29,20,26,29,35,23,26,25,23,DES
file0359.txt.enc,txt_cbc,7.969531157061581,126.70454545454545,5458.946627914148,73.88468466410443,0.0065009690670422395,-1.1922212094019158,615428,10.216682290006153,20,24,20,34,28,19,21,20,23,25,24,21,37,17,30,24,25,26,23,20,30,31,19,15,28,28,30,17,17,22,31,27,16,23,25,24,18,18,18,16,24,26,24,11,26,17,20,33,22,30,28,28,23,22,23,23,23,24,23,17,20,16,28,19,30,31,28,20,17,22,22,31,24,14,19,16,19,26,18,16,26,28,33,18,17,20,19,20,21,25,24,21,35,29,17,22,23,19,22,20,19,31,26,19,31,29,30,29,21,29,31,26,24,20,21,22,17,19,24,13,31,18,27,21,27,26,25,29,23,22,23,23,27,29,22,25,27,15,16,19,22,22,23,22,33,23,24,27,23,22,19,23,19,15,22,17,33,27,20,27,22,20,28,22,22,25,23,20,26,25,21,26,18,22,24,18,23,14,24,18,29,28,20,23,25,22,19,21,31,24,18,31,20,17,29,26,25,22,28,22,17,15,30,22,25,20,27,22,23,21,25,26,18,23,30,24,21,23,21,16,22,26,15,20,30,19,20,23,18,29,31,26,19,20,23,21,28,18,12,22,28,23,15,26,24,24,30,18,26,22,25,23,18,21,17,29,DES
file0231.txt.enc,txt_cbc,7.916444032728902,127.88336267605634,5552.878561227621,74.51763926230903,-0.010004960166883653,-1.2236688699238818,237547,10.225171750339632,12,11,7,11,3,12,9,5,6,10,14,7,17,8,8,9,11,11,11,6,10,6,6,9,6,10,11,7,9,12,7,6,10,7,7,12,8,11,10,4,10,8,11,11,8,6,6,7,5,10,12,13,9,8,11,9,6,8,10,12,12,9,4,14,8,8,7,12,15,2,6,13,8,9,4,6,13,16,8,8,10,10,8,14,6,9,9,12,9,9,6,11,5,8,9,5,10,9,8,12,7,8,8,8,4,7,8,11,7,6,8,7,8,7,10,8,15,5,8,9,11,11,8,3,15,12,5,8,8,12,10,6,9,10,9,9,4,5,7,11,12,10,10,8,10,5,11,6,9,15,6,15,12,11,3,4,4,10,8,6,4,8,10,6,8,13,13,9,8,4,9,14,7,5,10,6,10,14,8,11,9,6,7,12,10,8,9,18,10,11,9,7,8,11,13,15,6,7,5,4,5,10,10,14,5,6,9,5,9,15,10,7,5,11,8,7,10,5,8,12,8,10,9,5,4,11,7,8,12,9,9,12,17,15,9,16,11,9,14,6,11,6,7,12,9,6,6,3,10,12,9,11,7,7,13,5,DES
file0349.txt.enc,txt_cbc,7.921255292919424,128.4533073929961,5540.491983224576,74.434481144323,-0.03638423175429328,-1.2308865666876518,217530,10.286035639782675,6,6,9,5,11,11,6,10,7,12,11,6,5,11,8,6,8,7,7,10,4,10,10,10,9,9,10,10,11,9,9,8,8,10,11,4,8,5,5,2,11,10,10,8,10,6,7,9,7,7,6,7,8,7,9,10,4,6,12,6,8,7,8,7,7,6,11,8,5,11,6,9,7,11,8,5,10,4,6,11,7,11,7,9,11,10,5,10,8,6,8,8,2,12,4,4,6,14,6,9,12,8,9,9,6,3,9,4,7,4,6,6,6,9,5,7,7,10,11,5,10,9,8,11,7,7,11,5,9,5,8,9,7,7,7,4,8,9,7,15,10,8,8,4,8,9,7,12,8,9,7,8,6,5,6,13,12,5,9,11,7,6,4,10,10,10,6,14,8,6,5,5,11,4,7,6,11,13,7,8,9,10,6,8,6,4,8,10,10,8,11,11,6,11,3,8,6,9,12,4,11,10,8,5,6,10,9,11,5,5,19,15,7,7,6,7,7,7,13,4,15,8,10,6,13,6,10,7,7,7,8,7,5,15,11,8,11,12,7,8,6,6,10,5,13,7,5,5,5,14,7,7,6,7,9,6,DES
file0243.txt.enc,txt_cbc,7.975068707373993,127.0390243902439,5413.441160023795,73.57609095367731,0.005611895035732562,-1.1845579073079637,691480,10.26686595730975,24,25,29,23,26,30,19,26,24,29,19,33,28,34,23,24,27,25,25,27,27,15,24,24,18,27,34,37,27,19,33,28,19,19,20,27,14,24,26,30,25,29,32,27,19,26,28,32,25,26,25,19,29,30,25,36,19,32,28,25,23,21,27,23,27,23,34,27,26,26,23,17,35,19,27,23,26,26,27,21,26,22,36,20,26,25,19,27,40,26,33,24,25,27,22,33,20,19,17,29,30,23,23,24,28,24,33,24,23,21,25,35,27,18,22,22,21,26,38,28,23,26,19,21,32,31,23,28,19,23,19,26,28,32,29,27,33,22,30,20,22,30,29,23,29,33,24,26,26,29,34,21,32,26,32,25,28,34,16,28,34,25,21,27,30,14,14,25,22,20,30,22,30,26,22,23,25,24,32,26,32,26,30,30,21,28,33,28,24,28,26,19,28,27,24,20,27,24,27,19,31,28,30,24,31,29,24,28,32,27,26,30,22,19,24,28,19,21,23,24,20,25,26,29,26,26,19,29,24,25,24,20,17,23,17,29,25,21,27,20,17,23,26,29,26,29,31,23,16,26,31,25,28,29,29,28,DES
file0253.txt.enc,txt_cbc,7.975492481309691,127.87969831849654,5500.674573004933,74.16653270178493,-0.020131079007252573,-1.199160663479481,850021,10.251661465786896,30,36,34,34,35,45,35,32,38,30,23,26,32,35,40,24,25,35,30,22,32,39,32,35,31,25,32,26,31,31,34,33,38,31,37,31,40,25,43,34,35,22,22,38,32,34,48,29,28,25,28,33,28,27,32,32,27,30,31,31,26,31,27,28,34,27,36,30,22,28,35,36,33,22,31,33,36,22,25,37,34,36,30,27,30,29,34,37,19,31,38,19,25,26,25,34,31,37,20,27,24,34,33,21,30,31,38,18,33,37,33,37,35,23,38,33,43,29,35,37,35,44,29,26,40,29,23,33,32,30,29,31,26,26,38,38,39,36,36,39,23,29,29,26,39,34,30,26,27,34,27,34,36,37,32,35,26,36,31,36,35,32,34,32,38,36,40,20,42,30,39,25,39,27,24,37,44,31,27,21,35,18,32,29,27,42,23,29,29,28,35,32,30,31,33,31,29,46,32,23,25,41,34,33,35,42,35,28,24,22,30,33,36,36,40,28,34,34,32,41,26,28,43,25,31,27,31,23,42,30,23,31,22,22,33,34,40,33,32,33,32,45,29,41,29,27,35,29,31,27,41,29,40,25,28,32,DES
file0382.txt.enc,txt_cbc,7.977000628095776,126.44868554095045,5449.794384015373,73.82272268086143,0.00340052819892491,-1.1919586055112077,828438,10.232620472739642,28,35,45,42,30,41,27,23,39,32,34,37,28,32,19,43,24,25,26,31,28,41,35,26,43,28,32,32,23,31,31,27,26,37,31,32,28,37,30,35,42,35,25,37,15,26,35,22,28,37,25,30,36,28,29,30,29,30,27,42,37,25,27,27,36,29,36,26,31,24,37,29,35,29,29,35,42,39,22,25,33,23,29,32,30,26,29,33,26,27,32,47,37,35,26,34,37,25,25,33,35,29,27,33,32,31,35,33,27,32,29,36,30,37,24,23,34,26,31,22,32,21,27,36,32,31,36,30,36,41,36,36,28,33,29,30,24,34,28,36,35,28,42,32,23,27,24,28,23,35,32,34,39,32,41,29,29,28,36,34,33,29,41,34,32,25,36,18,26,28,29,24,25,27,38,29,31,40,28,27,30,34,22,35,29,36,35,30,30,35,44,32,35,32,23,34,21,29,26,36,35,43,31,27,27,34,31,33,37,31,35,32,28,33,22,27,26,29,27,29,21,38,30,37,24,26,32,32,30,28,28,38,25,30,32,37,38,21,29,25,32,34,27,26,20,34,36,34,21,28,34,29,33,21,27,36,DES
file0392.txt.enc,txt_cbc,7.942049917892912,127.65865384615384,5492.060766457101,74.10843923911163,-0.0070944974676750835,-1.2258617216382781,349262,10.244340604601007,13,16,19,10,17,8,6,18,13,10,14,15,16,14,6,13,16,16,9,8,9,9,10,14,11,12,7,12,21,11,19,9,11,11,8,14,14,12,23,14,18,18,12,15,19,14,15,17,4,17,13,16,13,16,16,17,13,8,18,19,13,16,15,13,9,14,10,13,13,15,12,10,11,6,15,11,11,17,15,14,13,12,9,10,20,7,6,14,14,12,14,15,11,17,13,12,11,7,9,7,7,19,20,13,10,11,9,14,10,14,10,15,19,12,11,12,14,19,9,12,14,13,17,22,7,14,16,14,14,19,12,11,11,20,11,14,14,5,12,12,6,15,16,16,11,11,7,12,10,15,13,11,13,7,7,11,6,13,15,8,12,16,11,14,11,9,8,14,15,12,13,11,22,21,17,18,10,13,12,10,14,14,13,11,13,6,10,16,14,17,19,16,11,14,18,19,17,17,9,16,12,12,10,11,18,17,15,14,15,10,10,7,13,19,17,16,13,16,7,16,17,9,10,15,11,11,11,16,16,9,14,9,15,15,13,11,15,15,11,14,10,13,16,19,12,14,10,13,13,11,10,7,18,10,19,8,DES
