file_name,format,entropy,mean,variance,std_dev,skewness,kurtosis,energy,rms,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,histogram_11,histogram_12,histogram_13,histogram_14,histogram_15,histogram_16,histogram_17,histogram_18,histogram_19,histogram_20,histogram_21,histogram_22,histogram_23,histogram_24,histogram_25,histogram_26,histogram_27,histogram_28,histogram_29,histogram_30,histogram_31,histogram_32,histogram_33,histogram_34,histogram_35,histogram_36,histogram_37,histogram_38,histogram_39,histogram_40,histogram_41,histogram_42,histogram_43,histogram_44,histogram_45,histogram_46,histogram_47,histogram_48,histogram_49,histogram_50,histogram_51,histogram_52,histogram_53,histogram_54,histogram_55,histogram_56,histogram_57,histogram_58,histogram_59,histogram_60,histogram_61,histogram_62,histogram_63,histogram_64,histogram_65,histogram_66,histogram_67,histogram_68,histogram_69,histogram_70,histogram_71,histogram_72,histogram_73,histogram_74,histogram_75,histogram_76,histogram_77,histogram_78,histogram_79,histogram_80,histogram_81,histogram_82,histogram_83,histogram_84,histogram_85,histogram_86,histogram_87,histogram_88,histogram_89,histogram_90,histogram_91,histogram_92,histogram_93,histogram_94,histogram_95,histogram_96,histogram_97,histogram_98,histogram_99,histogram_100,histogram_101,histogram_102,histogram_103,histogram_104,histogram_105,histogram_106,histogram_107,histogram_108,histogram_109,histogram_110,histogram_111,histogram_112,histogram_113,histogram_114,histogram_115,histogram_116,histogram_117,histogram_118,histogram_119,histogram_120,histogram_121,histogram_122,histogram_123,histogram_124,histogram_125,histogram_126,histogram_127,histogram_128,histogram_129,histogram_130,histogram_131,histogram_132,histogram_133,histogram_134,histogram_135,histogram_136,histogram_137,histogram_138,histogram_139,histogram_140,histogram_141,histogram_142,histogram_143,histogram_144,histogram_145,histogram_146,histogram_147,histogram_148,histogram_149,histogram_150,histogram_151,histogram_152,histogram_153,histogram_154,histogram_155,histogram_156,histogram_157,histogram_158,histogram_159,histogram_160,histogram_161,histogram_162,histogram_163,histogram_164,histogram_165,histogram_166,histogram_167,histogram_168,histogram_169,histogram_170,histogram_171,histogram_172,histogram_173,histogram_174,histogram_175,histogram_176,histogram_177,histogram_178,histogram_179,histogram_180,histogram_181,histogram_182,histogram_183,histogram_184,histogram_185,histogram_186,histogram_187,histogram_188,histogram_189,histogram_190,histogram_191,histogram_192,histogram_193,histogram_194,histogram_195,histogram_196,histogram_197,histogram_198,histogram_199,histogram_200,histogram_201,histogram_202,histogram_203,histogram_204,histogram_205,histogram_206,histogram_207,histogram_208,histogram_209,histogram_210,histogram_211,histogram_212,histogram_213,histogram_214,histogram_215,histogram_216,histogram_217,histogram_218,histogram_219,histogram_220,histogram_221,histogram_222,histogram_223,histogram_224,histogram_225,histogram_226,histogram_227,histogram_228,histogram_229,histogram_230,histogram_231,histogram_232,histogram_233,histogram_234,histogram_235,histogram_236,histogram_237,histogram_238,histogram_239,histogram_240,histogram_241,histogram_242,histogram_243,histogram_244,histogram_245,histogram_246,histogram_247,histogram_248,histogram_249,histogram_250,histogram_251,histogram_252,histogram_253,histogram_254,histogram_255,algorithm
file0320.html.enc,html_cbc,7.972588840878647,126.87089266155532,5406.436918370735,73.5284769213312,0.014427921584368052,-1.189339875322851,772807,10.286204193682392,43,27,22,21,26,28,23,26,17,23,26,36,32,35,31,24,29,26,35,30,23,30,26,30,28,23,40,31,34,18,35,22,32,36,26,24,27,36,32,27,40,35,27,21,42,20,30,26,23,31,28,36,25,21,31,26,29,30,33,32,15,30,27,29,36,31,23,31,27,31,28,30,33,37,31,22,22,32,34,39,22,26,33,21,27,22,28,22,29,27,33,31,21,30,20,38,20,25,30,32,36,38,25,34,33,39,24,30,32,23,15,35,31,31,27,35,30,29,33,25,32,26,27,18,33,24,31,35,22,26,28,30,38,28,27,33,34,27,35,26,22,25,32,22,28,26,24,23,32,26,36,33,32,29,27,25,27,23,35,48,35,28,29,23,16,32,39,21,20,27,35,30,32,29,38,33,31,26,28,32,23,29,28,26,27,25,31,28,20,30,22,28,38,35,15,28,32,26,31,25,20,28,26,39,28,23,34,30,30,29,28,32,26,24,28,29,30,22,23,49,24,35,19,22,27,27,25,23,30,23,18,24,38,30,28,31,23,31,30,27,20,31,24,34,28,32,26,29,27,23,26,34,30,27,33,25,DES
file0321.html.enc,html_cbc,7.978572417328892,127.30619747899159,5528.94011915428,74.35684312256862,0.01482551276009619,-1.2062563888897975,811850,10.324628403999451,24,28,22,28,36,27,42,33,40,27,36,31,39,34,23,30,27,28,27,33,27,28,26,29,33,26,36,29,29,29,24,21,23,24,32,29,32,34,36,37,25,30,31,33,42,21,26,32,33,48,31,28,27,37,31,29,30,24,34,27,29,26,26,28,31,29,26,26,31,24,30,36,22,36,23,29,37,37,36,29,30,28,24,26,24,30,31,32,31,43,36,31,31,26,26,30,24,38,31,27,26,22,27,26,30,28,32,23,33,35,17,28,24,30,37,29,34,33,45,28,33,30,27,31,26,32,29,30,32,20,28,35,24,26,40,30,32,30,40,36,36,28,36,31,28,36,30,26,30,25,33,23,24,32,26,29,30,25,33,24,29,24,25,26,27,26,29,24,22,28,31,18,28,24,38,30,18,28,34,32,22,35,33,24,23,36,29,32,27,31,28,32,32,40,36,40,22,32,34,24,28,28,34,31,26,35,26,26,32,24,26,31,28,25,26,29,25,31,23,36,29,26,19,31,37,23,28,27,28,41,33,36,24,23,30,35,24,32,34,33,29,33,26,33,40,34,35,28,36,22,40,26,40,27,28,32,DES
file0228.html.enc,html_cbc,7.971540379051108,126.85337752525253,5562.59292735495,74.58279243468262,0.009889995946122583,-1.2137156381913894,653751,10.157775235122735,30,25,30,24,33,28,34,22,32,30,23,32,21,26,21,15,17,36,30,24,24,27,25,21,18,17,35,22,32,27,30,21,18,23,28,24,26,28,19,14,23,22,29,21,32,19,31,12,22,29,22,28,20,35,27,26,18,24,25,22,28,18,40,34,24,34,17,27,21,25,31,25,33,23,31,29,29,26,22,25,22,25,17,19,29,19,20,19,25,30,21,31,27,34,26,34,28,21,17,24,23,19,24,24,19,24,22,23,25,29,18,25,24,20,25,21,20,26,18,19,25,23,28,24,28,24,26,25,33,27,28,17,24,27,23,25,28,27,29,24,30,21,28,22,33,23,18,27,24,24,20,29,21,23,23,30,20,24,20,31,19,29,20,29,18,19,22,31,24,26,28,21,25,20,27,20,25,25,22,28,20,16,18,17,28,23,25,23,24,26,28,34,24,31,22,21,23,27,19,22,27,20,16,24,19,33,24,30,23,18,28,22,31,22,26,30,20,22,16,24,34,19,29,34,25,17,26,34,29,22,27,22,37,25,30,27,26,29,23,21,26,21,23,22,28,32,22,24,29,21,22,26,13,29,23,32,DES
file0229.html.enc,html_cbc,7.963309424995128,128.79127134724857,5485.830246391266,74.06639080170753,-0.012523261293442023,-1.193306107929058,438548,10.199015839710796,8,12,13,28,15,14,19,21,11,18,15,16,16,24,17,14,17,13,22,23,9,17,14,15,14,16,18,15,13,18,18,19,16,13,23,15,13,18,17,12,16,14,13,15,14,13,14,17,13,20,9,20,18,18,19,17,15,19,18,20,16,14,16,18,16,15,13,11,21,23,15,21,14,12,20,12,21,22,15,15,20,14,12,14,13,17,15,22,16,16,11,18,13,16,12,11,18,14,15,17,17,12,15,14,19,13,15,18,18,21,11,16,21,14,18,20,11,23,17,18,20,23,12,20,18,19,14,16,13,18,21,15,17,20,16,16,14,16,14,32,16,16,10,20,15,13,24,19,19,15,14,21,17,15,18,10,20,14,19,16,22,23,20,13,21,15,11,20,12,15,15,12,9,17,16,17,13,16,19,22,21,13,19,20,14,17,16,13,17,18,15,15,12,13,15,20,13,8,18,22,15,14,20,16,17,21,13,18,17,11,15,18,11,14,16,13,14,13,26,18,17,12,21,12,13,14,14,15,15,20,21,19,20,24,16,17,17,15,22,22,20,18,18,18,31,16,15,17,11,19,13,12,13,26,19,16,DES
file0369.html.enc,html_cbc,7.981226407282644,126.51435456831517,5484.687555891046,74.05867643896322,0.016428014606331136,-1.2105945271306213,997451,10.223051996380734,31,48,34,39,44,45,44,27,33,42,29,45,38,41,30,42,31,42,30,40,34,36,39,42,32,33,40,38,35,33,42,43,48,55,44,40,37,31,42,38,36,28,23,40,39,40,48,46,39,31,34,44,36,38,37,42,25,41,44,41,46,34,37,44,45,26,49,35,42,39,42,34,34,40,40,33,37,34,34,48,36,45,33,39,44,34,31,32,44,33,31,42,40,38,31,36,46,26,39,37,38,36,40,38,34,30,28,33,36,24,32,39,51,38,38,47,38,34,27,41,37,31,42,46,40,39,49,29,31,42,37,36,35,24,45,40,38,36,33,38,28,38,35,38,41,37,39,44,35,30,41,40,33,29,38,48,38,42,31,36,35,45,31,35,33,40,34,42,32,28,45,30,38,33,30,31,38,44,27,35,40,30,40,41,50,36,36,38,51,38,36,26,32,36,44,37,37,33,40,28,31,48,43,43,34,34,42,39,44,43,42,30,48,39,43,31,33,35,37,46,23,38,24,43,23,38,42,32,40,37,36,31,40,38,38,37,38,51,30,29,30,30,47,32,40,40,34,39,38,41,33,41,39,37,33,32,DES
file0368.html.enc,html_cbc,7.9782288657094025,127.41040874524715,5484.91569013711,74.06021664927202,-0.00029498023362899356,-1.2064764512614543,882184,10.23827345532476,36,31,31,34,36,31,32,33,36,35,31,32,26,31,37,40,23,46,43,33,36,37,32,28,23,36,28,31,31,36,31,31,26,35,31,32,30,26,27,28,46,38,33,31,34,31,32,30,55,25,36,46,27,45,26,46,28,34,31,31,31,30,40,30,37,37,24,38,27,36,35,35,35,37,39,25,37,40,33,30,36,30,29,35,29,26,24,33,25,27,30,30,36,35,34,35,30,44,32,33,34,29,34,31,29,25,37,23,40,34,21,32,25,27,26,31,29,34,26,44,33,33,37,33,35,36,36,31,33,35,28,39,37,33,31,52,30,34,38,35,39,33,33,27,41,28,26,35,31,28,33,37,34,25,26,26,32,36,28,39,34,35,33,27,33,31,30,37,32,34,23,36,35,44,30,26,20,34,23,33,28,41,41,37,31,27,32,32,39,39,33,33,28,40,31,43,31,31,28,40,48,38,26,41,37,19,29,32,35,39,40,37,37,40,33,31,36,27,43,22,34,29,29,34,31,29,34,30,31,33,31,29,25,35,29,27,32,27,32,34,41,35,31,14,35,33,26,40,40,38,32,48,34,41,27,28,DES
file0261.html.enc,html_cbc,7.9417426180296316,126.74621212121212,5617.356046258034,74.9490229840125,0.009831148100903672,-1.2248388884901933,358849,10.225445317184574,14,14,15,19,15,14,17,14,17,12,20,17,17,14,15,10,15,21,9,8,8,16,8,15,13,11,10,14,15,14,13,15,16,13,13,8,17,15,9,19,12,12,15,13,10,15,10,17,12,15,13,18,13,15,16,11,13,13,13,12,19,23,15,11,18,11,12,11,14,14,18,15,21,16,11,14,8,4,19,18,15,17,9,7,13,20,15,8,11,17,8,16,15,13,14,14,8,20,8,11,9,13,8,11,7,11,10,12,10,14,17,10,14,10,16,17,13,15,9,14,10,8,11,13,20,14,11,14,7,9,16,14,17,10,16,21,12,12,11,11,19,9,21,20,9,8,12,15,15,14,11,12,22,7,13,10,12,10,9,25,11,14,14,7,9,16,13,17,11,21,15,14,15,19,13,9,15,10,13,11,15,13,14,11,19,7,9,12,12,11,9,17,15,8,15,11,8,12,14,7,16,18,14,16,6,16,14,16,12,18,16,14,9,19,12,17,11,14,12,20,17,15,7,12,18,12,15,15,20,7,17,10,15,12,10,8,9,7,10,19,15,12,10,22,20,11,14,15,15,14,17,5,10,19,18,16,DES
file0260.html.enc,html_cbc,7.9608891171537195,127.2126,5474.53620124,73.99010880678578,0.010277618340728545,-1.2101793439975341,525989,10.256597876489066,16,17,16,17,19,27,16,22,22,21,17,27,18,20,14,16,15,34,24,14,9,15,21,21,24,26,15,16,24,11,26,23,20,20,16,22,26,12,21,20,23,18,24,26,18,22,23,23,20,20,23,14,17,17,15,25,28,22,25,14,15,21,29,13,19,17,13,13,17,26,14,19,18,22,18,20,24,18,14,26,14,25,27,20,21,20,20,19,22,19,17,13,18,18,23,24,28,20,18,14,17,16,17,20,21,15,12,22,21,20,24,16,25,14,22,16,24,9,14,17,25,15,20,33,24,19,21,20,17,18,18,24,25,23,18,19,19,25,20,29,15,14,16,19,16,15,25,14,20,14,25,20,22,23,15,18,25,18,23,21,21,27,13,17,18,26,14,29,17,20,16,16,9,20,16,17,16,16,21,21,10,18,22,18,15,17,15,26,14,20,27,22,20,30,17,20,23,18,22,16,23,23,18,23,12,11,17,17,19,19,20,27,16,20,17,19,14,20,27,23,23,21,24,20,13,19,18,19,20,20,19,18,22,20,26,20,17,11,19,22,21,15,27,29,30,23,24,13,12,15,19,17,19,25,19,11,DES
file0284.html.enc,html_cbc,7.920835686075521,126.83144599303135,5517.904080835933,74.28259608303908,-0.0005095869888130634,-1.2095646005738037,244467,10.318680837007602,11,4,6,11,8,9,9,8,9,15,7,13,11,14,12,15,7,8,11,10,12,8,8,6,8,11,5,7,12,7,16,7,7,13,14,7,6,4,7,5,9,9,6,17,10,12,9,7,4,6,8,11,8,9,8,9,10,9,9,9,11,12,11,9,9,13,8,8,13,7,7,9,9,10,11,6,8,7,11,5,13,8,9,9,8,5,13,9,7,8,8,10,5,9,7,5,8,6,8,5,11,12,5,14,15,3,10,7,10,8,15,9,11,8,12,6,6,8,5,8,8,14,8,11,8,5,11,9,7,14,11,9,13,9,4,13,5,4,11,7,12,8,8,8,10,11,7,13,13,11,4,6,7,4,6,7,10,6,14,5,9,6,7,7,6,7,12,9,8,17,10,10,12,15,14,9,6,14,10,13,12,8,6,8,9,14,16,6,8,16,5,10,5,9,9,8,10,5,8,9,6,10,6,9,10,11,6,9,13,7,3,8,11,11,6,9,8,9,11,6,5,4,13,9,6,13,10,5,4,15,8,7,9,14,7,12,7,10,9,9,8,11,11,5,9,5,9,13,9,10,7,17,12,5,8,5,DES
file0285.html.enc,html_cbc,7.9413899334482885,127.50814447592067,5367.988602222752,73.26655855315406,0.0007630289225523291,-1.1627863513586212,296523,10.24700260188052,16,7,6,7,14,10,16,19,12,9,11,11,7,13,11,10,11,7,10,10,13,9,24,10,7,14,12,13,9,8,11,8,8,10,9,6,13,7,17,11,8,6,7,8,14,13,8,12,12,7,8,7,7,12,10,9,15,13,13,12,17,11,7,11,10,13,9,7,11,15,7,14,12,13,17,15,9,10,10,14,9,6,10,9,13,13,11,17,11,12,15,14,10,8,12,11,10,7,12,7,15,13,11,6,11,12,15,11,13,13,12,10,14,10,9,11,11,6,9,12,14,15,13,13,11,10,15,7,12,10,16,14,12,11,7,12,11,14,15,10,8,7,15,16,17,17,18,12,10,9,12,9,9,13,8,7,13,13,18,12,13,9,13,9,7,15,6,15,14,9,11,10,11,9,16,7,15,9,10,6,4,6,12,8,14,12,8,8,8,18,7,11,9,10,11,11,7,11,16,9,10,11,12,13,10,10,11,7,13,8,12,6,11,12,15,15,8,14,13,14,11,15,10,13,12,9,9,15,13,11,13,10,10,7,5,7,8,10,6,11,18,13,13,9,11,8,6,19,13,15,9,12,12,6,12,9,DES
