file_name,format,entropy,mean,variance,std_dev,skewness,kurtosis,energy,rms,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,histogram_11,histogram_12,histogram_13,histogram_14,histogram_15,histogram_16,histogram_17,histogram_18,histogram_19,histogram_20,histogram_21,histogram_22,histogram_23,histogram_24,histogram_25,histogram_26,histogram_27,histogram_28,histogram_29,histogram_30,histogram_31,histogram_32,histogram_33,histogram_34,histogram_35,histogram_36,histogram_37,histogram_38,histogram_39,histogram_40,histogram_41,histogram_42,histogram_43,histogram_44,histogram_45,histogram_46,histogram_47,histogram_48,histogram_49,histogram_50,histogram_51,histogram_52,histogram_53,histogram_54,histogram_55,histogram_56,histogram_57,histogram_58,histogram_59,histogram_60,histogram_61,histogram_62,histogram_63,histogram_64,histogram_65,histogram_66,histogram_67,histogram_68,histogram_69,histogram_70,histogram_71,histogram_72,histogram_73,histogram_74,histogram_75,histogram_76,histogram_77,histogram_78,histogram_79,histogram_80,histogram_81,histogram_82,histogram_83,histogram_84,histogram_85,histogram_86,histogram_87,histogram_88,histogram_89,histogram_90,histogram_91,histogram_92,histogram_93,histogram_94,histogram_95,histogram_96,histogram_97,histogram_98,histogram_99,histogram_100,histogram_101,histogram_102,histogram_103,histogram_104,histogram_105,histogram_106,histogram_107,histogram_108,histogram_109,histogram_110,histogram_111,histogram_112,histogram_113,histogram_114,histogram_115,histogram_116,histogram_117,histogram_118,histogram_119,histogram_120,histogram_121,histogram_122,histogram_123,histogram_124,histogram_125,histogram_126,histogram_127,histogram_128,histogram_129,histogram_130,histogram_131,histogram_132,histogram_133,histogram_134,histogram_135,histogram_136,histogram_137,histogram_138,histogram_139,histogram_140,histogram_141,histogram_142,histogram_143,histogram_144,histogram_145,histogram_146,histogram_147,histogram_148,histogram_149,histogram_150,histogram_151,histogram_152,histogram_153,histogram_154,histogram_155,histogram_156,histogram_157,histogram_158,histogram_159,histogram_160,histogram_161,histogram_162,histogram_163,histogram_164,histogram_165,histogram_166,histogram_167,histogram_168,histogram_169,histogram_170,histogram_171,histogram_172,histogram_173,histogram_174,histogram_175,histogram_176,histogram_177,histogram_178,histogram_179,histogram_180,histogram_181,histogram_182,histogram_183,histogram_184,histogram_185,histogram_186,histogram_187,histogram_188,histogram_189,histogram_190,histogram_191,histogram_192,histogram_193,histogram_194,histogram_195,histogram_196,histogram_197,histogram_198,histogram_199,histogram_200,histogram_201,histogram_202,histogram_203,histogram_204,histogram_205,histogram_206,histogram_207,histogram_208,histogram_209,histogram_210,histogram_211,histogram_212,histogram_213,histogram_214,histogram_215,histogram_216,histogram_217,histogram_218,histogram_219,histogram_220,histogram_221,histogram_222,histogram_223,histogram_224,histogram_225,histogram_226,histogram_227,histogram_228,histogram_229,histogram_230,histogram_231,histogram_232,histogram_233,histogram_234,histogram_235,histogram_236,histogram_237,histogram_238,histogram_239,histogram_240,histogram_241,histogram_242,histogram_243,histogram_244,histogram_245,histogram_246,histogram_247,histogram_248,histogram_249,histogram_250,histogram_251,histogram_252,histogram_253,histogram_254,histogram_255,algorithm
file0380.py.enc,pyth_cbc,7.4578107316155675,125.11778846153847,6004.353914339867,77.487766223707,0.022999517470294283,-1.285210387049576,42131,10.063619741807234,1,3,3,4,3,3,4,2,2,2,2,1,2,2,0,0,3,2,1,3,4,1,3,0,1,2,2,1,2,1,2,1,1,1,1,0,2,1,1,5,4,1,3,1,1,1,3,1,0,1,2,2,1,1,3,4,5,1,0,1,1,1,1,1,3,2,0,0,3,5,2,0,3,0,0,3,0,2,1,2,2,2,1,3,1,2,2,3,2,0,2,1,3,2,0,2,0,1,2,1,4,1,3,1,2,1,0,0,1,1,1,0,1,1,2,3,1,2,2,0,5,4,3,3,1,2,1,1,0,2,0,1,0,0,1,1,0,2,0,1,1,0,4,0,2,1,0,0,1,1,2,2,2,1,1,3,2,1,2,0,0,1,3,0,2,3,2,0,2,2,4,1,3,0,4,0,2,1,4,0,2,0,2,0,4,1,1,1,2,1,0,3,2,1,1,4,6,2,2,2,2,5,1,2,1,0,2,1,1,3,0,1,0,1,4,3,1,0,0,1,3,0,0,1,3,0,2,0,4,1,0,2,0,4,2,0,0,1,3,4,1,2,2,5,3,1,4,1,2,0,2,1,1,1,5,1,DES
file0280.py.enc,pyth_cbc,7.9007376297185585,129.47336956521738,5517.060160385161,74.27691539358081,-0.009667762786550654,-1.2028885983187811,195449,10.306419485383644,8,6,11,4,8,6,4,8,7,7,11,6,5,6,11,6,5,8,5,13,4,6,7,6,6,5,8,7,6,6,8,5,5,3,7,8,12,10,4,3,8,8,5,7,5,3,9,7,6,7,5,7,5,6,13,6,14,5,7,15,6,9,9,4,5,10,8,9,3,6,8,4,10,9,6,5,7,8,3,10,3,4,9,5,8,7,6,9,9,7,7,7,5,10,12,8,8,2,8,10,10,9,3,11,6,8,10,10,9,6,5,7,7,8,11,7,9,5,8,14,6,9,8,6,6,7,5,6,9,7,9,4,10,9,4,4,4,3,8,10,6,9,10,12,2,8,5,5,8,5,5,3,2,8,10,9,5,7,5,8,4,12,5,9,5,6,10,6,5,8,6,7,6,10,6,2,15,5,7,10,7,7,9,6,8,5,6,8,9,8,5,4,4,7,6,7,1,9,7,9,9,6,5,4,11,5,9,7,7,14,7,16,9,9,1,7,7,5,5,9,6,10,8,4,10,6,5,13,8,13,6,4,5,11,5,3,5,10,10,6,7,6,11,10,9,12,8,9,11,4,7,8,10,8,7,6,DES
file0292.py.enc,pyth_cbc,7.9708385822071595,127.66492395437263,5461.772229747067,73.90380389226976,-0.011568304684248678,-1.2083202646387627,665495,10.268071953763046,24,17,34,23,27,25,35,18,20,22,22,26,23,22,25,25,27,28,26,27,24,24,28,21,25,23,22,27,21,18,23,21,30,18,20,28,34,29,27,29,35,32,21,23,28,21,17,21,30,21,30,23,28,23,22,19,26,24,23,33,30,30,20,25,23,30,25,22,26,18,23,23,25,27,32,30,27,27,24,22,25,20,17,16,23,29,30,20,19,28,14,21,27,24,12,24,27,22,17,34,32,26,27,26,27,19,25,26,20,24,17,19,29,19,21,33,28,22,20,30,29,17,22,16,30,33,20,28,26,25,24,26,23,27,30,26,30,17,33,17,29,21,24,23,21,12,27,25,22,29,25,14,26,26,30,27,16,31,21,29,31,22,32,23,21,26,28,27,24,31,27,27,25,22,20,33,28,22,29,23,22,29,24,22,22,24,19,35,25,24,27,19,27,25,28,22,25,26,29,24,18,25,34,27,33,23,20,26,19,35,29,27,28,25,12,21,23,24,24,29,18,25,19,18,22,31,30,34,21,29,31,24,21,28,22,21,26,15,29,44,31,26,25,19,14,17,18,24,24,20,24,27,27,18,25,31,DES
file0392.py.enc,pyth_cbc,7.980570187532517,128.5391205615194,5389.72472887151,73.41474462852479,-0.021827219985821364,-1.187214264872914,1017957,10.250561403328216,38,30,37,39,36,43,40,30,36,40,38,34,28,35,33,30,32,44,32,47,34,34,39,35,47,33,36,33,32,40,43,32,42,38,32,46,36,46,42,30,35,47,32,42,26,33,37,44,40,34,34,41,39,38,28,43,41,24,40,39,35,31,40,42,42,35,38,40,38,31,25,39,35,29,43,51,33,35,39,37,24,42,40,42,35,41,38,41,37,37,31,36,37,38,37,35,31,46,37,34,48,37,43,39,50,40,47,45,31,23,53,26,38,36,43,24,41,39,39,39,38,40,50,27,37,35,41,34,36,34,35,42,48,34,37,46,38,45,42,36,53,37,31,48,38,40,30,37,43,38,31,38,29,44,36,37,44,35,42,42,35,48,37,38,44,30,45,31,29,32,42,35,35,50,22,39,29,43,44,49,42,32,43,40,35,40,38,41,42,54,42,31,43,35,47,29,49,44,48,37,40,34,36,33,43,36,37,39,40,31,36,31,29,43,32,57,42,34,40,47,32,44,30,37,34,37,39,37,42,47,33,39,42,39,27,35,39,30,46,38,31,32,33,46,40,36,55,38,41,23,37,43,26,41,38,37,DES
file0302.py.enc,pyth_cbc,7.958627849555627,129.0390372168285,5446.386623344893,73.79963836865933,-0.033334709386672115,-1.2015182298076237,526385,10.318403845983282,16,24,20,19,13,18,22,16,24,16,15,15,18,14,17,17,19,21,23,23,17,23,18,21,23,17,26,17,17,16,21,13,24,18,22,21,25,17,19,22,18,25,12,21,21,22,15,16,13,21,13,16,19,20,15,24,14,30,17,18,17,21,10,13,15,21,22,20,15,19,19,22,23,16,19,16,21,16,18,15,26,23,17,12,14,16,22,13,17,12,26,14,15,25,23,17,22,12,17,28,26,21,17,22,17,24,20,19,16,28,14,16,29,27,28,21,19,17,20,20,27,17,22,17,23,14,16,21,13,23,16,15,15,18,25,14,21,15,15,17,23,24,14,15,19,20,14,18,23,20,15,22,18,21,22,22,12,20,19,14,23,16,21,24,17,21,14,15,22,25,29,28,23,28,26,15,22,20,17,31,12,23,17,12,9,21,23,17,19,23,15,25,24,14,20,17,18,23,6,10,16,22,20,11,29,21,27,24,26,27,17,28,23,21,24,14,19,18,15,16,16,30,23,24,16,23,19,23,19,22,21,25,12,22,15,22,13,19,29,10,24,20,26,18,21,14,21,19,18,15,24,23,12,14,17,26,DES
file0202.py.enc,pyth_cbc,7.938940747841979,126.30555555555556,5548.703593474426,74.48962070969637,-0.020917685752018047,-1.2226547423773957,317178,10.24143079661747,12,20,11,9,15,12,11,18,15,10,11,13,14,11,11,10,14,18,9,17,15,13,16,15,7,8,15,20,14,12,20,18,11,12,15,8,9,14,8,12,11,11,15,6,8,12,9,9,9,11,15,11,14,13,12,10,15,13,8,9,8,8,13,14,10,15,11,11,13,12,14,18,11,15,16,8,7,9,8,11,6,14,8,10,12,16,9,14,13,13,10,8,14,8,14,9,7,13,11,15,12,5,10,8,14,6,6,11,6,5,7,10,11,9,10,10,10,12,11,10,17,18,15,9,9,11,18,11,13,14,13,9,17,17,14,14,17,13,13,9,13,13,19,11,4,13,18,12,7,13,6,9,8,16,13,13,16,10,12,13,5,12,8,12,9,14,8,15,16,9,20,12,12,7,15,13,16,9,13,11,9,13,15,13,11,10,15,17,7,14,15,5,6,12,13,16,18,8,17,16,19,15,9,5,8,17,9,15,16,14,9,13,14,13,14,13,9,7,14,11,11,12,12,10,7,8,15,12,8,14,18,8,11,20,11,10,9,10,12,9,12,9,7,16,11,15,10,7,10,11,11,10,9,15,10,11,DES
file0361.py.enc,pyth_cbc,7.967248209688895,126.52824197860963,5511.9290152248695,74.24236671352058,0.011015317660198871,-1.2201334888419275,635897,10.308550329364849,26,29,21,17,27,30,22,29,24,18,30,20,32,16,25,30,21,28,22,17,24,29,27,18,27,18,17,32,36,29,18,18,29,15,25,22,31,21,21,25,23,16,22,37,22,15,16,20,17,19,26,24,26,25,23,29,27,26,30,23,22,33,19,31,21,18,25,28,15,26,35,17,27,29,18,36,24,22,29,34,20,23,21,26,28,21,23,28,17,19,24,27,13,24,31,27,13,18,19,34,22,26,20,19,28,20,21,22,23,24,29,18,20,25,15,29,27,14,25,31,20,17,23,14,27,27,27,15,21,24,24,18,22,17,28,23,21,30,16,17,19,29,17,22,21,21,23,29,22,28,22,26,29,19,16,21,24,24,20,27,24,29,26,17,24,27,17,20,22,20,31,25,13,21,21,20,22,25,31,31,25,21,21,28,20,23,23,23,17,24,22,24,19,23,29,22,18,20,30,25,35,25,23,19,17,32,31,29,18,18,22,27,28,26,24,27,28,25,22,20,21,26,27,26,18,33,24,27,29,23,19,18,16,20,12,24,24,25,22,18,24,23,21,20,25,26,26,23,25,20,22,23,15,24,33,18,DES
file0261.py.enc,pyth_cbc,7.979160743653398,129.06612586037366,5443.31027830471,73.77879287644052,-0.020243204064176994,-1.2030830931075986,856660,10.261214696141712,25,26,37,23,24,44,27,31,31,32,38,30,29,29,23,23,28,29,33,34,33,35,34,28,37,35,28,36,31,32,28,27,24,26,31,29,27,33,38,29,33,33,28,27,23,20,40,27,29,40,26,35,32,36,35,32,35,29,32,33,32,35,31,24,32,35,40,27,21,31,35,29,30,41,34,33,40,41,36,28,32,31,27,30,31,29,30,37,40,35,31,35,26,33,33,31,40,29,27,24,32,25,33,30,40,25,35,32,27,35,27,34,20,35,27,31,54,25,23,30,30,42,45,26,35,31,28,25,20,42,32,28,35,40,25,30,32,27,29,26,22,28,29,42,32,28,45,34,20,26,35,39,29,31,36,41,32,19,36,27,37,33,37,31,34,24,27,34,37,23,29,35,28,31,32,33,29,32,33,28,30,38,42,37,40,29,41,32,35,31,34,32,27,32,30,29,32,32,37,37,32,31,35,27,34,44,26,27,35,35,29,29,38,39,21,34,35,29,31,35,37,30,47,34,23,33,32,26,33,35,24,30,29,34,32,33,32,36,36,34,32,41,36,35,28,32,38,30,29,29,39,40,38,21,32,29,DES
file0210.py.enc,pyth_cbc,7.973477886260876,126.11727456940223,5571.800076462606,74.64449126668762,0.03436629288475039,-1.2125435488858258,823690,10.213587806766279,29,31,38,31,39,34,38,38,33,25,31,24,25,28,33,24,43,34,45,31,22,26,33,29,35,43,32,26,30,26,35,40,36,33,35,29,36,37,31,41,30,38,31,37,19,31,19,24,44,20,35,33,26,34,25,30,38,33,43,29,31,36,26,44,27,24,28,37,26,42,35,28,30,35,30,22,44,35,39,27,31,30,26,34,36,35,32,22,25,27,37,26,30,22,32,19,39,21,29,25,34,30,28,28,29,40,31,41,34,32,23,33,39,31,36,24,34,32,28,28,30,22,22,31,43,37,31,32,30,23,23,24,20,32,34,27,33,41,33,34,28,26,24,31,32,26,38,32,26,32,38,27,27,24,34,31,35,28,30,29,34,29,33,19,29,31,34,30,29,23,30,32,43,20,37,36,26,27,33,29,25,28,26,32,28,44,29,36,24,25,32,34,23,33,29,34,34,28,33,25,31,20,28,29,25,37,17,28,18,41,27,31,35,25,28,33,31,24,31,33,26,25,33,42,31,35,30,31,25,30,26,32,27,31,36,25,25,28,37,31,30,28,35,36,16,45,32,34,26,45,23,28,36,31,37,43,DES
file0310.py.enc,pyth_cbc,7.974847302656327,126.77207446808511,5418.058156334881,73.6074599231279,0.01351712403195559,-1.1980643856838276,797888,10.300588704514634,30,41,28,33,27,21,31,22,24,35,18,31,35,30,20,28,34,32,43,44,28,32,30,28,23,32,30,25,21,33,24,23,20,27,28,27,36,20,27,30,35,24,33,39,32,29,33,21,22,38,29,26,33,30,33,37,31,26,33,34,27,37,28,30,25,23,29,40,36,33,24,27,24,32,35,29,28,29,23,23,31,38,29,35,31,25,30,34,37,23,28,29,35,39,27,25,30,31,28,36,35,28,22,39,28,33,23,34,27,31,28,28,20,38,33,35,42,32,32,29,34,32,29,23,27,28,39,27,27,27,33,32,24,32,26,20,36,29,32,25,28,25,23,22,25,29,41,22,35,28,34,32,30,30,25,24,20,22,30,36,29,32,24,34,30,25,35,29,28,23,34,34,28,25,18,25,28,27,20,24,30,35,30,28,40,30,28,23,30,20,32,42,26,24,39,35,27,33,24,32,41,25,23,31,31,34,35,22,37,36,21,32,24,28,35,30,25,27,29,31,25,32,28,18,30,23,31,38,29,40,29,26,34,32,37,31,30,19,35,30,32,31,20,26,25,24,39,19,35,23,24,34,21,31,31,19,DES
