file_name,format,entropy,mean,variance,std_dev,skewness,kurtosis,energy,rms,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,histogram_11,histogram_12,histogram_13,histogram_14,histogram_15,histogram_16,histogram_17,histogram_18,histogram_19,histogram_20,histogram_21,histogram_22,histogram_23,histogram_24,histogram_25,histogram_26,histogram_27,histogram_28,histogram_29,histogram_30,histogram_31,histogram_32,histogram_33,histogram_34,histogram_35,histogram_36,histogram_37,histogram_38,histogram_39,histogram_40,histogram_41,histogram_42,histogram_43,histogram_44,histogram_45,histogram_46,histogram_47,histogram_48,histogram_49,histogram_50,histogram_51,histogram_52,histogram_53,histogram_54,histogram_55,histogram_56,histogram_57,histogram_58,histogram_59,histogram_60,histogram_61,histogram_62,histogram_63,histogram_64,histogram_65,histogram_66,histogram_67,histogram_68,histogram_69,histogram_70,histogram_71,histogram_72,histogram_73,histogram_74,histogram_75,histogram_76,histogram_77,histogram_78,histogram_79,histogram_80,histogram_81,histogram_82,histogram_83,histogram_84,histogram_85,histogram_86,histogram_87,histogram_88,histogram_89,histogram_90,histogram_91,histogram_92,histogram_93,histogram_94,histogram_95,histogram_96,histogram_97,histogram_98,histogram_99,histogram_100,histogram_101,histogram_102,histogram_103,histogram_104,histogram_105,histogram_106,histogram_107,histogram_108,histogram_109,histogram_110,histogram_111,histogram_112,histogram_113,histogram_114,histogram_115,histogram_116,histogram_117,histogram_118,histogram_119,histogram_120,histogram_121,histogram_122,histogram_123,histogram_124,histogram_125,histogram_126,histogram_127,histogram_128,histogram_129,histogram_130,histogram_131,histogram_132,histogram_133,histogram_134,histogram_135,histogram_136,histogram_137,histogram_138,histogram_139,histogram_140,histogram_141,histogram_142,histogram_143,histogram_144,histogram_145,histogram_146,histogram_147,histogram_148,histogram_149,histogram_150,histogram_151,histogram_152,histogram_153,histogram_154,histogram_155,histogram_156,histogram_157,histogram_158,histogram_159,histogram_160,histogram_161,histogram_162,histogram_163,histogram_164,histogram_165,histogram_166,histogram_167,histogram_168,histogram_169,histogram_170,histogram_171,histogram_172,histogram_173,histogram_174,histogram_175,histogram_176,histogram_177,histogram_178,histogram_179,histogram_180,histogram_181,histogram_182,histogram_183,histogram_184,histogram_185,histogram_186,histogram_187,histogram_188,histogram_189,histogram_190,histogram_191,histogram_192,histogram_193,histogram_194,histogram_195,histogram_196,histogram_197,histogram_198,histogram_199,histogram_200,histogram_201,histogram_202,histogram_203,histogram_204,histogram_205,histogram_206,histogram_207,histogram_208,histogram_209,histogram_210,histogram_211,histogram_212,histogram_213,histogram_214,histogram_215,histogram_216,histogram_217,histogram_218,histogram_219,histogram_220,histogram_221,histogram_222,histogram_223,histogram_224,histogram_225,histogram_226,histogram_227,histogram_228,histogram_229,histogram_230,histogram_231,histogram_232,histogram_233,histogram_234,histogram_235,histogram_236,histogram_237,histogram_238,histogram_239,histogram_240,histogram_241,histogram_242,histogram_243,histogram_244,histogram_245,histogram_246,histogram_247,histogram_248,histogram_249,histogram_250,histogram_251,histogram_252,histogram_253,histogram_254,histogram_255,algorithm
file0298.txt.enc,txt_cbc,7.940731035716667,125.71381578947368,5459.875993334487,73.89097369323595,0.03651102096105549,-1.2013917659594693,326424,10.362254377763252,11,12,16,12,12,13,13,14,16,10,12,11,12,8,12,12,12,15,6,12,10,12,14,15,10,15,12,16,8,17,16,5,12,12,7,7,12,17,10,9,18,12,15,16,18,12,15,14,9,8,14,12,8,4,10,18,11,10,9,8,7,7,10,18,12,15,20,12,11,14,11,16,16,13,12,15,13,10,12,18,12,16,8,12,13,14,11,12,14,20,13,10,14,13,12,14,12,11,13,9,13,16,15,6,15,14,12,9,8,10,16,9,11,12,17,9,15,12,14,10,9,15,14,14,7,11,6,11,17,8,7,11,6,5,7,13,10,11,14,8,13,17,19,13,11,15,10,11,13,16,11,10,10,10,14,6,13,16,7,13,8,17,11,10,6,12,11,15,20,10,11,11,12,18,6,9,16,9,17,14,11,5,11,10,8,14,7,5,16,12,13,13,15,7,13,10,16,16,11,13,9,10,13,12,10,9,14,10,11,7,17,13,9,10,15,8,15,10,14,9,12,12,11,12,8,15,18,11,6,9,11,16,21,5,15,11,12,9,11,9,10,5,18,20,11,11,6,11,12,9,14,15,12,10,10,10,DES
file0288.txt.enc,txt_cbc,7.977198199934567,125.36653386454184,5318.196828224948,72.92596813361443,0.040341661291508776,-1.1782196676149421,850948,10.29294521094608,23,28,32,28,29,41,29,33,39,21,26,34,35,22,27,30,29,28,35,28,40,34,35,32,35,29,43,26,29,37,28,42,23,22,30,41,33,32,26,30,44,39,32,35,35,35,32,38,38,20,33,26,45,22,27,24,23,37,38,34,28,39,32,35,36,37,26,35,31,28,42,39,26,34,28,30,39,36,36,34,32,39,28,31,38,40,38,21,34,37,26,28,23,33,28,37,27,33,39,42,33,27,35,25,29,40,25,33,32,38,19,33,40,35,34,32,31,31,30,41,31,28,32,37,38,34,34,41,22,30,23,39,32,31,28,32,29,28,38,32,31,33,28,37,35,27,28,35,32,36,33,34,28,39,26,37,35,30,36,34,29,34,26,20,27,35,34,27,30,34,27,21,32,30,28,29,36,38,37,25,32,30,33,41,32,27,30,30,30,35,28,17,35,29,37,25,28,33,41,32,25,28,37,35,23,29,30,32,31,34,34,30,29,43,22,29,26,36,27,26,32,35,27,35,28,28,21,26,37,31,39,28,21,28,27,29,20,27,31,32,27,24,40,22,25,30,35,34,26,32,23,32,33,20,19,36,DES
file0221.txt.enc,txt_cbc,7.974307939856228,127.07121128318585,5462.334668997395,73.90760900609216,0.01566457662758683,-1.1999605428321345,760659,10.255711499590452,29,22,39,27,19,33,27,27,30,24,24,31,22,25,28,30,24,29,27,29,28,33,30,29,24,35,27,36,24,17,27,24,31,34,30,20,31,34,35,31,40,28,38,27,29,31,24,31,32,29,37,23,32,30,27,29,34,32,29,25,29,20,34,26,23,34,24,32,29,26,21,23,35,25,34,19,24,28,19,35,39,32,25,28,34,23,29,19,38,27,32,23,31,19,34,27,32,22,31,25,28,31,31,35,30,32,23,31,35,30,20,23,32,30,25,21,48,23,26,22,26,27,19,36,30,23,27,37,25,29,19,28,32,22,31,25,25,23,24,27,35,30,24,29,28,25,27,34,22,43,41,26,19,31,24,26,34,21,29,26,33,32,26,31,20,35,34,23,32,23,30,27,23,32,26,23,34,30,23,38,23,27,26,28,26,27,20,36,36,27,35,35,33,29,25,41,19,27,33,31,30,35,22,24,29,24,25,31,34,29,27,27,23,21,28,20,32,22,22,27,27,35,36,18,31,28,34,29,24,26,27,22,30,25,38,19,19,21,21,23,28,27,21,24,25,29,36,33,33,39,28,29,33,29,35,31,DES
file0359.txt.enc,txt_cbc,7.965400716150086,128.0978629579376,5546.682587020568,74.47605378254522,-0.0063365451986081055,-1.2145250020083134,619073,10.246892834142932,20,19,21,29,29,27,20,21,17,28,27,31,21,29,26,16,25,19,20,11,27,24,26,24,36,18,19,25,27,14,12,19,21,24,26,24,19,30,21,21,22,23,31,21,28,26,20,24,32,28,24,25,13,25,22,25,22,23,25,22,16,16,38,25,27,22,27,18,21,24,17,18,26,20,19,32,31,25,24,26,16,35,14,15,24,17,21,24,23,11,19,28,21,23,33,28,21,18,24,23,25,21,23,19,29,20,23,24,23,19,22,18,19,21,19,18,24,26,18,23,26,22,15,28,18,24,24,28,18,19,33,21,21,18,24,21,24,23,21,26,25,26,31,15,19,24,23,25,21,21,24,27,22,16,27,20,21,28,25,30,28,17,26,24,22,17,17,22,17,23,13,22,22,16,33,18,28,18,24,25,19,15,25,32,30,20,20,28,31,35,24,24,21,27,20,24,24,22,24,22,11,35,33,29,29,22,19,24,28,22,25,39,14,14,19,16,25,17,20,19,20,22,23,23,28,22,23,18,18,23,28,24,22,18,28,16,24,30,27,17,23,26,20,30,24,20,21,28,22,30,22,32,18,29,33,23,DES
file0231.txt.enc,txt_cbc,7.92715132035153,129.05589788732394,5675.146963454362,75.33357129098793,-0.016071940342075756,-1.2442308032293306,242643,10.334267998771008,7,14,4,7,8,13,8,14,8,10,4,9,12,12,8,9,8,5,7,12,6,12,10,7,14,8,8,6,10,11,16,8,8,11,5,8,10,10,5,9,12,10,7,3,12,5,11,8,6,11,8,8,8,11,12,7,8,5,15,10,6,9,14,12,8,5,9,8,8,8,10,9,8,9,8,11,9,8,6,5,8,12,10,8,16,7,7,8,9,10,10,5,8,12,11,12,8,11,9,8,6,8,12,9,1,5,11,7,4,9,5,7,6,7,7,8,8,10,11,6,9,5,10,7,9,10,6,9,7,8,6,13,9,11,9,8,6,7,11,12,12,10,4,4,9,9,8,9,8,10,14,8,8,5,13,17,14,9,8,8,8,7,9,9,9,7,8,12,9,7,11,13,9,10,7,4,5,4,19,8,7,7,9,5,6,10,8,6,6,12,7,7,7,8,9,8,5,6,6,6,10,13,9,4,11,7,7,10,12,10,12,6,7,11,7,11,4,7,9,16,10,9,10,14,12,10,9,6,16,10,11,10,9,15,14,11,8,10,8,10,6,9,7,14,8,14,11,15,9,8,11,12,7,4,9,10,DES
file0349.txt.enc,txt_cbc,7.917358341139244,128.4907587548638,5432.676957400945,73.70669547199186,-0.02536371566071857,-1.187017882445862,214303,10.209455257441334,7,10,6,11,6,6,13,9,13,5,8,8,4,8,8,3,7,12,8,5,5,9,10,10,7,8,5,3,9,7,14,9,9,13,7,5,7,10,4,7,8,12,7,8,6,7,8,5,5,5,4,9,9,11,10,11,10,7,8,5,11,6,12,7,9,8,8,10,8,6,7,6,9,3,8,8,12,7,11,4,9,5,6,5,2,8,9,4,9,8,14,10,7,14,9,7,8,7,6,6,8,10,8,7,6,11,7,7,10,8,12,11,8,8,14,6,9,8,12,8,9,4,10,5,6,10,11,4,8,7,6,6,9,6,7,5,9,13,8,10,11,3,9,7,7,8,10,6,11,8,1,8,4,6,8,11,4,11,10,7,4,5,11,9,5,5,2,9,12,6,10,13,14,10,11,9,7,9,10,6,12,9,8,6,11,5,11,12,8,8,19,10,5,11,6,9,10,9,11,5,8,9,12,8,5,8,10,6,12,8,12,8,8,5,7,7,7,7,5,5,6,6,4,8,4,7,6,5,8,9,13,10,8,8,8,6,8,13,9,4,5,10,8,3,10,10,11,10,5,7,6,11,11,12,8,6,DES
file0243.txt.enc,txt_cbc,7.969748386773809,128.84115853658537,5498.813793779745,74.15398703899706,-0.004751289912360492,-1.2036324675863936,676668,10.156308864744984,25,22,25,26,20,20,19,24,15,31,26,22,20,27,21,34,22,28,24,27,26,32,27,24,30,20,28,30,31,22,25,24,28,26,25,23,32,32,24,24,19,34,25,24,21,25,32,23,34,22,26,34,21,24,28,27,28,21,22,20,25,25,21,23,27,27,31,20,30,22,22,22,22,13,25,19,26,28,19,34,20,34,16,30,23,18,32,31,19,22,28,25,38,28,29,25,29,24,35,27,19,22,27,23,27,30,20,24,26,22,24,22,29,24,31,29,21,22,24,24,39,31,31,31,25,21,29,21,29,22,23,25,29,24,26,24,26,33,32,34,20,22,20,17,30,17,24,36,18,18,17,31,30,24,19,29,24,21,29,26,30,37,33,29,29,23,27,24,21,22,19,28,17,24,22,15,25,37,31,26,23,23,31,22,23,26,35,18,23,18,26,31,34,24,24,25,25,45,25,33,27,23,29,15,25,21,23,21,20,26,25,14,18,21,23,31,21,31,24,37,32,31,21,26,24,28,18,25,27,19,32,24,35,22,25,32,27,14,31,33,30,30,26,29,27,21,32,24,30,32,34,22,27,38,18,34,DES
file0253.txt.enc,txt_cbc,7.977641658311974,126.40442631058357,5372.472072395906,73.29714914235005,0.014796678788768246,-1.1733230153292804,857081,10.29414692579101,27,29,26,27,35,26,38,28,35,34,39,38,35,28,24,36,39,36,32,32,26,37,27,33,30,24,24,36,44,33,29,36,26,36,31,36,31,34,26,36,31,24,29,30,32,48,38,33,30,26,32,32,47,30,27,25,26,31,37,31,26,34,33,38,29,26,28,32,30,34,39,25,25,24,31,31,28,44,32,34,28,37,35,22,24,31,19,31,31,30,30,38,39,46,25,29,35,37,27,31,34,31,36,29,29,23,41,36,46,30,28,30,40,43,34,28,33,33,38,33,24,21,28,30,34,23,37,21,34,38,25,41,42,32,30,30,34,34,35,33,31,33,32,27,30,37,32,34,29,42,33,33,33,30,42,35,30,32,39,37,21,29,33,30,29,43,20,42,41,30,28,29,33,30,31,39,35,34,35,36,30,40,33,33,24,31,23,24,25,36,49,27,41,32,33,29,39,33,27,32,38,31,31,26,23,36,33,29,30,25,24,30,23,23,30,39,29,29,26,31,22,24,22,33,29,28,33,26,26,23,32,35,25,31,29,30,27,28,29,29,31,34,33,40,37,42,29,31,21,31,38,35,22,30,29,31,DES
file0382.txt.enc,txt_cbc,7.974782969680187,128.2342012133468,5484.081019356884,74.0545813529243,-0.009120860179188945,-1.2053740669459487,836883,10.284643297918485,31,37,34,27,30,31,32,28,29,31,32,31,24,39,34,31,31,22,29,32,34,23,23,20,27,35,30,39,35,36,38,23,26,30,37,32,25,23,32,24,24,29,29,24,36,41,37,34,21,34,30,39,35,29,31,24,20,37,28,32,32,34,34,33,29,31,42,24,33,37,31,36,27,30,27,30,29,40,36,36,32,25,33,34,29,33,34,35,20,35,30,29,28,25,22,34,27,44,24,24,25,31,33,23,32,34,35,33,32,31,30,24,33,28,27,40,35,33,33,25,38,32,35,20,26,24,39,38,38,14,40,31,27,33,32,34,22,25,34,28,32,38,32,29,31,27,27,42,28,30,25,19,34,28,23,33,34,30,30,27,29,23,15,40,36,25,35,19,38,32,25,39,35,34,24,31,39,37,37,31,34,32,40,39,35,29,34,24,33,22,35,38,33,35,33,23,24,26,30,28,39,24,38,19,35,31,30,46,36,33,31,27,27,26,35,25,28,34,24,32,39,35,46,27,29,30,36,28,24,22,23,43,32,18,39,34,42,29,27,27,34,26,39,31,32,33,26,33,29,36,43,30,30,37,31,26,DES
file0392.txt.enc,txt_cbc,7.944297772905784,124.53876201923077,5325.8374398135575,72.97833541410462,0.05599616886132631,-1.1657227886501418,346529,10.204180539404877,11,23,15,10,11,15,12,14,15,18,9,9,11,14,11,9,15,13,18,9,8,13,13,13,15,9,16,8,11,8,13,16,14,22,16,13,14,13,6,15,19,12,14,15,14,15,16,10,19,15,13,13,28,13,13,17,14,15,13,16,12,13,10,7,7,17,9,14,16,9,15,8,8,13,17,18,16,19,8,8,9,19,14,16,9,15,15,12,17,16,8,9,19,13,16,13,14,13,17,19,18,11,14,12,11,8,16,15,19,13,18,16,9,14,11,13,11,13,6,17,20,12,8,13,12,15,12,14,13,13,22,12,17,13,14,15,13,11,7,15,15,11,13,16,13,7,12,17,14,20,7,11,23,16,12,13,13,20,12,17,20,13,12,15,9,11,17,9,10,14,11,18,15,10,7,12,9,8,9,11,13,12,16,12,15,7,12,8,9,13,18,9,10,22,9,11,12,9,11,11,17,8,13,8,13,10,19,12,13,15,13,9,9,12,13,7,13,12,10,15,12,13,13,14,13,10,9,16,14,12,11,19,17,13,13,11,17,17,12,10,9,6,15,7,14,15,9,5,15,11,13,10,11,9,11,15,DES
