file_name,format,entropy,mean,variance,std_dev,skewness,kurtosis,energy,rms,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,histogram_11,histogram_12,histogram_13,histogram_14,histogram_15,histogram_16,histogram_17,histogram_18,histogram_19,histogram_20,histogram_21,histogram_22,histogram_23,histogram_24,histogram_25,histogram_26,histogram_27,histogram_28,histogram_29,histogram_30,histogram_31,histogram_32,histogram_33,histogram_34,histogram_35,histogram_36,histogram_37,histogram_38,histogram_39,histogram_40,histogram_41,histogram_42,histogram_43,histogram_44,histogram_45,histogram_46,histogram_47,histogram_48,histogram_49,histogram_50,histogram_51,histogram_52,histogram_53,histogram_54,histogram_55,histogram_56,histogram_57,histogram_58,histogram_59,histogram_60,histogram_61,histogram_62,histogram_63,histogram_64,histogram_65,histogram_66,histogram_67,histogram_68,histogram_69,histogram_70,histogram_71,histogram_72,histogram_73,histogram_74,histogram_75,histogram_76,histogram_77,histogram_78,histogram_79,histogram_80,histogram_81,histogram_82,histogram_83,histogram_84,histogram_85,histogram_86,histogram_87,histogram_88,histogram_89,histogram_90,histogram_91,histogram_92,histogram_93,histogram_94,histogram_95,histogram_96,histogram_97,histogram_98,histogram_99,histogram_100,histogram_101,histogram_102,histogram_103,histogram_104,histogram_105,histogram_106,histogram_107,histogram_108,histogram_109,histogram_110,histogram_111,histogram_112,histogram_113,histogram_114,histogram_115,histogram_116,histogram_117,histogram_118,histogram_119,histogram_120,histogram_121,histogram_122,histogram_123,histogram_124,histogram_125,histogram_126,histogram_127,histogram_128,histogram_129,histogram_130,histogram_131,histogram_132,histogram_133,histogram_134,histogram_135,histogram_136,histogram_137,histogram_138,histogram_139,histogram_140,histogram_141,histogram_142,histogram_143,histogram_144,histogram_145,histogram_146,histogram_147,histogram_148,histogram_149,histogram_150,histogram_151,histogram_152,histogram_153,histogram_154,histogram_155,histogram_156,histogram_157,histogram_158,histogram_159,histogram_160,histogram_161,histogram_162,histogram_163,histogram_164,histogram_165,histogram_166,histogram_167,histogram_168,histogram_169,histogram_170,histogram_171,histogram_172,histogram_173,histogram_174,histogram_175,histogram_176,histogram_177,histogram_178,histogram_179,histogram_180,histogram_181,histogram_182,histogram_183,histogram_184,histogram_185,histogram_186,histogram_187,histogram_188,histogram_189,histogram_190,histogram_191,histogram_192,histogram_193,histogram_194,histogram_195,histogram_196,histogram_197,histogram_198,histogram_199,histogram_200,histogram_201,histogram_202,histogram_203,histogram_204,histogram_205,histogram_206,histogram_207,histogram_208,histogram_209,histogram_210,histogram_211,histogram_212,histogram_213,histogram_214,histogram_215,histogram_216,histogram_217,histogram_218,histogram_219,histogram_220,histogram_221,histogram_222,histogram_223,histogram_224,histogram_225,histogram_226,histogram_227,histogram_228,histogram_229,histogram_230,histogram_231,histogram_232,histogram_233,histogram_234,histogram_235,histogram_236,histogram_237,histogram_238,histogram_239,histogram_240,histogram_241,histogram_242,histogram_243,histogram_244,histogram_245,histogram_246,histogram_247,histogram_248,histogram_249,histogram_250,histogram_251,histogram_252,histogram_253,histogram_254,histogram_255,algorithm
file0380.py.enc,pyth_cbc,7.975430403071106,128.42064606741573,5389.583309694956,73.41378146979596,-0.025904868913012958,-1.1849189846346617,747957,10.249397077362072,34,27,36,18,24,24,28,30,19,39,28,30,23,25,28,26,23,23,22,31,17,32,30,30,31,33,21,30,28,32,22,26,29,38,29,23,35,22,20,20,29,18,31,26,24,32,30,19,21,22,34,21,26,19,22,24,20,29,34,35,34,26,28,22,24,33,34,26,36,28,43,25,24,33,27,24,33,27,26,19,22,30,32,25,19,28,28,33,29,24,34,29,27,24,30,25,34,30,19,27,24,29,34,24,39,25,26,32,23,20,20,21,35,28,33,28,25,24,36,28,24,40,33,36,30,28,32,30,25,26,18,28,32,28,32,34,23,24,31,23,27,22,26,28,28,26,28,37,27,33,26,29,34,33,31,22,33,26,31,29,18,27,30,25,26,29,31,29,24,25,36,21,24,25,32,20,26,32,33,32,25,30,27,32,33,28,25,20,23,38,28,23,25,32,35,44,24,34,30,33,31,25,27,36,25,23,34,28,32,34,24,36,27,27,27,27,34,32,27,35,33,28,32,31,27,20,31,30,17,19,30,32,24,24,29,30,18,24,27,23,24,21,22,36,27,20,34,23,31,23,32,24,29,30,30,30,DES
file0666.py.enc,pyth_cbc,7.956038091517359,129.48271276595744,5503.419913917497,74.1850383427649,-0.014317309472467852,-1.2026080667198873,465286,10.154895231518667,25,18,17,27,10,15,9,22,18,13,18,17,16,18,17,9,21,9,20,20,14,19,16,16,15,17,12,15,23,15,16,19,25,18,12,12,15,19,12,12,18,19,17,25,13,15,24,10,16,21,14,12,14,20,19,20,17,20,21,17,18,16,16,13,17,22,21,16,20,20,15,17,8,23,23,20,11,11,24,21,19,21,18,9,15,19,12,18,26,21,17,18,25,19,18,13,18,20,12,15,26,9,18,16,23,18,20,21,21,18,19,15,21,20,13,17,15,26,19,16,26,23,22,11,13,20,15,16,16,23,18,26,24,11,19,17,12,17,15,14,24,14,17,19,11,25,10,25,21,20,19,26,13,26,13,12,18,14,9,18,17,13,15,13,18,15,10,19,15,20,15,17,16,12,14,13,13,19,14,15,18,20,15,17,20,18,17,17,18,13,20,15,11,13,24,19,12,20,16,19,20,15,24,17,18,19,18,18,9,23,16,14,25,31,22,19,18,12,25,22,14,23,17,20,26,13,13,22,21,12,27,27,25,16,19,22,15,18,16,18,14,18,18,21,22,16,14,14,21,19,19,25,21,16,20,19,DES
file0605.py.enc,pyth_cbc,7.976591403289608,128.05266138165345,5496.7766718524945,74.14025001207168,-0.00812418851443,-1.22670999337924,749250,10.29883334606016,18,26,22,19,22,21,31,31,30,27,32,28,24,24,27,26,34,26,26,28,30,33,33,27,30,30,28,36,28,36,32,27,27,31,31,22,25,27,23,29,23,28,25,29,25,28,27,27,29,37,31,30,27,23,28,30,41,39,29,36,30,22,28,29,31,19,36,25,26,18,29,23,24,34,18,28,27,20,32,29,19,28,33,27,30,27,18,18,26,22,31,29,26,23,28,24,24,27,18,37,28,28,34,29,23,23,22,33,37,32,23,25,23,27,32,24,26,30,26,18,28,35,23,31,21,25,28,26,31,17,30,26,29,21,29,38,31,28,22,25,22,23,29,23,23,28,32,29,18,24,35,25,28,29,30,26,26,35,25,41,22,25,29,26,30,24,25,28,26,28,23,21,22,27,26,30,28,25,23,43,30,30,28,36,29,27,28,24,33,28,31,36,29,30,23,23,23,27,39,26,32,30,38,26,33,20,28,29,27,24,27,39,28,23,14,36,27,21,31,37,32,30,26,34,30,30,23,25,21,32,36,21,24,22,26,20,32,28,28,34,30,19,36,37,24,28,31,27,27,32,22,24,24,31,32,25,DES
file0705.py.enc,pyth_cbc,7.938930150337418,127.6005291005291,5368.043465328518,73.26693295975012,-0.0040039702176864825,-1.1741742174926586,319718,10.28235633752555,10,12,13,15,14,9,10,8,15,11,17,8,8,15,9,11,15,12,14,10,13,12,5,8,14,21,6,7,7,8,9,18,19,12,11,13,8,10,12,8,13,11,7,12,11,12,13,11,12,10,18,16,12,12,13,9,14,10,11,14,8,6,7,11,18,11,10,18,10,17,16,6,18,12,14,10,11,6,11,13,15,11,8,18,8,10,9,11,12,10,15,19,18,13,12,10,12,14,6,9,10,10,10,7,14,12,15,19,9,10,7,12,14,5,13,16,16,10,12,11,16,10,15,15,17,13,11,10,16,7,6,14,12,13,10,11,8,11,14,14,19,14,13,18,9,10,9,6,11,13,12,14,17,17,14,15,14,11,15,12,12,14,9,17,15,7,11,12,9,14,11,13,12,18,7,16,7,11,7,11,6,9,11,7,13,18,18,19,17,9,11,12,13,9,7,11,7,15,7,14,9,6,14,8,12,10,10,17,10,11,10,11,14,10,12,12,14,9,17,14,15,10,19,8,8,11,16,11,9,8,19,12,8,10,16,10,9,10,22,9,10,15,7,13,8,13,10,13,10,15,14,7,7,13,10,14,DES
file0678.py.enc,pyth_cbc,7.956175529740795,128.20551689860835,5300.127991432617,72.80197793626638,-0.010065104071243473,-1.1708386876014663,426765,10.298296969748794,12,14,14,12,18,11,15,12,8,18,12,13,17,17,23,19,17,11,15,19,8,13,19,10,20,15,17,13,10,13,14,23,16,15,17,18,16,8,19,12,13,11,18,18,15,16,21,21,20,16,17,11,21,17,17,21,11,13,14,9,21,11,14,19,17,9,18,11,16,16,17,15,10,18,13,19,11,20,14,16,21,12,19,10,16,17,14,17,13,14,17,19,17,20,12,11,11,11,20,10,14,19,13,14,23,15,18,22,13,23,12,19,16,18,21,20,14,22,15,11,23,13,20,17,16,16,11,13,20,16,21,16,14,14,17,15,20,16,20,15,19,14,20,9,12,16,25,21,12,17,17,14,20,15,17,10,20,20,17,12,23,17,21,21,12,15,15,15,20,15,12,18,13,12,20,13,15,17,12,9,20,23,12,18,17,12,16,13,10,16,20,14,14,17,16,16,16,20,25,22,11,13,11,18,13,13,9,18,16,13,20,11,19,15,10,17,21,15,26,16,17,12,17,15,12,16,13,11,7,13,21,21,22,15,19,11,26,10,14,22,13,12,17,14,17,15,12,9,20,15,13,17,18,17,15,8,DES
file0709.py.enc,pyth_cbc,7.893735930656896,129.89126016260164,5401.65890735508,73.49597885160168,-0.03846651031499853,-1.1971238412020608,206528,10.24417343814982,6,7,8,5,12,3,3,3,8,11,9,5,9,9,4,6,11,6,6,8,5,9,10,9,2,7,11,9,11,7,8,4,10,6,8,9,8,9,6,4,5,11,6,8,7,11,5,9,9,5,6,6,7,5,8,8,4,7,9,8,6,8,3,13,4,10,20,8,12,7,6,7,4,4,12,5,6,6,4,5,6,9,7,5,7,10,14,4,10,7,8,7,6,9,9,7,5,6,11,7,11,10,7,9,10,6,11,9,7,5,2,6,7,7,7,9,6,4,4,8,4,6,4,10,10,14,16,9,3,8,11,10,10,7,12,10,8,6,10,4,6,2,10,8,6,2,10,8,7,5,11,8,6,6,16,13,8,11,8,8,5,10,6,9,9,6,3,9,11,7,12,6,3,6,13,7,6,13,10,6,6,5,7,6,7,8,9,5,6,4,10,5,11,5,10,5,10,6,8,7,11,9,11,9,4,3,10,9,4,11,10,2,12,16,6,7,3,12,10,8,6,11,18,6,6,8,10,14,7,6,6,7,7,8,3,9,12,9,6,10,5,7,12,6,5,8,3,13,6,8,9,8,5,11,10,4,DES
file0609.py.enc,pyth_cbc,7.953914992797926,127.62851239669422,5425.721501092821,73.6594970190051,0.0008606287012160257,-1.1852192106143769,514472,10.30998873755908,24,15,16,14,16,21,22,21,19,17,24,16,19,17,15,18,21,26,28,18,20,18,18,15,28,6,22,14,14,21,19,13,14,21,12,14,26,16,25,11,13,16,23,23,15,17,18,18,17,12,14,31,17,34,18,26,25,21,17,19,25,24,16,22,23,10,31,20,16,24,19,20,17,17,21,18,12,9,16,17,14,28,10,14,16,26,23,22,14,18,17,25,15,14,18,18,12,24,22,15,19,25,12,23,17,26,17,17,23,19,18,14,19,18,15,19,26,20,21,27,16,20,22,13,24,23,21,12,23,22,18,15,19,14,19,22,19,18,16,16,15,15,19,26,18,12,30,22,23,29,19,15,19,21,14,16,22,24,19,10,18,22,24,19,20,20,24,20,14,18,11,25,18,25,18,16,16,27,19,22,20,25,19,19,21,15,15,21,22,25,19,17,9,20,12,18,28,19,10,15,15,18,11,20,27,17,17,16,22,18,21,26,17,14,25,18,14,27,14,20,18,22,20,14,21,21,16,12,8,17,19,18,28,16,20,17,18,19,18,27,15,23,22,10,15,21,19,23,19,10,22,18,19,22,33,13,DES
file0674.py.enc,pyth_cbc,7.975598396298052,127.09454191033139,5496.360457538693,74.13744301996591,0.017347117166704645,-1.207494968867419,862296,10.249661241014532,28,31,27,35,36,30,30,37,27,36,31,35,32,30,31,36,22,40,33,36,20,28,27,33,23,40,39,47,27,39,37,42,48,26,31,31,20,32,42,33,34,30,28,38,27,32,44,25,22,33,40,33,34,29,28,40,35,42,32,28,22,34,32,30,42,37,27,27,40,24,35,37,22,30,25,34,22,38,30,35,38,28,24,38,25,39,23,34,36,37,23,30,41,34,34,31,42,32,27,35,28,27,36,31,35,33,32,27,27,35,35,32,46,35,39,35,31,25,40,22,24,28,43,34,30,21,35,30,36,33,29,38,32,27,39,29,35,44,19,35,31,34,36,27,23,32,40,37,24,33,32,39,43,27,32,39,40,35,31,32,31,33,28,38,27,28,20,20,27,28,22,36,32,37,25,28,22,29,32,28,38,27,32,33,34,39,28,34,23,30,39,20,38,23,27,29,34,32,27,34,27,35,35,31,27,28,31,41,37,31,24,34,27,44,28,29,24,31,46,31,28,38,28,39,33,28,23,36,32,34,46,37,39,37,32,29,39,29,29,30,35,31,34,21,32,36,32,35,32,36,29,30,36,30,25,40,DES
file0392.py.enc,pyth_cbc,7.938558808771536,126.3277397260274,5389.490189411709,73.4131472517812,0.01676765979587702,-1.1574961243818225,308165,10.27306959501928,12,11,16,10,8,17,10,18,10,7,10,7,13,16,8,17,9,16,11,13,11,12,14,14,15,7,10,13,8,12,8,13,8,7,10,19,10,18,12,9,17,9,10,12,13,11,12,6,9,11,7,7,10,13,3,10,9,14,9,12,15,11,15,12,12,9,11,10,9,19,16,7,10,10,15,6,13,12,15,14,14,9,10,12,11,17,16,10,10,7,9,7,16,11,17,13,7,9,3,12,8,12,11,6,13,13,15,11,13,10,9,14,8,18,14,12,13,14,11,13,13,11,14,14,9,7,15,10,14,13,13,18,10,16,15,13,17,17,8,14,12,15,17,15,14,16,10,8,11,12,14,8,9,9,15,12,5,7,7,12,16,16,11,11,8,9,16,8,10,14,7,12,12,15,7,11,12,10,11,7,7,14,12,19,15,8,8,10,12,18,10,11,9,6,6,9,9,9,11,9,9,13,10,9,10,14,18,14,11,14,10,12,12,17,7,11,9,14,12,10,12,13,10,9,19,7,6,10,9,3,15,7,15,11,11,7,10,5,11,11,9,10,14,10,10,15,10,15,11,8,12,11,9,19,12,12,DES
file0717.py.enc,pyth_cbc,7.957225086114488,127.76175040518639,5468.6280021224675,73.95017242794277,0.020444228415061057,-1.19523375633867,514836,10.21284823365941,10,24,21,20,19,14,18,25,21,17,24,16,16,13,15,19,16,11,15,21,28,18,23,32,18,15,20,13,20,14,15,20,20,18,14,24,22,8,19,23,23,18,14,17,26,20,24,23,20,19,22,19,19,25,15,25,23,27,20,17,24,23,11,21,26,15,23,22,22,14,19,19,21,19,19,23,18,12,19,20,11,24,22,20,22,15,23,16,21,21,22,19,25,17,22,5,18,22,11,21,22,21,21,19,24,18,18,19,15,19,25,23,21,28,12,19,12,19,29,30,22,16,22,25,16,21,16,15,20,15,23,18,14,17,21,21,23,17,14,17,21,14,14,17,23,14,18,25,26,18,24,19,17,23,15,24,33,24,15,10,21,18,16,16,19,21,20,9,13,15,17,31,21,9,20,11,22,23,21,13,14,27,18,20,18,28,13,15,18,22,23,19,20,21,19,18,27,29,25,16,17,16,10,14,20,24,20,15,12,17,25,22,15,17,20,17,17,14,24,21,20,19,22,21,20,13,20,9,28,15,15,16,22,14,18,14,19,17,20,18,17,17,22,23,27,25,28,16,20,21,27,23,26,16,17,25,DES
