file_name,format,entropy,mean,variance,std_dev,skewness,kurtosis,energy,rms,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,histogram_11,histogram_12,histogram_13,histogram_14,histogram_15,histogram_16,histogram_17,histogram_18,histogram_19,histogram_20,histogram_21,histogram_22,histogram_23,histogram_24,histogram_25,histogram_26,histogram_27,histogram_28,histogram_29,histogram_30,histogram_31,histogram_32,histogram_33,histogram_34,histogram_35,histogram_36,histogram_37,histogram_38,histogram_39,histogram_40,histogram_41,histogram_42,histogram_43,histogram_44,histogram_45,histogram_46,histogram_47,histogram_48,histogram_49,histogram_50,histogram_51,histogram_52,histogram_53,histogram_54,histogram_55,histogram_56,histogram_57,histogram_58,histogram_59,histogram_60,histogram_61,histogram_62,histogram_63,histogram_64,histogram_65,histogram_66,histogram_67,histogram_68,histogram_69,histogram_70,histogram_71,histogram_72,histogram_73,histogram_74,histogram_75,histogram_76,histogram_77,histogram_78,histogram_79,histogram_80,histogram_81,histogram_82,histogram_83,histogram_84,histogram_85,histogram_86,histogram_87,histogram_88,histogram_89,histogram_90,histogram_91,histogram_92,histogram_93,histogram_94,histogram_95,histogram_96,histogram_97,histogram_98,histogram_99,histogram_100,histogram_101,histogram_102,histogram_103,histogram_104,histogram_105,histogram_106,histogram_107,histogram_108,histogram_109,histogram_110,histogram_111,histogram_112,histogram_113,histogram_114,histogram_115,histogram_116,histogram_117,histogram_118,histogram_119,histogram_120,histogram_121,histogram_122,histogram_123,histogram_124,histogram_125,histogram_126,histogram_127,histogram_128,histogram_129,histogram_130,histogram_131,histogram_132,histogram_133,histogram_134,histogram_135,histogram_136,histogram_137,histogram_138,histogram_139,histogram_140,histogram_141,histogram_142,histogram_143,histogram_144,histogram_145,histogram_146,histogram_147,histogram_148,histogram_149,histogram_150,histogram_151,histogram_152,histogram_153,histogram_154,histogram_155,histogram_156,histogram_157,histogram_158,histogram_159,histogram_160,histogram_161,histogram_162,histogram_163,histogram_164,histogram_165,histogram_166,histogram_167,histogram_168,histogram_169,histogram_170,histogram_171,histogram_172,histogram_173,histogram_174,histogram_175,histogram_176,histogram_177,histogram_178,histogram_179,histogram_180,histogram_181,histogram_182,histogram_183,histogram_184,histogram_185,histogram_186,histogram_187,histogram_188,histogram_189,histogram_190,histogram_191,histogram_192,histogram_193,histogram_194,histogram_195,histogram_196,histogram_197,histogram_198,histogram_199,histogram_200,histogram_201,histogram_202,histogram_203,histogram_204,histogram_205,histogram_206,histogram_207,histogram_208,histogram_209,histogram_210,histogram_211,histogram_212,histogram_213,histogram_214,histogram_215,histogram_216,histogram_217,histogram_218,histogram_219,histogram_220,histogram_221,histogram_222,histogram_223,histogram_224,histogram_225,histogram_226,histogram_227,histogram_228,histogram_229,histogram_230,histogram_231,histogram_232,histogram_233,histogram_234,histogram_235,histogram_236,histogram_237,histogram_238,histogram_239,histogram_240,histogram_241,histogram_242,histogram_243,histogram_244,histogram_245,histogram_246,histogram_247,histogram_248,histogram_249,histogram_250,histogram_251,histogram_252,histogram_253,histogram_254,histogram_255,algorithm
file0712.txt.enc,txt_cbc,7.959664091114859,126.89245951417004,5416.169862169414,73.59463202006933,0.015689168638739714,-1.1963160376180813,427023,10.3948246037396,15,11,17,13,14,12,15,19,9,15,16,14,16,18,25,18,15,13,18,17,14,13,15,16,11,8,18,21,7,15,19,17,14,21,21,15,15,14,13,16,19,22,14,7,25,22,16,16,14,15,13,18,10,19,6,15,13,19,14,13,13,13,22,17,24,12,15,12,19,20,23,16,10,9,16,25,11,14,22,13,15,13,24,20,13,15,19,13,13,17,13,17,14,12,9,17,15,15,10,23,12,16,19,14,15,13,18,13,14,22,14,17,16,19,13,17,15,18,20,19,13,12,10,10,14,17,17,16,13,19,15,11,14,18,14,16,17,8,15,11,22,15,20,19,12,19,17,21,16,17,17,16,14,12,16,12,9,13,12,16,23,20,12,15,18,18,22,15,18,17,13,18,15,19,16,13,15,17,14,15,10,18,19,15,14,13,11,7,17,16,13,13,14,19,9,22,10,21,10,21,14,20,16,14,16,14,19,18,16,10,16,12,13,18,18,15,16,12,18,17,11,14,15,17,14,11,16,17,15,20,13,18,16,9,10,14,14,19,15,23,15,18,16,16,15,15,10,14,13,11,20,14,10,18,16,18,DES
file0702.txt.enc,txt_cbc,7.960086376262918,127.16956706281833,5617.7329193371825,74.9515371379212,0.013996461085280897,-1.233859418232635,490519,10.20293867251873,15,24,22,18,17,25,17,12,24,21,19,21,18,22,20,19,30,18,13,15,26,12,10,13,20,23,21,21,15,21,28,23,17,13,19,15,22,16,14,21,15,16,16,22,18,13,21,21,16,22,20,19,18,11,15,25,16,23,17,19,19,15,20,24,23,18,17,15,26,28,18,20,12,23,27,18,20,17,18,23,16,15,22,15,15,21,15,18,16,19,18,25,21,19,19,17,24,29,26,23,20,22,15,12,13,13,17,19,12,14,17,18,14,14,21,11,17,16,17,12,17,14,15,29,19,13,15,13,20,17,21,22,15,12,18,14,15,18,20,19,16,19,20,11,11,16,22,20,14,16,13,23,17,23,22,17,17,17,21,25,16,12,23,15,20,27,22,12,22,12,21,10,22,13,24,15,23,15,14,19,15,17,16,16,12,19,12,19,18,17,16,17,22,19,21,15,15,13,17,24,23,13,19,20,19,29,30,23,15,25,23,21,21,18,10,22,20,13,16,20,27,13,19,16,11,10,20,16,21,19,13,20,15,22,21,13,15,22,27,24,17,11,30,23,17,21,20,16,21,21,23,19,21,17,22,15,DES
file0474.txt.enc,txt_cbc,7.961251920807129,126.2904411764706,5265.22814392301,72.56189181604219,0.008926804331280003,-1.155510076771031,456592,10.24282388682294,16,17,20,21,13,13,14,21,17,23,19,21,21,15,16,16,13,18,23,11,20,16,13,20,12,14,14,17,14,20,17,17,13,21,14,10,18,20,18,11,13,18,24,14,11,14,12,11,17,11,13,13,18,14,19,21,13,17,14,23,13,18,12,25,24,16,18,14,14,22,19,18,13,22,22,19,19,14,18,22,10,24,18,15,20,13,18,16,27,22,17,21,23,24,21,16,25,23,26,15,22,16,16,19,19,23,14,17,13,11,14,19,18,23,18,19,16,21,13,19,12,18,20,14,15,14,15,13,15,16,18,17,20,20,24,17,15,18,23,19,12,24,13,21,19,15,20,14,15,15,15,19,12,20,19,16,18,13,17,17,20,17,16,20,15,17,13,13,24,18,18,17,15,10,16,13,28,18,10,21,15,16,14,18,13,30,17,22,22,18,14,16,14,13,23,17,20,14,24,18,19,18,16,17,22,24,17,21,17,11,14,19,17,18,21,21,12,11,15,13,13,13,19,25,17,10,22,15,17,16,21,21,17,10,11,15,13,12,5,14,15,17,13,15,15,12,20,12,14,16,13,13,20,15,18,18,DES
file0464.txt.enc,txt_cbc,7.944414060369814,129.3244459833795,5338.30436084265,73.06370070590901,-0.023232970602885605,-1.1699649824634901,306825,10.307344153093206,9,9,13,9,11,10,8,7,14,8,6,13,14,13,10,8,7,10,11,11,14,12,11,10,5,8,9,12,12,15,16,13,9,11,10,7,8,9,20,13,9,11,11,14,13,13,9,10,13,10,11,8,9,10,6,6,12,16,10,13,14,17,12,13,6,15,12,4,14,17,11,11,9,13,12,9,6,14,13,10,8,4,12,17,11,12,11,10,9,14,8,6,6,12,13,15,11,9,14,9,14,13,10,9,9,13,10,11,17,9,11,12,10,10,10,16,9,12,16,5,14,13,10,12,11,14,13,10,14,9,9,11,12,9,13,14,10,14,8,18,12,17,15,12,14,16,7,9,9,14,15,17,13,14,13,12,13,7,16,12,12,8,19,15,14,9,12,7,7,16,10,9,12,9,13,7,9,13,9,13,9,4,12,14,17,9,7,10,11,12,9,14,15,12,9,15,9,12,13,10,12,15,7,16,7,9,15,9,21,11,14,12,10,9,11,10,11,12,12,12,11,5,10,12,5,14,12,11,17,14,10,5,7,16,10,13,9,11,14,8,17,14,8,11,6,10,16,11,9,13,17,11,11,15,9,12,DES
file0416.txt.enc,txt_cbc,7.976435960382763,127.43084239130435,5409.642771572986,73.55027376953117,-0.0025122067589789052,-1.1939213129142119,780939,10.300769019413277,20,27,26,30,36,37,16,22,23,32,26,28,36,26,34,24,18,32,34,35,34,26,37,25,30,35,15,26,33,38,22,27,34,30,26,26,21,29,30,34,39,34,30,31,21,31,26,23,33,31,32,26,32,29,22,21,28,32,30,33,24,32,33,25,29,34,24,26,39,41,25,24,35,21,29,30,31,36,23,28,22,31,24,26,23,25,32,16,32,24,28,21,31,30,33,22,33,22,34,30,29,31,38,27,42,20,37,31,28,20,21,28,25,32,26,30,35,28,27,24,32,27,38,22,26,25,32,24,34,28,33,23,29,24,33,33,38,26,24,21,27,30,34,26,29,27,26,32,33,28,34,30,35,32,28,29,32,31,33,32,28,29,34,25,37,29,32,29,34,26,19,36,34,27,28,42,31,24,27,23,24,28,27,30,32,30,31,23,41,30,26,26,28,30,29,19,32,27,33,27,24,23,27,33,32,23,26,27,26,35,30,31,29,32,25,31,37,33,28,22,20,36,29,30,23,29,31,22,20,28,37,36,30,27,25,25,31,14,32,21,30,36,27,37,25,27,28,26,32,27,35,22,20,31,33,26,DES
file0406.txt.enc,txt_cbc,7.925077424829672,128.01822033898304,5607.783990053145,74.88513864615025,0.003033085769913627,-1.2185603098406674,243139,10.150123151962246,4,11,8,10,8,7,14,9,3,10,19,7,10,14,12,12,11,10,15,11,5,9,6,6,9,8,7,12,5,11,13,7,13,7,7,7,7,7,14,6,8,8,15,11,11,5,13,13,9,7,6,13,10,9,11,5,11,8,14,8,4,6,8,13,8,7,4,11,15,6,14,9,13,10,8,12,8,5,8,9,9,8,8,9,6,8,11,11,14,7,11,10,11,12,6,11,8,6,9,13,6,8,12,9,5,7,6,13,7,4,6,11,8,7,11,9,15,9,5,7,9,6,8,11,7,8,4,10,18,7,12,15,6,10,12,13,5,9,11,9,11,8,12,9,8,11,7,7,7,5,7,9,10,8,6,10,9,19,9,7,7,8,11,7,13,6,16,9,7,7,9,10,7,5,9,14,10,6,7,18,13,8,13,9,7,7,8,6,8,6,12,8,10,11,7,9,10,7,8,11,4,10,10,9,7,13,5,8,6,11,11,9,15,3,5,10,10,10,7,9,10,5,9,10,12,9,11,14,7,6,10,7,11,16,9,8,10,10,11,11,8,9,8,14,10,4,13,5,13,10,11,12,13,14,9,9,DES
file0608.txt.enc,txt_cbc,7.980538030103051,126.9323275862069,5497.085722168548,74.1423342104128,0.017623635192762676,-1.1922631823661844,976302,10.256946762879863,47,32,31,40,48,27,45,45,41,33,36,41,29,45,43,27,34,37,35,27,41,32,29,32,46,29,41,42,36,33,31,28,50,32,42,48,31,42,33,35,26,46,38,44,34,26,36,26,29,39,41,32,33,50,26,33,43,45,32,43,29,33,36,38,30,46,35,40,36,39,28,43,31,42,38,33,31,49,33,25,28,39,33,42,37,43,41,40,36,40,37,41,31,34,49,35,32,48,31,34,37,37,34,28,40,37,33,39,32,33,48,39,32,41,40,34,42,32,30,39,41,41,36,34,42,36,30,37,47,42,36,27,39,42,32,35,30,37,40,33,38,38,35,37,28,46,45,32,33,30,37,29,26,41,27,57,39,41,25,39,42,31,34,35,37,28,34,35,41,34,28,36,39,28,34,38,31,40,42,31,35,40,36,30,41,41,48,39,34,31,44,28,40,29,35,33,25,42,38,27,40,28,43,37,38,26,34,33,39,25,41,30,33,29,28,27,35,37,38,33,33,39,34,42,33,38,35,43,46,36,45,31,37,44,27,34,33,32,35,36,33,34,31,36,37,43,46,41,35,38,43,44,34,43,31,39,DES
file0618.txt.enc,txt_cbc,7.968287404467572,127.03036912751678,5398.238842816765,73.47270814946707,-0.0063747585946143945,-1.1966413325315641,634275,10.31610293985921,13,18,32,31,23,28,19,23,14,24,23,29,21,21,29,17,30,25,24,20,20,21,37,26,20,19,22,30,25,20,27,31,24,17,32,28,24,24,31,13,14,21,11,21,20,29,22,22,23,28,21,26,23,23,29,24,26,20,31,21,19,19,31,19,17,18,26,23,30,26,23,19,22,21,19,27,28,29,17,24,22,20,16,29,22,17,21,20,23,24,21,31,27,19,30,30,25,17,16,26,13,28,23,27,24,23,30,23,25,19,25,13,23,27,20,27,30,24,20,32,27,23,27,24,22,23,28,22,29,19,23,25,29,19,14,25,16,20,11,27,19,34,16,21,24,29,26,28,22,28,19,19,28,32,20,23,17,28,30,22,29,26,24,23,21,22,19,29,24,24,27,25,25,20,27,30,23,19,29,18,20,19,23,15,22,22,25,23,21,23,31,21,24,20,23,28,16,30,28,21,20,32,19,27,18,23,26,18,20,20,21,29,27,34,27,22,26,27,31,29,21,31,18,29,22,16,27,24,22,25,25,20,21,12,19,27,23,22,19,23,21,29,9,26,27,25,22,18,16,20,22,19,20,24,22,22,DES
file0382.txt.enc,txt_cbc,7.974031725083421,126.53297705943692,5418.220758186127,73.60856443503111,0.019044396116800567,-1.1844477240814097,806349,10.251967689256738,25,37,25,33,34,28,29,37,34,33,45,28,37,28,37,19,25,29,13,37,37,25,27,27,24,26,31,36,35,30,27,31,35,36,29,24,25,29,30,26,34,16,34,22,20,36,23,24,29,31,26,38,30,26,29,33,31,33,32,39,32,34,37,24,30,24,30,38,35,26,26,28,38,36,32,32,28,33,28,29,29,22,48,43,30,26,29,35,23,40,34,23,24,34,26,28,29,32,40,32,33,24,29,32,28,40,26,37,25,27,32,39,38,27,45,26,26,31,36,31,24,46,28,22,27,32,32,33,30,27,31,32,23,28,34,26,33,36,21,33,29,35,28,31,25,28,31,27,30,25,29,23,33,22,21,39,34,26,31,29,41,26,28,32,29,27,19,25,37,32,38,36,29,30,22,23,34,30,26,31,30,26,23,30,29,26,35,32,34,31,42,20,27,42,34,30,30,33,28,36,33,29,25,34,22,22,31,24,33,18,33,31,31,24,26,33,34,24,24,34,24,31,18,33,20,22,26,26,34,33,40,34,33,38,29,35,24,22,28,29,26,26,27,39,38,30,33,37,28,40,24,21,26,29,22,27,DES
file0392.txt.enc,txt_cbc,7.974063201462911,127.82972090261282,5463.646034720204,73.91648012940148,-0.006869384161351713,-1.178431182563897,702707,10.213770628485173,31,22,30,30,37,34,28,14,22,25,22,39,30,21,24,30,21,21,33,31,18,21,18,33,24,35,24,33,26,28,29,25,23,38,31,23,17,27,18,16,23,35,24,28,18,19,23,25,25,26,23,25,28,30,20,24,31,23,26,23,25,21,25,21,31,27,36,28,37,22,24,19,28,22,23,21,23,21,28,26,24,24,34,20,29,29,35,21,29,25,28,28,31,25,25,25,24,24,21,30,31,20,29,29,23,35,28,31,28,28,25,24,33,21,36,31,22,26,27,24,30,19,31,29,25,23,32,30,28,25,28,28,26,31,28,21,22,22,33,29,26,29,23,22,21,26,25,32,30,22,34,29,30,28,27,35,19,27,20,18,27,29,27,30,21,31,26,22,27,37,27,27,28,32,25,28,36,18,27,20,37,30,29,14,23,29,26,30,22,25,28,28,30,30,28,22,14,30,20,27,20,25,29,22,21,24,23,24,25,30,20,38,28,19,23,22,25,30,30,30,21,31,25,24,24,25,24,27,30,22,30,22,23,23,27,22,38,27,28,26,29,23,20,22,35,35,32,16,33,21,28,29,24,28,23,40,DES
