file_name,format,entropy,mean,variance,std_dev,skewness,kurtosis,energy,rms,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,histogram_11,histogram_12,histogram_13,histogram_14,histogram_15,histogram_16,histogram_17,histogram_18,histogram_19,histogram_20,histogram_21,histogram_22,histogram_23,histogram_24,histogram_25,histogram_26,histogram_27,histogram_28,histogram_29,histogram_30,histogram_31,histogram_32,histogram_33,histogram_34,histogram_35,histogram_36,histogram_37,histogram_38,histogram_39,histogram_40,histogram_41,histogram_42,histogram_43,histogram_44,histogram_45,histogram_46,histogram_47,histogram_48,histogram_49,histogram_50,histogram_51,histogram_52,histogram_53,histogram_54,histogram_55,histogram_56,histogram_57,histogram_58,histogram_59,histogram_60,histogram_61,histogram_62,histogram_63,histogram_64,histogram_65,histogram_66,histogram_67,histogram_68,histogram_69,histogram_70,histogram_71,histogram_72,histogram_73,histogram_74,histogram_75,histogram_76,histogram_77,histogram_78,histogram_79,histogram_80,histogram_81,histogram_82,histogram_83,histogram_84,histogram_85,histogram_86,histogram_87,histogram_88,histogram_89,histogram_90,histogram_91,histogram_92,histogram_93,histogram_94,histogram_95,histogram_96,histogram_97,histogram_98,histogram_99,histogram_100,histogram_101,histogram_102,histogram_103,histogram_104,histogram_105,histogram_106,histogram_107,histogram_108,histogram_109,histogram_110,histogram_111,histogram_112,histogram_113,histogram_114,histogram_115,histogram_116,histogram_117,histogram_118,histogram_119,histogram_120,histogram_121,histogram_122,histogram_123,histogram_124,histogram_125,histogram_126,histogram_127,histogram_128,histogram_129,histogram_130,histogram_131,histogram_132,histogram_133,histogram_134,histogram_135,histogram_136,histogram_137,histogram_138,histogram_139,histogram_140,histogram_141,histogram_142,histogram_143,histogram_144,histogram_145,histogram_146,histogram_147,histogram_148,histogram_149,histogram_150,histogram_151,histogram_152,histogram_153,histogram_154,histogram_155,histogram_156,histogram_157,histogram_158,histogram_159,histogram_160,histogram_161,histogram_162,histogram_163,histogram_164,histogram_165,histogram_166,histogram_167,histogram_168,histogram_169,histogram_170,histogram_171,histogram_172,histogram_173,histogram_174,histogram_175,histogram_176,histogram_177,histogram_178,histogram_179,histogram_180,histogram_181,histogram_182,histogram_183,histogram_184,histogram_185,histogram_186,histogram_187,histogram_188,histogram_189,histogram_190,histogram_191,histogram_192,histogram_193,histogram_194,histogram_195,histogram_196,histogram_197,histogram_198,histogram_199,histogram_200,histogram_201,histogram_202,histogram_203,histogram_204,histogram_205,histogram_206,histogram_207,histogram_208,histogram_209,histogram_210,histogram_211,histogram_212,histogram_213,histogram_214,histogram_215,histogram_216,histogram_217,histogram_218,histogram_219,histogram_220,histogram_221,histogram_222,histogram_223,histogram_224,histogram_225,histogram_226,histogram_227,histogram_228,histogram_229,histogram_230,histogram_231,histogram_232,histogram_233,histogram_234,histogram_235,histogram_236,histogram_237,histogram_238,histogram_239,histogram_240,histogram_241,histogram_242,histogram_243,histogram_244,histogram_245,histogram_246,histogram_247,histogram_248,histogram_249,histogram_250,histogram_251,histogram_252,histogram_253,histogram_254,histogram_255,algorithm
file1072.html.enc,html_cbc,7.976922260639577,127.03082688588007,5470.848058407168,73.96518139237656,0.010855517090566515,-1.2036389446197666,868129,10.244408060906947,32,34,27,30,39,34,41,33,35,37,25,45,33,31,19,35,33,30,45,23,28,30,28,29,28,32,21,26,28,39,39,27,32,32,41,41,30,37,35,44,34,36,29,34,36,35,30,23,25,36,29,36,40,32,35,22,32,36,33,34,27,24,35,30,38,31,28,37,39,34,31,32,26,31,34,46,40,30,36,37,30,25,48,33,36,25,32,32,29,37,32,30,28,34,29,24,29,43,30,32,35,30,26,46,33,40,35,28,29,29,41,25,31,31,32,42,35,34,26,25,25,35,45,23,31,35,32,31,27,38,38,37,27,37,42,28,44,32,35,26,22,14,28,17,26,26,34,33,29,36,37,36,40,32,35,38,32,35,27,41,36,37,35,33,25,23,31,26,34,26,32,21,37,31,32,35,30,28,32,37,36,26,36,25,36,31,35,39,39,36,22,30,32,24,45,35,34,31,27,29,30,37,29,27,30,25,33,43,40,27,46,30,34,36,29,36,34,27,27,30,28,31,36,34,37,27,26,28,34,31,28,43,27,31,26,36,26,39,38,33,22,49,26,34,31,38,37,37,33,30,26,30,28,29,34,32,DES
file1073.html.enc,html_cbc,7.946781068452189,126.57603938730854,5487.269382125364,74.07610533853251,0.02918882502309137,-1.2144557515415093,387334,10.292946534343901,14,8,14,12,13,14,18,15,10,15,15,14,11,17,13,12,15,26,14,15,17,11,14,14,15,17,15,9,16,12,15,16,17,20,13,12,16,11,15,15,13,19,14,18,18,18,12,12,22,9,18,23,11,16,19,8,17,19,16,16,17,11,14,19,11,10,9,12,15,16,11,13,15,13,8,22,16,11,11,20,16,15,7,24,10,21,16,9,12,21,7,15,19,14,12,5,15,14,20,18,12,20,12,17,14,10,13,6,22,13,18,16,14,19,13,19,10,16,13,14,14,12,14,9,12,14,8,21,17,17,18,9,13,17,14,15,16,14,14,13,17,12,10,17,12,12,9,18,11,22,14,7,14,17,10,15,19,12,12,11,13,10,19,15,18,13,11,12,16,12,6,16,14,16,22,18,13,12,12,17,8,18,9,8,11,19,14,16,16,23,20,19,14,19,10,16,13,8,15,12,12,7,17,6,13,13,15,13,11,10,19,10,11,11,11,18,19,20,16,19,9,10,11,18,14,12,16,16,18,19,14,8,16,11,15,20,13,14,10,9,13,25,9,17,19,14,17,17,17,13,15,13,11,12,19,8,DES
file0674.html.enc,html_cbc,7.927998730186911,123.00067567567568,5442.798648192111,73.77532546991651,0.06533208374809743,-1.1940362356745875,309592,10.227017741839108,16,13,12,9,10,12,21,12,18,14,17,12,9,17,13,8,11,9,13,23,12,5,15,13,19,6,5,9,16,13,11,13,10,13,12,14,10,17,12,12,11,9,8,19,20,8,15,5,13,8,12,7,13,19,13,7,15,17,7,13,17,11,11,9,14,6,18,8,13,9,11,16,7,12,11,21,9,15,6,8,11,10,11,14,17,13,15,12,16,11,13,11,13,12,12,15,12,8,16,12,12,12,12,11,18,6,14,8,19,14,10,11,17,15,16,6,9,12,12,14,10,11,7,8,9,10,15,7,9,12,14,17,18,12,8,12,10,6,7,11,14,10,10,14,17,9,17,6,12,7,13,13,7,9,6,15,18,17,10,12,12,11,19,17,10,6,9,10,6,7,9,8,9,9,8,12,9,9,13,11,8,11,15,12,8,21,13,9,7,10,14,10,20,8,7,10,11,8,17,11,11,14,4,7,8,16,15,16,6,13,13,6,6,14,12,13,12,7,8,9,10,11,14,13,14,16,12,12,13,10,12,10,11,12,10,7,11,14,13,9,3,12,12,12,10,8,16,7,12,9,8,8,13,7,7,10,DES
file0882.html.enc,html_cbc,7.910274855027974,125.86707746478874,5471.283387937661,73.96812413423542,0.025433105570565592,-1.219950254921022,236292,10.198125345541714,9,6,7,16,12,7,10,5,11,8,12,3,12,7,8,9,13,6,7,11,5,8,16,9,11,9,7,9,11,10,7,19,6,5,9,9,9,8,2,11,8,13,6,14,10,11,8,14,10,8,9,10,12,13,8,9,8,7,7,7,10,7,6,9,11,8,11,14,6,14,6,7,7,11,14,9,11,9,6,7,15,4,8,6,9,10,9,15,7,9,9,7,12,8,10,13,8,3,10,12,7,8,15,15,14,4,9,7,7,7,7,13,6,6,8,8,9,7,8,5,4,9,13,8,7,5,8,3,11,7,11,7,12,9,12,9,10,12,7,4,8,8,8,10,6,6,8,8,13,4,7,8,11,10,9,11,14,12,13,10,15,10,6,9,8,4,11,5,8,5,11,12,17,4,16,7,10,9,5,10,7,9,7,5,12,8,8,8,4,6,11,8,14,9,5,14,6,5,8,4,10,7,5,6,4,10,13,9,9,9,9,13,6,7,6,4,18,4,12,13,12,10,9,10,7,11,12,4,14,6,12,6,10,13,9,12,6,7,12,13,9,10,8,11,8,3,7,5,14,6,9,9,3,5,5,11,DES
file0883.html.enc,html_cbc,7.9807621575066126,127.24786411716843,5406.900626031984,73.53163010590737,-0.006626246073291586,-1.2040337670663142,1035137,10.260723418809155,35,36,37,38,44,39,27,44,25,26,31,44,34,41,59,40,29,48,45,43,40,30,48,42,34,50,35,48,50,36,35,36,28,47,37,37,41,45,33,30,35,34,42,25,35,39,41,36,32,47,39,35,41,43,36,42,44,28,39,37,36,33,39,41,36,39,48,34,37,37,52,40,31,37,34,45,39,45,41,33,41,41,31,44,43,55,30,36,38,33,28,36,39,38,45,43,35,31,42,45,32,36,41,42,44,49,49,40,42,34,23,36,51,31,25,37,31,38,43,38,40,42,41,30,43,41,36,38,42,41,34,34,46,37,45,39,38,40,37,42,34,22,38,36,38,39,29,40,38,31,34,36,33,43,35,47,39,46,41,44,27,39,41,34,45,31,29,29,38,58,46,41,47,29,40,44,40,41,28,41,39,39,39,39,33,32,49,47,45,41,31,38,36,46,41,43,44,35,40,43,43,34,37,39,51,42,52,40,41,36,45,44,40,41,48,36,35,35,37,45,48,34,34,41,27,27,41,28,29,39,36,33,42,46,44,40,34,40,43,32,35,30,34,42,33,32,46,41,35,31,30,30,40,38,39,30,DES
file0675.html.enc,html_cbc,7.955288284587949,129.4563829787234,5518.125757129923,74.28408818266482,-0.025762938272629057,-1.2187149327340367,393888,10.235108539166092,16,12,15,16,15,10,17,8,14,7,9,20,13,15,13,13,13,17,12,14,17,14,15,18,12,18,17,14,12,20,15,20,15,12,10,17,20,11,19,11,18,15,11,19,18,15,12,18,17,12,21,13,13,13,13,16,9,14,14,11,20,16,10,10,9,16,13,18,12,15,10,12,15,12,15,14,14,10,15,17,13,15,22,15,21,14,14,18,11,10,10,18,17,18,12,9,14,10,7,9,16,19,10,12,17,11,16,17,10,18,14,16,16,14,12,15,18,13,15,17,20,19,16,26,18,11,12,20,12,15,8,14,21,16,8,20,23,12,14,17,16,13,18,14,19,15,11,12,11,10,9,16,13,14,14,7,15,13,13,14,13,21,9,17,14,12,13,15,9,15,12,20,19,15,13,17,12,22,14,10,11,17,10,14,13,18,9,20,22,13,16,13,11,8,17,19,7,18,13,16,21,18,17,15,7,17,18,20,15,20,12,18,16,10,12,17,12,11,17,18,21,15,17,21,19,14,13,18,16,19,9,18,15,12,16,10,17,13,16,16,23,13,20,10,16,12,19,17,21,17,18,13,15,8,17,15,DES
file0918.html.enc,html_cbc,7.945936694517778,126.84678329571106,5449.23075714717,73.81890514730742,0.03263249051071111,-1.2153922245358832,376115,10.301808449798662,14,5,10,9,16,11,18,20,14,14,12,12,8,9,13,11,13,11,9,15,19,13,12,9,18,22,13,18,12,14,11,8,20,14,16,25,16,13,23,20,16,18,16,9,16,25,13,10,22,11,11,13,13,14,11,15,15,18,15,11,20,20,12,14,10,15,15,11,14,12,15,16,10,13,9,14,14,15,8,10,13,17,15,11,17,18,15,8,30,13,18,9,10,9,13,13,17,16,13,15,13,16,15,23,13,19,16,13,12,11,15,10,15,14,10,11,12,11,15,14,10,12,12,12,13,12,13,14,20,7,13,10,8,20,10,23,13,24,19,13,17,18,17,9,12,13,12,15,13,15,6,11,16,13,13,7,14,9,10,14,18,8,19,16,14,13,16,10,15,13,16,9,11,17,19,9,15,14,11,11,12,13,19,16,17,12,18,13,22,14,7,13,8,11,10,21,12,10,15,19,15,13,10,13,16,17,16,20,19,9,14,10,15,11,21,16,11,12,13,12,7,14,13,13,10,10,17,9,7,10,12,14,12,19,9,16,17,15,17,13,18,15,18,15,10,17,14,16,16,17,12,15,9,15,11,14,DES
file0919.html.enc,html_cbc,7.977471763119922,128.51984304932736,5555.213956029178,74.53330769548053,-0.010087540878380175,-1.2149381521556812,944359,10.289307219114772,25,36,34,37,38,40,31,38,32,31,34,49,24,27,34,38,38,36,34,34,35,31,40,38,39,29,38,43,45,30,34,29,32,32,43,37,31,28,40,43,26,32,43,31,32,29,33,39,46,31,37,36,34,37,37,37,30,37,35,28,27,39,24,34,38,29,20,40,39,31,32,33,45,45,34,46,40,33,39,30,32,31,36,29,35,36,40,34,28,21,31,29,36,24,32,39,25,49,42,22,32,29,36,41,33,28,29,28,37,23,54,36,38,36,30,43,35,27,41,36,44,35,31,33,40,44,26,37,34,29,36,28,27,41,32,32,26,27,34,28,35,31,49,42,43,40,24,34,35,37,30,27,30,34,37,40,36,31,25,39,48,29,28,42,40,31,38,44,37,29,42,28,46,45,34,34,31,35,27,44,30,29,20,34,33,29,39,27,37,30,31,33,30,37,36,45,39,26,41,33,39,34,42,36,35,40,29,34,42,30,31,34,43,38,28,41,37,39,35,33,28,34,21,36,45,32,39,37,35,35,30,34,31,31,34,24,44,41,43,37,38,39,37,33,38,29,43,48,43,44,49,45,30,37,37,27,DES
file0810.html.enc,html_cbc,7.982793844864866,127.14341517857143,5522.35145589608,74.31252556531825,0.0059996753219297705,-1.1996788453034375,1140116,10.297454753712778,48,43,44,46,52,32,51,36,38,42,42,57,41,55,56,29,48,48,38,39,37,47,48,45,41,39,45,38,38,35,40,41,40,46,34,48,36,43,44,56,42,34,51,36,47,36,40,32,46,48,42,46,39,35,51,29,54,49,42,52,38,41,33,36,35,43,42,41,44,39,38,48,30,38,42,47,45,39,40,48,39,38,46,53,36,44,46,35,36,36,50,42,36,33,43,48,44,40,38,45,40,35,40,61,46,41,49,36,50,41,21,51,50,40,42,45,37,39,36,44,34,43,44,45,50,46,26,39,36,47,44,46,57,43,54,41,26,42,49,38,28,48,44,45,46,44,39,51,43,45,44,47,41,34,43,44,37,33,34,36,34,39,34,47,45,38,43,50,36,42,52,34,52,43,50,44,38,39,53,41,42,49,45,34,43,34,42,39,41,32,32,44,42,38,42,40,47,44,37,44,39,46,45,37,44,36,32,41,44,49,47,41,54,45,37,38,31,39,39,43,39,43,37,29,41,41,44,43,59,45,43,36,35,35,51,46,28,36,50,44,41,55,48,46,39,38,33,42,42,41,40,41,53,38,49,57,DES
file0811.html.enc,html_cbc,7.695223131343492,124.50974025974025,5309.912242789677,72.86914465526323,0.08151119138272334,-1.1784975445222259,63818,10.178440418386765,1,3,2,1,3,0,0,4,5,2,3,1,3,1,2,4,2,3,2,1,4,2,2,2,3,1,5,2,1,1,5,2,1,1,8,3,2,2,1,5,2,2,3,3,4,1,2,6,4,5,1,2,2,2,1,2,4,3,3,1,2,3,2,2,7,3,5,3,2,3,1,1,3,3,3,3,2,2,1,2,4,3,4,0,3,1,2,2,2,4,4,2,3,0,2,0,3,3,2,4,0,3,3,4,4,4,2,1,3,0,3,5,5,0,1,5,1,0,3,1,3,1,4,3,2,2,4,2,2,4,5,3,3,1,4,0,2,3,2,4,1,3,1,5,2,3,3,1,3,1,2,0,3,3,1,3,0,6,4,2,3,1,2,5,2,2,3,1,5,2,2,2,2,3,0,5,3,1,4,3,0,2,3,4,1,0,1,4,1,4,2,1,2,1,1,4,3,2,4,1,2,3,3,2,2,4,1,1,5,1,1,1,4,3,2,2,3,0,2,3,0,2,2,5,1,0,2,3,4,1,4,0,1,2,3,4,3,2,1,0,4,1,2,3,3,5,6,1,0,4,2,1,2,2,3,1,DES
