file_name,format,entropy,mean,variance,std_dev,skewness,kurtosis,energy,rms,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,histogram_11,histogram_12,histogram_13,histogram_14,histogram_15,histogram_16,histogram_17,histogram_18,histogram_19,histogram_20,histogram_21,histogram_22,histogram_23,histogram_24,histogram_25,histogram_26,histogram_27,histogram_28,histogram_29,histogram_30,histogram_31,histogram_32,histogram_33,histogram_34,histogram_35,histogram_36,histogram_37,histogram_38,histogram_39,histogram_40,histogram_41,histogram_42,histogram_43,histogram_44,histogram_45,histogram_46,histogram_47,histogram_48,histogram_49,histogram_50,histogram_51,histogram_52,histogram_53,histogram_54,histogram_55,histogram_56,histogram_57,histogram_58,histogram_59,histogram_60,histogram_61,histogram_62,histogram_63,histogram_64,histogram_65,histogram_66,histogram_67,histogram_68,histogram_69,histogram_70,histogram_71,histogram_72,histogram_73,histogram_74,histogram_75,histogram_76,histogram_77,histogram_78,histogram_79,histogram_80,histogram_81,histogram_82,histogram_83,histogram_84,histogram_85,histogram_86,histogram_87,histogram_88,histogram_89,histogram_90,histogram_91,histogram_92,histogram_93,histogram_94,histogram_95,histogram_96,histogram_97,histogram_98,histogram_99,histogram_100,histogram_101,histogram_102,histogram_103,histogram_104,histogram_105,histogram_106,histogram_107,histogram_108,histogram_109,histogram_110,histogram_111,histogram_112,histogram_113,histogram_114,histogram_115,histogram_116,histogram_117,histogram_118,histogram_119,histogram_120,histogram_121,histogram_122,histogram_123,histogram_124,histogram_125,histogram_126,histogram_127,histogram_128,histogram_129,histogram_130,histogram_131,histogram_132,histogram_133,histogram_134,histogram_135,histogram_136,histogram_137,histogram_138,histogram_139,histogram_140,histogram_141,histogram_142,histogram_143,histogram_144,histogram_145,histogram_146,histogram_147,histogram_148,histogram_149,histogram_150,histogram_151,histogram_152,histogram_153,histogram_154,histogram_155,histogram_156,histogram_157,histogram_158,histogram_159,histogram_160,histogram_161,histogram_162,histogram_163,histogram_164,histogram_165,histogram_166,histogram_167,histogram_168,histogram_169,histogram_170,histogram_171,histogram_172,histogram_173,histogram_174,histogram_175,histogram_176,histogram_177,histogram_178,histogram_179,histogram_180,histogram_181,histogram_182,histogram_183,histogram_184,histogram_185,histogram_186,histogram_187,histogram_188,histogram_189,histogram_190,histogram_191,histogram_192,histogram_193,histogram_194,histogram_195,histogram_196,histogram_197,histogram_198,histogram_199,histogram_200,histogram_201,histogram_202,histogram_203,histogram_204,histogram_205,histogram_206,histogram_207,histogram_208,histogram_209,histogram_210,histogram_211,histogram_212,histogram_213,histogram_214,histogram_215,histogram_216,histogram_217,histogram_218,histogram_219,histogram_220,histogram_221,histogram_222,histogram_223,histogram_224,histogram_225,histogram_226,histogram_227,histogram_228,histogram_229,histogram_230,histogram_231,histogram_232,histogram_233,histogram_234,histogram_235,histogram_236,histogram_237,histogram_238,histogram_239,histogram_240,histogram_241,histogram_242,histogram_243,histogram_244,histogram_245,histogram_246,histogram_247,histogram_248,histogram_249,histogram_250,histogram_251,histogram_252,histogram_253,histogram_254,histogram_255,algorithm
file0867.txt.enc,txt_cbc,7.980240528387747,128.01384045335658,5459.192376009418,73.88634769705035,-0.01026237696953437,-1.1881674582803332,953583,10.194185865370308,38,29,35,36,29,48,46,40,34,41,38,43,35,27,25,33,38,41,32,31,46,38,28,37,35,34,33,29,30,39,39,38,28,45,38,31,34,42,38,33,33,23,27,33,32,37,40,36,34,37,37,43,38,24,32,43,24,38,33,30,28,41,26,34,40,46,36,40,47,31,34,55,38,34,28,32,40,33,34,39,33,28,29,32,30,50,35,40,33,39,45,27,32,42,35,36,35,36,31,38,33,31,41,31,35,44,34,30,36,39,40,40,27,32,37,37,34,32,44,41,41,24,32,37,22,28,34,47,36,42,40,39,36,31,42,37,33,37,28,35,37,31,31,38,42,47,44,34,38,42,30,45,37,49,47,44,27,32,32,37,34,43,35,32,48,41,27,44,42,27,42,34,35,22,33,27,39,34,34,37,30,29,44,34,41,29,38,33,43,40,32,35,46,41,32,30,27,35,37,37,34,35,45,36,35,30,38,33,36,25,49,41,34,46,33,43,34,28,29,46,30,36,27,45,31,37,31,35,40,40,35,36,31,30,31,28,44,29,40,32,41,42,39,43,33,29,34,34,41,37,35,30,35,39,41,49,DES
file0877.txt.enc,txt_cbc,7.979173000528849,127.35601811906817,5475.1468705984635,73.99423538761964,0.009369575116399447,-1.1939841390500547,960511,10.17804718603421,45,31,34,40,36,31,31,34,35,40,53,31,27,35,41,54,43,38,34,39,35,43,36,31,33,35,40,35,24,35,31,47,37,37,26,41,31,28,38,40,36,34,34,36,28,18,43,44,28,35,30,33,53,32,34,33,38,38,40,34,38,24,44,33,40,42,41,27,49,30,43,40,37,30,41,27,29,41,38,28,41,40,42,35,31,39,30,42,40,30,43,37,31,30,34,37,35,34,42,34,39,30,46,41,43,42,47,27,42,45,36,32,42,43,43,33,42,43,40,36,33,36,30,37,38,40,42,33,37,35,38,39,39,37,34,48,38,31,38,28,41,46,39,18,26,47,38,31,29,26,33,40,45,37,37,43,31,35,32,29,38,31,25,40,37,49,30,27,43,32,41,31,21,35,35,28,33,33,28,38,32,33,43,26,30,35,29,45,29,40,36,28,33,38,44,35,39,39,43,32,39,33,40,36,36,43,46,41,36,38,37,32,27,39,44,37,44,35,22,39,36,34,38,35,47,31,50,34,32,32,32,35,34,34,37,33,48,36,30,37,38,31,41,35,40,31,32,28,27,47,41,39,41,42,36,39,DES
file0712.txt.enc,txt_cbc,7.964721768701651,128.26076555023923,5317.278492555879,72.91967150608866,-0.010048308625330916,-1.1643416560582636,529346,10.272852534839183,23,18,21,20,14,23,19,18,22,15,21,13,18,13,12,13,18,18,13,23,19,21,22,11,22,20,19,22,28,16,13,22,21,11,18,17,26,18,20,18,15,20,19,17,23,28,21,18,18,17,15,23,22,23,19,13,19,20,32,12,15,17,16,20,20,17,22,23,20,22,15,15,17,19,24,23,18,22,21,18,22,26,18,23,16,21,14,23,26,25,16,11,19,15,25,17,33,28,17,15,17,22,15,26,22,17,23,23,21,22,22,16,19,11,11,29,17,16,17,21,23,26,14,26,16,21,29,21,18,17,17,24,15,10,20,18,15,23,20,23,24,13,21,20,21,23,23,22,28,24,16,25,23,21,28,26,24,24,21,18,21,14,11,18,17,20,18,22,25,17,21,21,24,23,28,19,23,21,17,15,19,12,21,20,24,24,19,17,13,20,23,16,13,18,15,22,20,21,21,30,18,25,23,24,25,21,18,22,28,17,15,13,20,16,17,21,15,19,21,22,14,17,20,10,15,28,14,12,22,19,21,18,24,20,17,17,19,15,19,23,16,23,17,28,17,17,20,20,21,16,17,19,16,25,14,28,DES
file0702.txt.enc,txt_cbc,7.962039847381493,126.8565668202765,5523.483843205596,74.32014426254564,0.031367618881885925,-1.2072107337573719,546297,10.241862004889,24,15,16,16,25,26,18,15,22,29,16,18,16,12,24,28,23,26,15,17,17,25,23,21,20,15,27,19,18,24,27,30,17,22,24,27,21,21,27,13,28,25,16,20,16,10,21,21,30,24,16,15,26,13,14,24,12,20,18,20,24,15,26,17,20,18,20,26,15,18,22,23,26,21,16,20,24,31,26,20,19,26,21,21,19,25,25,20,20,18,19,28,24,28,21,22,18,15,17,13,24,19,17,14,21,22,22,28,18,21,23,17,24,24,20,14,23,15,25,25,16,16,27,19,22,24,16,15,14,19,14,16,19,31,24,14,14,18,20,21,21,25,24,19,34,19,15,21,19,22,27,20,15,14,17,12,24,30,20,16,35,21,16,16,20,18,13,16,24,23,15,15,24,15,16,15,17,27,26,22,24,19,21,24,19,18,19,14,13,15,26,18,19,18,21,15,14,22,12,20,22,25,15,22,20,17,17,19,22,19,14,26,21,29,17,14,28,29,14,25,17,27,15,19,23,19,18,16,15,23,18,22,17,14,19,21,22,21,22,28,24,22,10,23,27,24,22,24,20,21,18,22,28,24,22,17,DES
file1006.txt.enc,txt_cbc,7.953968522096711,126.86197916666667,5459.225741916232,73.88657348880264,-0.0006727518619680553,-1.1967046382426592,478816,10.19361183399791,19,11,21,19,26,23,22,20,10,17,19,19,23,14,18,10,30,25,17,18,18,17,10,16,19,21,15,18,24,12,20,14,20,16,16,18,21,11,15,18,22,19,22,22,14,25,13,22,21,18,22,19,13,19,14,24,17,14,19,15,18,16,23,16,25,26,14,20,24,14,22,15,18,15,15,12,17,16,17,25,13,7,20,29,25,12,16,12,20,10,17,16,23,22,17,14,23,9,19,18,23,26,14,23,19,18,18,16,19,18,14,21,18,15,11,16,13,11,20,16,6,21,15,26,18,17,15,14,15,20,23,18,15,23,19,8,11,25,19,22,17,17,29,25,17,18,21,23,14,23,28,15,19,10,25,21,21,24,23,15,24,14,8,13,20,18,14,19,12,20,23,15,17,17,21,30,16,15,19,23,13,16,22,18,14,21,24,20,17,22,15,28,12,15,15,16,19,21,15,18,24,15,13,15,19,22,11,16,18,18,15,17,11,25,19,11,21,18,18,22,21,16,13,21,18,15,23,20,9,22,22,19,18,14,6,18,24,21,19,14,16,15,15,20,22,17,16,13,19,19,14,18,21,22,18,15,DES
file1016.txt.enc,txt_cbc,7.965011652898426,128.2266447368421,5454.984158479051,73.85786456755334,-0.018333489247227452,-1.197992458431575,643352,10.286616240737793,23,24,25,27,14,29,18,18,27,25,22,22,24,36,26,24,25,18,25,24,28,27,24,24,20,22,30,19,18,28,19,27,25,16,16,17,17,33,17,24,34,29,19,20,29,18,12,23,30,24,23,23,26,22,26,21,24,32,17,23,27,23,24,25,24,26,28,26,32,28,17,21,23,20,30,39,23,22,19,15,16,28,12,21,25,18,16,22,28,25,16,34,23,28,23,21,13,27,27,16,22,19,20,23,33,29,20,21,17,35,21,32,19,24,24,23,26,25,24,27,22,20,30,27,28,30,20,27,24,15,21,16,25,15,27,17,20,34,19,16,39,17,18,23,31,20,22,36,30,20,26,24,30,23,24,21,28,25,25,16,26,20,23,31,23,29,29,27,24,23,23,17,25,25,18,31,26,25,23,29,16,21,19,31,31,34,29,20,21,23,29,17,19,30,23,22,26,31,15,23,17,24,19,21,26,26,27,28,12,24,26,18,28,24,22,24,18,22,31,22,33,32,31,29,26,16,25,19,30,14,24,22,23,31,24,22,21,28,29,21,17,27,28,20,22,29,20,22,24,27,13,19,31,32,25,20,DES
file1064.txt.enc,txt_cbc,7.949410764088736,128.9864936440678,5323.590654442755,72.96294028095876,-0.045848672313012456,-1.1709220530713416,396369,10.245516278526882,18,14,8,19,15,25,12,15,10,14,10,11,13,10,17,10,11,22,14,16,13,16,22,15,13,11,13,14,18,18,10,13,8,14,16,14,11,18,10,8,13,6,14,11,15,17,13,12,11,15,13,16,10,15,15,11,18,21,15,16,14,18,8,22,13,24,12,12,23,6,20,15,15,8,16,14,12,12,16,11,14,23,14,17,14,15,11,16,10,13,9,23,15,13,15,20,18,13,22,13,7,11,16,12,15,15,12,14,14,10,16,16,18,14,19,16,21,16,17,12,17,16,11,11,17,19,16,9,12,16,20,12,18,12,18,19,18,12,13,7,16,12,8,17,15,13,21,17,11,13,17,16,15,13,20,15,18,23,18,24,21,20,16,12,6,17,12,13,12,13,10,16,23,13,13,12,22,17,20,12,12,22,8,22,19,17,21,18,12,11,16,10,16,13,12,17,18,17,10,18,16,18,12,15,15,13,17,15,16,15,14,22,19,19,18,14,18,14,24,19,11,13,7,13,22,13,16,11,18,13,9,19,13,10,9,16,12,17,15,13,14,16,14,13,14,12,15,14,6,20,15,14,14,13,19,10,DES
file1074.txt.enc,txt_cbc,7.956147634997688,129.77468581687612,5394.542590789978,73.44754993047745,-0.04583099940416872,-1.190920312163132,474772,10.32214505979971,13,12,20,13,11,20,15,15,15,20,16,23,14,13,18,15,17,17,19,23,14,12,24,20,22,14,13,17,16,19,19,17,13,21,14,27,15,11,13,26,19,13,16,12,15,17,10,20,18,14,14,20,15,21,19,10,17,22,13,15,13,16,22,20,16,18,12,14,21,18,19,18,21,18,12,17,11,23,10,11,16,17,12,17,16,17,23,19,6,18,14,15,21,15,12,19,13,17,22,23,27,14,19,16,21,20,17,17,15,13,19,25,21,16,11,18,26,21,24,17,23,19,12,12,11,16,12,23,17,16,18,18,12,22,21,19,15,19,21,18,15,9,13,19,19,23,18,17,22,21,23,8,19,19,13,19,21,16,21,23,16,21,24,14,19,10,16,16,14,24,13,14,28,17,19,27,21,9,19,11,25,10,11,26,21,15,16,16,18,14,16,26,26,23,17,21,24,12,15,18,15,15,20,22,16,12,17,13,16,25,12,18,24,22,20,16,17,14,20,19,17,25,13,11,25,18,22,18,24,22,17,11,15,18,25,17,14,21,22,12,20,23,22,15,13,18,15,13,16,17,19,23,15,13,20,15,DES
file0770.txt.enc,txt_cbc,7.969852489863103,127.83824503311259,5434.211086986316,73.71710172671139,0.011808293520288747,-1.2051693733538444,638217,10.279351449637549,25,17,22,18,22,38,18,13,18,18,22,24,33,27,22,19,16,20,20,19,18,33,23,23,24,24,26,23,19,22,20,24,19,16,30,23,28,34,25,18,27,20,24,33,22,35,25,33,26,17,30,29,20,30,22,25,22,28,19,19,25,17,26,26,24,16,23,24,33,27,16,31,20,25,30,22,29,24,26,25,18,21,29,18,29,24,19,24,30,27,19,23,15,19,25,22,24,26,25,29,26,25,23,27,22,28,20,24,34,27,26,16,16,17,22,22,29,19,23,29,23,30,22,28,22,17,23,23,21,21,24,24,27,28,28,17,29,14,21,16,22,21,27,27,14,17,27,24,30,25,22,31,25,22,22,20,26,22,30,23,22,24,20,29,24,22,25,17,23,23,22,29,31,21,20,24,20,28,26,25,16,19,24,24,26,30,27,13,22,21,26,29,15,20,26,24,26,22,37,23,24,20,22,25,22,28,20,14,28,29,20,17,25,27,15,27,14,25,21,23,26,23,20,22,32,25,17,23,32,23,39,24,23,25,22,19,32,24,21,21,19,23,24,20,28,29,19,19,30,29,34,23,14,27,24,20,DES
file0608.txt.enc,txt_cbc,7.9671286812700925,126.99419448476053,5404.946265280028,73.5183396526338,0.01869629062821776,-1.1901651483075975,581128,10.267892097588547,18,19,22,13,19,21,21,21,17,21,17,21,30,19,21,25,27,14,36,16,26,22,24,31,23,21,17,16,16,22,23,17,20,24,32,23,21,16,19,20,28,29,20,27,19,16,26,30,16,17,19,18,22,19,14,22,26,20,24,20,26,21,20,15,24,28,22,17,26,24,26,20,25,18,15,24,28,22,30,24,29,24,19,19,14,19,17,22,15,16,26,23,22,18,19,23,21,27,24,25,18,23,24,29,29,21,26,21,21,26,20,24,17,28,24,18,19,23,19,23,13,17,20,28,16,21,24,28,17,21,31,23,21,20,28,26,18,23,27,13,29,22,16,16,22,20,15,24,20,30,17,21,12,28,22,17,21,27,23,16,10,23,23,26,25,29,20,22,19,24,24,20,24,21,21,20,25,20,26,31,21,24,27,20,20,22,24,15,19,25,14,22,19,18,21,21,24,14,21,20,19,24,16,22,14,23,14,23,24,34,29,18,18,12,14,17,27,18,27,18,19,26,19,26,20,22,24,16,24,18,24,10,30,16,18,23,19,21,20,15,25,31,28,21,24,25,20,23,30,16,21,18,18,21,24,16,DES
