file_name,format,entropy,mean,variance,std_dev,skewness,kurtosis,energy,rms,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,histogram_11,histogram_12,histogram_13,histogram_14,histogram_15,histogram_16,histogram_17,histogram_18,histogram_19,histogram_20,histogram_21,histogram_22,histogram_23,histogram_24,histogram_25,histogram_26,histogram_27,histogram_28,histogram_29,histogram_30,histogram_31,histogram_32,histogram_33,histogram_34,histogram_35,histogram_36,histogram_37,histogram_38,histogram_39,histogram_40,histogram_41,histogram_42,histogram_43,histogram_44,histogram_45,histogram_46,histogram_47,histogram_48,histogram_49,histogram_50,histogram_51,histogram_52,histogram_53,histogram_54,histogram_55,histogram_56,histogram_57,histogram_58,histogram_59,histogram_60,histogram_61,histogram_62,histogram_63,histogram_64,histogram_65,histogram_66,histogram_67,histogram_68,histogram_69,histogram_70,histogram_71,histogram_72,histogram_73,histogram_74,histogram_75,histogram_76,histogram_77,histogram_78,histogram_79,histogram_80,histogram_81,histogram_82,histogram_83,histogram_84,histogram_85,histogram_86,histogram_87,histogram_88,histogram_89,histogram_90,histogram_91,histogram_92,histogram_93,histogram_94,histogram_95,histogram_96,histogram_97,histogram_98,histogram_99,histogram_100,histogram_101,histogram_102,histogram_103,histogram_104,histogram_105,histogram_106,histogram_107,histogram_108,histogram_109,histogram_110,histogram_111,histogram_112,histogram_113,histogram_114,histogram_115,histogram_116,histogram_117,histogram_118,histogram_119,histogram_120,histogram_121,histogram_122,histogram_123,histogram_124,histogram_125,histogram_126,histogram_127,histogram_128,histogram_129,histogram_130,histogram_131,histogram_132,histogram_133,histogram_134,histogram_135,histogram_136,histogram_137,histogram_138,histogram_139,histogram_140,histogram_141,histogram_142,histogram_143,histogram_144,histogram_145,histogram_146,histogram_147,histogram_148,histogram_149,histogram_150,histogram_151,histogram_152,histogram_153,histogram_154,histogram_155,histogram_156,histogram_157,histogram_158,histogram_159,histogram_160,histogram_161,histogram_162,histogram_163,histogram_164,histogram_165,histogram_166,histogram_167,histogram_168,histogram_169,histogram_170,histogram_171,histogram_172,histogram_173,histogram_174,histogram_175,histogram_176,histogram_177,histogram_178,histogram_179,histogram_180,histogram_181,histogram_182,histogram_183,histogram_184,histogram_185,histogram_186,histogram_187,histogram_188,histogram_189,histogram_190,histogram_191,histogram_192,histogram_193,histogram_194,histogram_195,histogram_196,histogram_197,histogram_198,histogram_199,histogram_200,histogram_201,histogram_202,histogram_203,histogram_204,histogram_205,histogram_206,histogram_207,histogram_208,histogram_209,histogram_210,histogram_211,histogram_212,histogram_213,histogram_214,histogram_215,histogram_216,histogram_217,histogram_218,histogram_219,histogram_220,histogram_221,histogram_222,histogram_223,histogram_224,histogram_225,histogram_226,histogram_227,histogram_228,histogram_229,histogram_230,histogram_231,histogram_232,histogram_233,histogram_234,histogram_235,histogram_236,histogram_237,histogram_238,histogram_239,histogram_240,histogram_241,histogram_242,histogram_243,histogram_244,histogram_245,histogram_246,histogram_247,histogram_248,histogram_249,histogram_250,histogram_251,histogram_252,histogram_253,histogram_254,histogram_255,algorithm
file1072.html.enc,html_cbc,7.975896227209264,126.21699709864603,5442.020247849122,73.7700498024037,0.01884906628389105,-1.202002968885738,867073,10.238175469482204,28,37,36,28,31,31,29,31,32,39,36,29,22,30,20,33,28,38,36,30,39,44,38,46,34,44,32,35,31,17,31,37,36,35,39,29,26,38,27,42,44,32,38,30,37,33,39,26,26,43,37,33,28,35,33,44,33,33,37,39,27,33,44,24,29,31,26,23,42,35,34,22,32,23,37,31,29,40,30,32,27,37,33,24,29,39,36,25,34,25,30,32,35,24,28,21,45,30,26,41,36,20,36,36,35,32,36,35,31,25,26,31,33,29,37,35,28,46,36,31,33,31,31,30,34,33,33,34,39,33,31,33,22,26,42,38,40,32,33,36,30,30,39,40,27,41,27,31,25,31,29,30,31,28,22,28,28,43,34,31,43,32,23,38,26,30,29,34,36,34,43,31,27,39,26,32,31,39,25,30,42,30,35,31,33,33,31,39,43,37,31,40,35,26,31,26,21,37,28,40,32,36,34,33,33,37,34,24,26,31,25,28,32,32,30,23,32,31,31,31,37,29,37,27,25,27,38,27,38,39,26,35,23,29,21,32,24,29,40,52,36,41,31,26,24,24,30,20,35,27,36,38,31,43,23,28,DES
file1073.html.enc,html_cbc,7.950115989722477,127.34463894967178,5433.146541281021,73.70988089314092,-0.000273695772905187,-1.2011458520565295,390466,10.334477360731642,11,15,13,20,5,7,12,19,16,12,14,19,14,12,19,18,14,15,17,10,14,17,19,23,16,14,14,13,9,16,14,12,17,13,14,14,8,10,16,16,12,15,13,16,19,15,18,9,16,15,10,25,9,17,11,13,15,13,9,12,13,13,18,15,14,16,10,16,21,13,15,11,16,18,10,12,17,11,14,12,10,15,13,11,13,15,10,24,16,13,12,10,15,18,20,6,21,18,13,20,12,12,16,15,12,11,18,12,20,10,15,10,10,20,16,21,16,16,20,13,12,13,17,9,14,14,10,10,9,13,18,16,18,18,15,20,16,16,21,14,9,18,20,14,14,7,11,14,11,20,12,13,14,15,14,13,9,19,10,9,15,19,16,22,9,12,11,11,13,14,14,11,8,19,15,12,22,15,6,15,18,10,14,15,14,15,13,19,16,17,12,20,14,20,18,14,12,15,13,10,9,14,19,11,10,11,14,17,17,19,10,20,9,14,17,18,13,11,14,15,12,16,12,17,18,15,16,13,19,10,8,17,16,19,17,19,11,21,11,10,9,20,7,7,20,14,17,12,16,13,7,22,15,12,10,13,DES
file0674.html.enc,html_cbc,7.9340525455918565,128.90135135135134,5365.963241417093,73.2527353852202,-0.03848193444755701,-1.195583369760347,323416,10.452854259108474,8,15,4,14,8,13,10,9,9,12,17,5,12,10,10,17,14,13,7,7,7,11,12,14,16,12,9,13,11,10,10,14,11,12,19,10,11,8,15,10,7,21,9,13,11,15,9,16,14,11,16,11,11,13,7,12,10,6,6,15,10,13,10,10,9,8,8,11,11,11,10,13,4,9,11,8,16,11,10,8,8,17,12,12,13,3,11,16,14,14,14,7,8,10,11,15,10,10,14,12,15,8,12,10,9,18,14,14,12,9,15,14,8,13,12,4,12,11,13,8,10,16,19,9,16,9,16,7,13,19,14,11,10,12,16,10,8,15,7,13,14,6,15,11,8,10,13,18,14,10,11,15,6,18,8,11,11,7,19,16,6,11,19,7,9,13,11,9,15,10,11,12,14,17,10,10,10,11,12,11,10,13,10,17,10,7,9,9,9,13,9,12,18,15,13,14,9,14,13,10,12,14,9,17,10,13,15,18,14,5,14,12,17,12,17,13,6,10,15,14,12,13,17,11,6,15,16,10,4,11,9,14,6,9,12,18,18,9,17,8,7,10,9,9,14,14,16,12,13,10,14,13,11,3,7,8,DES
file0882.html.enc,html_cbc,7.8993090422999535,127.68397887323944,5583.165975717864,74.72058602365124,-0.015851461011384904,-1.215889199869507,237692,10.228292024892468,5,13,14,9,18,7,5,16,12,7,12,13,8,9,6,4,11,4,5,11,12,9,13,6,5,10,9,14,8,7,5,6,7,10,6,11,11,16,13,4,8,10,3,12,5,13,8,12,7,4,9,6,4,12,6,2,5,7,9,14,9,8,5,9,15,11,12,11,10,7,10,10,10,10,8,4,8,9,11,13,7,6,5,6,8,11,5,9,11,8,18,7,13,14,10,8,18,9,6,3,8,9,10,14,9,2,7,6,7,9,4,8,10,8,13,8,4,9,4,10,9,5,7,11,9,12,5,6,14,6,8,8,8,7,9,16,8,4,15,2,13,11,10,12,13,10,11,4,6,3,17,12,7,9,6,7,11,8,11,9,9,6,8,10,10,8,7,6,5,5,9,7,8,11,12,10,13,8,11,11,7,11,11,8,8,10,7,3,3,6,7,11,13,11,9,12,7,9,5,12,6,7,9,10,5,6,8,5,9,11,7,5,11,14,11,6,6,15,15,12,14,9,14,11,14,8,6,12,9,9,13,4,5,8,9,11,7,8,6,15,12,15,5,8,10,8,3,9,6,7,11,9,7,13,8,10,DES
file0883.html.enc,html_cbc,7.979749386716549,127.93460130187144,5483.474669308086,74.05048729959908,-0.02101688391562804,-1.2059939649449756,1042141,10.295378227922493,29,46,39,42,42,29,41,37,37,33,49,39,53,36,40,40,49,35,29,40,29,35,50,48,47,37,32,53,48,42,31,36,44,33,41,35,37,36,33,24,30,38,36,32,46,30,44,42,35,40,39,37,42,38,41,34,31,32,37,41,29,37,34,34,41,40,39,44,36,40,36,37,38,38,36,28,30,39,43,30,41,33,48,33,43,40,36,34,36,40,38,44,33,59,31,45,32,46,35,46,33,40,51,32,41,24,37,40,31,50,36,39,40,35,27,43,34,31,40,39,35,35,35,45,31,40,39,30,39,34,42,35,33,30,27,36,46,32,41,35,45,39,47,44,45,45,39,46,39,41,41,58,46,32,35,42,43,46,36,41,30,33,27,50,33,41,36,34,28,40,36,35,34,31,48,30,47,49,39,43,32,35,38,38,45,32,38,60,36,36,25,34,45,51,34,38,27,41,40,39,53,55,35,42,33,34,36,29,35,40,40,35,35,53,35,50,33,43,47,41,46,42,40,36,41,46,43,36,30,36,56,40,48,36,31,40,29,40,33,35,35,34,34,33,44,41,38,33,43,44,42,35,32,40,32,40,DES
file0675.html.enc,html_cbc,7.955016086622259,127.52420212765958,5439.363244044251,73.75203891448867,-0.0009728597989241973,-1.1897359932866298,395257,10.252879720019711,13,15,9,16,19,13,21,17,13,15,18,11,19,10,15,15,11,14,19,20,15,11,16,16,8,14,12,20,16,7,17,21,13,9,12,12,11,17,11,16,17,9,14,15,15,13,16,13,16,18,21,17,12,16,13,9,19,10,12,14,11,18,22,15,22,14,10,18,17,16,16,19,9,15,12,10,9,22,20,15,15,10,13,9,17,18,11,11,16,18,13,13,13,19,21,17,12,14,15,16,17,17,15,10,18,11,19,12,21,12,20,17,14,14,12,15,13,16,14,16,10,19,17,12,10,12,14,12,11,19,18,15,18,12,12,15,8,15,11,12,16,19,16,9,13,11,18,18,12,19,11,14,15,17,9,16,14,27,15,13,10,19,12,24,18,12,16,10,18,20,20,19,17,10,23,12,10,23,14,10,16,21,13,12,15,8,16,9,10,15,11,14,14,19,14,17,19,20,16,14,8,11,13,15,20,16,14,7,23,12,9,8,21,15,17,12,17,13,15,20,17,16,15,8,15,16,12,15,14,11,10,13,12,15,21,13,11,14,12,17,15,18,11,16,16,14,18,14,14,11,21,19,16,15,14,11,DES
file0918.html.enc,html_cbc,7.943306604070709,129.0372460496614,5532.934842980091,74.38370011622231,0.010511411674516002,-1.2032331027641325,373110,10.260572370606841,11,10,14,15,11,8,12,19,14,17,11,11,11,21,11,16,8,8,12,7,13,13,17,16,12,13,14,17,13,11,14,23,13,19,13,11,21,14,15,13,9,13,11,11,14,12,20,20,18,14,7,12,14,17,24,14,10,13,17,8,17,20,11,12,13,14,10,14,12,21,15,11,13,10,13,11,10,13,11,14,17,14,5,10,10,12,18,15,9,22,12,10,22,17,13,7,15,14,16,17,17,13,12,19,12,8,16,21,17,8,12,16,23,8,19,15,11,14,12,10,10,19,14,13,16,19,10,19,21,15,10,14,19,18,12,12,16,10,16,10,11,14,14,14,14,10,14,11,17,9,16,23,8,11,22,18,17,10,9,12,10,8,6,14,14,14,12,18,17,14,12,17,20,10,10,16,17,14,15,17,12,15,14,10,13,14,9,6,9,15,12,7,17,12,12,14,17,13,11,16,17,11,9,13,9,17,14,6,13,9,18,16,12,13,15,13,17,12,15,3,14,10,21,10,19,19,14,16,11,16,10,14,17,15,8,19,18,18,18,13,10,16,20,15,19,18,16,17,22,15,11,12,12,18,21,17,DES
file0919.html.enc,html_cbc,7.978942282406818,126.31087443946188,5512.196742733114,74.24416975583412,0.01828539786079916,-1.1931258982547743,933125,10.227923836682038,33,31,39,46,37,41,39,44,36,41,35,43,38,29,31,30,30,37,41,43,35,45,34,36,36,39,42,40,27,31,34,35,44,31,41,35,42,31,26,35,36,38,30,32,34,33,40,41,19,41,38,26,39,31,28,27,28,28,30,29,37,28,33,29,35,45,38,35,41,38,40,42,43,41,34,31,44,24,38,33,25,42,35,31,49,32,35,29,41,31,35,32,35,31,28,38,42,33,31,32,35,35,34,41,34,45,36,28,34,43,36,34,31,41,36,24,31,44,31,30,35,39,26,40,48,33,45,38,26,32,32,28,29,32,30,33,33,55,45,27,47,45,33,34,31,41,20,37,34,36,30,30,35,39,34,37,33,29,40,36,38,39,24,37,28,36,36,39,35,29,31,35,43,38,34,29,40,46,28,36,44,33,21,36,38,35,42,31,33,26,36,37,40,30,27,37,28,38,34,25,33,28,42,37,38,28,30,33,33,34,28,34,25,28,37,35,30,28,36,42,41,25,32,33,35,24,42,31,40,25,27,39,30,41,42,31,32,39,33,28,40,30,27,36,40,40,45,30,43,37,46,46,36,23,35,28,DES
file0810.html.enc,html_cbc,7.98313472001524,128.01404389880952,5576.223296072478,74.67411396241992,-0.0006507257153691229,-1.2317749979302464,1134691,10.27292641427433,47,37,44,40,35,40,54,47,33,36,42,42,38,34,39,48,48,40,24,42,35,39,48,43,46,55,44,45,39,54,47,52,42,57,52,63,40,46,43,47,44,44,42,51,40,31,31,40,39,34,43,48,29,43,40,40,41,35,32,37,40,44,38,54,50,40,46,46,41,46,40,38,30,44,52,34,47,43,34,42,56,42,41,39,36,39,33,44,46,52,48,45,38,42,43,48,41,36,42,43,31,36,38,38,32,41,50,47,41,51,38,39,39,46,35,39,42,50,42,40,47,38,32,41,37,42,44,36,47,38,47,42,36,37,48,52,37,41,35,42,33,34,32,36,45,50,44,32,47,41,36,39,39,40,39,37,41,42,40,35,37,42,39,33,45,41,38,43,41,41,40,38,48,41,41,38,47,31,44,33,55,39,43,47,45,53,28,26,45,34,54,37,51,33,43,44,40,52,34,55,29,50,45,49,53,32,41,38,44,37,49,44,52,41,53,44,44,37,34,46,43,38,34,41,44,45,41,47,58,34,46,55,38,44,42,57,42,52,36,46,36,42,48,49,48,47,38,44,49,32,44,42,40,45,47,47,DES
file0811.html.enc,html_cbc,7.70132330718234,126.05357142857143,5811.907844387755,76.23586980147702,0.07478473890107455,-1.252758022677422,66565,10.395194319254689,3,3,4,4,2,2,1,2,3,2,4,3,1,1,1,3,2,3,3,2,4,3,4,2,6,2,2,2,1,5,3,2,2,2,1,1,1,4,2,4,4,3,1,3,1,1,2,2,2,3,3,3,1,3,3,5,4,2,1,6,3,3,3,2,1,1,3,2,0,1,1,6,3,4,6,5,2,1,1,2,7,1,1,4,1,2,6,1,2,2,3,2,2,1,2,2,4,4,2,3,4,2,5,1,4,2,3,2,3,3,2,3,1,2,1,0,2,4,2,3,2,2,2,0,0,4,1,1,0,0,0,3,6,2,3,2,4,2,1,2,1,2,3,4,0,3,4,2,2,2,2,3,2,3,4,2,1,6,2,0,2,3,4,2,2,4,3,2,1,2,1,2,0,2,3,1,2,2,1,1,3,2,4,0,5,0,0,2,4,0,1,2,0,1,1,3,2,2,1,4,4,1,5,4,1,1,0,0,3,4,4,3,2,0,2,2,4,5,5,3,3,1,4,3,2,1,4,1,1,1,0,3,3,2,4,3,2,1,4,2,2,4,3,5,4,2,4,1,3,3,6,5,4,1,0,3,DES
