file_name,format,entropy,mean,variance,std_dev,skewness,kurtosis,energy,rms,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,histogram_11,histogram_12,histogram_13,histogram_14,histogram_15,histogram_16,histogram_17,histogram_18,histogram_19,histogram_20,histogram_21,histogram_22,histogram_23,histogram_24,histogram_25,histogram_26,histogram_27,histogram_28,histogram_29,histogram_30,histogram_31,histogram_32,histogram_33,histogram_34,histogram_35,histogram_36,histogram_37,histogram_38,histogram_39,histogram_40,histogram_41,histogram_42,histogram_43,histogram_44,histogram_45,histogram_46,histogram_47,histogram_48,histogram_49,histogram_50,histogram_51,histogram_52,histogram_53,histogram_54,histogram_55,histogram_56,histogram_57,histogram_58,histogram_59,histogram_60,histogram_61,histogram_62,histogram_63,histogram_64,histogram_65,histogram_66,histogram_67,histogram_68,histogram_69,histogram_70,histogram_71,histogram_72,histogram_73,histogram_74,histogram_75,histogram_76,histogram_77,histogram_78,histogram_79,histogram_80,histogram_81,histogram_82,histogram_83,histogram_84,histogram_85,histogram_86,histogram_87,histogram_88,histogram_89,histogram_90,histogram_91,histogram_92,histogram_93,histogram_94,histogram_95,histogram_96,histogram_97,histogram_98,histogram_99,histogram_100,histogram_101,histogram_102,histogram_103,histogram_104,histogram_105,histogram_106,histogram_107,histogram_108,histogram_109,histogram_110,histogram_111,histogram_112,histogram_113,histogram_114,histogram_115,histogram_116,histogram_117,histogram_118,histogram_119,histogram_120,histogram_121,histogram_122,histogram_123,histogram_124,histogram_125,histogram_126,histogram_127,histogram_128,histogram_129,histogram_130,histogram_131,histogram_132,histogram_133,histogram_134,histogram_135,histogram_136,histogram_137,histogram_138,histogram_139,histogram_140,histogram_141,histogram_142,histogram_143,histogram_144,histogram_145,histogram_146,histogram_147,histogram_148,histogram_149,histogram_150,histogram_151,histogram_152,histogram_153,histogram_154,histogram_155,histogram_156,histogram_157,histogram_158,histogram_159,histogram_160,histogram_161,histogram_162,histogram_163,histogram_164,histogram_165,histogram_166,histogram_167,histogram_168,histogram_169,histogram_170,histogram_171,histogram_172,histogram_173,histogram_174,histogram_175,histogram_176,histogram_177,histogram_178,histogram_179,histogram_180,histogram_181,histogram_182,histogram_183,histogram_184,histogram_185,histogram_186,histogram_187,histogram_188,histogram_189,histogram_190,histogram_191,histogram_192,histogram_193,histogram_194,histogram_195,histogram_196,histogram_197,histogram_198,histogram_199,histogram_200,histogram_201,histogram_202,histogram_203,histogram_204,histogram_205,histogram_206,histogram_207,histogram_208,histogram_209,histogram_210,histogram_211,histogram_212,histogram_213,histogram_214,histogram_215,histogram_216,histogram_217,histogram_218,histogram_219,histogram_220,histogram_221,histogram_222,histogram_223,histogram_224,histogram_225,histogram_226,histogram_227,histogram_228,histogram_229,histogram_230,histogram_231,histogram_232,histogram_233,histogram_234,histogram_235,histogram_236,histogram_237,histogram_238,histogram_239,histogram_240,histogram_241,histogram_242,histogram_243,histogram_244,histogram_245,histogram_246,histogram_247,histogram_248,histogram_249,histogram_250,histogram_251,histogram_252,histogram_253,histogram_254,histogram_255,algorithm
file0873.py.enc,pyth_cbc,7.962755435646076,128.6624548736462,5482.382904442909,74.04311517246495,-0.006203925159333064,-1.1915713638751015,468570,10.28223117705196,23,18,18,21,17,11,17,25,18,13,17,14,13,16,14,19,12,18,15,13,21,18,14,13,12,15,20,18,8,26,21,14,11,15,11,17,20,15,19,16,15,14,20,21,24,18,17,17,14,20,21,20,14,22,23,15,21,19,24,17,14,20,17,14,11,15,17,14,13,19,13,22,17,22,24,21,12,16,13,26,20,16,16,15,13,16,18,22,15,18,17,22,12,16,24,11,14,20,18,17,15,21,18,20,15,16,15,18,13,12,12,20,17,22,15,19,12,14,17,21,14,24,18,14,14,20,14,17,22,17,19,17,13,16,23,17,25,24,15,19,7,24,18,20,19,14,15,14,13,11,25,21,20,16,16,17,20,17,28,21,20,14,16,21,21,16,16,16,17,16,18,17,20,14,20,22,14,17,19,15,11,16,26,14,19,9,18,11,9,20,21,18,16,11,12,20,20,16,21,19,19,14,26,15,21,20,13,15,12,20,15,16,14,18,22,18,14,18,15,15,16,11,18,12,24,16,26,17,12,17,20,24,14,18,16,16,17,17,22,20,21,14,13,17,19,13,16,33,23,22,18,13,25,17,18,19,DES
file0973.py.enc,pyth_cbc,7.850743183869342,126.06868131868131,5561.10379935998,74.57280871309582,0.017541510691953862,-1.2469696849314202,156414,10.364709248319404,6,3,3,13,4,5,5,3,7,2,8,10,3,4,1,4,9,9,7,3,9,7,8,8,5,10,5,6,1,7,9,7,8,5,6,9,7,3,9,4,3,10,9,7,10,4,6,6,9,6,5,7,8,6,6,9,11,4,4,3,3,8,3,4,1,8,7,11,5,3,6,4,3,3,6,4,4,10,4,4,2,4,2,1,6,1,6,4,8,10,3,8,7,4,7,1,8,5,5,7,16,8,7,3,3,4,7,5,4,6,7,9,3,5,8,7,4,5,8,7,9,5,7,4,8,5,3,4,5,6,8,2,2,3,2,5,4,6,3,5,5,8,5,2,3,10,3,5,5,7,5,5,4,13,11,4,5,3,8,8,4,7,9,6,2,3,5,3,4,5,5,5,2,7,4,4,3,8,6,12,5,10,3,6,8,7,5,4,10,1,5,3,5,7,5,4,5,7,5,5,4,8,9,5,7,9,9,9,4,4,7,7,6,7,10,5,10,4,7,1,7,11,4,7,7,3,6,6,1,2,4,3,5,6,5,2,7,8,3,6,2,5,7,7,6,7,6,8,5,7,4,6,3,10,4,4,DES
file0666.py.enc,pyth_cbc,7.969428030197794,126.99901352874859,5610.216318079862,74.9013772775899,0.013266598368091688,-1.2329275498976493,739573,10.209012144868371,32,35,25,26,23,20,25,37,34,32,34,27,24,34,35,31,29,34,27,33,26,30,21,35,33,28,30,21,25,25,27,33,17,28,30,37,25,33,26,29,32,27,22,27,28,23,28,21,28,32,27,32,34,32,26,35,25,21,29,33,30,24,36,35,24,34,29,25,34,24,32,23,22,23,24,21,32,29,22,25,20,21,35,28,28,37,20,30,23,36,41,25,28,28,22,27,40,34,29,27,31,17,29,25,22,27,18,26,23,29,23,30,24,33,23,26,25,31,27,19,34,29,23,32,26,30,26,30,24,32,32,29,35,28,25,28,23,23,29,19,36,37,25,21,20,24,23,26,31,27,28,33,25,25,17,21,22,29,17,30,22,25,33,34,31,13,31,25,21,24,22,30,21,32,38,27,18,27,23,30,24,41,29,23,17,27,27,19,42,29,23,24,34,24,23,28,29,27,18,24,32,21,26,27,21,35,31,25,27,24,31,27,16,38,32,36,17,24,34,26,42,24,43,31,43,21,21,27,33,41,29,35,24,20,30,25,29,26,42,32,25,32,32,16,34,29,15,29,30,31,31,26,22,33,33,24,DES
file0766.py.enc,pyth_cbc,7.952635554223097,127.52494577006507,5325.444063174934,72.9756402039402,-0.013211623071565435,-1.160992546382551,383470,10.196948843976866,18,17,19,16,17,17,10,13,13,17,9,14,8,18,9,14,15,12,12,22,15,11,15,21,12,17,7,7,20,16,11,14,13,8,16,9,13,16,8,11,11,16,11,12,11,18,17,20,13,11,9,9,14,20,14,9,11,11,14,28,12,12,16,17,14,17,21,15,12,14,16,16,18,16,11,23,15,12,12,17,17,12,11,18,12,13,17,19,18,14,12,12,13,17,20,14,14,12,11,18,16,14,8,13,13,12,10,19,18,15,13,13,5,10,10,19,14,15,15,22,16,15,13,14,21,15,20,16,16,20,12,13,15,15,13,23,16,14,18,15,18,15,14,8,23,12,14,19,12,15,12,25,17,16,13,10,10,9,15,19,12,21,15,17,15,19,19,15,12,12,12,11,18,15,7,12,18,15,17,16,13,15,12,21,19,20,12,10,14,11,8,14,11,18,18,16,15,14,11,12,19,11,13,11,14,22,19,8,18,10,10,17,9,15,17,15,17,17,14,13,18,13,11,16,7,14,13,11,17,18,11,16,17,22,13,13,18,13,11,16,13,10,13,20,13,12,12,12,16,12,16,16,11,9,9,16,DES
file0605.py.enc,pyth_cbc,7.952593657608475,126.33773148148148,5335.704687446416,73.04590808146898,0.010549256188987922,-1.1935292347833197,457125,10.286689079690424,17,21,12,18,20,21,14,8,14,8,18,16,19,15,19,15,16,14,22,22,11,16,17,16,18,20,19,16,15,18,23,27,14,19,13,19,17,25,16,19,14,18,14,14,10,10,20,19,18,14,19,14,13,19,23,16,14,13,17,28,16,17,16,22,15,17,21,12,27,12,13,27,15,19,17,15,17,23,13,18,11,21,18,15,19,15,12,29,14,13,20,18,18,23,17,10,20,18,21,17,12,15,12,16,24,17,13,20,12,26,14,14,16,16,15,21,29,18,18,21,16,19,10,25,12,11,14,19,24,17,11,17,16,16,16,18,19,22,9,17,18,19,17,13,15,20,17,22,13,16,18,21,16,19,19,10,12,15,6,14,16,12,26,19,12,17,13,15,16,20,17,28,14,16,11,15,27,26,17,12,23,8,18,16,22,23,12,21,22,14,14,18,10,23,10,24,23,19,25,24,19,9,19,18,15,19,14,17,18,12,17,19,9,17,18,26,19,14,12,17,16,20,19,17,18,17,19,17,12,13,19,14,17,8,16,17,14,20,17,18,12,17,19,12,13,16,9,18,21,10,14,10,16,18,17,12,DES
file1185.py.enc,pyth_cbc,7.950264497434308,128.9801282051282,5421.901100838265,73.63355960999213,-0.043404395783840824,-1.1867315181352593,499889,10.335080497455687,17,19,12,30,26,6,16,22,22,19,24,16,26,22,15,11,21,17,20,8,22,19,17,16,10,17,16,16,16,16,14,21,15,23,17,18,21,9,13,24,20,13,13,19,22,14,23,24,17,17,15,11,17,12,12,17,19,20,25,12,24,25,25,21,12,15,17,21,11,13,16,12,19,14,22,27,19,20,14,23,22,13,20,13,23,16,24,21,18,20,10,16,18,16,11,19,6,12,18,8,15,19,18,23,19,24,30,18,18,19,15,12,21,24,19,18,29,15,19,16,25,11,23,17,19,15,24,19,18,23,15,23,25,10,10,21,18,21,25,24,19,18,21,15,17,12,15,22,24,14,21,14,20,21,25,17,15,21,11,19,13,19,17,22,22,21,22,19,19,14,22,19,29,16,22,9,10,17,19,21,16,23,12,14,16,24,22,24,26,20,23,18,20,21,17,22,13,14,17,27,14,16,23,18,20,19,21,22,16,17,16,16,21,14,21,20,25,24,17,17,18,15,18,13,15,26,22,22,23,12,17,23,18,20,32,16,18,12,24,23,11,17,25,14,11,16,26,22,15,11,13,10,25,22,20,14,DES
file0705.py.enc,pyth_cbc,7.908615968511139,129.48367346938775,5398.786468138276,73.47643478107982,-0.02143644802712053,-1.1820716409782237,206672,10.268636616376279,7,10,4,9,6,2,9,6,8,7,7,6,11,5,6,5,7,8,6,10,5,3,5,9,10,8,8,12,9,8,6,8,6,5,8,3,7,17,4,6,8,6,9,7,9,9,5,6,8,7,11,11,11,6,10,7,9,10,7,8,4,4,5,3,6,7,6,11,11,8,8,10,5,12,11,13,10,5,9,8,7,6,11,6,8,3,10,7,1,4,11,10,9,4,3,3,2,9,6,6,5,7,5,10,9,10,8,5,8,7,9,6,9,8,6,7,12,9,12,7,4,8,3,12,10,9,6,8,6,8,5,10,8,14,11,7,14,6,11,8,5,7,5,8,7,9,10,4,8,11,12,6,7,10,12,7,2,6,9,9,12,8,6,9,4,6,6,5,10,8,5,14,5,6,6,11,10,5,11,6,4,9,9,8,6,6,7,10,13,8,5,8,9,9,9,11,6,14,5,5,8,5,6,8,11,8,11,6,11,6,10,11,8,3,8,3,9,7,5,6,10,5,6,8,4,12,8,8,5,9,6,8,6,11,7,11,11,5,8,7,9,8,4,6,6,5,8,6,10,6,3,14,9,7,14,13,DES
file1085.py.enc,pyth_cbc,7.9814929972463435,128.30698529411765,5485.956041171064,74.06723999968585,-0.01451193512696351,-1.2050258935185956,973713,10.261044560234987,34,34,37,47,42,34,34,43,36,44,30,40,26,30,30,39,40,36,42,35,38,28,35,33,34,32,41,27,34,23,45,38,32,23,41,36,32,41,40,34,42,32,30,32,35,29,38,38,33,40,33,35,36,43,47,33,36,38,39,40,38,29,45,27,33,27,35,40,37,33,36,42,33,37,35,34,44,42,31,34,38,33,30,38,35,39,33,36,28,38,32,47,39,36,37,50,30,41,37,31,40,29,33,37,43,30,33,43,32,31,37,35,35,38,39,39,43,35,38,33,37,52,36,26,43,37,26,36,39,35,38,34,33,28,27,40,39,25,37,19,38,34,36,39,34,34,38,35,29,40,35,43,35,25,44,23,31,36,36,40,27,40,36,41,47,41,43,29,40,42,46,41,35,36,44,24,27,34,40,35,40,34,37,42,44,33,33,38,51,31,35,30,35,35,29,51,31,42,29,23,36,45,43,36,27,32,27,45,45,47,39,29,29,31,43,33,26,34,34,33,38,44,44,39,36,42,39,37,39,35,34,38,42,39,36,36,41,43,40,46,31,39,33,31,38,43,37,37,33,43,34,33,36,27,48,28,DES
file0810.py.enc,pyth_cbc,7.943835250862146,129.8222386587771,5457.58156658604,73.87544630380273,-0.04713857898789155,-1.2103667718536675,430379,10.300933011494532,24,9,14,12,10,18,10,13,15,14,14,20,16,19,20,14,13,12,19,23,17,10,12,15,10,14,19,11,13,16,23,17,15,18,9,12,19,17,13,24,14,17,13,20,11,23,11,11,14,20,21,13,9,17,19,17,17,6,18,14,20,14,19,12,15,23,20,14,6,15,16,14,19,18,15,10,12,12,16,11,15,14,19,12,16,16,17,24,12,13,14,20,9,16,11,16,22,15,16,20,14,13,23,18,18,20,11,23,25,12,13,12,17,11,8,12,15,9,23,17,9,20,14,17,12,17,9,17,13,5,17,16,17,18,12,9,17,15,8,9,13,14,20,19,12,27,21,12,17,27,18,22,20,18,17,23,15,15,14,21,16,10,11,17,13,21,14,17,9,26,12,18,14,15,17,16,20,14,12,11,10,12,15,17,19,18,9,20,24,20,23,14,18,21,17,21,11,19,21,25,15,15,19,18,17,22,10,6,25,19,16,15,24,12,27,11,9,16,20,18,19,13,21,17,15,11,18,14,11,14,12,13,18,20,14,17,20,19,20,18,13,20,14,22,8,19,18,13,17,14,17,15,21,12,11,21,DES
file0910.py.enc,pyth_cbc,7.90920366887297,129.09913793103448,5501.397738720439,74.17140782485147,-0.034960275865619984,-1.1857139195200597,216737,10.18828961164375,9,9,9,9,11,5,6,16,9,9,7,10,12,9,4,9,9,11,10,8,4,8,4,9,7,7,8,10,3,5,9,8,6,5,8,5,9,8,4,6,5,5,12,5,9,5,4,7,11,6,8,12,6,9,5,9,6,19,6,9,11,7,5,5,8,8,5,8,11,9,8,10,12,9,14,5,5,9,8,10,10,1,3,5,11,8,10,8,7,4,11,12,15,4,7,12,5,5,6,5,13,10,7,8,7,6,9,5,8,8,6,9,11,9,11,14,14,9,8,10,11,8,10,12,8,7,8,7,2,6,11,6,6,8,8,8,7,9,3,10,6,9,3,11,8,8,9,4,6,9,11,3,7,4,9,2,10,13,6,9,6,9,6,9,12,14,11,14,12,5,4,10,13,5,5,7,7,12,9,9,9,13,11,11,6,7,7,6,14,8,6,11,5,6,13,9,8,9,8,9,6,6,12,5,5,6,11,6,11,4,6,4,9,12,8,9,8,8,8,12,9,7,7,9,4,10,3,9,10,8,8,10,11,8,6,9,12,7,9,12,8,11,9,8,6,14,7,3,8,8,7,12,14,11,6,5,DES
