file_name,format,entropy,mean,variance,std_dev,skewness,kurtosis,energy,rms,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,histogram_11,histogram_12,histogram_13,histogram_14,histogram_15,histogram_16,histogram_17,histogram_18,histogram_19,histogram_20,histogram_21,histogram_22,histogram_23,histogram_24,histogram_25,histogram_26,histogram_27,histogram_28,histogram_29,histogram_30,histogram_31,histogram_32,histogram_33,histogram_34,histogram_35,histogram_36,histogram_37,histogram_38,histogram_39,histogram_40,histogram_41,histogram_42,histogram_43,histogram_44,histogram_45,histogram_46,histogram_47,histogram_48,histogram_49,histogram_50,histogram_51,histogram_52,histogram_53,histogram_54,histogram_55,histogram_56,histogram_57,histogram_58,histogram_59,histogram_60,histogram_61,histogram_62,histogram_63,histogram_64,histogram_65,histogram_66,histogram_67,histogram_68,histogram_69,histogram_70,histogram_71,histogram_72,histogram_73,histogram_74,histogram_75,histogram_76,histogram_77,histogram_78,histogram_79,histogram_80,histogram_81,histogram_82,histogram_83,histogram_84,histogram_85,histogram_86,histogram_87,histogram_88,histogram_89,histogram_90,histogram_91,histogram_92,histogram_93,histogram_94,histogram_95,histogram_96,histogram_97,histogram_98,histogram_99,histogram_100,histogram_101,histogram_102,histogram_103,histogram_104,histogram_105,histogram_106,histogram_107,histogram_108,histogram_109,histogram_110,histogram_111,histogram_112,histogram_113,histogram_114,histogram_115,histogram_116,histogram_117,histogram_118,histogram_119,histogram_120,histogram_121,histogram_122,histogram_123,histogram_124,histogram_125,histogram_126,histogram_127,histogram_128,histogram_129,histogram_130,histogram_131,histogram_132,histogram_133,histogram_134,histogram_135,histogram_136,histogram_137,histogram_138,histogram_139,histogram_140,histogram_141,histogram_142,histogram_143,histogram_144,histogram_145,histogram_146,histogram_147,histogram_148,histogram_149,histogram_150,histogram_151,histogram_152,histogram_153,histogram_154,histogram_155,histogram_156,histogram_157,histogram_158,histogram_159,histogram_160,histogram_161,histogram_162,histogram_163,histogram_164,histogram_165,histogram_166,histogram_167,histogram_168,histogram_169,histogram_170,histogram_171,histogram_172,histogram_173,histogram_174,histogram_175,histogram_176,histogram_177,histogram_178,histogram_179,histogram_180,histogram_181,histogram_182,histogram_183,histogram_184,histogram_185,histogram_186,histogram_187,histogram_188,histogram_189,histogram_190,histogram_191,histogram_192,histogram_193,histogram_194,histogram_195,histogram_196,histogram_197,histogram_198,histogram_199,histogram_200,histogram_201,histogram_202,histogram_203,histogram_204,histogram_205,histogram_206,histogram_207,histogram_208,histogram_209,histogram_210,histogram_211,histogram_212,histogram_213,histogram_214,histogram_215,histogram_216,histogram_217,histogram_218,histogram_219,histogram_220,histogram_221,histogram_222,histogram_223,histogram_224,histogram_225,histogram_226,histogram_227,histogram_228,histogram_229,histogram_230,histogram_231,histogram_232,histogram_233,histogram_234,histogram_235,histogram_236,histogram_237,histogram_238,histogram_239,histogram_240,histogram_241,histogram_242,histogram_243,histogram_244,histogram_245,histogram_246,histogram_247,histogram_248,histogram_249,histogram_250,histogram_251,histogram_252,histogram_253,histogram_254,histogram_255,algorithm
file0320.html.enc,html_ecb,7.961268012101708,126.59566885964912,5516.451373785083,74.27281719300193,0.0282893863024114,-1.2087043640046526,763666,10.230793408721038,34,31,27,12,40,26,22,27,25,34,32,31,30,34,33,37,21,34,35,19,32,32,22,30,32,26,27,40,33,25,28,22,23,20,29,24,41,31,25,22,29,36,33,26,27,35,34,30,17,34,29,39,26,31,28,28,35,21,29,17,32,35,33,18,31,31,44,35,33,25,31,24,31,32,19,33,36,20,35,29,26,29,29,29,29,32,29,22,41,26,25,21,26,24,31,25,20,36,34,29,43,34,21,35,18,29,20,35,32,37,29,24,36,24,28,27,30,24,28,30,31,39,30,26,34,34,12,23,22,18,21,30,41,26,23,38,33,25,32,13,34,22,18,25,36,33,23,26,25,27,26,35,27,26,41,33,26,32,23,18,24,33,28,39,34,32,22,16,20,31,33,42,34,17,15,32,28,31,29,24,30,35,19,28,20,18,24,26,29,22,33,32,27,30,20,32,26,26,35,23,25,32,26,31,30,30,27,35,31,16,31,28,33,24,26,17,39,27,27,46,39,29,17,32,26,24,29,31,19,15,31,25,22,34,27,28,27,24,28,28,25,25,45,34,42,17,24,32,48,40,24,21,18,34,26,33,DES
file0321.html.enc,html_ecb,7.964903184033133,126.24881703470031,5490.430860850856,74.0974416619822,0.022375037452362682,-1.221097201317771,797409,10.237768727479155,33,29,37,19,36,30,22,26,26,35,26,33,23,29,30,22,32,31,33,32,36,25,49,25,45,32,31,30,27,25,36,20,30,20,49,50,48,20,20,29,34,22,34,28,32,43,21,24,36,28,23,38,28,25,24,25,32,42,29,33,39,30,24,32,31,37,46,39,35,29,35,24,30,33,31,22,35,18,36,28,26,25,28,29,27,35,38,30,34,13,25,29,25,26,29,32,34,39,34,30,40,34,34,33,32,28,23,25,26,21,27,38,25,28,30,23,27,30,20,34,31,29,33,23,31,33,21,32,18,31,20,33,26,27,32,27,39,25,25,34,28,31,22,31,29,33,29,18,25,32,28,32,35,16,23,23,27,35,27,35,38,32,29,37,22,39,25,28,21,26,22,36,24,33,25,40,27,39,34,38,29,44,24,23,24,27,26,40,38,21,35,44,26,32,19,24,23,34,36,26,26,31,37,22,27,30,28,34,28,32,40,27,29,33,31,23,39,31,20,34,31,28,29,37,36,25,16,28,17,20,25,46,26,32,26,31,38,31,35,25,16,28,32,27,30,22,27,25,43,42,24,28,24,33,27,25,DES
file0228.html.enc,html_ecb,7.959697320249063,126.63732616940581,5462.693846959353,73.91003887808039,-0.0010956779465587456,-1.1880313547184633,658397,10.200246954200427,25,24,29,24,25,29,28,25,21,29,37,21,28,24,25,34,17,22,33,26,23,19,28,24,34,29,22,42,29,23,24,16,24,17,32,31,35,22,21,17,23,23,24,28,27,36,16,22,24,20,15,27,24,17,19,15,28,29,19,19,18,16,22,25,16,24,28,37,27,28,28,25,26,38,24,26,27,20,16,31,26,22,16,26,28,20,17,21,23,18,32,25,23,22,18,29,22,32,28,16,35,31,27,43,30,24,16,22,14,31,34,22,16,22,24,26,23,18,21,27,35,17,23,37,18,28,23,27,20,28,28,27,37,28,25,19,40,20,23,25,26,22,16,28,33,27,16,19,29,19,20,28,22,15,25,22,30,23,34,22,27,19,26,40,30,29,21,28,16,31,18,32,19,23,27,21,17,31,27,26,33,30,25,24,23,24,22,21,27,21,42,24,20,25,27,19,29,17,26,17,28,34,24,30,19,28,23,30,23,21,29,26,23,28,26,15,28,21,15,29,21,23,35,32,16,15,20,19,19,31,20,28,13,31,16,19,29,21,30,24,25,20,27,25,32,17,17,32,19,34,22,21,25,26,22,29,DES
file0229.html.enc,html_ecb,7.940806182399695,125.96554182509506,5513.9063696684025,74.25568240659028,0.030669141343461374,-1.1921265837245432,435423,10.172268553696226,28,23,10,17,19,17,14,14,9,19,20,13,10,25,22,21,13,21,22,19,10,13,22,18,22,19,16,14,19,15,17,12,18,19,25,19,31,8,17,17,13,14,13,18,10,13,17,14,13,20,13,18,7,8,12,12,30,17,17,14,23,24,8,20,19,12,20,14,23,9,17,16,7,26,20,19,10,13,21,17,15,10,18,15,17,10,17,15,29,19,22,13,20,15,19,15,12,24,18,14,26,22,15,25,18,17,13,12,17,18,14,20,22,8,13,19,17,19,6,12,20,14,24,15,21,9,8,18,26,14,16,16,21,17,13,14,20,19,20,18,22,19,13,13,17,25,12,19,16,15,23,22,10,12,17,11,23,12,17,15,11,12,15,17,17,18,8,16,16,15,15,17,23,14,14,20,19,13,20,11,19,22,9,16,18,9,13,9,16,8,20,15,19,19,12,24,15,22,15,15,19,17,11,13,10,20,14,13,9,12,11,16,29,14,16,13,19,17,12,19,17,16,14,15,13,13,12,15,23,13,20,14,12,19,13,18,21,15,24,18,16,19,20,16,14,12,18,24,29,19,10,14,19,13,14,12,DES
file0369.html.enc,html_ecb,7.97097384473218,126.63622063758389,5472.412232528501,73.97575435592732,0.027868981792262444,-1.209868179248169,1020323,10.34393343427042,32,37,34,25,39,31,27,41,31,42,43,53,19,46,32,34,38,38,42,31,39,42,50,28,48,46,36,53,30,39,33,35,33,36,47,35,43,32,41,32,36,29,42,55,35,49,34,36,39,42,49,39,43,35,31,44,37,41,47,47,38,36,40,39,38,40,41,44,47,31,55,40,37,45,30,29,50,28,33,35,28,31,41,33,37,38,52,30,40,37,38,30,23,34,35,30,34,36,52,24,39,50,32,56,34,28,28,38,40,27,33,29,32,33,35,42,35,35,34,36,35,34,41,41,35,37,31,38,30,37,44,49,41,25,34,34,45,32,40,40,59,37,35,44,51,48,35,43,43,34,36,34,47,36,25,38,37,28,35,29,25,34,34,46,25,53,46,29,29,34,39,48,26,45,42,46,37,49,34,44,38,47,42,36,26,16,32,39,39,29,47,28,30,36,32,27,37,42,32,19,26,35,43,48,39,35,35,33,34,25,49,31,42,36,35,33,46,37,35,38,34,46,39,51,27,38,33,39,40,34,24,42,41,36,34,27,40,40,35,27,31,41,49,48,46,31,26,52,48,40,32,34,27,31,47,37,DES
file0368.html.enc,html_ecb,7.971750427438932,127.43292102759277,5422.786413827255,73.63957097802279,-0.0040586265270234345,-1.2086625751501436,889652,10.28640757408578,38,24,29,24,56,22,22,32,28,22,42,38,34,37,21,34,22,32,32,34,38,35,46,32,29,25,26,37,30,37,35,34,36,34,40,35,49,34,38,37,27,30,27,34,18,47,36,29,32,37,32,55,26,27,32,26,37,43,29,28,31,27,34,38,27,26,43,36,51,29,40,30,33,37,33,33,30,30,22,33,29,29,28,32,27,19,38,31,44,26,36,25,23,34,37,34,29,39,45,33,44,37,27,38,35,29,38,40,24,26,35,28,33,29,25,35,29,28,35,38,45,36,39,33,29,29,27,40,28,29,34,28,38,23,31,30,31,28,38,18,30,35,42,30,37,47,26,30,33,28,27,44,29,36,29,25,30,32,39,31,33,29,19,39,35,40,33,38,35,26,42,39,36,32,25,32,28,33,53,25,32,44,31,34,38,32,28,28,32,24,37,28,29,39,38,43,34,39,43,30,33,44,35,34,27,49,27,38,38,35,35,25,43,32,19,39,40,34,27,37,30,35,28,24,33,36,30,24,22,36,35,36,26,32,30,32,42,35,42,28,29,24,32,29,40,31,30,37,31,29,30,31,33,28,34,28,DES
file0261.html.enc,html_ecb,7.938155889657917,129.32856308411215,5420.214184150226,73.62210391010451,-0.03184684689976097,-1.194849606258133,364025,10.310951101465976,16,11,9,16,16,14,10,6,7,18,12,14,15,19,10,19,7,15,15,9,8,8,13,12,11,10,8,18,16,8,12,11,12,16,17,14,21,12,12,15,10,12,14,19,10,6,14,15,8,11,13,19,15,15,7,13,21,15,11,16,18,18,10,11,10,17,12,16,19,8,15,8,13,20,8,14,16,12,11,15,11,11,14,18,13,7,19,14,17,11,13,6,9,14,13,14,10,21,17,11,11,7,13,14,11,19,14,11,8,13,15,16,16,5,7,14,9,24,11,14,14,18,15,14,6,14,8,15,13,8,11,18,16,9,12,8,15,11,12,7,16,13,18,19,20,15,14,10,15,16,14,9,16,15,8,9,14,9,20,22,17,12,11,12,16,24,11,16,11,16,17,20,12,12,9,14,12,16,19,13,18,22,14,10,18,15,11,12,16,10,17,7,20,9,13,14,8,15,13,15,10,8,15,17,14,16,12,17,15,15,7,10,17,8,21,13,14,8,13,20,17,10,20,12,7,14,13,11,6,10,12,16,17,16,11,13,17,12,15,19,13,11,17,10,15,10,17,22,15,18,11,12,16,8,17,9,DES
file0260.html.enc,html_ecb,7.949011595159199,127.16826923076923,5498.430419440335,74.15140200589828,0.0001836957228937097,-1.2167105791346469,532706,10.330147099754393,22,20,23,17,16,11,18,12,18,30,21,33,23,23,19,30,10,29,14,22,18,24,26,12,15,19,18,16,10,19,18,13,25,21,24,19,29,20,10,18,23,18,16,23,20,22,16,19,15,19,18,23,20,16,20,18,24,21,20,18,39,24,13,16,14,15,21,29,32,11,20,18,24,25,20,22,24,19,19,24,19,26,13,7,23,21,24,19,19,16,27,15,24,18,9,19,16,28,24,18,26,18,16,22,15,15,15,19,15,19,17,10,15,14,16,11,18,16,25,24,28,19,26,17,21,16,8,15,13,13,21,20,30,17,15,14,25,15,25,26,29,20,16,14,22,16,22,15,11,23,26,33,17,18,17,20,16,17,19,25,16,19,18,24,17,21,15,27,12,17,26,28,14,20,21,15,14,21,28,14,11,19,18,17,20,22,22,25,23,19,22,29,16,28,19,24,17,14,15,18,15,26,23,27,15,23,24,19,22,20,20,21,22,13,25,12,19,13,15,26,24,18,23,17,16,22,13,20,27,15,15,16,12,18,15,14,21,25,21,18,21,24,31,15,20,16,15,22,27,33,19,15,19,19,17,10,DES
file0284.html.enc,html_ecb,7.899023541645536,125.4326923076923,5574.508581562668,74.66263176156241,0.00918340740680122,-1.2314908814366994,243220,10.310307830149764,13,9,10,7,12,9,6,12,5,7,11,9,9,14,6,16,6,7,10,14,16,13,19,7,12,13,7,15,4,9,9,8,6,8,13,13,16,6,5,8,11,4,9,11,11,12,7,11,8,6,5,7,8,9,7,8,11,13,7,7,12,8,13,6,6,5,19,12,10,12,8,6,2,12,4,6,8,9,5,10,3,7,10,6,13,5,13,8,9,2,9,10,8,12,4,10,4,19,11,7,15,16,7,7,3,10,6,10,5,9,9,9,11,6,10,5,13,9,11,7,16,9,9,11,13,12,5,9,5,5,10,6,8,3,15,6,13,5,9,9,9,8,4,7,5,5,9,4,6,9,14,14,7,11,8,8,7,9,10,4,9,7,8,11,11,11,4,10,7,11,8,12,6,15,10,10,7,11,11,11,14,8,8,8,12,8,7,12,17,6,8,12,10,4,10,11,3,7,14,8,7,6,4,5,11,15,11,7,16,5,10,7,12,10,9,7,5,10,9,14,8,5,11,9,6,2,12,6,11,11,12,6,6,9,9,7,8,10,12,8,8,7,11,6,13,9,3,12,15,9,7,6,7,9,5,8,DES
file0285.html.enc,html_ecb,7.920277991011918,126.34801136363636,5650.548632408962,75.17013125177421,0.012887094553183898,-1.2029961596377112,294414,10.22499027561218,17,13,16,8,18,9,8,14,10,10,13,18,16,13,11,14,7,14,14,4,12,10,18,11,8,11,12,13,14,8,10,15,13,13,10,15,18,6,8,11,15,16,10,10,7,16,4,10,10,12,8,10,7,8,7,7,14,14,15,13,10,6,14,10,7,7,18,15,8,9,12,8,9,18,8,6,9,13,13,20,9,7,5,8,10,8,16,9,10,8,7,6,9,6,13,14,14,14,13,8,14,12,9,19,9,6,10,12,8,9,5,16,14,13,10,7,3,8,7,10,6,11,18,11,16,10,12,16,13,10,13,13,12,9,9,7,18,14,14,12,14,13,11,15,14,8,12,4,9,13,12,12,11,6,10,7,8,17,15,10,7,10,14,9,15,14,14,11,9,6,11,12,10,16,7,10,6,24,17,11,9,6,5,14,10,8,13,7,14,6,17,10,8,12,4,9,9,9,7,8,10,15,7,13,13,12,9,7,13,15,11,11,11,8,7,14,9,11,9,14,14,7,9,12,3,14,13,2,4,7,14,9,10,16,10,13,9,11,15,10,12,11,14,12,14,14,8,14,17,13,9,12,12,8,18,13,DES
