file_name,format,entropy,mean,variance,std_dev,skewness,kurtosis,energy,rms,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,histogram_11,histogram_12,histogram_13,histogram_14,histogram_15,histogram_16,histogram_17,histogram_18,histogram_19,histogram_20,histogram_21,histogram_22,histogram_23,histogram_24,histogram_25,histogram_26,histogram_27,histogram_28,histogram_29,histogram_30,histogram_31,histogram_32,histogram_33,histogram_34,histogram_35,histogram_36,histogram_37,histogram_38,histogram_39,histogram_40,histogram_41,histogram_42,histogram_43,histogram_44,histogram_45,histogram_46,histogram_47,histogram_48,histogram_49,histogram_50,histogram_51,histogram_52,histogram_53,histogram_54,histogram_55,histogram_56,histogram_57,histogram_58,histogram_59,histogram_60,histogram_61,histogram_62,histogram_63,histogram_64,histogram_65,histogram_66,histogram_67,histogram_68,histogram_69,histogram_70,histogram_71,histogram_72,histogram_73,histogram_74,histogram_75,histogram_76,histogram_77,histogram_78,histogram_79,histogram_80,histogram_81,histogram_82,histogram_83,histogram_84,histogram_85,histogram_86,histogram_87,histogram_88,histogram_89,histogram_90,histogram_91,histogram_92,histogram_93,histogram_94,histogram_95,histogram_96,histogram_97,histogram_98,histogram_99,histogram_100,histogram_101,histogram_102,histogram_103,histogram_104,histogram_105,histogram_106,histogram_107,histogram_108,histogram_109,histogram_110,histogram_111,histogram_112,histogram_113,histogram_114,histogram_115,histogram_116,histogram_117,histogram_118,histogram_119,histogram_120,histogram_121,histogram_122,histogram_123,histogram_124,histogram_125,histogram_126,histogram_127,histogram_128,histogram_129,histogram_130,histogram_131,histogram_132,histogram_133,histogram_134,histogram_135,histogram_136,histogram_137,histogram_138,histogram_139,histogram_140,histogram_141,histogram_142,histogram_143,histogram_144,histogram_145,histogram_146,histogram_147,histogram_148,histogram_149,histogram_150,histogram_151,histogram_152,histogram_153,histogram_154,histogram_155,histogram_156,histogram_157,histogram_158,histogram_159,histogram_160,histogram_161,histogram_162,histogram_163,histogram_164,histogram_165,histogram_166,histogram_167,histogram_168,histogram_169,histogram_170,histogram_171,histogram_172,histogram_173,histogram_174,histogram_175,histogram_176,histogram_177,histogram_178,histogram_179,histogram_180,histogram_181,histogram_182,histogram_183,histogram_184,histogram_185,histogram_186,histogram_187,histogram_188,histogram_189,histogram_190,histogram_191,histogram_192,histogram_193,histogram_194,histogram_195,histogram_196,histogram_197,histogram_198,histogram_199,histogram_200,histogram_201,histogram_202,histogram_203,histogram_204,histogram_205,histogram_206,histogram_207,histogram_208,histogram_209,histogram_210,histogram_211,histogram_212,histogram_213,histogram_214,histogram_215,histogram_216,histogram_217,histogram_218,histogram_219,histogram_220,histogram_221,histogram_222,histogram_223,histogram_224,histogram_225,histogram_226,histogram_227,histogram_228,histogram_229,histogram_230,histogram_231,histogram_232,histogram_233,histogram_234,histogram_235,histogram_236,histogram_237,histogram_238,histogram_239,histogram_240,histogram_241,histogram_242,histogram_243,histogram_244,histogram_245,histogram_246,histogram_247,histogram_248,histogram_249,histogram_250,histogram_251,histogram_252,histogram_253,histogram_254,histogram_255,algorithm
file0380.py.enc,pyth_ecb,7.493894207166046,124.81862745098039,5513.878868704344,74.255497228854,0.08877056037965331,-1.1944525919124989,41952,10.140193756125408,3,0,2,3,0,1,2,0,3,0,2,1,1,3,3,3,1,1,3,1,2,2,3,2,2,1,1,0,2,1,2,3,1,1,0,1,1,0,1,1,2,1,4,4,3,1,3,4,1,1,1,0,2,0,0,1,1,3,3,2,2,1,1,0,1,1,3,1,1,4,2,5,2,4,3,1,1,3,2,3,3,2,0,3,3,3,0,0,4,2,3,2,5,0,0,0,0,3,0,2,3,1,4,2,1,0,1,1,1,1,2,2,2,2,1,1,1,0,1,1,1,0,1,2,1,2,0,1,2,4,0,0,3,4,1,1,2,0,2,0,2,1,1,1,2,2,2,2,1,2,2,1,1,2,0,0,2,3,2,3,1,4,0,1,2,2,0,1,2,0,1,2,2,3,3,3,1,2,1,3,1,1,1,2,3,0,1,4,4,3,1,0,1,2,1,1,0,1,0,1,3,1,0,3,2,1,0,2,3,1,0,2,2,0,0,2,3,3,2,1,1,3,2,0,3,1,0,0,1,0,1,3,0,3,1,2,0,2,3,1,2,2,0,1,1,1,1,1,3,2,0,4,0,7,0,3,DES
file0280.py.enc,pyth_ecb,7.825513041385556,125.51855895196506,5701.982188316393,75.51147057445242,0.11043809897923305,-1.2579936929891304,191712,10.22967683798501,7,0,8,7,7,4,13,8,5,2,12,5,8,10,7,13,5,6,9,5,7,7,4,9,14,8,7,5,7,11,7,7,6,5,4,6,6,3,6,6,11,6,7,11,6,8,14,21,3,16,3,7,12,9,6,7,5,7,7,9,6,7,5,6,6,5,19,4,5,13,12,12,5,10,10,4,5,12,4,11,7,11,4,11,9,8,7,9,6,9,8,13,16,5,9,7,4,17,9,21,11,8,17,4,5,0,6,2,4,8,16,5,5,3,3,3,5,3,4,5,8,11,7,6,5,6,5,5,6,15,5,5,6,8,5,6,8,4,9,0,9,6,4,3,4,2,9,4,3,8,2,6,4,11,4,3,5,9,9,5,4,11,5,5,10,3,8,8,5,4,1,7,6,5,4,6,2,9,5,8,2,8,5,14,10,3,8,3,6,9,8,5,6,6,9,3,2,9,4,6,7,5,9,8,8,6,9,10,7,5,13,8,9,3,5,4,13,9,6,8,8,8,14,4,10,4,7,2,2,4,8,7,6,9,6,11,3,16,8,6,8,15,5,6,8,7,7,10,8,13,6,7,13,10,5,8,DES
file0292.py.enc,pyth_ecb,7.8475674758192735,123.6784581218274,5569.287632394185,74.62765996863484,0.13082461338168175,-1.1805023717858418,664473,10.266692795855294,21,26,23,29,19,31,52,42,23,23,24,22,23,50,26,40,10,22,24,31,19,21,20,17,47,20,19,21,15,23,22,28,26,19,13,19,14,7,23,18,18,17,26,22,17,16,47,68,16,46,18,30,36,24,18,20,21,25,22,27,23,18,8,22,29,18,85,22,17,51,40,23,16,40,24,22,18,49,21,12,19,42,23,56,28,28,31,55,26,25,20,38,47,18,15,20,11,44,19,75,23,54,66,18,29,23,20,19,23,20,83,20,21,23,21,13,16,27,24,21,23,26,22,15,21,18,11,16,21,50,29,15,29,25,21,15,19,21,19,15,24,21,10,15,19,15,55,25,16,18,19,24,19,22,16,27,17,15,16,20,16,23,23,20,14,17,24,24,20,12,13,19,33,27,20,20,13,24,18,22,12,18,23,48,21,17,22,17,13,23,18,20,19,26,14,22,16,21,15,22,28,28,21,24,18,6,31,22,14,26,22,20,14,24,23,18,57,23,21,10,50,19,19,18,49,34,16,17,18,23,17,21,17,18,21,22,19,34,51,18,28,26,14,18,25,18,26,20,28,77,26,13,54,20,19,20,DES
file0392.py.enc,pyth_ecb,7.855939872975597,125.86570247933884,5611.462129465201,74.90969316093346,0.09999329677042797,-1.208694760112706,999336,10.160570362073413,31,32,29,37,45,27,81,80,23,39,37,20,35,66,36,52,34,37,28,37,27,28,35,27,67,31,24,24,29,22,20,51,26,28,27,33,30,28,22,32,38,38,29,36,30,38,54,111,28,78,27,26,67,42,27,27,32,32,35,43,32,37,29,22,29,28,128,34,29,83,64,32,21,74,42,36,26,63,26,24,37,74,25,67,40,38,26,85,37,32,38,71,75,33,44,30,18,63,24,92,31,82,93,29,40,35,15,29,29,50,130,23,28,25,32,23,34,43,32,30,38,33,33,31,31,28,28,24,30,65,34,25,39,40,36,28,31,15,27,15,29,33,22,18,31,32,87,41,35,46,29,30,32,29,20,36,35,31,29,27,32,32,36,22,28,24,34,28,40,29,18,31,36,32,32,27,27,38,33,32,31,18,38,69,24,26,26,34,39,26,40,24,31,33,33,27,19,31,25,28,35,42,41,35,38,20,48,42,39,37,41,40,29,36,27,22,76,37,42,29,85,34,33,25,80,26,31,29,24,26,42,26,24,37,26,42,32,67,76,38,32,36,24,38,35,36,28,41,35,135,37,35,80,34,39,24,DES
file0302.py.enc,pyth_ecb,7.831022357171557,123.03606158833063,5477.044080437049,74.00705426131383,0.14465991190353505,-1.182213006293506,519516,10.259162011898717,21,13,25,13,12,17,35,29,17,14,13,16,22,54,12,38,11,13,12,16,18,14,16,10,53,21,11,20,11,13,20,19,13,17,8,15,17,16,11,12,14,19,17,24,20,24,44,57,18,33,15,16,38,10,21,11,20,20,12,27,10,18,13,16,18,9,68,19,18,39,42,17,12,35,13,12,18,37,14,13,16,41,20,49,18,27,12,27,22,15,16,33,50,11,20,15,15,38,14,70,17,30,53,15,16,19,18,11,9,18,58,8,14,14,21,21,22,14,16,16,21,19,6,16,13,15,12,16,10,45,9,15,18,25,10,19,11,19,12,16,11,14,14,12,15,14,44,15,11,16,12,18,16,14,10,18,15,14,11,18,11,23,14,14,17,16,17,25,15,18,15,22,14,15,19,14,11,18,16,15,15,19,20,35,28,12,13,20,17,20,17,17,12,16,12,18,11,21,10,16,10,17,16,18,16,10,16,19,19,10,29,20,24,9,16,13,33,15,21,10,32,20,20,6,35,17,16,22,12,15,18,19,8,17,14,14,16,42,34,15,16,14,20,16,20,15,15,12,18,43,16,19,39,21,12,12,DES
file0202.py.enc,pyth_ecb,7.826738243551239,123.00431034482759,5559.894212190158,74.56469816334106,0.1569365160924615,-1.1959243369700325,309895,10.136583821238137,11,13,9,15,7,8,18,21,4,11,7,12,10,28,12,17,6,7,8,8,13,15,8,16,25,11,10,6,8,7,18,13,17,10,7,8,15,6,8,10,15,9,11,12,13,13,25,34,5,23,3,8,20,9,10,13,13,20,14,16,18,7,9,9,10,8,39,12,12,25,21,13,10,22,13,15,9,17,8,8,13,22,5,25,14,12,7,22,14,10,17,21,35,5,7,8,7,15,6,36,11,16,33,10,6,5,12,6,9,9,38,8,8,9,7,5,11,7,6,6,15,7,7,9,11,7,9,6,9,23,14,13,13,6,9,10,11,5,10,10,7,8,5,9,11,10,23,10,7,11,7,12,10,6,11,13,12,9,9,12,10,16,16,5,11,8,9,15,9,14,5,12,14,13,9,10,7,7,4,15,9,12,12,19,11,7,8,12,12,8,12,15,18,12,11,5,4,6,7,11,7,8,8,9,7,6,14,14,7,9,12,9,8,5,6,6,24,12,6,6,21,15,8,9,24,16,7,12,9,9,8,13,3,16,8,8,4,15,23,5,11,10,13,8,19,9,14,9,14,31,13,14,19,17,7,9,DES
file0361.py.enc,pyth_ecb,7.843625767614258,126.29133199464525,5623.763351907183,74.99175522620592,0.10721631249146937,-1.2259147451913457,626401,10.238136766250216,22,18,25,21,12,20,43,42,13,17,22,11,16,42,25,43,16,15,19,14,19,19,21,17,40,21,27,12,13,15,14,30,22,22,17,14,16,21,22,12,19,9,28,28,23,21,39,74,16,56,24,19,52,15,23,22,23,27,15,26,19,14,18,15,19,17,69,18,16,42,50,25,12,44,28,23,16,39,24,21,23,49,20,38,37,30,14,42,35,15,23,38,44,16,14,21,9,35,13,66,22,45,70,17,22,17,19,16,14,17,82,17,16,19,27,18,15,20,17,17,20,25,16,18,16,15,19,8,22,43,17,18,17,21,21,13,22,13,18,12,27,12,14,21,15,21,50,16,20,17,17,18,15,21,13,16,16,17,17,21,12,25,21,19,25,22,22,19,16,18,9,26,20,22,24,17,17,23,33,19,11,15,22,51,20,17,16,16,24,23,19,22,16,21,11,25,15,27,16,17,22,20,16,12,18,22,27,28,24,9,25,21,13,20,12,16,48,26,19,19,42,28,30,19,49,28,14,16,16,17,25,20,13,26,23,20,17,47,59,20,25,23,13,26,25,25,19,23,25,71,25,22,43,28,18,21,DES
file0261.py.enc,pyth_ecb,7.859819150194068,124.89382381889764,5502.229745319353,74.17701628752233,0.11845980025097809,-1.1834892880902683,838433,10.156459340665066,18,28,31,35,18,23,75,49,24,29,21,19,20,62,25,52,25,32,25,31,19,30,28,32,79,22,29,23,22,24,23,35,27,19,20,26,22,24,17,31,23,28,16,30,29,37,69,80,15,70,28,24,50,35,27,30,28,32,31,38,26,37,29,21,22,21,119,30,27,44,65,22,22,55,28,20,23,65,21,33,21,51,33,75,36,41,21,52,34,21,32,48,77,19,35,24,12,56,10,103,30,62,77,26,20,24,29,22,23,24,77,21,22,24,27,22,37,26,20,26,32,41,24,35,36,19,33,26,30,69,29,17,28,42,28,33,23,22,32,21,29,32,23,22,24,23,68,30,30,24,30,23,26,25,26,29,26,27,30,20,22,26,25,30,27,21,35,30,29,18,16,48,29,30,25,29,18,27,22,30,22,22,27,46,35,25,26,30,27,20,21,39,22,22,24,33,25,17,25,22,23,34,23,27,21,22,31,31,23,29,35,26,25,32,31,28,69,30,33,21,59,27,38,29,61,27,22,21,26,25,16,26,15,26,28,31,24,59,46,23,24,25,22,24,40,33,37,32,27,96,28,27,62,38,26,26,DES
file0210.py.enc,pyth_ecb,7.848016688109532,125.04399087221095,5537.816142896468,74.41650450603325,0.11442949130523668,-1.2027192875539485,823603,10.218226119558421,22,20,23,23,20,23,65,66,20,22,30,18,28,55,32,54,29,28,34,33,18,24,26,26,68,19,27,25,37,20,19,32,15,29,23,25,30,18,26,22,22,25,20,35,25,34,54,91,15,56,26,31,41,24,26,23,18,33,23,40,32,27,22,14,33,20,105,31,22,77,47,38,34,77,24,24,32,48,30,18,26,52,23,55,40,35,17,68,30,23,35,55,66,16,35,20,23,45,21,87,27,60,70,19,22,32,20,34,24,22,108,20,19,19,20,15,37,15,18,21,27,40,23,22,31,32,30,17,24,56,25,34,23,29,31,26,29,24,17,14,28,23,15,9,22,25,72,26,22,24,15,31,35,27,25,35,27,26,24,47,12,33,33,28,17,24,28,33,29,21,20,33,31,24,20,25,22,24,31,21,22,24,26,44,21,23,12,28,27,31,26,27,23,23,35,38,20,24,21,25,27,35,23,32,26,25,28,34,18,20,33,27,34,25,29,18,66,33,24,24,65,33,31,21,63,23,35,22,25,18,25,28,14,22,22,35,27,60,55,18,21,32,20,22,39,22,36,34,25,96,28,28,64,30,21,21,DES
file0310.py.enc,pyth_ecb,7.861121110498721,124.85902555910543,5595.624561776769,74.80390739645068,0.13653009677434977,-1.2080508818153752,775451,10.160132941278453,27,25,19,25,22,23,62,45,16,29,28,25,15,50,19,48,22,27,24,25,16,18,31,36,61,16,26,34,23,20,21,28,21,26,24,28,29,28,20,24,29,24,22,26,28,38,60,83,21,58,29,24,53,33,27,29,24,31,19,42,29,34,23,20,28,21,92,31,27,63,56,25,22,57,20,32,19,49,17,17,29,55,24,62,37,31,21,54,31,20,28,50,60,9,35,13,22,56,17,80,26,52,75,18,28,33,17,25,24,18,84,21,14,17,19,21,33,29,20,32,32,30,24,26,26,24,26,19,26,52,28,18,25,32,20,32,26,22,18,19,34,19,22,17,26,24,55,32,21,25,19,25,22,26,19,18,26,26,31,26,15,23,26,19,27,24,29,26,30,28,8,27,21,21,35,15,27,26,18,19,24,17,23,56,33,19,26,27,27,26,22,13,13,21,28,18,24,21,21,18,26,32,22,27,26,19,40,32,23,27,28,20,26,17,29,22,54,31,16,19,48,26,20,27,62,37,28,20,23,23,24,28,21,36,17,27,21,60,62,21,22,21,19,29,30,29,36,34,25,95,31,26,63,25,25,28,DES
