file_name,format,entropy,mean,variance,std_dev,skewness,kurtosis,energy,rms,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,histogram_11,histogram_12,histogram_13,histogram_14,histogram_15,histogram_16,histogram_17,histogram_18,histogram_19,histogram_20,histogram_21,histogram_22,histogram_23,histogram_24,histogram_25,histogram_26,histogram_27,histogram_28,histogram_29,histogram_30,histogram_31,histogram_32,histogram_33,histogram_34,histogram_35,histogram_36,histogram_37,histogram_38,histogram_39,histogram_40,histogram_41,histogram_42,histogram_43,histogram_44,histogram_45,histogram_46,histogram_47,histogram_48,histogram_49,histogram_50,histogram_51,histogram_52,histogram_53,histogram_54,histogram_55,histogram_56,histogram_57,histogram_58,histogram_59,histogram_60,histogram_61,histogram_62,histogram_63,histogram_64,histogram_65,histogram_66,histogram_67,histogram_68,histogram_69,histogram_70,histogram_71,histogram_72,histogram_73,histogram_74,histogram_75,histogram_76,histogram_77,histogram_78,histogram_79,histogram_80,histogram_81,histogram_82,histogram_83,histogram_84,histogram_85,histogram_86,histogram_87,histogram_88,histogram_89,histogram_90,histogram_91,histogram_92,histogram_93,histogram_94,histogram_95,histogram_96,histogram_97,histogram_98,histogram_99,histogram_100,histogram_101,histogram_102,histogram_103,histogram_104,histogram_105,histogram_106,histogram_107,histogram_108,histogram_109,histogram_110,histogram_111,histogram_112,histogram_113,histogram_114,histogram_115,histogram_116,histogram_117,histogram_118,histogram_119,histogram_120,histogram_121,histogram_122,histogram_123,histogram_124,histogram_125,histogram_126,histogram_127,histogram_128,histogram_129,histogram_130,histogram_131,histogram_132,histogram_133,histogram_134,histogram_135,histogram_136,histogram_137,histogram_138,histogram_139,histogram_140,histogram_141,histogram_142,histogram_143,histogram_144,histogram_145,histogram_146,histogram_147,histogram_148,histogram_149,histogram_150,histogram_151,histogram_152,histogram_153,histogram_154,histogram_155,histogram_156,histogram_157,histogram_158,histogram_159,histogram_160,histogram_161,histogram_162,histogram_163,histogram_164,histogram_165,histogram_166,histogram_167,histogram_168,histogram_169,histogram_170,histogram_171,histogram_172,histogram_173,histogram_174,histogram_175,histogram_176,histogram_177,histogram_178,histogram_179,histogram_180,histogram_181,histogram_182,histogram_183,histogram_184,histogram_185,histogram_186,histogram_187,histogram_188,histogram_189,histogram_190,histogram_191,histogram_192,histogram_193,histogram_194,histogram_195,histogram_196,histogram_197,histogram_198,histogram_199,histogram_200,histogram_201,histogram_202,histogram_203,histogram_204,histogram_205,histogram_206,histogram_207,histogram_208,histogram_209,histogram_210,histogram_211,histogram_212,histogram_213,histogram_214,histogram_215,histogram_216,histogram_217,histogram_218,histogram_219,histogram_220,histogram_221,histogram_222,histogram_223,histogram_224,histogram_225,histogram_226,histogram_227,histogram_228,histogram_229,histogram_230,histogram_231,histogram_232,histogram_233,histogram_234,histogram_235,histogram_236,histogram_237,histogram_238,histogram_239,histogram_240,histogram_241,histogram_242,histogram_243,histogram_244,histogram_245,histogram_246,histogram_247,histogram_248,histogram_249,histogram_250,histogram_251,histogram_252,histogram_253,histogram_254,histogram_255,algorithm
file0298.txt.enc,txt_ecb,7.9414356080443875,128.26484168865434,5560.453275766494,74.56844691802621,-0.0004218687022063225,-1.2158349429502673,318579,10.250474601278283,15,13,10,11,14,16,9,13,12,13,9,15,10,13,14,10,6,8,20,8,12,10,10,15,11,11,7,12,14,18,18,14,12,8,11,10,4,16,10,10,10,11,12,11,10,13,12,11,13,13,16,6,13,5,16,6,14,9,10,11,14,14,11,12,6,11,16,10,10,12,9,19,9,8,11,15,15,16,14,16,10,13,12,15,17,9,11,10,10,15,16,11,12,9,15,15,12,11,14,13,11,12,13,3,14,16,17,9,9,18,12,11,13,11,11,12,18,10,10,18,12,11,13,9,12,9,6,18,8,11,7,15,10,10,18,7,14,8,10,11,8,8,14,9,17,6,14,8,11,11,7,11,9,20,11,15,11,12,6,13,7,9,10,18,6,9,14,10,15,9,10,13,13,8,9,13,11,11,15,9,8,10,10,11,23,17,13,12,14,13,14,10,13,9,16,14,18,12,8,14,9,17,8,5,10,7,7,5,12,14,5,6,10,15,13,10,13,11,12,14,11,13,17,14,12,17,20,13,17,13,8,13,14,14,6,18,16,16,15,10,15,13,12,12,12,10,13,8,11,13,11,15,13,11,12,13,DES
file0288.txt.enc,txt_ecb,7.9731391330569865,128.69130109670988,5460.519734897377,73.89532958785269,-0.007465880895078753,-1.1918887618971012,853285,10.31220636912401,33,48,23,33,19,28,24,21,22,27,27,49,26,29,30,22,34,31,29,27,34,30,34,38,25,46,34,29,36,24,34,30,39,31,33,33,29,20,32,40,40,32,31,30,30,34,32,23,40,22,24,27,19,24,33,30,30,37,20,24,32,37,32,32,28,29,29,34,31,32,25,27,35,34,34,35,37,22,26,33,29,24,34,36,44,33,35,21,32,41,22,38,32,38,28,36,25,36,25,36,30,33,25,35,37,28,36,32,38,26,32,39,38,33,25,28,32,40,31,34,33,32,32,25,45,30,31,23,25,26,24,28,29,34,37,33,28,42,30,32,21,50,29,32,20,34,28,36,29,24,34,32,40,22,38,30,20,32,31,21,36,38,36,32,25,44,43,34,28,33,36,28,42,23,31,23,29,24,33,34,22,31,30,35,29,35,19,29,32,41,23,39,33,35,32,36,29,34,29,29,34,33,28,36,34,30,31,30,30,24,36,23,36,36,27,21,35,40,30,36,34,41,21,31,29,27,30,33,30,37,42,22,38,24,34,39,25,20,34,26,32,29,31,26,28,40,33,33,29,38,47,38,40,32,37,32,DES
file0221.txt.enc,txt_ecb,7.975519529867037,127.34454595791806,5554.037295834821,74.52541375822626,-0.004480174641044283,-1.217304173200527,768541,10.31441620339381,31,36,19,29,32,27,26,32,28,33,28,29,29,26,31,37,26,38,26,30,24,37,32,29,32,25,29,34,51,25,23,21,25,30,30,27,28,22,25,30,31,26,25,24,33,24,26,27,39,31,30,20,25,27,27,29,18,28,26,21,27,31,27,37,34,26,29,33,29,23,32,30,25,29,18,37,21,30,28,25,32,38,23,23,28,26,27,27,35,20,22,31,31,25,28,26,29,21,30,31,20,23,31,40,27,29,18,38,29,29,32,36,31,34,27,26,31,29,25,23,30,17,24,21,27,21,17,23,32,37,31,36,20,26,26,19,22,27,30,25,30,33,30,28,26,21,29,34,27,26,29,22,20,29,40,34,22,26,26,22,26,28,28,31,35,29,39,33,24,30,39,22,37,24,34,25,32,20,34,38,24,25,22,25,25,32,29,29,27,27,33,24,16,26,30,29,35,36,20,27,30,21,23,34,37,23,33,35,23,34,27,26,30,19,29,30,24,27,25,29,33,23,32,34,30,28,28,22,22,29,34,35,33,29,27,27,30,34,19,28,28,28,32,28,35,22,34,29,30,29,27,29,27,22,41,22,DES
file0359.txt.enc,txt_ecb,7.970207707490933,127.21620244565217,5464.742488839451,73.92389660211,-0.006930941900795096,-1.1991129022161189,616501,10.232529185524402,26,26,35,29,31,18,17,21,18,13,23,24,21,22,23,29,23,20,25,27,25,32,25,21,16,26,24,17,21,24,15,24,25,24,20,17,23,32,25,27,17,23,33,26,26,23,22,19,23,25,18,20,19,21,30,28,23,29,21,19,26,17,26,13,12,23,28,20,19,28,31,21,22,24,18,25,24,22,15,15,23,20,21,19,26,31,24,25,27,25,32,23,28,15,23,31,19,26,14,28,26,28,23,15,24,25,19,22,18,16,30,17,17,34,22,24,25,30,15,22,19,22,19,20,23,26,24,22,32,18,20,27,18,30,27,24,30,26,22,21,21,25,19,25,22,37,27,23,16,21,16,23,21,23,26,19,21,19,19,21,20,22,29,19,20,27,21,23,27,22,18,15,27,20,25,19,17,31,27,17,21,24,28,22,20,24,26,25,31,19,37,24,20,28,25,35,29,20,28,21,18,23,26,24,23,21,25,20,28,28,26,21,24,19,27,25,18,18,20,29,17,21,16,20,20,24,21,26,22,32,19,20,21,28,19,18,23,25,20,21,27,28,17,24,29,20,17,16,20,35,20,17,22,24,26,23,DES
file0231.txt.enc,txt_ecb,7.917245032927305,128.059628975265,5262.741585728066,72.54475574242473,-0.03379422839410612,-1.1583404404845623,239975,10.295437083241406,7,12,7,5,13,10,8,6,6,10,9,8,16,11,3,10,8,11,12,9,7,2,10,10,5,7,3,13,7,6,4,7,5,7,6,10,9,14,17,7,6,10,11,9,6,9,7,3,12,10,13,8,10,2,4,11,7,8,13,13,14,7,10,10,7,15,6,9,8,5,8,11,7,5,9,20,9,7,5,7,11,10,9,11,7,7,9,6,10,9,11,8,7,9,11,7,9,7,5,11,6,7,7,11,12,5,8,14,11,7,5,5,6,10,10,12,13,10,6,6,10,4,13,11,15,8,12,6,9,9,7,10,6,10,8,6,7,5,9,9,9,10,12,8,12,9,13,8,12,11,3,13,13,14,9,13,9,9,14,11,6,8,8,4,9,10,9,8,18,7,6,8,11,9,12,15,12,11,6,10,12,11,10,6,13,11,9,11,10,10,10,7,8,11,6,8,12,8,11,10,12,5,13,7,9,7,5,7,7,11,4,7,4,15,12,10,9,12,9,8,5,6,11,4,11,12,4,7,10,10,7,7,9,6,7,13,6,10,11,9,8,12,7,4,6,6,6,6,8,7,12,13,11,8,7,5,DES
file0349.txt.enc,txt_ecb,7.907999531625182,127.99609375,5325.504867553711,72.97605681011896,-0.016688495677119865,-1.1570512277195963,211210,10.155288416017537,10,7,10,4,8,4,12,5,7,7,13,8,13,8,8,5,11,8,11,7,7,7,6,7,11,6,5,8,8,7,6,8,7,5,5,7,9,10,11,10,3,11,1,5,8,9,4,8,12,9,4,4,9,2,5,9,8,13,10,8,6,11,7,8,10,11,10,6,4,7,5,6,4,6,5,8,5,6,8,9,9,13,3,12,12,11,9,8,9,8,9,9,8,8,14,8,10,10,8,6,3,3,8,12,12,9,9,10,8,8,7,13,17,9,6,4,13,10,7,7,7,7,7,10,11,8,10,9,14,5,6,9,6,9,6,6,7,9,8,9,6,5,11,2,13,6,7,9,4,5,6,9,15,6,16,6,9,11,7,11,6,3,8,13,12,14,7,11,8,8,6,9,8,10,7,5,4,12,8,7,10,9,5,9,5,6,5,9,8,9,14,4,6,8,14,5,13,5,7,10,9,4,4,12,8,10,9,5,8,4,6,10,4,5,7,4,8,6,8,15,9,3,8,7,8,10,12,10,10,8,11,9,8,11,6,7,7,12,8,10,9,4,15,6,4,7,5,5,8,7,9,9,9,6,5,7,DES
file0243.txt.enc,txt_ecb,7.9748302194328495,127.36217948717949,5419.142177667419,73.61482308385601,0.009408576186436013,-1.2001997398369468,684949,10.22450222091255,24,28,15,16,26,25,18,25,22,22,22,26,24,30,23,28,31,29,31,30,22,40,22,22,27,27,26,22,21,30,24,23,35,25,18,27,39,25,27,19,26,25,19,31,25,37,29,22,26,31,23,27,38,26,21,27,30,23,36,22,25,22,37,24,15,22,21,33,25,21,26,24,18,20,25,20,20,27,23,23,23,28,34,33,29,22,24,18,26,19,21,18,27,23,37,27,25,31,29,26,26,21,22,20,35,30,24,32,27,27,29,28,29,20,36,28,27,25,25,33,21,32,18,20,25,23,28,25,27,31,25,29,27,21,33,23,21,22,27,27,24,28,28,28,29,26,15,28,30,28,30,23,31,25,20,24,28,23,26,24,29,26,19,26,22,24,22,16,23,32,23,21,22,26,26,32,27,25,30,21,31,24,28,17,22,36,32,21,29,23,27,33,33,23,26,30,31,26,23,25,25,27,19,20,25,19,21,20,27,21,23,17,20,31,23,17,31,27,28,28,33,24,30,32,27,32,22,18,24,34,30,24,30,24,18,28,29,21,28,23,21,34,30,25,20,27,30,24,20,25,22,25,22,22,23,32,DES
file0253.txt.enc,txt_ecb,7.975406172656247,126.71646039603961,5411.851659748431,73.56528841613027,0.017631773660867725,-1.1899047544558894,852881,10.273975822821503,26,35,35,27,38,36,28,27,36,19,27,36,34,33,30,32,35,27,28,29,38,36,28,24,36,29,40,23,27,32,44,26,37,34,32,33,32,30,25,30,25,38,36,34,28,44,25,26,38,40,30,28,34,37,22,36,28,31,40,27,33,28,27,37,45,37,28,26,50,32,28,29,29,34,23,30,27,36,30,26,43,35,39,36,35,30,25,25,29,29,31,27,33,27,28,36,36,32,27,36,34,27,32,29,28,39,31,24,36,24,37,37,30,37,33,40,36,37,33,43,39,31,42,26,19,30,22,36,23,46,33,33,27,27,30,25,35,38,34,34,27,33,38,39,33,28,29,28,38,20,33,34,36,36,37,27,24,28,40,41,31,26,29,26,40,21,28,24,32,33,28,33,35,31,37,31,32,19,44,36,32,29,34,39,29,17,35,37,22,27,25,24,32,33,31,46,28,28,25,34,29,47,32,21,32,31,35,30,24,40,37,22,26,30,23,37,33,34,28,36,28,33,21,32,36,34,36,23,30,39,25,27,36,25,24,36,41,29,32,22,35,29,28,39,30,35,26,32,30,34,34,41,32,24,30,21,DES
file0382.txt.enc,txt_ecb,7.977870037591313,128.5246710526316,5522.976365023372,74.31673004797354,-0.02275580434412818,-1.2196098325589788,841061,10.315499962371392,34,27,25,38,22,28,31,30,36,26,31,29,21,32,26,41,39,35,42,28,28,30,42,34,30,35,27,33,42,30,39,42,35,24,25,24,37,27,27,33,29,23,27,28,31,33,23,20,31,27,43,24,23,32,31,38,27,28,18,18,27,37,25,31,40,36,30,31,29,27,22,30,38,33,23,33,33,24,37,30,35,25,24,28,31,26,29,33,30,32,40,35,27,27,32,31,32,28,42,36,29,29,23,34,33,23,28,40,26,29,34,34,31,38,25,33,26,29,31,28,35,26,33,31,29,29,35,33,34,32,39,29,22,29,38,30,31,37,37,38,34,21,29,27,29,29,30,30,29,25,27,31,29,19,36,29,41,24,25,33,29,27,23,26,31,31,29,29,28,37,27,32,31,34,27,24,33,31,31,20,30,38,21,34,32,34,29,25,35,31,34,36,26,41,28,31,32,32,24,36,40,37,23,39,28,26,29,31,33,38,34,29,34,39,30,28,26,33,27,47,33,29,44,31,30,39,39,34,35,34,36,35,31,36,42,32,41,25,21,29,29,28,35,36,18,32,32,26,41,24,33,33,29,30,30,27,DES
file0392.txt.enc,txt_ecb,7.940754448449469,129.51355421686748,5478.073912668748,74.01401159691824,-0.03586592727848854,-1.1918919968504893,350331,10.272360271240913,13,17,15,14,12,14,14,10,8,15,10,15,8,10,19,9,20,9,12,4,12,9,11,13,11,15,12,20,17,8,13,16,19,11,6,17,7,16,11,13,13,16,16,10,11,9,13,16,14,18,15,13,11,6,13,12,11,12,16,9,10,15,5,8,8,16,17,12,17,11,3,8,15,15,15,13,13,12,13,10,12,14,11,7,16,14,10,13,13,5,6,16,8,12,10,19,17,13,16,10,7,12,24,13,13,13,11,16,14,14,16,12,15,14,15,16,17,14,12,16,21,10,17,17,10,13,16,15,17,14,13,10,9,15,14,9,14,10,18,9,13,19,12,11,9,12,7,9,16,8,12,13,14,14,14,10,14,14,12,14,12,22,15,10,15,17,11,10,14,9,18,15,9,11,8,22,15,12,19,9,8,6,21,8,12,18,11,12,11,8,10,17,12,9,7,11,15,13,17,15,12,15,13,12,8,14,11,12,19,23,18,16,17,7,15,13,13,12,15,11,10,16,15,8,11,19,17,16,15,12,13,13,12,9,17,18,18,8,18,17,7,18,9,17,18,8,16,10,11,12,15,11,15,11,17,14,DES
