file_name,format,entropy,mean,variance,std_dev,skewness,kurtosis,energy,rms,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,histogram_11,histogram_12,histogram_13,histogram_14,histogram_15,histogram_16,histogram_17,histogram_18,histogram_19,histogram_20,histogram_21,histogram_22,histogram_23,histogram_24,histogram_25,histogram_26,histogram_27,histogram_28,histogram_29,histogram_30,histogram_31,histogram_32,histogram_33,histogram_34,histogram_35,histogram_36,histogram_37,histogram_38,histogram_39,histogram_40,histogram_41,histogram_42,histogram_43,histogram_44,histogram_45,histogram_46,histogram_47,histogram_48,histogram_49,histogram_50,histogram_51,histogram_52,histogram_53,histogram_54,histogram_55,histogram_56,histogram_57,histogram_58,histogram_59,histogram_60,histogram_61,histogram_62,histogram_63,histogram_64,histogram_65,histogram_66,histogram_67,histogram_68,histogram_69,histogram_70,histogram_71,histogram_72,histogram_73,histogram_74,histogram_75,histogram_76,histogram_77,histogram_78,histogram_79,histogram_80,histogram_81,histogram_82,histogram_83,histogram_84,histogram_85,histogram_86,histogram_87,histogram_88,histogram_89,histogram_90,histogram_91,histogram_92,histogram_93,histogram_94,histogram_95,histogram_96,histogram_97,histogram_98,histogram_99,histogram_100,histogram_101,histogram_102,histogram_103,histogram_104,histogram_105,histogram_106,histogram_107,histogram_108,histogram_109,histogram_110,histogram_111,histogram_112,histogram_113,histogram_114,histogram_115,histogram_116,histogram_117,histogram_118,histogram_119,histogram_120,histogram_121,histogram_122,histogram_123,histogram_124,histogram_125,histogram_126,histogram_127,histogram_128,histogram_129,histogram_130,histogram_131,histogram_132,histogram_133,histogram_134,histogram_135,histogram_136,histogram_137,histogram_138,histogram_139,histogram_140,histogram_141,histogram_142,histogram_143,histogram_144,histogram_145,histogram_146,histogram_147,histogram_148,histogram_149,histogram_150,histogram_151,histogram_152,histogram_153,histogram_154,histogram_155,histogram_156,histogram_157,histogram_158,histogram_159,histogram_160,histogram_161,histogram_162,histogram_163,histogram_164,histogram_165,histogram_166,histogram_167,histogram_168,histogram_169,histogram_170,histogram_171,histogram_172,histogram_173,histogram_174,histogram_175,histogram_176,histogram_177,histogram_178,histogram_179,histogram_180,histogram_181,histogram_182,histogram_183,histogram_184,histogram_185,histogram_186,histogram_187,histogram_188,histogram_189,histogram_190,histogram_191,histogram_192,histogram_193,histogram_194,histogram_195,histogram_196,histogram_197,histogram_198,histogram_199,histogram_200,histogram_201,histogram_202,histogram_203,histogram_204,histogram_205,histogram_206,histogram_207,histogram_208,histogram_209,histogram_210,histogram_211,histogram_212,histogram_213,histogram_214,histogram_215,histogram_216,histogram_217,histogram_218,histogram_219,histogram_220,histogram_221,histogram_222,histogram_223,histogram_224,histogram_225,histogram_226,histogram_227,histogram_228,histogram_229,histogram_230,histogram_231,histogram_232,histogram_233,histogram_234,histogram_235,histogram_236,histogram_237,histogram_238,histogram_239,histogram_240,histogram_241,histogram_242,histogram_243,histogram_244,histogram_245,histogram_246,histogram_247,histogram_248,histogram_249,histogram_250,histogram_251,histogram_252,histogram_253,histogram_254,histogram_255,algorithm
file0320.html.enc,html_ecb,7.966850527077728,128.65433114035088,5495.331993302627,74.13050649565687,-0.027169314602373776,-1.2172360949543395,774954,10.306128414430747,17,27,23,24,44,38,26,24,33,27,26,31,44,22,22,28,28,31,32,28,28,30,29,25,30,30,30,26,36,24,26,31,35,29,29,29,26,21,25,25,34,22,24,32,17,21,26,25,22,26,22,32,22,23,16,26,29,26,34,48,18,32,34,25,26,30,33,41,26,34,32,21,33,30,46,25,21,35,31,18,21,21,33,28,35,31,26,29,25,40,29,33,28,32,35,29,21,22,24,25,25,37,38,18,33,26,31,28,26,29,28,27,25,14,24,24,44,19,25,29,25,27,30,31,35,31,31,17,30,21,29,20,33,25,21,26,28,24,30,32,20,36,28,27,21,42,38,26,30,28,30,17,23,28,30,30,28,24,33,33,28,26,26,22,29,33,25,22,32,26,26,33,28,31,33,21,24,34,31,29,35,20,29,42,32,32,26,33,38,25,18,27,39,31,24,23,26,25,35,29,26,21,21,32,34,33,48,32,25,26,30,39,42,37,29,34,21,28,24,35,19,24,28,39,33,29,23,27,25,37,29,38,19,40,35,31,30,24,36,39,13,27,27,30,30,28,35,30,33,27,21,28,37,26,25,17,DES
file0321.html.enc,html_ecb,7.962779817658455,128.9270504731861,5534.630719376001,74.39509875909837,-0.0418361476790185,-1.202162302696278,791769,10.201499085733161,35,31,31,30,36,46,19,29,33,21,19,33,35,30,28,31,40,23,36,31,21,38,32,31,31,42,18,29,36,25,27,21,24,34,38,33,24,34,30,28,44,23,35,27,21,20,18,22,22,21,22,29,29,35,33,24,27,25,29,24,32,30,37,28,28,20,44,28,49,26,24,41,31,40,25,37,21,23,25,32,25,31,27,26,31,35,18,42,23,25,15,23,24,21,31,25,25,21,43,26,28,24,25,23,25,26,29,22,15,32,47,26,24,34,37,17,26,25,23,24,32,31,35,29,23,28,28,24,30,24,24,25,27,36,43,32,37,27,45,27,41,33,35,26,27,33,32,44,26,36,35,30,24,31,29,37,25,37,23,26,26,29,53,29,38,36,27,27,26,50,24,38,32,20,37,30,35,25,25,32,26,30,28,30,30,21,27,31,37,24,28,25,35,31,34,26,36,30,24,29,36,27,29,18,31,23,37,37,35,53,35,23,38,23,36,31,41,29,32,23,22,24,21,24,34,23,32,27,18,41,30,35,42,28,27,31,39,28,22,22,36,37,34,26,27,28,31,34,27,29,39,29,34,30,39,30,DES
file0228.html.enc,html_ecb,7.961148281479893,128.59797724399493,5493.759679852833,74.11990070050575,-0.027863545343430992,-1.2053723311791382,666550,10.263208011397245,19,25,29,21,26,28,16,22,20,31,20,33,22,30,29,39,29,21,27,29,35,21,22,26,26,23,18,27,24,25,27,17,24,21,19,23,16,24,22,22,26,25,27,20,24,24,32,28,24,24,16,13,22,27,25,20,25,18,20,15,37,23,19,26,33,32,24,31,33,23,31,18,21,24,29,23,24,31,17,18,33,20,19,18,16,32,15,24,20,22,23,24,24,20,40,24,22,24,28,28,29,23,24,21,17,29,21,26,25,31,36,21,23,24,45,19,21,21,28,18,28,17,19,23,24,21,23,31,26,17,27,23,18,38,27,18,18,30,18,26,19,18,38,25,20,19,33,32,24,36,25,32,17,27,22,29,24,25,21,24,25,18,35,27,23,26,23,28,26,34,20,27,19,30,21,25,22,17,28,26,27,30,23,15,31,19,28,27,21,25,23,18,19,25,22,22,44,22,31,19,34,25,32,23,20,22,16,19,25,30,26,22,21,21,30,37,28,33,23,24,22,31,25,28,22,28,25,22,31,31,39,26,32,14,24,11,30,24,22,34,28,21,37,15,28,17,22,22,22,42,34,19,21,27,17,23,DES
file0229.html.enc,html_ecb,7.935005023753456,128.97433460076044,5480.61055801732,74.03114586454352,-0.011302868055737022,-1.2094791287119597,448036,10.318548030613417,13,11,28,14,18,8,17,11,10,14,11,15,12,16,10,20,25,13,9,13,11,14,23,10,33,18,32,18,15,12,19,18,19,16,11,25,13,17,18,23,18,11,23,7,18,14,12,19,20,11,16,18,13,17,18,16,15,16,21,15,20,19,26,17,15,12,21,19,16,7,9,12,19,20,13,9,15,20,17,19,15,16,9,8,19,15,23,14,12,16,19,20,15,21,22,16,15,20,16,24,16,12,17,14,16,18,23,13,14,18,16,17,15,11,10,18,15,14,17,24,16,27,16,16,16,9,7,16,14,18,16,15,14,14,30,15,18,8,17,12,21,13,7,14,13,9,21,20,13,9,20,14,24,16,11,18,13,16,18,20,13,15,25,26,21,16,17,26,18,5,29,24,11,17,15,16,13,16,10,14,24,16,22,16,15,16,8,19,15,11,24,17,19,29,9,24,22,19,16,16,14,17,16,22,11,17,14,15,23,14,8,12,19,20,20,16,13,21,18,20,22,20,7,10,19,15,12,13,14,22,10,21,19,13,19,11,19,9,19,12,16,9,13,19,15,21,31,20,22,23,12,16,20,18,20,20,DES
file0369.html.enc,html_ecb,7.966016275199859,127.19022651006712,5495.321406156748,74.13043508678975,0.014120145914420974,-1.2107890252543694,995878,10.219271750015807,35,38,33,36,35,40,33,25,34,32,29,48,39,29,41,49,53,42,34,32,47,40,36,49,39,26,28,43,37,34,50,32,42,34,45,31,40,40,32,35,59,28,40,48,33,34,27,38,53,32,36,33,38,54,30,33,46,29,33,39,50,36,50,33,50,25,30,43,47,36,50,24,42,33,37,38,29,35,32,34,39,46,37,41,27,37,28,41,34,46,30,34,34,35,56,35,47,25,53,45,31,30,33,35,34,41,40,40,26,44,49,36,29,31,49,39,35,30,29,34,28,25,46,23,35,40,33,25,46,47,19,30,30,55,45,31,46,44,40,33,49,32,35,28,34,34,46,44,46,42,30,44,43,35,33,46,44,29,26,24,22,34,58,48,29,46,36,28,40,59,31,36,45,43,47,50,30,23,39,33,39,29,52,38,30,44,26,36,36,27,38,33,42,40,32,36,45,31,22,34,29,29,47,24,27,32,39,36,26,44,36,40,46,30,39,38,38,32,28,33,38,30,34,25,45,47,36,43,27,48,46,55,49,53,36,24,46,41,49,33,49,31,32,29,29,46,31,40,31,50,41,32,45,32,32,37,DES
file0368.html.enc,html_ecb,7.9709841241840245,127.56957659372027,5446.050820372583,73.79736323455319,-0.004270893172145497,-1.2039370217971368,887761,10.275469620785607,38,33,31,42,36,30,27,35,28,27,27,30,35,33,32,34,28,31,33,27,30,31,28,31,43,33,29,53,37,32,29,25,34,17,21,36,42,41,36,36,44,40,33,47,25,35,28,32,34,33,25,38,28,36,32,28,37,25,35,36,23,37,35,37,29,32,37,23,28,37,39,27,35,40,48,23,26,38,30,30,33,32,38,40,38,35,25,31,32,42,39,29,34,32,29,48,22,32,29,22,34,36,33,27,30,28,24,42,32,23,26,34,32,32,24,35,55,14,28,38,33,36,35,24,54,32,32,31,32,30,28,42,42,33,28,27,31,35,24,31,29,29,31,50,27,30,37,42,40,30,35,40,35,24,41,36,34,36,29,33,29,28,39,22,31,32,31,33,24,42,25,44,33,35,24,37,32,31,32,26,30,29,30,42,32,50,39,35,33,30,36,27,35,32,30,37,28,34,26,38,33,25,25,38,37,47,43,21,31,43,30,38,42,39,29,26,28,27,22,37,42,36,25,44,37,24,25,17,31,44,37,36,30,36,43,32,34,26,36,51,30,23,29,36,33,31,41,27,30,27,34,21,35,34,31,33,DES
file0261.html.enc,html_ecb,7.927377093908349,128.1042640186916,5418.223065930295,73.60858011081517,-0.007105032788502767,-1.1829872224144338,360673,10.263368874507318,10,10,18,10,9,15,11,10,17,17,14,17,15,9,16,12,16,13,14,14,14,7,16,18,11,14,10,15,13,12,12,11,9,8,12,19,8,14,8,16,16,13,16,15,11,17,10,12,19,4,8,12,11,33,12,9,16,5,14,12,11,20,16,16,12,18,11,18,29,12,18,14,20,5,14,11,12,12,8,10,14,10,9,13,7,14,14,25,11,12,9,10,10,9,16,9,16,16,19,10,9,14,13,11,5,19,5,14,16,12,22,12,15,13,19,11,13,15,10,12,10,12,13,8,15,18,13,16,15,13,19,11,11,16,13,15,15,11,20,8,17,13,23,8,5,17,15,25,8,14,16,16,13,10,17,15,19,12,13,10,7,17,23,14,21,12,10,15,14,24,12,8,14,11,16,19,10,19,8,18,11,11,8,15,11,17,12,21,12,12,11,11,11,7,16,12,12,12,11,13,12,12,17,14,6,15,17,10,16,13,10,12,24,10,19,11,13,16,11,10,11,6,9,15,13,12,11,11,13,18,16,9,14,21,7,13,24,14,8,13,20,17,17,11,12,9,10,10,14,20,19,6,16,9,15,18,DES
file0260.html.enc,html_ecb,7.955352632841181,126.62239583333333,5396.654490413829,73.46192544722626,0.010710738986191065,-1.1845173193861398,530373,10.307501702456994,17,15,21,19,30,20,17,30,20,25,21,18,14,15,16,17,17,23,24,14,18,17,24,22,20,11,18,21,31,18,25,9,19,17,21,16,18,21,18,23,18,27,16,27,24,18,18,15,17,15,17,25,19,14,22,21,19,16,13,22,16,18,22,20,16,18,33,20,21,18,15,22,19,16,34,16,17,19,17,24,21,19,28,17,13,19,18,15,13,27,26,12,18,20,16,22,25,22,14,26,20,31,21,17,24,20,18,26,21,16,16,28,13,19,26,19,33,15,23,22,26,14,15,19,29,18,16,17,14,17,19,18,27,13,20,18,23,18,11,13,20,17,19,19,15,27,29,25,14,16,25,17,15,26,25,27,21,17,22,16,14,13,25,19,13,24,18,19,18,28,29,30,25,23,12,16,18,13,12,17,13,13,8,25,22,32,11,26,24,21,14,21,16,24,15,11,19,19,17,20,15,24,21,24,10,24,25,15,22,23,16,19,22,21,17,23,17,21,24,16,25,12,19,24,23,22,13,20,15,24,17,19,14,24,20,14,21,16,22,22,14,13,19,30,23,12,20,16,19,15,14,19,17,24,18,17,DES
file0284.html.enc,html_ecb,7.880836277386168,126.3208041958042,5364.806175577046,73.2448371940101,0.031859912473124426,-1.1898285013258278,249640,10.445496235621915,10,8,6,9,13,8,5,9,11,8,6,10,4,9,8,11,9,9,8,7,6,9,9,6,7,3,7,10,20,6,10,13,13,4,10,5,8,9,10,12,12,16,17,14,5,15,7,11,3,11,13,12,6,8,8,6,11,6,5,13,2,9,7,4,7,18,11,11,9,15,1,12,7,12,21,11,7,9,8,5,3,11,13,5,9,7,12,5,11,11,16,8,10,5,11,15,11,9,5,8,12,9,11,6,6,8,7,13,13,8,7,7,5,4,7,4,16,10,5,7,8,6,14,9,12,13,6,5,13,7,9,5,11,10,11,9,9,8,12,7,8,8,11,19,5,11,9,18,3,10,14,6,5,8,18,7,7,8,20,4,4,6,6,10,6,8,8,18,6,16,8,11,15,5,4,6,6,11,3,5,12,6,8,8,5,16,7,10,14,7,9,5,7,9,10,9,9,13,5,6,12,12,9,12,7,14,13,5,9,5,11,4,9,6,9,9,6,6,9,11,6,3,9,9,13,7,4,16,9,8,8,10,7,8,13,10,6,3,13,18,4,7,6,12,11,6,12,4,12,8,10,9,4,8,9,8,DES
file0285.html.enc,html_ecb,7.910482124724654,126.73863636363636,5463.6724560950415,73.91665885370524,0.014582491278494522,-1.192214235369169,295654,10.246500234004513,13,8,8,8,15,14,6,8,12,14,7,14,19,8,13,13,16,9,10,19,8,6,16,9,20,12,5,13,10,8,7,7,9,11,8,9,4,14,15,10,23,8,12,9,6,12,13,16,12,6,13,14,9,17,14,11,15,11,11,8,17,12,13,12,11,14,15,12,16,10,17,9,12,8,10,1,3,5,4,6,13,11,12,10,11,8,10,17,11,9,8,14,13,12,12,9,8,6,7,10,16,11,7,17,10,8,15,21,5,11,15,15,8,11,17,12,7,9,12,9,8,13,8,11,7,11,15,10,13,12,7,6,2,6,13,14,14,11,18,8,7,11,12,5,16,14,13,25,4,12,14,16,13,9,13,11,12,16,15,9,5,11,18,17,13,13,9,4,8,15,12,14,17,13,9,17,9,5,12,14,11,13,6,10,9,9,10,10,7,8,10,11,8,9,11,7,9,3,7,15,13,10,16,10,11,13,11,13,9,9,8,12,15,15,8,12,11,11,10,5,9,13,12,8,13,5,7,13,7,15,8,8,13,15,8,5,16,12,7,9,14,13,18,13,17,10,7,8,7,10,21,12,10,12,8,10,DES
