file_name,format,entropy,mean,variance,std_dev,skewness,kurtosis,energy,rms,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,histogram_11,histogram_12,histogram_13,histogram_14,histogram_15,histogram_16,histogram_17,histogram_18,histogram_19,histogram_20,histogram_21,histogram_22,histogram_23,histogram_24,histogram_25,histogram_26,histogram_27,histogram_28,histogram_29,histogram_30,histogram_31,histogram_32,histogram_33,histogram_34,histogram_35,histogram_36,histogram_37,histogram_38,histogram_39,histogram_40,histogram_41,histogram_42,histogram_43,histogram_44,histogram_45,histogram_46,histogram_47,histogram_48,histogram_49,histogram_50,histogram_51,histogram_52,histogram_53,histogram_54,histogram_55,histogram_56,histogram_57,histogram_58,histogram_59,histogram_60,histogram_61,histogram_62,histogram_63,histogram_64,histogram_65,histogram_66,histogram_67,histogram_68,histogram_69,histogram_70,histogram_71,histogram_72,histogram_73,histogram_74,histogram_75,histogram_76,histogram_77,histogram_78,histogram_79,histogram_80,histogram_81,histogram_82,histogram_83,histogram_84,histogram_85,histogram_86,histogram_87,histogram_88,histogram_89,histogram_90,histogram_91,histogram_92,histogram_93,histogram_94,histogram_95,histogram_96,histogram_97,histogram_98,histogram_99,histogram_100,histogram_101,histogram_102,histogram_103,histogram_104,histogram_105,histogram_106,histogram_107,histogram_108,histogram_109,histogram_110,histogram_111,histogram_112,histogram_113,histogram_114,histogram_115,histogram_116,histogram_117,histogram_118,histogram_119,histogram_120,histogram_121,histogram_122,histogram_123,histogram_124,histogram_125,histogram_126,histogram_127,histogram_128,histogram_129,histogram_130,histogram_131,histogram_132,histogram_133,histogram_134,histogram_135,histogram_136,histogram_137,histogram_138,histogram_139,histogram_140,histogram_141,histogram_142,histogram_143,histogram_144,histogram_145,histogram_146,histogram_147,histogram_148,histogram_149,histogram_150,histogram_151,histogram_152,histogram_153,histogram_154,histogram_155,histogram_156,histogram_157,histogram_158,histogram_159,histogram_160,histogram_161,histogram_162,histogram_163,histogram_164,histogram_165,histogram_166,histogram_167,histogram_168,histogram_169,histogram_170,histogram_171,histogram_172,histogram_173,histogram_174,histogram_175,histogram_176,histogram_177,histogram_178,histogram_179,histogram_180,histogram_181,histogram_182,histogram_183,histogram_184,histogram_185,histogram_186,histogram_187,histogram_188,histogram_189,histogram_190,histogram_191,histogram_192,histogram_193,histogram_194,histogram_195,histogram_196,histogram_197,histogram_198,histogram_199,histogram_200,histogram_201,histogram_202,histogram_203,histogram_204,histogram_205,histogram_206,histogram_207,histogram_208,histogram_209,histogram_210,histogram_211,histogram_212,histogram_213,histogram_214,histogram_215,histogram_216,histogram_217,histogram_218,histogram_219,histogram_220,histogram_221,histogram_222,histogram_223,histogram_224,histogram_225,histogram_226,histogram_227,histogram_228,histogram_229,histogram_230,histogram_231,histogram_232,histogram_233,histogram_234,histogram_235,histogram_236,histogram_237,histogram_238,histogram_239,histogram_240,histogram_241,histogram_242,histogram_243,histogram_244,histogram_245,histogram_246,histogram_247,histogram_248,histogram_249,histogram_250,histogram_251,histogram_252,histogram_253,histogram_254,histogram_255,algorithm
file0380.py.enc,pyth_ecb,7.457991971979956,128.3700980392157,5378.198811755094,73.33620396335697,0.028224320131090396,-1.132618519290625,44217,10.410331406828506,1,2,1,3,1,2,0,0,1,3,2,4,0,1,3,2,4,3,1,1,0,2,2,0,2,1,0,1,3,2,0,3,0,1,1,0,1,2,0,2,2,2,1,2,2,0,1,4,2,0,2,0,0,3,0,1,0,0,2,2,0,2,1,0,5,1,1,2,3,1,6,1,1,2,1,3,1,1,3,0,0,2,5,0,3,3,1,3,1,1,2,1,5,1,1,3,1,2,1,1,2,5,1,1,2,2,4,2,3,3,2,1,1,2,2,4,4,0,1,1,0,2,1,0,2,0,1,4,1,1,0,4,1,3,1,2,1,3,1,2,1,1,0,1,1,0,1,0,1,0,0,1,1,2,3,2,6,1,3,5,0,0,0,0,3,1,2,3,4,3,2,2,2,1,1,1,0,4,3,4,2,2,1,1,0,3,2,1,3,0,0,3,1,2,0,2,1,0,0,1,1,1,1,3,1,1,2,0,1,1,1,0,1,0,2,1,2,1,4,1,0,2,3,1,0,1,2,3,1,1,1,2,0,3,4,1,2,1,1,6,1,0,4,1,2,1,2,4,2,1,2,3,3,1,1,0,DES
file0280.py.enc,pyth_ecb,7.824555807790141,130.78875545851528,5523.755048232776,74.32196881294773,-0.07459620877334006,-1.2335549042732843,198919,10.420184267788764,10,3,6,7,12,4,4,3,2,4,3,6,8,6,7,9,7,14,5,8,1,5,26,7,2,12,10,10,8,3,5,8,5,9,6,7,4,3,11,7,10,7,7,7,7,7,6,20,7,3,13,5,8,5,4,4,9,7,5,6,4,7,11,14,7,8,4,3,7,9,7,14,5,8,5,4,1,5,2,6,6,5,2,3,4,7,9,9,7,10,3,5,7,9,12,16,8,9,5,2,7,6,6,7,6,10,6,7,6,7,7,3,1,7,3,2,9,1,7,8,10,7,8,5,5,4,7,5,13,12,2,4,5,8,5,7,8,3,5,7,9,4,3,7,7,6,6,7,10,3,6,5,5,4,6,7,6,9,14,18,14,10,6,5,3,12,10,11,5,6,15,15,7,5,13,16,10,5,7,6,1,14,15,6,6,3,8,7,13,6,9,8,10,4,5,10,5,3,11,6,3,11,11,6,7,10,10,5,11,7,6,3,8,10,14,5,10,5,5,8,4,15,3,3,10,4,2,7,6,5,6,7,6,8,10,6,8,16,9,11,8,11,7,10,11,2,6,5,11,4,7,4,3,16,6,8,DES
file0292.py.enc,pyth_ecb,7.84792941423153,127.6633883248731,5577.862580905042,74.68508941485604,-0.00481746481235241,-1.2199513506442496,674984,10.347576287487843,21,30,29,28,23,29,22,18,21,14,17,21,24,21,24,36,22,54,16,26,16,22,72,23,16,55,16,26,19,17,15,21,30,27,12,24,20,22,32,40,24,23,21,20,18,52,8,44,24,36,54,12,27,18,15,22,20,19,15,17,15,25,50,55,21,22,15,18,24,14,12,72,21,15,10,27,15,19,13,23,15,26,22,17,22,20,21,16,20,24,19,24,24,45,53,40,21,20,21,15,19,25,26,22,23,47,20,19,27,17,16,19,18,20,20,13,32,27,26,16,23,16,25,18,25,21,22,18,54,49,17,22,17,17,21,13,24,17,21,22,29,18,12,15,22,19,19,15,16,26,23,47,22,24,27,9,15,50,38,38,43,22,22,22,16,16,23,30,24,14,44,61,20,26,47,81,21,10,30,19,14,41,51,9,18,13,26,16,56,17,14,17,24,22,19,27,15,20,21,24,18,21,19,12,14,31,18,23,26,23,28,14,23,19,53,13,48,16,11,20,20,46,15,12,21,22,19,24,19,27,26,30,31,19,18,22,19,51,25,43,24,25,19,57,25,21,14,14,12,14,19,17,23,82,23,22,DES
file0392.py.enc,pyth_ecb,7.861524241429051,123.96435950413223,5414.571560333566,73.58377239808765,0.03834190383152996,-1.163476576285151,1028945,10.309993747543214,23,56,96,35,29,29,92,27,31,76,34,81,33,39,35,43,29,33,24,73,31,31,19,27,26,27,32,38,36,23,52,43,31,68,24,28,24,28,29,60,30,34,81,84,36,30,23,39,24,41,42,23,31,34,34,30,31,48,25,27,23,49,31,32,34,28,33,26,36,28,98,37,39,63,30,32,31,21,26,21,32,25,81,23,23,48,74,95,35,29,32,28,37,43,24,31,37,86,34,80,25,29,28,36,42,28,78,28,65,34,28,137,22,32,33,70,22,27,38,40,87,36,39,25,22,25,28,25,26,31,33,37,23,28,27,29,38,75,30,24,28,26,35,23,37,27,31,24,48,25,30,61,28,39,59,35,53,44,31,53,31,34,35,37,35,22,62,33,31,40,32,83,37,65,74,17,25,22,38,82,37,23,25,22,35,38,31,23,58,17,28,42,32,38,17,36,75,44,77,43,20,36,27,32,21,32,79,33,32,17,21,29,32,27,47,28,35,19,34,27,30,32,22,36,34,22,87,36,34,43,27,31,29,25,33,36,31,25,24,36,31,30,27,40,80,49,38,25,30,38,37,28,35,34,28,29,DES
file0302.py.enc,pyth_ecb,7.83658758160425,124.13816855753646,5302.518186597195,72.81839181551042,0.039257556632800464,-1.1281818449382053,514748,10.211975364384095,16,37,40,20,19,15,32,13,12,37,19,36,17,14,21,17,14,16,16,41,18,11,16,11,11,22,14,21,18,13,13,26,13,27,10,15,13,21,8,39,17,16,32,34,17,12,17,12,21,11,13,9,20,23,15,17,17,14,17,10,16,20,14,20,14,20,20,16,25,14,75,27,14,47,10,11,17,10,16,12,24,13,42,13,18,17,26,62,10,10,12,13,27,23,11,23,19,36,15,36,19,15,11,15,19,19,35,23,38,13,20,51,13,21,13,43,14,17,17,12,39,15,11,20,16,15,14,15,16,16,13,26,6,18,17,10,12,46,13,12,11,20,18,15,24,11,22,21,15,8,14,44,9,20,37,19,34,15,25,26,15,16,22,19,25,8,43,19,16,20,14,35,13,33,29,20,18,11,18,52,13,16,21,11,9,19,14,12,48,9,12,29,15,16,10,19,35,14,32,20,13,12,19,23,9,12,34,5,18,11,14,21,10,18,10,12,14,13,25,4,16,11,19,24,16,12,38,16,19,12,13,14,9,17,12,20,18,12,10,25,12,20,20,14,34,20,15,7,18,31,18,22,20,21,13,11,DES
file0202.py.enc,pyth_ecb,7.824122367950703,129.50497347480106,5498.967481895847,74.15502330857868,-0.017401361550034553,-1.1913182012882404,325989,10.396467595368076,12,9,7,8,9,13,12,10,12,6,11,7,7,9,11,23,11,29,11,12,6,9,29,10,6,28,5,12,12,11,8,10,11,10,1,9,5,6,12,24,8,8,14,10,9,18,7,20,15,9,28,9,9,7,10,5,9,11,14,12,10,8,30,24,8,10,10,7,11,10,7,38,9,12,4,11,6,7,3,9,11,10,13,12,6,8,11,10,13,13,6,11,8,22,25,20,8,10,10,11,12,4,14,7,10,25,10,11,9,10,5,11,7,9,8,10,17,10,13,7,11,10,11,7,7,6,6,10,27,27,13,12,10,7,5,13,13,6,14,13,17,13,5,15,12,10,8,9,11,13,16,22,13,8,7,7,13,21,20,24,15,15,16,12,7,10,15,15,6,5,25,22,6,7,19,37,5,5,12,7,5,25,21,11,9,7,14,9,27,10,11,9,11,9,8,12,14,9,7,7,6,8,9,10,11,12,11,9,9,9,6,5,8,12,20,9,19,5,10,10,12,25,8,14,14,11,11,7,2,6,6,13,8,10,17,12,15,22,15,21,10,24,11,23,9,7,4,7,9,10,15,12,8,39,17,10,DES
file0361.py.enc,pyth_ecb,7.855772385969096,128.32898259705487,5512.577178750701,74.246731771511,-0.004599436420053381,-1.2175074083090986,649664,10.426513418280324,25,9,18,18,23,19,18,20,15,19,21,19,21,20,17,41,19,49,18,22,14,15,70,20,17,51,28,31,16,19,16,22,16,20,18,15,21,16,21,48,23,18,22,23,30,52,25,47,30,27,37,20,15,21,21,20,20,11,15,16,15,17,47,45,21,22,17,17,18,28,19,70,22,14,18,18,24,17,21,9,20,13,25,15,14,10,17,12,17,26,16,17,20,51,49,35,23,19,20,11,10,16,22,27,20,47,21,15,17,19,17,23,17,24,22,17,20,16,18,27,20,20,22,20,22,20,18,21,52,50,17,16,19,23,18,21,13,17,27,19,26,18,16,16,17,18,30,15,26,21,18,43,15,20,18,16,9,43,43,44,36,18,29,25,18,22,24,36,9,20,55,40,17,24,48,58,15,17,31,19,19,43,41,17,21,18,20,27,38,26,19,23,9,18,15,19,17,14,16,24,21,27,29,8,11,24,15,20,24,18,18,12,20,19,53,21,39,12,16,16,24,33,14,23,25,19,13,20,16,19,14,33,29,22,17,20,23,62,17,54,19,22,18,38,24,13,8,30,18,15,24,18,32,67,19,17,DES
file0261.py.enc,pyth_ecb,7.866178278899748,127.44438976377953,5433.084259863832,73.70945841521176,-0.030344666360809732,-1.2270452177014697,872506,10.360777890869826,29,24,25,28,21,30,27,72,26,24,22,20,25,26,27,31,29,23,40,19,57,23,49,14,20,42,79,54,61,20,27,29,21,22,81,21,32,28,57,42,62,23,33,20,54,29,22,30,20,32,29,25,55,19,21,27,24,27,31,48,71,24,35,28,22,14,20,28,61,38,24,26,19,21,54,35,24,16,19,27,35,26,22,13,23,37,22,43,23,24,14,26,25,20,26,23,35,23,26,31,28,30,31,23,33,20,31,36,24,24,23,31,26,25,30,26,35,27,21,22,40,107,28,25,78,29,21,29,29,29,35,25,29,23,35,49,26,51,17,17,66,57,34,23,56,30,56,20,16,26,42,24,27,28,22,31,24,18,29,29,34,21,21,35,28,25,68,49,100,21,31,27,28,24,21,26,20,22,28,18,16,61,21,32,19,31,20,25,44,31,30,65,28,32,35,27,32,89,47,25,26,28,34,34,21,67,24,29,20,60,21,65,43,31,29,20,20,30,25,24,27,24,21,33,40,68,70,24,35,23,28,26,34,15,29,30,45,18,24,32,25,31,21,21,36,43,36,36,30,20,16,23,23,40,22,24,DES
file0210.py.enc,pyth_ecb,7.871966934694978,126.35395537525355,5422.13713952742,73.63516238542168,-0.0049894753608021305,-1.2398772366487318,844566,10.347450225361252,19,31,27,24,29,19,24,52,25,19,29,26,24,25,20,14,34,29,23,25,69,26,54,22,19,44,68,67,71,14,39,26,27,19,81,29,25,34,51,33,51,29,32,18,49,12,24,25,26,22,36,20,67,18,27,27,15,26,31,56,54,21,37,22,27,16,23,40,61,33,33,25,24,25,59,28,22,31,21,29,29,36,36,20,15,32,22,37,31,26,27,28,26,19,21,29,33,23,18,21,25,29,24,20,32,15,35,27,18,25,20,23,22,29,21,33,31,25,24,22,40,95,29,34,51,26,27,25,24,21,26,21,37,22,31,51,37,57,28,23,41,45,22,24,70,19,53,24,28,35,27,20,27,17,25,26,19,27,19,29,26,15,19,27,26,29,52,49,77,33,30,35,27,18,25,32,29,22,44,30,25,67,26,25,17,29,21,23,40,31,31,48,25,41,28,23,33,83,67,29,23,19,30,22,29,46,20,22,24,51,18,72,29,24,30,28,18,24,20,15,27,25,22,32,40,66,76,20,32,30,17,28,28,17,27,28,51,26,25,20,36,23,20,28,29,54,24,24,22,17,18,26,27,37,20,16,DES
file0310.py.enc,pyth_ecb,7.868365485035716,128.35756123535677,5444.919807044972,73.78969987095063,-0.00961648365988963,-1.2066421929892652,814622,10.413585273740313,27,20,16,19,30,23,19,29,21,21,31,20,32,25,22,53,27,58,27,28,25,19,88,30,21,58,25,25,31,27,22,15,23,26,19,26,33,15,32,56,11,29,31,20,20,65,23,67,24,19,42,21,22,33,25,16,21,35,26,27,18,26,56,57,28,30,18,14,24,14,24,95,27,18,13,33,25,31,33,25,30,26,22,25,23,15,21,28,26,23,22,23,33,55,50,56,35,22,26,15,23,19,32,26,29,62,26,21,19,36,26,27,24,25,23,21,30,16,22,29,31,28,24,29,31,16,14,27,66,62,24,30,18,18,23,19,33,23,26,26,27,25,20,19,24,19,25,18,26,31,30,50,27,30,22,17,26,47,41,53,49,30,24,28,29,24,31,39,38,16,51,52,23,31,52,87,19,18,42,18,27,54,63,30,25,11,20,17,59,25,27,17,25,25,23,23,26,17,30,22,22,41,25,18,27,38,30,33,23,16,19,26,32,31,58,16,53,25,27,12,26,52,22,19,30,22,29,23,28,25,24,29,38,20,27,32,20,55,20,53,19,27,20,52,34,23,13,27,28,23,21,26,20,78,22,39,DES
