file_name,format,entropy,mean,variance,std_dev,skewness,kurtosis,energy,rms,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,histogram_11,histogram_12,histogram_13,histogram_14,histogram_15,histogram_16,histogram_17,histogram_18,histogram_19,histogram_20,histogram_21,histogram_22,histogram_23,histogram_24,histogram_25,histogram_26,histogram_27,histogram_28,histogram_29,histogram_30,histogram_31,histogram_32,histogram_33,histogram_34,histogram_35,histogram_36,histogram_37,histogram_38,histogram_39,histogram_40,histogram_41,histogram_42,histogram_43,histogram_44,histogram_45,histogram_46,histogram_47,histogram_48,histogram_49,histogram_50,histogram_51,histogram_52,histogram_53,histogram_54,histogram_55,histogram_56,histogram_57,histogram_58,histogram_59,histogram_60,histogram_61,histogram_62,histogram_63,histogram_64,histogram_65,histogram_66,histogram_67,histogram_68,histogram_69,histogram_70,histogram_71,histogram_72,histogram_73,histogram_74,histogram_75,histogram_76,histogram_77,histogram_78,histogram_79,histogram_80,histogram_81,histogram_82,histogram_83,histogram_84,histogram_85,histogram_86,histogram_87,histogram_88,histogram_89,histogram_90,histogram_91,histogram_92,histogram_93,histogram_94,histogram_95,histogram_96,histogram_97,histogram_98,histogram_99,histogram_100,histogram_101,histogram_102,histogram_103,histogram_104,histogram_105,histogram_106,histogram_107,histogram_108,histogram_109,histogram_110,histogram_111,histogram_112,histogram_113,histogram_114,histogram_115,histogram_116,histogram_117,histogram_118,histogram_119,histogram_120,histogram_121,histogram_122,histogram_123,histogram_124,histogram_125,histogram_126,histogram_127,histogram_128,histogram_129,histogram_130,histogram_131,histogram_132,histogram_133,histogram_134,histogram_135,histogram_136,histogram_137,histogram_138,histogram_139,histogram_140,histogram_141,histogram_142,histogram_143,histogram_144,histogram_145,histogram_146,histogram_147,histogram_148,histogram_149,histogram_150,histogram_151,histogram_152,histogram_153,histogram_154,histogram_155,histogram_156,histogram_157,histogram_158,histogram_159,histogram_160,histogram_161,histogram_162,histogram_163,histogram_164,histogram_165,histogram_166,histogram_167,histogram_168,histogram_169,histogram_170,histogram_171,histogram_172,histogram_173,histogram_174,histogram_175,histogram_176,histogram_177,histogram_178,histogram_179,histogram_180,histogram_181,histogram_182,histogram_183,histogram_184,histogram_185,histogram_186,histogram_187,histogram_188,histogram_189,histogram_190,histogram_191,histogram_192,histogram_193,histogram_194,histogram_195,histogram_196,histogram_197,histogram_198,histogram_199,histogram_200,histogram_201,histogram_202,histogram_203,histogram_204,histogram_205,histogram_206,histogram_207,histogram_208,histogram_209,histogram_210,histogram_211,histogram_212,histogram_213,histogram_214,histogram_215,histogram_216,histogram_217,histogram_218,histogram_219,histogram_220,histogram_221,histogram_222,histogram_223,histogram_224,histogram_225,histogram_226,histogram_227,histogram_228,histogram_229,histogram_230,histogram_231,histogram_232,histogram_233,histogram_234,histogram_235,histogram_236,histogram_237,histogram_238,histogram_239,histogram_240,histogram_241,histogram_242,histogram_243,histogram_244,histogram_245,histogram_246,histogram_247,histogram_248,histogram_249,histogram_250,histogram_251,histogram_252,histogram_253,histogram_254,histogram_255,algorithm
file0298.txt.enc,txt_ecb,7.938249441614635,125.65105540897098,5532.370981735716,74.3799097991905,0.03718110732854601,-1.2069673862901373,314462,10.184025724006668,18,15,16,11,9,14,13,13,13,13,10,10,16,11,4,12,12,9,13,14,11,15,13,11,10,18,12,13,13,13,12,16,11,11,10,9,10,8,11,6,15,14,14,16,11,10,9,13,15,12,7,14,15,19,15,14,7,15,14,15,13,14,12,11,16,12,15,11,12,9,11,11,15,12,23,8,12,15,7,14,14,12,9,17,13,14,15,11,7,9,12,8,12,10,15,9,10,7,12,9,14,3,9,16,8,7,7,13,13,12,9,8,9,14,14,13,22,13,18,19,7,12,6,15,7,19,14,15,6,8,18,13,10,12,13,11,11,15,9,13,10,13,16,12,16,17,13,12,7,5,10,11,12,8,19,7,13,17,13,17,11,6,7,11,10,8,13,7,10,10,11,11,7,7,12,9,9,15,12,17,11,10,4,11,8,12,15,16,12,13,10,12,18,16,14,12,8,12,8,10,11,10,10,17,8,13,14,9,11,12,19,18,11,8,12,8,10,11,9,9,11,14,8,12,9,15,7,17,10,19,4,16,12,16,10,7,11,11,8,10,17,8,9,16,16,11,12,8,13,11,10,8,13,22,10,12,DES
file0288.txt.enc,txt_ecb,7.977317838924016,127.15889830508475,5382.482852026547,73.36540637130382,0.006538082400315802,-1.1745070952942638,844127,10.256718489725044,36,29,29,25,32,32,30,36,32,42,27,34,29,38,32,33,36,27,27,33,34,22,35,21,23,34,28,32,27,25,33,28,28,34,37,24,28,25,41,24,37,29,30,31,27,32,30,29,36,30,35,47,24,25,46,36,24,38,36,22,28,29,29,23,31,37,27,23,39,29,23,35,34,36,32,34,33,25,27,30,44,27,30,32,44,28,36,31,29,39,34,26,32,33,43,33,29,26,32,36,45,32,32,27,27,29,32,30,38,23,26,24,34,34,35,33,41,32,30,34,33,34,23,29,33,30,27,32,44,30,31,36,27,31,34,36,40,35,37,35,30,36,34,36,23,26,33,26,29,27,19,34,50,37,29,33,29,44,30,31,38,33,31,37,31,40,30,27,33,28,30,27,25,43,32,31,38,31,24,39,24,27,27,26,28,29,25,26,46,32,36,24,30,30,30,37,27,32,29,24,36,27,35,25,37,33,31,35,23,23,31,27,30,16,35,29,30,26,36,32,27,34,42,40,26,34,42,28,36,37,29,21,27,36,32,30,34,34,26,22,32,31,27,33,32,23,40,34,28,28,19,29,26,35,30,41,DES
file0221.txt.enc,txt_ecb,7.973329333323232,126.21483942414174,5485.258661297582,74.06253210158009,0.014028157967859719,-1.197820018746599,763666,10.281651021591308,23,33,21,31,43,26,37,31,33,32,29,25,28,34,27,18,33,34,29,29,37,38,24,22,31,40,30,25,20,30,24,32,28,28,28,24,19,27,34,31,34,30,34,39,19,35,24,35,25,30,14,32,26,30,26,29,32,25,31,26,26,21,25,18,27,35,29,25,26,27,31,28,27,34,32,40,26,35,32,24,27,19,25,37,29,30,30,28,18,31,28,28,33,20,22,29,17,36,29,26,21,20,19,32,32,38,23,29,42,27,18,37,28,23,32,27,36,33,22,35,34,30,19,26,39,28,29,34,28,29,29,43,26,26,29,25,32,25,25,27,25,24,27,24,24,25,24,27,34,29,24,34,27,30,19,35,33,37,30,33,20,23,32,28,28,35,30,32,26,21,31,27,21,27,29,24,29,28,22,29,30,29,27,32,34,33,22,35,36,29,20,24,26,26,16,25,24,28,31,27,26,20,20,21,29,31,29,27,31,28,44,33,26,34,25,25,24,34,29,25,34,31,22,32,23,24,37,22,27,28,31,21,24,36,31,37,19,23,25,30,18,34,32,30,24,27,23,19,24,25,25,30,28,30,30,35,DES
file0359.txt.enc,txt_ecb,7.968524436087318,127.64538043478261,5596.918742246574,74.81255738341375,0.011896728871382366,-1.2419090805603263,620806,10.268193688786493,21,16,25,16,29,20,20,22,21,32,23,20,27,27,20,19,23,22,27,16,30,20,31,29,21,24,19,23,27,32,21,27,23,25,27,21,18,16,29,27,20,23,23,25,32,25,29,21,13,26,23,21,28,25,23,35,23,24,31,20,23,17,25,25,19,21,29,25,27,23,22,31,14,27,22,22,22,18,30,20,27,26,14,22,24,16,23,21,29,29,26,20,21,21,19,24,22,16,28,24,24,21,21,23,16,32,16,30,28,20,17,26,18,23,14,20,15,25,15,28,25,15,25,24,32,25,15,20,31,23,12,20,21,25,17,20,26,17,16,27,27,15,23,18,21,28,21,29,16,24,24,31,15,23,27,19,20,19,25,23,28,32,21,23,24,18,19,16,25,18,21,22,20,26,32,15,20,19,22,19,22,19,16,16,23,23,21,19,31,20,31,19,21,17,27,20,20,24,20,30,20,18,16,33,23,28,27,20,20,29,27,35,25,35,29,18,25,16,24,25,24,24,30,25,17,19,24,21,24,28,24,21,22,32,14,29,25,28,24,19,29,28,19,18,23,17,20,32,24,26,26,21,25,28,24,26,DES
file0231.txt.enc,txt_ecb,7.923853463593743,126.99734982332156,5483.3162473935245,74.04941760333787,-0.03235490370745658,-1.2273264645694977,235768,10.204793441676276,10,8,12,11,11,7,14,8,13,14,6,2,11,10,9,6,6,12,13,9,7,8,6,10,7,12,9,12,8,11,11,5,9,15,6,9,5,10,9,5,6,7,6,14,7,6,10,11,10,10,5,12,11,12,5,13,10,10,4,9,10,9,10,11,11,15,6,5,7,5,9,8,7,9,10,8,8,9,4,9,8,7,8,7,7,12,6,16,14,8,5,5,4,6,7,8,12,11,13,11,7,8,10,12,7,11,7,9,6,10,9,8,8,11,12,6,5,14,11,5,7,6,9,5,7,9,8,10,7,9,12,5,6,11,9,3,7,9,8,8,13,16,12,9,7,10,13,5,3,7,5,11,11,5,8,4,8,8,7,8,9,12,14,9,4,12,9,9,7,12,18,10,5,8,3,8,10,9,10,11,6,6,8,8,9,11,11,10,12,6,19,9,10,9,13,9,10,10,11,7,8,10,7,10,9,11,11,11,13,8,9,13,10,9,10,9,9,8,13,6,7,7,13,7,6,12,10,8,13,6,6,6,9,7,11,12,13,14,7,13,7,7,8,4,6,9,5,6,7,9,5,6,12,9,3,7,DES
file0349.txt.enc,txt_ecb,7.904140761860931,129.916015625,5629.247829437256,75.02831351854616,-0.062038616039199475,-1.240122867924792,214106,10.224673359697121,8,9,9,6,14,4,8,6,8,6,11,9,9,6,9,13,4,8,13,7,10,12,9,8,3,7,4,9,6,7,3,8,10,11,9,6,12,7,10,10,4,9,6,10,12,8,6,10,3,8,9,11,16,7,9,8,5,8,6,3,5,6,7,9,4,6,8,3,11,10,6,5,4,11,7,13,8,4,6,8,7,6,9,4,7,9,10,8,14,8,4,4,5,10,4,7,7,10,5,4,5,9,6,4,8,8,9,8,7,10,10,12,12,3,4,6,9,14,8,9,9,5,11,14,6,6,5,8,8,10,7,9,8,9,9,7,3,7,8,6,6,5,7,10,5,12,4,9,5,10,11,6,5,11,6,3,9,9,9,6,7,8,6,7,2,7,8,12,7,7,8,9,12,6,12,17,5,3,5,4,10,9,6,5,16,12,10,5,11,7,13,5,18,10,10,8,10,11,10,5,13,5,4,4,4,6,6,10,9,11,9,4,7,9,14,11,10,8,6,12,9,9,10,8,11,10,8,10,12,11,7,7,8,10,7,12,2,4,9,7,16,10,6,10,7,8,9,6,13,7,7,11,7,7,8,7,DES
file0243.txt.enc,txt_ecb,7.974139445207209,127.1523199023199,5472.969167389726,73.9795185668961,-0.011545651785373201,-1.190794167332097,682802,10.208465088482178,37,26,23,30,34,32,25,27,29,29,25,27,21,27,28,27,30,22,28,34,18,14,24,18,22,26,25,24,28,26,24,24,27,29,23,32,23,22,26,17,29,20,23,23,31,36,25,29,22,29,22,19,29,28,28,23,22,28,30,27,32,24,33,24,27,26,24,25,25,22,28,22,22,25,28,21,12,16,24,29,26,25,31,20,19,19,22,24,20,23,19,31,37,27,24,41,18,21,22,26,25,24,28,23,23,28,17,31,28,39,26,22,28,27,21,29,23,22,22,18,25,29,27,28,24,34,35,29,26,30,17,25,34,28,26,23,28,32,32,24,24,28,22,32,19,22,23,13,25,26,24,31,34,22,26,24,20,22,25,32,30,32,22,20,25,26,25,25,26,24,34,26,22,27,21,32,30,22,27,23,24,34,31,25,24,35,27,31,22,30,21,25,27,19,23,28,24,22,23,27,27,22,25,31,21,26,24,26,18,26,30,31,19,25,37,23,18,23,32,30,29,26,26,22,33,33,24,26,28,21,25,23,25,34,28,25,23,22,16,14,27,22,18,26,28,18,16,23,19,35,23,30,31,23,29,32,DES
file0253.txt.enc,txt_ecb,7.975031969158243,127.14183168316832,5499.135081793452,74.15615336432609,0.01197417405232067,-1.2091456912607321,843698,10.218516003164583,42,39,27,37,30,29,25,23,32,31,21,27,30,34,43,37,47,26,37,28,32,30,32,33,39,26,19,32,21,36,33,25,29,26,30,30,41,28,31,31,38,31,25,32,46,34,27,31,50,30,30,25,31,32,34,42,30,28,39,35,32,37,39,30,30,39,37,29,37,41,30,36,37,29,29,23,28,28,34,28,38,26,32,20,25,46,37,24,31,38,35,25,23,29,30,37,31,28,45,25,28,36,25,35,28,36,34,29,26,30,26,29,38,35,26,37,27,21,41,40,26,34,35,30,29,24,23,22,37,29,27,35,32,43,34,19,29,39,43,31,33,27,31,31,31,37,31,28,31,34,20,21,33,21,36,27,31,19,38,26,34,38,30,27,33,39,34,31,38,32,25,30,40,31,26,26,26,29,27,42,33,39,36,37,26,32,34,36,21,26,30,26,48,38,30,27,26,29,39,25,44,29,40,35,30,31,35,32,32,35,27,34,27,21,36,30,24,26,35,34,28,35,32,28,26,36,22,30,40,22,28,27,32,38,29,44,33,28,35,30,32,29,34,38,29,25,26,32,28,29,31,41,32,32,35,40,DES
file0382.txt.enc,txt_ecb,7.976988924595641,127.38815789473684,5383.509758549969,73.37240461201996,0.0023032339686310794,-1.1860738123897494,831596,10.257292261333541,21,35,32,28,36,18,27,30,33,36,30,40,23,35,30,35,26,31,33,32,28,28,24,31,23,26,30,25,38,40,32,19,38,26,29,37,35,27,31,40,30,24,31,36,30,25,32,30,39,39,37,41,30,24,28,31,26,44,22,35,21,19,34,27,25,38,35,30,30,32,30,34,47,29,16,35,27,31,30,22,36,24,31,24,26,39,39,29,25,32,29,30,42,32,31,38,36,27,39,33,23,25,23,29,33,30,37,34,35,31,33,29,41,27,42,31,23,34,30,27,28,33,39,39,29,21,24,33,26,38,29,31,38,23,35,26,38,29,34,31,32,35,43,26,32,26,31,40,33,23,28,33,41,32,31,32,32,27,35,36,24,44,35,26,33,31,31,32,25,21,42,31,38,31,28,32,33,21,25,32,31,29,36,24,27,31,34,36,26,41,28,31,28,38,24,36,23,28,30,24,31,26,34,30,33,34,30,29,30,30,25,33,30,34,28,24,25,33,28,39,33,31,28,34,39,27,38,39,26,32,39,34,31,23,26,27,33,38,31,22,29,25,23,34,34,32,29,30,28,23,35,37,30,33,30,20,DES
file0392.txt.enc,txt_ecb,7.94911388584337,127.06506024096386,5549.609622586731,74.49570204103544,0.002040945013703904,-1.2147310991385945,345558,10.202143644340588,11,19,16,12,13,17,12,9,14,17,10,10,13,12,12,11,13,15,11,15,17,20,9,17,13,12,11,15,18,11,9,18,12,15,14,17,17,18,19,6,10,18,19,11,15,14,15,11,6,10,9,14,17,13,12,14,9,13,12,12,7,15,13,10,10,10,9,11,11,11,7,13,17,20,9,11,16,14,11,9,15,12,9,13,21,15,10,16,19,7,10,16,17,12,17,14,14,5,19,16,17,10,12,14,11,11,11,15,9,12,19,16,10,9,13,12,14,13,10,15,13,8,12,17,12,9,18,15,16,8,16,8,10,12,9,11,19,14,10,10,12,9,9,15,23,13,13,11,13,9,12,16,13,13,9,11,8,18,15,17,15,9,9,13,13,13,9,14,16,9,9,12,11,16,13,18,25,14,16,9,9,16,18,13,10,14,9,13,10,12,11,12,9,16,8,11,7,15,14,17,13,13,15,16,17,19,16,13,8,11,19,10,17,15,5,12,16,10,7,17,14,14,16,17,14,12,10,13,16,10,10,14,9,12,14,9,14,14,15,7,14,16,16,8,12,11,16,8,18,10,11,16,12,19,16,13,DES
