file_name,format,entropy,mean,variance,std_dev,skewness,kurtosis,energy,rms,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,histogram_11,histogram_12,histogram_13,histogram_14,histogram_15,histogram_16,histogram_17,histogram_18,histogram_19,histogram_20,histogram_21,histogram_22,histogram_23,histogram_24,histogram_25,histogram_26,histogram_27,histogram_28,histogram_29,histogram_30,histogram_31,histogram_32,histogram_33,histogram_34,histogram_35,histogram_36,histogram_37,histogram_38,histogram_39,histogram_40,histogram_41,histogram_42,histogram_43,histogram_44,histogram_45,histogram_46,histogram_47,histogram_48,histogram_49,histogram_50,histogram_51,histogram_52,histogram_53,histogram_54,histogram_55,histogram_56,histogram_57,histogram_58,histogram_59,histogram_60,histogram_61,histogram_62,histogram_63,histogram_64,histogram_65,histogram_66,histogram_67,histogram_68,histogram_69,histogram_70,histogram_71,histogram_72,histogram_73,histogram_74,histogram_75,histogram_76,histogram_77,histogram_78,histogram_79,histogram_80,histogram_81,histogram_82,histogram_83,histogram_84,histogram_85,histogram_86,histogram_87,histogram_88,histogram_89,histogram_90,histogram_91,histogram_92,histogram_93,histogram_94,histogram_95,histogram_96,histogram_97,histogram_98,histogram_99,histogram_100,histogram_101,histogram_102,histogram_103,histogram_104,histogram_105,histogram_106,histogram_107,histogram_108,histogram_109,histogram_110,histogram_111,histogram_112,histogram_113,histogram_114,histogram_115,histogram_116,histogram_117,histogram_118,histogram_119,histogram_120,histogram_121,histogram_122,histogram_123,histogram_124,histogram_125,histogram_126,histogram_127,histogram_128,histogram_129,histogram_130,histogram_131,histogram_132,histogram_133,histogram_134,histogram_135,histogram_136,histogram_137,histogram_138,histogram_139,histogram_140,histogram_141,histogram_142,histogram_143,histogram_144,histogram_145,histogram_146,histogram_147,histogram_148,histogram_149,histogram_150,histogram_151,histogram_152,histogram_153,histogram_154,histogram_155,histogram_156,histogram_157,histogram_158,histogram_159,histogram_160,histogram_161,histogram_162,histogram_163,histogram_164,histogram_165,histogram_166,histogram_167,histogram_168,histogram_169,histogram_170,histogram_171,histogram_172,histogram_173,histogram_174,histogram_175,histogram_176,histogram_177,histogram_178,histogram_179,histogram_180,histogram_181,histogram_182,histogram_183,histogram_184,histogram_185,histogram_186,histogram_187,histogram_188,histogram_189,histogram_190,histogram_191,histogram_192,histogram_193,histogram_194,histogram_195,histogram_196,histogram_197,histogram_198,histogram_199,histogram_200,histogram_201,histogram_202,histogram_203,histogram_204,histogram_205,histogram_206,histogram_207,histogram_208,histogram_209,histogram_210,histogram_211,histogram_212,histogram_213,histogram_214,histogram_215,histogram_216,histogram_217,histogram_218,histogram_219,histogram_220,histogram_221,histogram_222,histogram_223,histogram_224,histogram_225,histogram_226,histogram_227,histogram_228,histogram_229,histogram_230,histogram_231,histogram_232,histogram_233,histogram_234,histogram_235,histogram_236,histogram_237,histogram_238,histogram_239,histogram_240,histogram_241,histogram_242,histogram_243,histogram_244,histogram_245,histogram_246,histogram_247,histogram_248,histogram_249,histogram_250,histogram_251,histogram_252,histogram_253,histogram_254,histogram_255,algorithm
file0380.py.enc,pyth_ecb,7.849943712501456,129.51616985376828,5237.389783530204,72.3698126536901,-0.04121067271098784,-1.144317749994058,778521,10.462592049580758,56,19,19,26,22,20,20,14,24,22,24,24,30,25,24,25,37,20,24,28,28,19,31,20,24,50,23,51,20,31,22,16,21,19,20,30,21,24,21,28,22,21,17,32,18,25,20,21,21,23,30,28,17,50,17,20,17,22,56,27,29,19,23,22,19,13,16,61,34,33,18,24,19,26,17,86,18,17,18,35,20,23,31,23,22,22,61,21,30,22,15,59,52,20,13,24,61,21,33,40,22,23,58,22,30,22,49,23,18,28,27,26,26,35,24,21,23,21,26,28,18,26,20,20,79,24,23,20,26,17,15,15,29,23,33,29,56,16,24,29,60,60,26,16,23,18,55,25,25,21,15,22,23,23,28,20,56,18,54,21,16,22,29,31,25,20,20,19,21,66,58,23,53,20,87,14,24,26,52,17,17,10,50,19,36,19,31,25,19,75,22,27,14,27,34,59,38,19,26,23,26,30,19,25,18,15,28,28,18,23,28,17,36,19,26,26,24,60,51,20,27,18,22,18,35,29,19,13,22,18,33,20,34,20,58,19,20,30,23,18,27,19,52,21,14,14,85,47,34,28,24,19,26,17,8,22,DES
file0666.py.enc,pyth_ecb,7.856157493884009,128.95781527531082,5293.139872314011,72.75396808638008,-0.00836013595531641,-1.1474653339895775,492882,10.460977984431654,31,14,20,13,9,18,9,16,18,14,14,11,10,16,19,13,20,15,22,10,14,15,21,9,15,31,15,38,10,20,15,14,18,20,17,18,13,11,14,20,16,10,15,11,11,13,17,14,12,13,20,13,17,35,11,16,20,12,32,13,18,16,14,16,12,9,11,36,21,16,4,19,10,13,14,52,14,12,13,29,14,16,17,19,10,13,46,18,12,11,21,31,35,14,15,20,42,16,13,29,12,10,33,18,14,25,29,20,9,15,12,17,20,13,15,13,13,10,16,17,20,12,16,20,46,18,11,11,13,11,17,9,13,17,22,16,25,14,13,18,41,32,17,13,12,15,38,13,16,13,16,14,15,12,18,12,34,18,25,17,16,12,16,14,15,16,9,9,14,32,43,20,36,17,54,14,14,12,36,17,12,11,33,15,16,19,13,13,13,45,9,18,7,8,16,25,21,13,12,7,18,12,13,11,13,11,20,10,10,14,17,12,17,11,15,11,12,41,28,10,16,15,15,9,25,21,13,19,21,9,14,20,17,19,41,11,17,14,19,16,21,9,33,14,17,10,43,31,16,13,11,26,13,12,10,20,DES
file0605.py.enc,pyth_ecb,7.839224990168773,130.23880385487527,5272.457286777853,72.6116883619838,-0.04531389046209905,-1.127649394178305,762689,10.396674692958408,44,21,37,26,21,22,24,20,20,15,32,31,14,28,29,19,25,25,30,25,23,30,22,24,21,46,25,55,25,22,15,22,18,25,15,17,18,21,23,21,18,20,26,15,21,19,25,22,21,25,25,28,32,47,11,21,25,22,52,25,20,20,12,14,22,16,17,64,26,19,23,26,15,17,18,98,15,22,20,35,24,17,24,27,19,24,63,37,27,23,27,67,52,27,21,18,55,26,24,43,28,21,60,20,20,34,43,30,17,22,20,21,18,26,23,22,26,21,16,23,22,25,28,25,73,36,15,25,24,21,14,19,22,25,25,31,62,16,28,24,69,45,22,9,22,21,51,17,30,18,14,24,18,17,32,17,53,19,66,21,22,28,28,23,24,25,19,17,22,58,57,37,54,29,107,16,23,20,42,26,19,20,51,13,22,29,23,23,20,78,24,25,23,23,36,48,25,31,26,22,31,33,21,14,19,22,22,21,16,17,25,28,20,24,19,21,18,43,70,25,29,15,15,15,25,23,20,29,25,20,20,27,31,19,67,15,14,20,27,20,25,17,53,21,22,17,76,65,15,18,27,32,21,23,21,44,DES
file0705.py.enc,pyth_ecb,7.8481937466889455,129.3183023872679,5414.022025765326,73.5800382288928,-0.017686192205469832,-1.1845215074286242,332396,10.498136755232569,20,8,12,7,13,9,7,11,12,12,8,16,7,10,10,14,16,12,10,7,11,11,13,7,8,24,14,26,7,7,12,8,11,10,10,10,11,11,4,15,15,7,9,6,3,8,12,9,9,10,9,15,10,25,5,8,7,10,13,9,16,15,15,11,11,9,8,26,16,14,6,6,7,9,7,26,9,10,16,12,8,9,6,9,4,8,23,14,14,14,9,17,24,9,8,12,35,10,9,21,13,16,16,11,11,14,24,14,13,14,8,8,6,8,13,13,11,9,3,7,17,7,12,8,28,6,13,13,9,8,11,7,10,15,6,12,23,7,9,14,20,15,17,7,7,5,31,10,12,14,5,8,5,8,11,10,17,9,21,8,8,5,13,6,11,9,10,9,7,18,13,15,22,16,30,8,4,10,23,9,11,5,21,9,6,9,5,8,4,31,11,17,10,6,9,18,11,11,13,12,8,9,10,7,13,5,11,12,7,6,9,9,13,10,10,10,9,38,21,12,14,10,8,13,17,12,6,16,12,6,18,10,17,11,27,17,7,8,9,13,10,9,26,8,9,12,27,16,10,9,7,11,12,7,6,15,DES
file0678.py.enc,pyth_ecb,7.844021525035137,129.2094123505976,5188.171036905664,72.02895971000598,-0.011550863768691196,-1.1261619996201369,437345,10.43554729807491,31,8,17,11,6,8,12,10,13,11,13,16,6,10,18,10,16,8,20,17,14,13,10,7,8,33,25,36,16,16,12,10,15,14,12,17,10,12,11,19,17,12,10,12,7,13,17,11,13,16,15,10,18,24,7,16,15,8,37,18,11,11,12,14,13,12,9,32,10,24,11,14,16,10,8,38,15,12,13,18,13,13,8,19,9,14,34,15,9,8,15,27,25,18,10,17,38,16,13,29,22,13,37,12,16,16,23,16,12,11,10,21,10,13,13,17,13,17,14,13,13,15,13,14,51,10,8,17,10,15,14,14,12,13,9,11,24,13,13,14,30,39,15,17,12,13,32,20,13,8,9,9,12,16,21,11,34,14,28,14,16,17,16,16,15,13,10,9,13,35,26,24,30,11,44,12,5,14,25,15,11,9,26,11,17,15,11,10,15,41,5,14,11,14,11,38,17,13,14,16,11,19,13,8,10,10,10,15,11,11,10,9,10,13,8,14,11,35,25,16,19,13,8,10,24,18,12,8,19,14,10,11,11,11,33,9,8,20,15,6,14,6,28,15,18,14,49,22,12,16,13,13,14,12,11,17,DES
file0709.py.enc,pyth_ecb,7.810515470905147,127.61173469387755,5296.903841888796,72.77983128510807,0.015272599412045534,-1.1521348857555522,210323,10.358940730655064,14,6,5,6,1,7,9,6,9,6,3,8,10,7,8,6,8,6,9,7,7,10,9,4,13,13,6,9,11,4,4,7,5,7,7,12,9,5,9,6,7,5,1,7,7,4,4,10,8,4,14,11,3,13,9,10,4,3,12,9,7,2,5,5,5,8,2,12,12,6,4,8,8,4,7,16,1,6,5,13,7,9,11,4,2,5,19,6,9,6,7,15,15,9,4,11,18,5,6,22,8,8,11,7,6,13,11,14,5,11,7,11,4,8,6,10,7,5,8,7,12,1,6,5,15,5,3,11,5,5,6,6,8,6,9,6,13,6,3,16,19,10,5,3,6,5,13,9,7,3,2,6,6,6,10,10,11,5,12,7,8,5,9,3,6,7,4,4,7,14,15,6,19,8,23,5,4,7,6,5,10,4,12,5,6,3,2,10,7,20,6,6,6,3,13,6,8,4,2,5,8,5,8,5,6,5,7,10,5,5,9,11,6,5,5,4,7,13,13,8,9,10,0,5,11,13,2,9,7,5,5,11,5,7,17,7,5,6,14,9,3,7,13,5,6,1,21,13,4,8,6,6,9,2,2,11,DES
file0609.py.enc,pyth_ecb,7.829868722213516,130.7709023178808,5206.1708172321805,72.15379974216313,-0.03352232865323231,-1.1276265082962789,532069,10.493503587918998,29,13,15,9,11,8,19,16,18,11,27,13,15,12,14,14,15,19,16,14,15,16,16,15,18,36,23,42,13,17,10,10,13,14,18,11,22,18,11,18,14,13,11,12,17,12,18,15,16,17,17,11,20,33,16,17,12,11,43,21,12,13,12,18,14,21,20,41,16,13,8,11,19,10,14,54,21,15,11,13,13,19,14,22,11,7,43,10,14,14,15,26,41,19,10,17,48,16,10,41,25,17,42,16,17,21,42,22,14,18,12,17,19,16,15,12,27,13,15,20,16,23,9,21,62,17,10,21,12,18,18,14,12,23,13,14,37,8,12,20,36,38,21,15,12,19,53,16,18,8,17,25,13,14,15,16,38,15,38,11,12,16,15,15,14,14,13,13,14,41,30,17,34,16,44,15,13,20,45,14,18,12,36,7,20,19,17,8,16,47,17,16,11,21,17,39,7,12,12,17,19,15,23,14,21,12,16,16,15,13,8,20,21,18,15,15,16,50,29,16,19,18,14,16,16,18,7,22,14,16,23,10,12,9,40,19,7,18,15,19,14,17,51,11,17,22,59,34,15,15,19,21,17,9,6,23,DES
file0674.py.enc,pyth_ecb,7.865321730268013,128.75865853658536,5317.291388444378,72.91975993134082,-0.02129076842933073,-1.1654271145150592,890093,10.418633635427838,71,16,31,14,21,24,26,31,24,26,26,30,27,25,24,25,43,30,31,31,26,38,28,36,26,79,30,62,22,25,28,27,16,33,21,27,33,33,17,34,33,36,24,30,27,35,27,23,20,24,40,28,25,52,23,22,26,25,54,30,29,17,30,22,24,16,19,66,41,40,29,23,26,29,24,78,29,30,20,38,27,25,29,39,22,22,74,33,29,26,15,52,58,31,15,31,48,25,32,68,30,30,58,26,28,30,55,28,21,26,30,25,27,37,32,33,20,28,29,22,33,24,26,23,100,39,22,33,18,19,16,14,27,40,22,37,54,20,27,34,63,56,27,17,26,19,69,24,25,16,30,29,34,32,38,24,64,30,61,20,30,25,35,22,25,24,15,28,25,74,44,33,69,23,85,21,25,23,55,28,24,18,58,25,27,28,31,26,29,102,19,30,28,21,31,56,30,15,30,16,33,30,35,28,25,28,27,24,28,37,20,23,33,23,27,24,26,69,53,22,31,20,24,18,44,28,21,21,31,26,30,29,31,39,62,33,30,27,30,32,28,20,66,24,20,21,99,57,25,26,30,25,24,15,21,25,DES
file0392.py.enc,pyth_ecb,7.8318157364637315,129.21428571428572,5250.367543171115,72.45941997539806,-0.03549606922479092,-1.1373767524861607,317620,10.4437925198561,18,10,10,14,8,5,8,11,10,13,13,7,10,12,10,14,9,8,7,13,6,13,8,8,8,21,11,19,9,9,8,11,9,14,9,8,9,19,10,12,12,6,10,6,8,13,7,5,7,11,19,5,12,20,4,13,5,9,28,8,9,3,5,7,15,9,9,32,11,7,3,8,9,2,13,28,7,8,5,16,14,8,4,11,11,7,25,10,9,8,6,22,20,10,6,12,25,11,6,19,15,6,22,16,13,15,24,11,7,9,8,7,9,11,13,6,13,4,9,11,10,13,9,6,32,14,6,15,11,8,10,11,10,17,5,10,23,7,10,9,24,25,9,12,10,8,17,14,12,7,6,10,16,12,9,9,25,12,20,8,9,13,16,5,7,8,9,8,13,29,15,14,19,10,20,4,9,8,16,9,9,6,24,6,8,15,14,7,8,37,7,13,8,4,12,25,9,13,7,4,8,13,9,11,9,5,13,9,5,10,9,7,14,12,9,12,11,20,15,15,7,11,11,8,13,13,7,12,12,13,17,9,7,8,25,9,12,8,8,6,10,12,21,1,11,4,33,19,11,7,11,9,9,7,5,14,DES
file0717.py.enc,pyth_ecb,7.852999918171118,129.4431818181818,5245.5990444214885,72.42650788503812,-0.014904682710596468,-1.1375356849440446,530656,10.376985023686705,29,19,21,12,19,16,17,12,14,13,12,17,18,9,16,12,18,18,13,16,20,23,21,8,16,28,11,29,13,16,17,15,16,22,20,18,21,27,16,18,22,11,21,19,21,8,20,14,11,9,29,16,18,32,9,14,13,21,35,21,23,23,13,12,12,12,16,41,23,19,13,23,14,10,10,63,13,24,14,21,21,18,21,17,15,16,40,15,20,15,15,39,25,12,20,21,28,20,9,30,13,23,33,14,22,24,35,12,9,17,11,22,14,12,9,12,15,13,20,17,19,13,16,14,52,16,14,16,16,14,24,18,19,27,17,20,45,19,19,8,42,46,21,15,14,24,32,20,12,12,12,15,9,16,24,16,37,19,40,7,15,15,22,15,11,17,20,12,19,38,38,15,41,22,65,12,11,16,26,16,21,8,36,20,16,11,21,17,16,48,11,14,21,15,16,40,21,13,14,13,13,17,21,11,14,6,17,24,15,15,19,8,22,16,19,15,9,31,43,11,15,13,14,10,23,21,16,17,15,12,23,10,23,17,40,12,10,12,18,15,16,8,32,11,14,20,52,49,23,15,21,14,22,17,13,19,DES
