file_name,format,entropy,mean,variance,std_dev,skewness,kurtosis,energy,rms,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,histogram_11,histogram_12,histogram_13,histogram_14,histogram_15,histogram_16,histogram_17,histogram_18,histogram_19,histogram_20,histogram_21,histogram_22,histogram_23,histogram_24,histogram_25,histogram_26,histogram_27,histogram_28,histogram_29,histogram_30,histogram_31,histogram_32,histogram_33,histogram_34,histogram_35,histogram_36,histogram_37,histogram_38,histogram_39,histogram_40,histogram_41,histogram_42,histogram_43,histogram_44,histogram_45,histogram_46,histogram_47,histogram_48,histogram_49,histogram_50,histogram_51,histogram_52,histogram_53,histogram_54,histogram_55,histogram_56,histogram_57,histogram_58,histogram_59,histogram_60,histogram_61,histogram_62,histogram_63,histogram_64,histogram_65,histogram_66,histogram_67,histogram_68,histogram_69,histogram_70,histogram_71,histogram_72,histogram_73,histogram_74,histogram_75,histogram_76,histogram_77,histogram_78,histogram_79,histogram_80,histogram_81,histogram_82,histogram_83,histogram_84,histogram_85,histogram_86,histogram_87,histogram_88,histogram_89,histogram_90,histogram_91,histogram_92,histogram_93,histogram_94,histogram_95,histogram_96,histogram_97,histogram_98,histogram_99,histogram_100,histogram_101,histogram_102,histogram_103,histogram_104,histogram_105,histogram_106,histogram_107,histogram_108,histogram_109,histogram_110,histogram_111,histogram_112,histogram_113,histogram_114,histogram_115,histogram_116,histogram_117,histogram_118,histogram_119,histogram_120,histogram_121,histogram_122,histogram_123,histogram_124,histogram_125,histogram_126,histogram_127,histogram_128,histogram_129,histogram_130,histogram_131,histogram_132,histogram_133,histogram_134,histogram_135,histogram_136,histogram_137,histogram_138,histogram_139,histogram_140,histogram_141,histogram_142,histogram_143,histogram_144,histogram_145,histogram_146,histogram_147,histogram_148,histogram_149,histogram_150,histogram_151,histogram_152,histogram_153,histogram_154,histogram_155,histogram_156,histogram_157,histogram_158,histogram_159,histogram_160,histogram_161,histogram_162,histogram_163,histogram_164,histogram_165,histogram_166,histogram_167,histogram_168,histogram_169,histogram_170,histogram_171,histogram_172,histogram_173,histogram_174,histogram_175,histogram_176,histogram_177,histogram_178,histogram_179,histogram_180,histogram_181,histogram_182,histogram_183,histogram_184,histogram_185,histogram_186,histogram_187,histogram_188,histogram_189,histogram_190,histogram_191,histogram_192,histogram_193,histogram_194,histogram_195,histogram_196,histogram_197,histogram_198,histogram_199,histogram_200,histogram_201,histogram_202,histogram_203,histogram_204,histogram_205,histogram_206,histogram_207,histogram_208,histogram_209,histogram_210,histogram_211,histogram_212,histogram_213,histogram_214,histogram_215,histogram_216,histogram_217,histogram_218,histogram_219,histogram_220,histogram_221,histogram_222,histogram_223,histogram_224,histogram_225,histogram_226,histogram_227,histogram_228,histogram_229,histogram_230,histogram_231,histogram_232,histogram_233,histogram_234,histogram_235,histogram_236,histogram_237,histogram_238,histogram_239,histogram_240,histogram_241,histogram_242,histogram_243,histogram_244,histogram_245,histogram_246,histogram_247,histogram_248,histogram_249,histogram_250,histogram_251,histogram_252,histogram_253,histogram_254,histogram_255,algorithm
file0712.txt.enc,txt_ecb,7.95316847368802,128.46779918864098,5343.51671158645,73.09936190957107,-0.013671879042958704,-1.173811590188681,421101,10.332958454671319,10,13,22,8,16,18,10,17,17,15,11,14,12,10,11,15,15,16,7,14,18,20,20,13,19,15,17,18,15,19,16,11,10,14,14,12,25,14,23,12,22,10,17,20,14,11,21,13,10,13,21,12,13,14,15,12,11,21,13,14,13,14,18,17,14,17,11,22,10,15,12,24,12,9,14,15,10,13,12,17,18,12,20,12,12,17,22,17,15,18,13,15,18,18,23,10,11,15,20,18,22,12,18,11,13,14,9,17,13,13,13,18,16,16,23,20,22,13,16,16,15,15,19,12,9,11,19,19,15,22,11,17,23,15,13,13,14,21,10,20,12,19,18,23,13,13,24,14,11,18,12,18,21,20,16,12,23,15,20,17,17,19,17,19,16,11,14,13,15,18,20,16,12,18,11,20,16,13,8,17,18,20,21,15,21,10,16,12,17,18,8,17,15,16,11,9,13,16,8,15,13,12,15,17,15,16,10,17,15,18,13,15,10,17,16,12,21,26,13,14,16,14,20,12,17,21,10,16,14,18,23,18,18,10,10,15,17,14,18,18,18,21,12,12,15,19,16,21,6,15,8,21,18,11,10,18,DES
file0702.txt.enc,txt_ecb,7.9576365809271445,126.86819727891157,5484.109328722986,74.05477249119726,0.02671996873298859,-1.2082477683155997,498956,10.299057152540348,20,16,24,19,21,26,13,18,14,16,19,12,26,17,21,14,22,18,10,14,5,24,21,16,18,17,12,23,21,22,23,17,15,17,22,24,19,21,18,16,26,14,24,22,19,16,18,20,17,15,15,17,16,16,18,15,19,16,18,26,34,13,28,17,15,29,11,23,22,21,21,21,19,18,13,25,13,13,14,22,19,19,21,24,24,16,23,14,19,16,24,16,23,15,27,20,11,20,16,18,17,15,13,24,18,17,22,16,16,16,20,16,22,17,18,17,25,21,19,20,27,17,11,10,19,22,22,19,16,19,18,19,21,20,23,14,18,19,11,22,25,15,20,18,14,23,19,22,25,14,25,13,16,19,22,14,14,9,21,12,23,10,12,11,18,19,17,13,21,18,15,16,17,21,11,16,25,17,26,13,20,18,24,12,14,23,15,20,17,17,16,17,19,19,12,15,15,16,19,16,19,16,17,27,16,16,12,20,25,15,20,23,19,28,15,15,18,17,19,21,18,21,21,15,20,20,20,17,13,19,12,21,26,18,26,27,10,20,19,13,17,16,25,24,19,11,20,17,21,22,31,16,10,9,20,18,DES
file0474.txt.enc,txt_ecb,7.948120980721113,128.09346224677716,5524.150564992589,74.32462959875811,-0.035579700877870886,-1.2013008075731852,469780,10.399258012913847,20,9,22,22,19,13,13,23,17,14,20,20,23,18,30,14,7,25,20,15,16,24,14,16,27,12,21,16,15,20,16,22,12,18,12,17,15,14,20,15,11,18,15,16,13,25,14,18,26,14,14,19,20,15,16,12,5,21,15,17,20,10,12,13,23,13,11,17,7,15,20,15,16,16,18,13,18,17,21,19,17,18,14,10,19,16,10,20,19,19,14,20,14,16,11,13,19,21,19,8,15,22,19,13,18,18,15,13,20,16,13,15,18,18,22,17,18,15,17,16,9,15,16,17,17,20,19,18,11,17,20,8,16,11,13,18,19,12,21,17,17,24,14,18,17,30,18,18,17,23,18,11,21,24,14,20,14,19,20,27,19,14,17,21,12,13,25,15,19,22,23,23,16,12,15,16,18,23,15,18,23,14,13,15,15,19,23,10,20,23,16,14,8,13,6,12,16,19,15,22,20,22,11,24,16,15,21,15,27,14,14,18,17,15,24,16,21,18,20,13,18,28,25,15,23,19,10,15,11,16,13,21,8,26,25,18,12,9,12,13,9,12,13,16,19,21,25,20,22,17,22,10,19,15,21,16,DES
file0464.txt.enc,txt_ecb,7.923841333289609,128.0625,5325.930815972222,72.97897516389376,0.010116352064893164,-1.1763435779097258,305348,10.296776734061543,8,12,15,6,9,12,9,10,9,10,10,6,11,12,8,8,10,14,14,5,6,7,12,11,11,12,8,12,15,13,6,12,14,8,7,15,14,15,14,10,11,16,17,19,9,9,7,9,7,9,8,14,9,9,8,6,18,17,16,16,15,20,8,13,11,14,11,15,8,7,15,14,9,8,16,12,14,16,11,6,18,7,7,15,9,13,15,9,19,14,9,9,7,6,8,8,9,15,8,10,10,11,9,10,11,11,12,10,15,15,7,8,4,10,16,18,11,8,12,7,13,12,19,13,10,19,8,16,15,12,15,9,11,12,7,7,11,7,10,8,10,10,12,12,12,16,9,6,17,6,15,9,19,10,8,12,19,7,20,13,10,15,20,13,12,8,11,15,14,11,17,9,8,7,7,13,10,7,13,13,16,17,9,17,12,13,8,12,9,6,4,10,14,11,10,14,19,5,16,6,9,7,11,9,16,8,14,14,13,7,15,14,10,11,12,13,9,15,12,8,6,20,7,7,11,12,4,11,11,6,7,10,9,11,12,11,11,12,6,16,10,13,12,15,6,16,8,7,16,7,18,9,13,12,11,16,DES
file0416.txt.enc,txt_ecb,7.969860232137772,127.7285092491839,5409.310950008347,73.54801798830712,-0.002921826167486853,-1.190564148915508,785092,10.333739915012414,28,25,27,29,32,23,26,39,22,18,28,35,33,35,31,23,40,26,24,27,26,33,21,24,16,23,26,28,28,28,34,30,32,32,32,27,30,31,24,29,25,32,31,26,27,28,28,35,30,23,30,39,28,23,34,31,32,26,36,26,28,23,23,33,18,32,31,22,29,27,23,29,28,27,20,38,23,37,24,36,24,33,24,21,39,29,30,26,45,20,33,21,34,34,16,37,35,37,30,26,28,38,27,35,37,42,37,33,27,25,20,34,29,33,26,36,24,27,25,20,27,19,33,34,22,22,20,26,28,20,30,24,27,32,28,22,27,36,26,33,22,21,18,27,37,32,28,28,30,31,32,24,33,29,37,28,39,28,19,33,20,43,29,27,27,30,25,35,32,38,31,41,33,38,25,23,26,32,36,25,26,30,33,34,24,27,30,29,31,31,33,26,23,19,16,27,30,37,28,34,19,27,23,34,21,21,28,37,30,35,44,43,29,27,26,32,21,41,24,28,30,21,24,25,23,32,30,34,28,30,24,36,30,29,17,17,24,34,26,25,21,28,34,45,22,25,23,30,21,27,28,28,42,32,33,25,DES
file0406.txt.enc,txt_ecb,7.92302997893854,128.6028911564626,5499.505569872506,74.1586513487975,-0.038070901930539275,-1.212331941745609,243468,10.174247201756451,12,12,11,8,10,14,9,13,7,5,6,8,12,10,9,15,8,3,8,9,6,9,3,10,9,11,9,8,6,9,10,11,14,6,9,10,6,11,6,6,5,6,10,10,8,6,16,9,6,8,14,12,10,6,7,13,11,11,9,12,7,5,9,10,9,12,16,5,13,13,15,7,14,6,7,6,6,18,8,8,7,14,12,9,9,6,13,7,4,8,5,11,13,12,7,8,11,5,9,5,5,7,9,6,7,12,8,6,10,8,12,7,5,6,11,8,6,10,11,9,9,3,10,7,10,7,6,13,8,6,13,7,7,11,6,5,4,11,11,5,8,9,8,17,8,10,12,11,8,10,8,12,14,12,5,7,9,11,8,8,10,16,7,9,15,11,8,10,11,9,5,4,12,10,14,12,9,17,11,8,9,9,10,9,6,13,10,7,11,7,13,6,9,13,15,13,5,12,10,10,6,16,3,13,8,14,9,11,9,11,7,7,9,8,6,8,7,10,6,12,7,7,9,8,9,9,10,7,12,9,11,13,11,13,7,12,7,13,6,11,9,9,6,7,12,12,11,7,2,7,16,9,6,11,11,8,DES
file0608.txt.enc,txt_ecb,7.982931707064143,126.54616048317516,5439.106583618767,73.75029887138605,0.013308897294774675,-1.1938184035169797,977970,10.270132693361756,37,37,30,38,38,53,39,38,35,42,39,22,32,41,35,32,43,43,30,35,33,47,31,35,32,37,32,38,37,31,39,32,34,46,32,32,39,30,49,33,37,35,34,41,29,47,32,29,48,38,45,45,38,47,36,27,45,32,42,31,41,33,39,28,40,33,38,37,35,29,44,35,39,32,27,42,41,40,35,41,38,35,38,32,30,29,33,38,46,46,42,33,39,36,26,38,36,32,35,27,44,32,36,32,30,35,38,44,45,33,30,32,31,43,32,43,41,40,32,47,38,33,38,38,32,43,33,29,38,33,35,32,42,40,33,45,34,33,33,38,42,27,31,32,37,42,40,41,27,29,33,35,41,43,40,40,36,39,47,42,38,28,48,36,38,37,34,30,36,31,41,24,40,39,33,36,37,36,36,38,44,40,31,43,36,33,41,31,35,37,40,35,31,41,27,30,46,35,29,42,38,45,28,31,34,40,32,32,24,43,40,34,35,23,34,36,31,41,37,37,25,39,40,37,39,34,36,35,35,28,39,31,38,39,41,50,37,37,37,27,27,30,40,31,28,38,28,40,38,44,32,32,47,36,28,33,DES
file0618.txt.enc,txt_ecb,7.967916969157195,127.13760080645162,5464.350521663225,73.92124540119184,0.00452042857500192,-1.1969700147228794,638833,10.360058550608825,23,22,23,20,25,22,29,23,25,18,20,18,26,23,28,26,21,27,29,20,17,28,33,25,26,23,24,18,16,24,31,28,25,15,21,21,34,18,22,24,23,24,24,26,25,13,30,32,28,32,22,26,13,23,29,27,19,20,27,23,22,22,20,21,20,29,15,24,23,20,15,15,27,25,28,19,26,23,23,18,19,27,23,25,24,18,18,26,24,29,20,18,24,27,24,25,23,25,19,26,26,19,20,30,20,20,24,23,26,23,19,25,12,23,25,36,29,25,22,18,26,16,22,27,17,33,23,29,22,23,17,30,18,26,17,28,19,23,31,18,18,22,25,36,24,24,20,26,17,30,29,25,31,12,26,25,27,24,15,26,19,31,26,22,21,19,35,38,23,25,23,17,20,20,26,18,19,19,36,25,27,18,32,14,17,25,18,22,19,24,23,20,20,17,21,26,19,17,27,19,19,30,23,21,22,25,24,16,26,21,25,32,24,29,32,26,21,18,22,19,20,22,22,25,23,21,30,23,24,20,24,38,14,26,28,18,29,30,17,12,17,19,25,20,19,21,25,26,15,31,23,27,30,20,23,25,DES
file0382.txt.enc,txt_ecb,7.972114900231371,125.96385699373695,5386.70889723216,73.39420206822989,0.018902907402116087,-1.179499126256258,808631,10.271821062167806,34,20,32,28,26,30,37,38,32,38,25,27,34,37,22,27,23,29,41,30,30,29,25,35,38,34,32,30,19,30,41,35,28,25,31,36,37,26,25,25,28,36,30,30,38,26,22,27,37,30,24,30,35,35,36,35,24,22,30,30,33,30,33,28,25,44,28,40,32,28,27,24,44,28,31,21,33,37,21,33,33,33,23,24,25,23,22,21,29,32,34,29,34,24,23,32,24,30,42,30,27,32,26,35,30,31,39,24,32,32,22,28,30,27,39,48,24,35,29,25,34,23,39,26,21,35,35,27,29,22,33,22,43,27,34,45,41,29,31,28,36,25,20,37,35,29,29,37,32,46,31,42,44,26,22,33,25,28,26,39,31,38,30,31,32,44,36,32,29,30,20,28,24,27,28,23,30,23,33,26,27,42,29,27,21,28,26,31,33,27,13,27,26,27,24,26,32,25,37,28,29,40,30,25,28,33,29,26,25,24,37,31,37,26,28,30,24,26,34,20,31,38,36,26,38,23,23,32,26,26,28,35,26,27,29,40,29,25,30,33,24,25,22,39,29,31,24,25,14,25,28,30,31,27,33,29,DES
file0392.txt.enc,txt_ecb,7.966506006715691,124.73260998810939,5491.334418158235,74.10353849957663,0.039512150196201946,-1.2020369973710756,706997,10.250989627699646,28,21,29,23,40,26,37,33,31,27,34,19,38,28,32,26,19,36,29,27,29,23,30,19,21,31,30,30,27,26,24,25,27,24,21,39,19,21,30,32,23,33,27,40,28,30,21,26,37,27,26,22,29,24,25,16,23,32,23,27,35,34,30,30,26,34,31,28,20,33,26,36,28,25,17,29,24,23,27,23,27,17,30,23,34,25,25,25,34,23,38,28,28,27,27,28,13,26,22,18,22,24,23,15,32,29,24,28,21,17,30,33,20,20,36,38,28,33,15,22,27,22,32,31,22,19,35,39,31,27,29,22,30,28,26,39,22,32,15,30,20,29,26,28,23,25,32,19,28,23,21,26,37,26,21,27,24,16,23,25,21,30,18,31,17,33,23,27,29,28,30,16,20,34,37,25,18,35,26,26,21,23,19,20,18,19,30,37,29,27,29,26,32,24,34,23,32,20,25,30,20,27,27,17,28,27,18,29,25,25,27,31,25,24,25,31,14,27,29,22,27,23,23,27,27,21,34,28,24,22,19,24,26,28,26,20,22,17,24,26,21,13,23,29,30,28,40,25,26,27,23,25,33,14,27,22,DES
