file_name,format,entropy,mean,variance,std_dev,skewness,kurtosis,energy,rms,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,histogram_11,histogram_12,histogram_13,histogram_14,histogram_15,histogram_16,histogram_17,histogram_18,histogram_19,histogram_20,histogram_21,histogram_22,histogram_23,histogram_24,histogram_25,histogram_26,histogram_27,histogram_28,histogram_29,histogram_30,histogram_31,histogram_32,histogram_33,histogram_34,histogram_35,histogram_36,histogram_37,histogram_38,histogram_39,histogram_40,histogram_41,histogram_42,histogram_43,histogram_44,histogram_45,histogram_46,histogram_47,histogram_48,histogram_49,histogram_50,histogram_51,histogram_52,histogram_53,histogram_54,histogram_55,histogram_56,histogram_57,histogram_58,histogram_59,histogram_60,histogram_61,histogram_62,histogram_63,histogram_64,histogram_65,histogram_66,histogram_67,histogram_68,histogram_69,histogram_70,histogram_71,histogram_72,histogram_73,histogram_74,histogram_75,histogram_76,histogram_77,histogram_78,histogram_79,histogram_80,histogram_81,histogram_82,histogram_83,histogram_84,histogram_85,histogram_86,histogram_87,histogram_88,histogram_89,histogram_90,histogram_91,histogram_92,histogram_93,histogram_94,histogram_95,histogram_96,histogram_97,histogram_98,histogram_99,histogram_100,histogram_101,histogram_102,histogram_103,histogram_104,histogram_105,histogram_106,histogram_107,histogram_108,histogram_109,histogram_110,histogram_111,histogram_112,histogram_113,histogram_114,histogram_115,histogram_116,histogram_117,histogram_118,histogram_119,histogram_120,histogram_121,histogram_122,histogram_123,histogram_124,histogram_125,histogram_126,histogram_127,histogram_128,histogram_129,histogram_130,histogram_131,histogram_132,histogram_133,histogram_134,histogram_135,histogram_136,histogram_137,histogram_138,histogram_139,histogram_140,histogram_141,histogram_142,histogram_143,histogram_144,histogram_145,histogram_146,histogram_147,histogram_148,histogram_149,histogram_150,histogram_151,histogram_152,histogram_153,histogram_154,histogram_155,histogram_156,histogram_157,histogram_158,histogram_159,histogram_160,histogram_161,histogram_162,histogram_163,histogram_164,histogram_165,histogram_166,histogram_167,histogram_168,histogram_169,histogram_170,histogram_171,histogram_172,histogram_173,histogram_174,histogram_175,histogram_176,histogram_177,histogram_178,histogram_179,histogram_180,histogram_181,histogram_182,histogram_183,histogram_184,histogram_185,histogram_186,histogram_187,histogram_188,histogram_189,histogram_190,histogram_191,histogram_192,histogram_193,histogram_194,histogram_195,histogram_196,histogram_197,histogram_198,histogram_199,histogram_200,histogram_201,histogram_202,histogram_203,histogram_204,histogram_205,histogram_206,histogram_207,histogram_208,histogram_209,histogram_210,histogram_211,histogram_212,histogram_213,histogram_214,histogram_215,histogram_216,histogram_217,histogram_218,histogram_219,histogram_220,histogram_221,histogram_222,histogram_223,histogram_224,histogram_225,histogram_226,histogram_227,histogram_228,histogram_229,histogram_230,histogram_231,histogram_232,histogram_233,histogram_234,histogram_235,histogram_236,histogram_237,histogram_238,histogram_239,histogram_240,histogram_241,histogram_242,histogram_243,histogram_244,histogram_245,histogram_246,histogram_247,histogram_248,histogram_249,histogram_250,histogram_251,histogram_252,histogram_253,histogram_254,histogram_255,algorithm
file0712.txt.enc,txt_ecb,7.949006248906915,129.44295131845843,5328.238124758279,72.99478148990022,-0.03426087010955322,-1.1622415150970375,413759,10.242483515233877,10,13,14,17,21,13,12,15,14,14,17,13,14,9,16,10,15,15,11,16,16,17,12,19,12,13,15,19,11,7,18,13,9,11,25,14,14,11,19,14,15,30,12,20,21,15,10,19,11,9,16,18,15,11,23,16,18,21,11,14,10,19,12,17,20,12,15,17,10,12,18,12,9,11,13,11,11,12,13,14,11,13,16,13,17,18,20,18,12,11,24,15,20,12,10,9,10,13,16,13,23,17,10,20,16,21,13,13,17,18,15,15,15,17,11,12,22,24,14,13,14,14,22,16,21,17,21,25,17,15,15,17,21,16,14,14,18,14,21,19,19,15,14,17,10,18,16,24,16,14,6,13,16,13,10,30,11,12,24,14,12,13,23,19,13,16,15,17,15,14,16,22,10,13,23,19,11,14,16,14,15,17,13,16,18,16,23,23,16,21,22,7,16,19,22,18,16,6,13,18,9,12,19,13,22,19,14,16,11,11,18,20,14,20,12,9,11,18,10,15,16,16,20,17,17,12,21,18,6,14,12,15,12,12,11,15,16,17,19,20,13,14,16,16,15,20,22,15,13,15,16,13,16,13,24,13,DES
file0702.txt.enc,txt_ecb,7.958095198620449,126.24596088435374,5468.5927770528915,73.94993425996329,-0.0056446990161120245,-1.2031368872066375,491501,10.221827468839468,21,23,13,20,18,23,19,28,22,17,16,19,21,24,19,22,21,19,22,20,16,21,18,24,13,15,18,18,22,13,17,12,24,28,19,13,22,24,21,14,16,12,18,15,15,18,13,27,18,27,14,22,31,11,19,16,18,21,14,14,10,25,15,15,18,18,23,10,25,25,13,18,10,23,16,15,14,17,28,24,10,12,14,13,15,22,14,21,25,20,17,17,17,18,19,24,15,22,23,17,13,20,15,18,21,20,13,14,16,18,19,23,26,18,19,15,24,18,19,22,15,22,17,19,22,23,16,13,19,16,18,18,17,18,19,16,19,26,22,10,19,10,20,23,14,11,25,18,20,12,19,19,23,23,23,30,19,15,23,14,16,18,16,19,11,18,20,9,17,24,25,25,18,16,19,10,16,19,17,26,13,16,18,18,20,26,23,15,17,15,22,20,19,21,14,22,14,12,22,19,13,18,17,19,23,23,12,18,26,8,22,29,29,21,17,12,17,18,15,14,18,20,17,27,20,18,21,22,21,18,16,24,16,17,16,16,15,11,10,19,20,14,26,18,19,23,13,14,18,17,15,14,17,16,12,19,DES
file0474.txt.enc,txt_ecb,7.951170368787783,128.29212707182322,5327.13910928772,72.98725306029623,-0.032209359736635836,-1.1639134443874761,464727,10.343179085327693,11,21,17,17,18,15,16,11,17,16,24,15,17,20,18,21,18,16,18,14,11,15,27,11,27,15,24,19,14,10,11,20,9,9,9,15,13,19,14,10,20,19,8,18,19,17,22,12,15,18,19,21,14,23,19,16,19,14,14,13,13,21,16,13,17,22,17,12,18,8,21,14,14,16,18,18,18,12,13,16,19,14,19,18,19,19,26,20,21,13,11,16,13,17,14,22,19,20,19,15,11,12,17,22,24,12,21,18,18,23,19,13,19,16,14,18,24,20,16,19,12,14,19,19,14,21,10,18,13,15,12,13,17,20,13,16,17,13,21,17,16,19,33,14,21,20,20,13,32,16,20,21,15,20,18,23,16,17,10,11,21,17,18,10,19,28,16,14,18,23,12,13,22,20,21,16,13,13,19,18,14,15,29,21,33,16,21,24,20,17,17,18,14,21,28,14,12,15,13,17,17,22,14,18,11,18,18,17,13,14,23,21,12,13,21,14,25,13,17,14,21,18,9,15,10,17,12,19,15,15,16,17,15,16,10,31,19,17,17,10,16,18,16,20,16,17,16,18,11,26,10,9,12,14,22,21,DES
file0464.txt.enc,txt_ecb,7.93157241134334,125.26736111111111,5323.743101369599,72.96398496086681,0.047010214774934396,-1.1601751190641965,295710,10.132970114104419,13,7,7,13,8,7,8,18,13,14,11,13,12,6,6,9,17,13,15,12,11,12,14,12,15,15,10,10,13,5,11,10,16,11,13,10,17,13,14,6,17,10,14,11,7,8,12,10,14,14,7,16,5,7,16,8,8,11,17,10,16,6,14,19,9,10,13,12,11,11,11,5,14,12,7,10,18,13,4,12,7,6,8,13,18,8,10,11,13,12,18,13,15,18,9,16,11,14,13,12,7,10,9,16,12,12,11,10,13,16,9,16,11,8,17,11,17,10,9,12,8,13,8,16,7,17,17,10,13,13,11,10,11,8,6,17,17,16,10,14,8,16,10,10,10,9,12,14,10,8,10,12,16,3,14,7,9,11,17,11,11,11,10,13,13,12,14,14,16,15,11,10,12,14,8,6,10,13,12,11,13,5,13,9,11,8,10,13,14,11,10,11,12,9,10,8,8,7,11,16,11,10,4,5,8,10,18,17,11,8,6,8,17,8,8,13,19,13,8,9,9,10,14,12,7,8,12,20,3,6,11,12,8,12,12,12,8,6,9,14,5,11,9,11,11,15,12,5,9,10,15,11,10,12,12,12,DES
file0416.txt.enc,txt_ecb,7.976906326153932,128.6459466811752,5416.431365507495,73.5964086454461,-0.023341437209370073,-1.1775012929794288,773151,10.254852350745093,24,32,30,21,35,31,33,29,27,33,19,32,31,32,22,21,39,30,19,25,16,31,24,33,31,30,30,21,29,27,31,21,24,24,24,42,30,25,32,29,27,32,25,38,27,27,22,31,21,32,26,40,25,18,27,29,33,20,33,30,26,20,28,35,29,26,28,29,25,30,23,23,32,18,33,34,31,26,27,36,22,19,26,35,25,28,30,24,26,28,31,27,29,24,22,22,29,24,22,35,31,28,36,41,32,38,25,27,25,31,35,26,30,34,27,33,34,27,24,39,29,30,21,33,25,30,32,33,32,29,24,28,28,22,31,21,32,30,27,37,27,41,27,36,25,26,31,27,30,23,31,30,24,28,33,26,28,35,29,33,34,37,33,24,35,35,36,24,29,32,26,26,29,31,34,25,33,30,27,24,19,35,27,26,33,37,29,22,24,31,31,39,22,29,32,30,29,30,19,32,30,22,25,36,36,26,27,29,34,27,39,26,30,32,22,35,28,25,29,22,32,33,29,32,16,30,29,19,19,29,31,35,21,20,33,38,29,27,25,34,22,32,27,25,33,34,27,26,30,33,31,27,34,41,23,30,DES
file0406.txt.enc,txt_ecb,7.91957534202985,128.35756802721087,5433.962706330407,73.71541701930748,-0.015330813929846789,-1.2067791981005955,253621,10.384221580028482,6,5,8,8,11,7,9,6,7,14,8,12,12,8,9,11,9,8,11,8,6,8,7,11,9,11,12,7,9,14,11,13,15,7,13,14,6,8,7,16,5,7,6,8,10,2,8,5,14,9,10,8,8,8,8,8,6,5,6,10,16,8,5,10,10,12,11,6,10,11,5,6,7,11,10,10,6,7,12,11,10,11,5,8,11,9,12,6,10,12,5,10,14,13,5,7,10,12,11,14,7,9,11,18,17,8,8,12,15,8,13,4,4,11,7,11,9,9,9,3,9,3,2,7,9,8,12,8,8,6,7,10,13,7,10,7,10,9,7,13,7,14,7,9,7,15,5,11,10,4,8,7,5,6,9,14,11,10,11,10,13,3,12,8,12,13,10,12,11,10,8,11,11,6,12,15,7,11,13,13,5,6,10,10,7,11,8,8,11,4,13,3,4,10,10,7,7,8,7,11,9,7,15,9,11,11,12,10,11,15,7,11,9,10,3,9,9,11,11,8,9,11,12,11,7,8,12,9,7,12,10,8,7,4,12,11,9,16,6,11,10,6,15,6,10,4,6,9,14,7,16,9,6,6,9,9,DES
file0608.txt.enc,txt_ecb,7.981017834276898,126.67008196721312,5435.673401718907,73.7270194821336,0.004566976917338916,-1.1987977907825067,970331,10.229943655556394,39,45,31,46,46,32,41,39,33,27,30,36,39,29,37,33,37,47,33,34,36,42,35,31,41,35,33,41,45,34,40,29,26,46,36,40,40,25,29,26,51,49,36,33,30,42,32,39,38,36,40,29,35,38,38,37,37,34,40,45,39,38,48,21,34,39,43,33,35,29,26,34,43,42,33,34,46,42,33,36,31,43,30,30,48,42,42,43,42,40,28,39,36,35,36,30,48,38,34,34,33,34,36,35,37,39,32,30,33,38,35,38,31,39,42,33,33,36,35,28,29,33,36,34,34,35,34,40,42,29,37,36,27,44,40,23,33,40,40,31,40,39,33,32,43,45,35,27,39,37,43,36,36,38,36,39,35,35,53,39,39,43,44,36,21,32,29,36,36,34,37,36,45,44,37,27,41,34,39,40,35,33,47,26,36,32,44,27,30,36,36,43,36,38,40,31,34,33,53,39,34,43,52,26,35,44,36,23,34,30,39,40,44,37,31,33,33,31,46,39,36,30,40,32,40,32,44,31,33,36,41,40,34,34,41,35,21,33,33,37,27,26,30,37,31,34,32,41,32,50,33,42,38,33,29,31,DES
file0618.txt.enc,txt_ecb,7.970862126310758,126.34627016129032,5603.063396706582,74.8536131172476,0.024946360114018747,-1.2222030368995835,636623,10.342123060987147,19,29,29,24,21,17,22,23,28,23,25,28,31,27,26,33,23,31,27,23,29,21,28,20,18,22,20,27,27,27,24,31,25,22,30,30,22,28,16,22,22,19,20,25,22,19,15,26,26,24,17,32,17,32,21,20,15,36,19,24,24,22,26,24,25,22,18,20,23,24,16,24,24,34,21,30,26,26,28,17,26,23,17,31,21,19,24,21,26,29,14,24,21,26,22,26,18,32,18,25,22,22,23,22,23,18,20,25,23,22,23,26,27,31,20,22,19,26,22,21,27,29,21,24,29,19,19,22,19,21,16,31,32,18,14,19,23,22,22,24,26,27,17,33,18,21,22,29,24,22,21,17,19,26,29,17,16,27,25,15,33,19,21,16,15,24,23,15,25,23,20,20,25,21,29,22,31,20,21,23,22,22,26,16,19,17,24,15,25,18,24,22,27,29,17,15,23,31,21,26,24,37,20,33,29,22,17,19,17,23,25,26,19,18,12,25,29,22,31,27,20,20,27,18,22,25,22,23,23,22,25,19,25,16,27,16,26,28,23,24,27,25,24,20,21,22,37,30,24,27,20,19,23,31,24,22,DES
file0382.txt.enc,txt_ecb,7.978290580816029,128.61834551148226,5504.744606030935,74.19396610258097,-0.028545914976241038,-1.2085385091817713,808893,10.273484984996667,30,30,27,25,37,38,24,29,29,38,28,33,26,31,35,35,33,23,24,29,28,38,36,27,28,22,38,23,29,34,23,33,33,27,37,25,25,23,24,27,36,19,32,28,28,27,34,37,31,28,29,28,31,24,28,29,28,30,37,32,36,36,29,24,37,25,32,29,26,33,24,32,28,25,31,38,25,29,17,31,36,24,27,33,26,31,26,27,29,28,32,31,24,23,29,17,31,26,20,32,26,30,34,33,27,32,31,26,31,38,32,34,25,41,41,35,29,33,25,30,23,36,31,21,38,27,31,23,23,32,22,14,29,33,32,26,31,30,26,31,30,31,24,25,35,29,30,33,30,32,22,34,36,35,27,26,27,25,36,36,29,33,33,27,42,36,27,33,38,30,30,25,36,29,30,24,36,25,30,23,25,33,31,23,37,30,29,28,41,27,39,31,25,32,34,22,31,37,28,44,40,33,24,35,23,31,27,31,29,28,31,25,26,33,31,25,33,31,34,27,30,40,23,32,28,32,32,24,23,29,31,31,38,26,30,37,30,40,38,38,36,42,27,30,29,26,38,28,19,21,23,25,31,42,31,30,DES
file0392.txt.enc,txt_ecb,7.975343879555192,128.53210463733652,5503.417518638278,74.18502219881233,-0.016811182376720534,-1.1996258333405345,707618,10.25549068448449,24,25,27,26,29,24,33,34,22,23,34,27,30,31,30,29,30,16,25,20,25,16,26,22,27,24,26,25,26,28,24,27,35,34,17,30,22,24,23,25,22,25,25,30,24,27,18,22,25,26,21,21,27,30,26,21,30,25,17,22,23,29,30,26,24,35,22,35,19,20,25,35,28,21,28,34,34,32,25,26,23,25,25,24,30,30,24,20,21,34,18,25,29,28,29,23,23,29,19,38,31,30,17,27,30,31,23,29,14,22,29,28,23,23,22,27,34,20,25,31,26,27,24,29,25,26,23,26,26,28,31,27,20,34,30,25,34,22,29,25,22,24,36,23,29,24,26,28,21,26,31,15,33,26,35,25,40,26,27,21,28,27,30,17,32,25,19,30,23,23,25,21,24,22,18,29,20,19,31,25,28,27,23,21,25,27,22,33,28,17,31,25,26,23,29,19,25,38,26,37,28,33,22,28,23,38,27,28,37,26,32,22,23,25,31,25,29,27,26,24,26,25,27,23,25,31,23,21,24,22,28,27,25,26,27,28,29,31,35,25,26,33,18,23,41,17,27,29,35,24,36,25,31,28,19,28,DES
