file_name,format,entropy,mean,variance,std_dev,skewness,kurtosis,energy,rms,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,histogram_11,histogram_12,histogram_13,histogram_14,histogram_15,histogram_16,histogram_17,histogram_18,histogram_19,histogram_20,histogram_21,histogram_22,histogram_23,histogram_24,histogram_25,histogram_26,histogram_27,histogram_28,histogram_29,histogram_30,histogram_31,histogram_32,histogram_33,histogram_34,histogram_35,histogram_36,histogram_37,histogram_38,histogram_39,histogram_40,histogram_41,histogram_42,histogram_43,histogram_44,histogram_45,histogram_46,histogram_47,histogram_48,histogram_49,histogram_50,histogram_51,histogram_52,histogram_53,histogram_54,histogram_55,histogram_56,histogram_57,histogram_58,histogram_59,histogram_60,histogram_61,histogram_62,histogram_63,histogram_64,histogram_65,histogram_66,histogram_67,histogram_68,histogram_69,histogram_70,histogram_71,histogram_72,histogram_73,histogram_74,histogram_75,histogram_76,histogram_77,histogram_78,histogram_79,histogram_80,histogram_81,histogram_82,histogram_83,histogram_84,histogram_85,histogram_86,histogram_87,histogram_88,histogram_89,histogram_90,histogram_91,histogram_92,histogram_93,histogram_94,histogram_95,histogram_96,histogram_97,histogram_98,histogram_99,histogram_100,histogram_101,histogram_102,histogram_103,histogram_104,histogram_105,histogram_106,histogram_107,histogram_108,histogram_109,histogram_110,histogram_111,histogram_112,histogram_113,histogram_114,histogram_115,histogram_116,histogram_117,histogram_118,histogram_119,histogram_120,histogram_121,histogram_122,histogram_123,histogram_124,histogram_125,histogram_126,histogram_127,histogram_128,histogram_129,histogram_130,histogram_131,histogram_132,histogram_133,histogram_134,histogram_135,histogram_136,histogram_137,histogram_138,histogram_139,histogram_140,histogram_141,histogram_142,histogram_143,histogram_144,histogram_145,histogram_146,histogram_147,histogram_148,histogram_149,histogram_150,histogram_151,histogram_152,histogram_153,histogram_154,histogram_155,histogram_156,histogram_157,histogram_158,histogram_159,histogram_160,histogram_161,histogram_162,histogram_163,histogram_164,histogram_165,histogram_166,histogram_167,histogram_168,histogram_169,histogram_170,histogram_171,histogram_172,histogram_173,histogram_174,histogram_175,histogram_176,histogram_177,histogram_178,histogram_179,histogram_180,histogram_181,histogram_182,histogram_183,histogram_184,histogram_185,histogram_186,histogram_187,histogram_188,histogram_189,histogram_190,histogram_191,histogram_192,histogram_193,histogram_194,histogram_195,histogram_196,histogram_197,histogram_198,histogram_199,histogram_200,histogram_201,histogram_202,histogram_203,histogram_204,histogram_205,histogram_206,histogram_207,histogram_208,histogram_209,histogram_210,histogram_211,histogram_212,histogram_213,histogram_214,histogram_215,histogram_216,histogram_217,histogram_218,histogram_219,histogram_220,histogram_221,histogram_222,histogram_223,histogram_224,histogram_225,histogram_226,histogram_227,histogram_228,histogram_229,histogram_230,histogram_231,histogram_232,histogram_233,histogram_234,histogram_235,histogram_236,histogram_237,histogram_238,histogram_239,histogram_240,histogram_241,histogram_242,histogram_243,histogram_244,histogram_245,histogram_246,histogram_247,histogram_248,histogram_249,histogram_250,histogram_251,histogram_252,histogram_253,histogram_254,histogram_255,algorithm
file0380.py.enc,pyth_ecb,7.848455762849962,127.7384701912261,5498.000781011767,74.14850491420421,-0.017208802622593566,-1.1936996163373967,762940,10.35736588720727,15,24,17,58,13,13,22,25,16,49,19,26,81,15,23,58,30,29,24,20,26,87,26,23,53,20,21,21,53,10,20,59,20,20,16,20,23,20,24,36,14,33,23,25,42,14,24,19,18,20,31,29,24,21,26,31,19,26,21,24,11,18,60,30,23,27,20,25,13,24,22,29,27,24,30,27,54,13,19,14,17,26,27,22,59,37,17,18,15,24,25,30,32,23,17,20,29,29,28,33,50,28,25,30,26,21,16,20,81,21,22,28,32,53,28,20,27,15,18,29,53,27,23,18,33,23,22,14,56,51,22,19,23,31,16,23,87,26,26,23,27,27,24,22,64,23,21,27,57,18,35,25,22,40,27,17,16,14,18,12,44,29,23,16,21,19,18,21,21,51,15,29,49,19,20,30,15,30,50,29,19,32,17,56,24,52,20,31,16,11,24,31,23,17,13,45,54,30,21,30,22,24,17,67,36,18,25,29,26,29,14,27,25,20,36,20,19,25,20,56,26,17,32,28,22,18,30,27,19,12,19,24,31,27,16,23,41,62,14,48,76,22,18,35,65,19,27,20,28,23,16,23,20,23,27,25,DES
file0666.py.enc,pyth_ecb,7.848850228277224,128.65674955595026,5381.814683573157,73.36085252757874,-0.03145439404203776,-1.188800423098002,488676,10.41624806737367,18,11,18,17,10,15,22,24,12,18,12,10,18,40,19,27,6,18,14,17,16,17,11,11,11,11,9,9,14,39,18,29,12,13,19,21,17,23,20,30,19,17,20,31,17,9,15,34,18,13,15,15,15,16,14,8,8,19,17,8,18,12,27,15,12,19,19,16,12,23,14,18,10,16,15,19,43,13,11,7,16,17,20,33,14,17,13,28,21,15,14,11,11,10,20,14,11,10,16,13,7,23,35,13,17,13,12,13,6,23,16,6,51,6,16,17,15,21,20,10,52,15,38,13,13,14,27,35,8,11,11,19,9,22,39,25,20,11,17,16,13,9,30,14,36,21,9,31,10,25,12,9,10,39,16,15,14,13,12,13,9,32,15,14,23,5,19,18,20,17,17,14,15,17,15,12,17,23,10,15,66,16,34,12,8,16,22,27,8,11,16,11,21,12,17,28,22,12,18,19,10,16,14,37,11,17,13,21,16,12,13,15,21,20,26,19,12,35,18,13,16,18,11,29,19,35,12,13,17,9,13,15,14,10,52,13,10,23,12,14,19,38,14,8,10,31,19,9,13,19,19,17,11,14,11,22,DES
file0605.py.enc,pyth_ecb,7.860966564883022,128.32071995464852,5570.28106728212,74.63431561475002,-0.010139869088383624,-1.1845983060578358,728501,10.160984527887232,23,20,24,23,56,12,24,27,13,22,45,59,64,52,43,22,19,25,24,19,17,16,21,64,10,19,22,20,20,24,26,21,25,29,56,10,17,22,11,35,16,48,23,20,55,21,24,23,28,55,17,17,22,35,25,22,29,25,20,48,21,21,23,16,28,30,22,18,15,24,48,17,20,27,45,26,29,32,20,17,22,30,14,21,27,56,14,54,23,22,27,20,25,10,28,56,21,22,22,38,26,22,31,23,19,28,25,34,29,18,26,23,22,29,21,25,20,79,22,22,19,14,25,51,20,31,28,21,23,23,36,19,18,22,56,20,30,17,19,8,24,38,22,21,40,20,53,25,25,27,28,43,55,15,22,27,24,18,21,19,57,70,85,24,25,17,19,30,26,20,21,27,25,22,62,33,25,29,18,14,21,30,27,21,51,20,22,15,17,13,31,20,21,17,22,30,27,23,16,20,20,31,58,40,27,25,22,38,25,23,19,20,27,30,59,24,29,23,20,21,24,16,32,19,25,39,22,27,19,32,13,64,22,20,19,23,28,18,17,10,31,12,26,35,23,47,23,23,25,44,59,21,61,52,24,31,DES
file0705.py.enc,pyth_ecb,7.847644024717371,126.684350132626,5506.0223810763455,74.20257664715118,-0.0043615821069227225,-1.2337503419309328,312376,10.177079359869522,11,27,6,10,5,12,11,12,36,8,12,9,18,10,10,12,10,13,8,6,12,19,9,10,8,12,10,6,11,30,7,13,12,14,10,7,6,18,11,10,10,7,9,7,16,14,9,10,9,7,27,9,9,7,8,12,17,10,7,12,10,27,13,8,23,10,20,15,23,13,8,16,10,9,9,26,6,6,25,13,10,10,15,18,4,9,5,14,10,14,9,14,11,14,14,5,12,7,13,5,11,9,32,11,7,10,9,11,24,12,9,9,11,15,15,17,9,10,9,5,9,6,7,9,3,17,11,20,13,7,16,10,12,6,16,11,8,10,11,6,18,9,5,3,5,16,9,9,10,11,9,17,11,9,13,10,9,9,13,6,22,2,17,10,8,10,10,23,10,15,10,10,5,9,18,7,12,5,9,17,19,13,11,13,6,12,11,14,9,6,19,17,32,8,41,16,21,4,9,10,12,10,15,14,23,17,8,8,12,5,7,21,11,5,12,25,11,2,10,8,14,7,11,10,22,11,9,11,21,7,8,8,12,10,12,14,16,12,6,12,11,11,4,15,11,10,12,9,10,25,10,10,11,5,10,9,DES
file0678.py.enc,pyth_ecb,7.847266928231571,129.45642430278883,5255.859654943473,72.49730791514588,-0.04878827407839539,-1.1656788217975946,440979,10.47881328626702,10,15,18,9,10,16,18,21,5,14,9,7,12,30,20,19,14,17,9,10,18,9,10,13,13,16,16,13,7,33,8,25,10,9,12,12,19,10,17,39,13,15,13,25,14,14,16,30,13,11,13,9,13,12,10,12,8,22,15,12,18,17,26,12,13,14,18,17,12,16,8,15,15,14,14,20,32,12,12,14,10,11,17,36,14,8,10,31,14,12,15,11,6,5,12,14,7,12,9,9,9,12,28,13,22,9,16,17,12,16,17,13,49,13,6,12,13,14,11,12,45,10,28,12,13,15,20,30,6,9,9,19,15,22,40,34,17,9,7,15,15,8,31,12,29,10,6,24,11,33,9,11,14,22,18,9,14,18,19,12,10,36,9,15,17,11,14,15,21,15,20,10,11,21,16,19,20,20,14,9,46,13,22,26,12,7,21,33,7,13,10,12,16,15,11,26,17,12,16,25,11,9,18,26,9,11,12,14,24,17,14,8,10,9,13,14,11,42,17,18,7,22,9,22,13,29,18,12,12,10,14,15,12,17,41,7,12,16,15,11,12,27,10,15,10,29,15,10,10,10,21,21,8,16,15,5,DES
file0709.py.enc,pyth_ecb,7.845234513898542,125.9515306122449,5480.030813983757,74.02723021958715,0.045980736554902917,-1.2121813195833735,213661,10.440819617525928,6,9,11,6,5,3,15,15,7,6,16,4,8,2,6,6,3,9,6,6,5,13,4,6,5,7,6,7,8,8,5,7,15,9,13,15,5,9,5,17,9,7,12,5,2,9,3,5,3,7,9,7,6,7,3,9,5,9,16,4,13,4,6,5,7,11,10,10,18,17,8,14,5,7,9,12,4,10,16,7,11,13,5,3,6,7,11,11,4,12,8,9,8,7,13,9,5,4,7,9,8,4,6,11,10,5,9,8,4,3,7,1,14,4,5,8,10,9,6,6,9,5,9,6,12,13,9,3,4,8,3,5,8,6,12,9,2,3,6,12,5,3,5,14,7,4,9,5,9,11,6,3,5,5,3,10,9,4,6,4,5,6,10,4,2,14,9,17,6,3,17,8,11,14,4,3,7,13,9,7,5,13,5,7,8,7,4,30,8,7,5,7,8,8,9,3,4,7,8,4,7,7,8,8,6,8,3,5,8,11,6,8,4,10,8,13,3,5,7,14,9,6,4,6,4,10,9,8,8,7,6,6,8,5,8,8,6,9,11,8,7,5,7,7,5,6,8,4,12,10,9,4,8,8,5,15,DES
file0609.py.enc,pyth_ecb,7.835917814473505,125.53414735099338,5420.335340580936,73.62292673196941,0.001787428854340071,-1.203917889589291,503449,10.207379894205749,13,45,16,18,14,24,14,22,67,13,20,13,27,14,15,12,14,22,13,12,15,33,8,17,19,19,16,16,18,43,16,11,21,17,13,17,13,37,13,17,20,10,20,8,13,15,12,18,12,14,35,20,18,15,16,13,36,20,13,16,14,39,14,22,29,16,27,26,30,20,14,37,10,21,15,50,7,11,45,8,14,18,12,12,18,17,16,17,17,18,24,41,6,15,15,12,18,11,12,11,21,16,44,14,15,12,20,16,36,15,14,14,19,32,15,21,14,20,13,12,26,20,14,21,14,34,20,45,10,13,41,21,22,8,18,13,9,18,14,15,34,14,14,10,12,17,15,20,24,17,18,11,15,18,23,14,21,15,14,17,35,12,29,18,15,13,14,50,18,18,19,15,12,19,15,11,15,16,13,17,11,16,13,16,15,19,12,19,15,21,31,7,32,23,79,34,49,10,7,9,11,17,18,18,35,17,11,12,11,15,17,31,29,22,13,49,11,9,10,19,13,18,16,11,33,18,11,14,40,12,15,17,15,14,12,42,16,17,21,15,13,9,17,8,20,14,16,20,15,31,15,18,9,15,13,10,DES
file0674.py.enc,pyth_ecb,7.869088040863101,128.87682926829268,5461.6901948245095,73.90324887868266,-0.05319803835069398,-1.1759318534653767,867428,10.28513016150133,28,28,19,61,20,25,26,31,27,55,18,34,96,30,15,54,26,29,29,26,35,79,29,35,49,26,19,27,45,28,29,52,14,16,27,27,28,26,26,28,25,23,23,30,33,20,21,22,27,34,27,25,34,19,26,18,31,23,32,29,18,34,66,37,22,29,21,28,17,30,33,24,19,23,26,26,70,26,27,23,24,35,22,22,61,34,26,26,19,28,29,32,25,21,41,19,37,29,27,25,62,32,45,20,25,30,26,26,86,39,27,25,25,52,19,29,38,23,25,14,53,44,30,28,32,23,31,21,71,63,32,35,29,23,25,27,91,29,24,20,24,28,31,39,60,28,30,24,49,28,34,15,26,68,31,20,25,23,24,20,73,20,22,27,16,25,34,20,19,63,20,33,53,25,28,19,24,25,66,32,29,30,21,66,35,66,22,51,33,26,22,27,30,34,21,69,71,42,27,26,26,31,17,70,35,35,20,21,29,17,15,33,18,31,31,31,15,22,27,53,31,20,39,46,25,29,38,28,28,23,27,15,25,29,22,29,72,52,35,47,68,17,18,42,62,34,38,33,34,21,14,38,27,31,18,25,DES
file0392.py.enc,pyth_ecb,7.845337727455761,128.11847527472528,5467.442350971915,73.94215543904515,-0.026550591077425068,-1.1786932210687544,310353,10.3236266148828,15,4,7,18,8,7,5,7,10,15,12,12,39,9,10,21,9,11,18,8,11,32,8,6,14,9,16,16,18,5,8,16,6,7,9,11,11,9,11,9,8,4,9,13,13,9,9,5,10,13,5,11,11,12,6,6,11,6,13,14,13,7,23,11,8,7,10,5,9,12,14,7,9,9,10,12,19,10,8,6,7,10,9,14,25,9,6,15,13,6,6,9,8,15,8,10,12,11,9,5,23,13,14,10,8,7,10,7,34,15,5,13,14,25,13,11,13,9,13,11,21,18,9,4,10,13,7,10,18,21,7,5,7,12,10,9,29,9,11,9,13,11,12,8,23,16,6,8,22,8,7,11,12,21,9,5,10,9,8,12,18,13,11,4,6,10,10,7,7,20,9,10,22,6,11,13,11,8,23,10,8,5,6,24,13,16,9,15,6,7,8,15,13,9,5,25,28,12,8,11,7,11,7,25,7,6,8,3,11,11,5,8,9,6,14,14,9,7,6,21,12,8,18,15,5,10,17,11,11,9,9,6,11,9,10,11,21,18,9,21,27,9,6,12,22,7,11,13,10,13,6,12,13,12,6,6,DES
file0717.py.enc,pyth_ecb,7.861090733567804,127.2353896103896,5310.925517055996,72.87609702128672,-0.02730832107149668,-1.1999979781675234,509330,10.166331784279517,15,28,21,12,19,20,22,13,64,7,15,19,23,14,16,13,11,25,12,14,17,28,9,21,15,14,15,14,18,30,17,16,18,20,14,11,18,39,15,12,11,13,22,10,21,15,14,13,13,24,39,23,19,14,17,13,31,15,15,14,14,37,16,19,40,13,42,22,34,11,8,41,17,18,17,32,8,9,56,14,17,16,18,17,12,17,13,13,17,19,19,45,15,24,21,15,17,15,6,12,18,20,32,13,15,13,26,26,28,15,19,13,20,23,21,27,15,18,17,26,14,15,14,14,16,50,21,34,9,13,33,13,15,20,15,11,14,18,15,13,25,13,22,13,18,11,22,12,15,17,11,12,16,20,20,12,14,21,24,12,37,12,48,18,16,23,15,32,23,21,14,13,16,15,14,12,25,12,11,24,17,16,10,25,14,21,19,24,9,24,47,17,45,25,58,41,45,17,18,16,18,25,24,18,33,19,19,24,14,16,17,26,18,11,17,35,13,14,14,14,18,16,18,10,32,17,17,15,30,16,9,12,17,10,22,31,14,11,15,17,21,20,18,9,18,17,12,16,18,42,15,13,14,8,11,13,DES
