file_name,format,entropy,mean,variance,std_dev,skewness,kurtosis,energy,rms,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,histogram_11,histogram_12,histogram_13,histogram_14,histogram_15,histogram_16,histogram_17,histogram_18,histogram_19,histogram_20,histogram_21,histogram_22,histogram_23,histogram_24,histogram_25,histogram_26,histogram_27,histogram_28,histogram_29,histogram_30,histogram_31,histogram_32,histogram_33,histogram_34,histogram_35,histogram_36,histogram_37,histogram_38,histogram_39,histogram_40,histogram_41,histogram_42,histogram_43,histogram_44,histogram_45,histogram_46,histogram_47,histogram_48,histogram_49,histogram_50,histogram_51,histogram_52,histogram_53,histogram_54,histogram_55,histogram_56,histogram_57,histogram_58,histogram_59,histogram_60,histogram_61,histogram_62,histogram_63,histogram_64,histogram_65,histogram_66,histogram_67,histogram_68,histogram_69,histogram_70,histogram_71,histogram_72,histogram_73,histogram_74,histogram_75,histogram_76,histogram_77,histogram_78,histogram_79,histogram_80,histogram_81,histogram_82,histogram_83,histogram_84,histogram_85,histogram_86,histogram_87,histogram_88,histogram_89,histogram_90,histogram_91,histogram_92,histogram_93,histogram_94,histogram_95,histogram_96,histogram_97,histogram_98,histogram_99,histogram_100,histogram_101,histogram_102,histogram_103,histogram_104,histogram_105,histogram_106,histogram_107,histogram_108,histogram_109,histogram_110,histogram_111,histogram_112,histogram_113,histogram_114,histogram_115,histogram_116,histogram_117,histogram_118,histogram_119,histogram_120,histogram_121,histogram_122,histogram_123,histogram_124,histogram_125,histogram_126,histogram_127,histogram_128,histogram_129,histogram_130,histogram_131,histogram_132,histogram_133,histogram_134,histogram_135,histogram_136,histogram_137,histogram_138,histogram_139,histogram_140,histogram_141,histogram_142,histogram_143,histogram_144,histogram_145,histogram_146,histogram_147,histogram_148,histogram_149,histogram_150,histogram_151,histogram_152,histogram_153,histogram_154,histogram_155,histogram_156,histogram_157,histogram_158,histogram_159,histogram_160,histogram_161,histogram_162,histogram_163,histogram_164,histogram_165,histogram_166,histogram_167,histogram_168,histogram_169,histogram_170,histogram_171,histogram_172,histogram_173,histogram_174,histogram_175,histogram_176,histogram_177,histogram_178,histogram_179,histogram_180,histogram_181,histogram_182,histogram_183,histogram_184,histogram_185,histogram_186,histogram_187,histogram_188,histogram_189,histogram_190,histogram_191,histogram_192,histogram_193,histogram_194,histogram_195,histogram_196,histogram_197,histogram_198,histogram_199,histogram_200,histogram_201,histogram_202,histogram_203,histogram_204,histogram_205,histogram_206,histogram_207,histogram_208,histogram_209,histogram_210,histogram_211,histogram_212,histogram_213,histogram_214,histogram_215,histogram_216,histogram_217,histogram_218,histogram_219,histogram_220,histogram_221,histogram_222,histogram_223,histogram_224,histogram_225,histogram_226,histogram_227,histogram_228,histogram_229,histogram_230,histogram_231,histogram_232,histogram_233,histogram_234,histogram_235,histogram_236,histogram_237,histogram_238,histogram_239,histogram_240,histogram_241,histogram_242,histogram_243,histogram_244,histogram_245,histogram_246,histogram_247,histogram_248,histogram_249,histogram_250,histogram_251,histogram_252,histogram_253,histogram_254,histogram_255,algorithm
file1072.html.enc,html_ecb,7.966513833705049,126.89460309777347,5384.61994183182,73.37996962272348,0.00011731073934869801,-1.1728828957350637,869813,10.259301495860342,52,42,32,27,36,32,47,27,38,26,34,24,36,27,23,25,23,42,29,31,29,29,33,34,23,34,30,40,26,34,29,37,40,27,32,21,35,33,35,25,50,29,29,26,33,29,21,41,34,27,35,30,46,46,28,28,24,36,37,32,31,29,24,16,40,39,27,37,23,23,28,32,26,28,29,36,34,35,18,33,29,35,36,33,31,37,33,35,33,39,44,44,26,28,36,36,26,44,42,24,25,32,35,25,35,66,30,24,49,19,52,30,34,25,30,33,23,36,37,34,50,33,44,19,27,42,36,36,37,36,28,32,32,35,24,30,31,29,31,41,27,45,27,35,29,40,29,27,32,26,38,37,22,30,29,31,26,37,48,34,33,38,36,42,21,29,34,49,29,28,25,33,29,37,26,37,24,36,32,27,27,29,46,21,25,28,37,37,38,30,23,27,36,25,33,39,21,32,42,43,25,37,37,30,48,30,27,34,31,30,49,31,30,26,27,29,30,36,34,35,32,32,30,27,44,27,22,28,31,31,29,30,28,34,34,28,28,45,35,28,31,26,27,45,27,25,33,30,41,25,24,32,32,27,32,29,DES
file1073.html.enc,html_ecb,7.9258916429185495,127.71491228070175,5435.354032009849,73.72485355705936,0.011892224480984561,-1.1900040679648298,381940,10.232226781706936,13,17,9,15,17,18,17,9,9,16,12,18,11,18,15,8,10,11,23,14,4,15,13,10,16,11,19,12,14,20,10,13,18,10,18,6,13,20,11,7,20,13,15,20,26,17,13,16,18,12,14,9,12,27,11,17,16,18,21,22,4,16,9,11,15,6,15,12,6,9,15,8,17,9,15,15,10,22,13,10,16,10,15,13,16,11,13,12,7,26,10,13,15,16,14,20,16,19,23,15,10,20,19,20,11,30,11,11,15,10,22,15,18,16,14,11,15,17,16,10,18,23,18,14,10,14,22,24,10,10,14,9,14,12,11,15,12,13,14,17,13,19,10,10,12,19,15,12,6,12,15,11,10,13,17,9,12,15,15,17,18,12,18,11,9,7,15,22,17,10,13,21,20,10,11,16,16,16,15,11,16,9,14,10,13,19,17,11,18,12,13,6,13,9,18,14,10,13,18,16,18,20,10,26,17,8,12,16,10,5,15,18,26,11,8,6,9,22,13,12,12,19,17,16,21,8,15,13,16,10,16,9,13,18,11,12,10,26,21,15,18,11,13,7,16,18,10,16,19,19,19,12,13,9,19,11,DES
file0674.html.enc,html_ecb,7.916884907914432,129.1829268292683,5468.541063520391,73.94958460681433,-0.03016149293931992,-1.1756084970801548,304704,10.159700398885882,15,18,13,5,19,12,13,10,10,6,8,10,12,15,13,9,12,15,8,11,8,7,15,15,16,10,9,10,7,8,8,13,8,5,12,11,14,12,10,8,15,12,11,18,13,10,4,13,12,7,12,11,10,10,15,16,8,12,16,14,12,7,13,7,10,8,9,11,9,14,13,6,7,12,11,13,13,7,8,4,10,9,14,5,12,14,11,11,8,19,11,15,11,12,8,9,7,11,13,22,6,12,16,12,12,22,8,7,17,15,21,14,13,12,21,11,8,7,18,14,18,10,9,6,19,15,11,11,5,15,10,8,7,16,8,6,10,14,6,11,13,11,13,10,13,17,13,8,13,10,9,16,11,11,8,17,16,11,16,10,17,11,9,11,11,10,6,20,10,10,11,11,14,6,12,12,6,14,13,11,13,10,9,5,11,11,14,11,16,13,12,9,14,8,11,11,4,12,6,7,14,20,10,16,14,10,17,7,17,12,27,11,12,4,9,12,10,15,8,15,13,10,12,23,18,7,7,10,16,7,9,16,5,12,4,7,11,21,15,10,8,9,13,15,9,13,13,16,12,5,8,11,16,16,10,21,DES
file0882.html.enc,html_ecb,7.897371568242474,128.67137809187278,5390.2860005743605,73.41856713784573,-0.027865554573118626,-1.1875913754790037,243028,10.360720195439981,8,9,11,7,9,7,15,8,10,5,9,8,7,2,12,3,7,6,16,12,13,6,8,6,11,5,5,12,10,4,3,11,14,5,12,12,8,5,10,7,13,9,4,13,20,2,7,10,11,8,3,8,7,12,14,11,6,7,5,10,10,6,7,5,7,7,9,11,8,5,11,11,9,7,8,12,13,8,6,5,6,9,15,10,7,10,8,9,8,7,17,12,4,5,9,7,6,13,7,10,5,9,13,18,6,9,7,7,8,8,16,10,11,4,9,8,9,11,7,12,7,6,8,5,6,13,13,8,3,7,8,14,5,4,13,12,6,8,13,12,4,6,9,18,7,16,7,5,10,12,8,6,8,4,8,8,10,5,11,10,18,12,10,11,5,6,8,18,9,5,12,10,8,6,5,14,7,14,8,9,13,11,12,11,6,9,10,7,4,7,4,5,11,8,10,11,12,9,7,12,6,12,10,12,11,4,9,12,9,12,12,6,7,8,9,4,6,11,9,10,7,6,12,6,9,12,7,5,16,13,3,8,9,12,9,8,4,15,9,10,8,11,11,10,7,12,7,6,11,7,10,13,9,2,11,4,DES
file0883.html.enc,html_ecb,7.973058282064422,127.60688110749186,5295.984911933748,72.77351793017668,-0.023046625419356013,-1.1538322052802223,1025626,10.217633812023818,41,50,40,28,29,42,58,33,34,33,41,34,34,38,35,32,28,40,49,37,44,50,40,37,37,39,25,43,39,37,24,45,26,27,27,43,43,33,42,30,48,29,36,45,47,37,35,52,43,30,32,43,46,44,27,26,33,33,46,34,30,29,37,37,36,32,40,29,31,44,36,35,39,36,29,28,39,29,36,31,34,42,39,40,53,35,27,29,33,55,33,37,31,41,50,45,36,48,54,46,27,35,48,38,38,61,37,31,52,41,53,34,40,28,37,37,37,39,44,47,42,35,39,34,49,53,49,46,28,38,52,46,36,43,42,33,38,36,30,46,47,47,41,39,37,44,41,29,28,39,41,40,31,36,41,34,37,40,54,49,55,56,45,44,22,28,43,45,44,43,40,36,55,34,34,42,44,53,34,35,44,38,22,41,34,36,42,31,35,30,52,28,49,42,46,29,55,41,44,47,42,42,28,33,43,38,34,35,33,35,59,39,36,39,31,40,34,40,43,33,37,46,41,33,49,35,36,36,37,33,35,26,36,39,33,23,34,38,38,34,33,40,34,37,25,37,42,37,37,29,35,35,38,40,36,37,DES
file0675.html.enc,html_ecb,7.9318312588564766,126.95682302771856,5401.761995024119,73.49668016328437,0.010105637564500598,-1.1717503178067183,400774,10.33518737522564,19,24,16,9,21,10,24,7,16,17,12,15,12,10,21,12,13,13,15,20,13,10,13,14,14,11,5,20,8,8,13,15,14,10,18,13,17,15,19,11,15,20,13,20,20,14,10,24,14,17,11,13,15,24,12,14,10,12,18,18,15,14,13,15,8,21,11,15,11,19,15,17,17,3,13,14,12,10,18,13,10,12,16,18,21,10,9,17,9,20,15,10,15,15,16,21,14,22,24,19,4,14,21,17,13,27,11,17,26,17,21,6,12,11,18,17,13,14,14,11,13,22,12,14,14,16,21,17,11,18,15,16,7,13,23,12,11,13,16,18,19,24,16,26,13,21,8,14,15,14,14,16,10,18,16,9,13,8,17,12,14,12,17,13,10,9,20,18,16,17,8,13,12,11,22,18,14,11,8,13,17,15,16,14,15,16,6,10,13,9,9,17,19,11,17,10,21,22,14,16,11,16,17,19,21,3,14,22,14,10,31,14,16,13,14,9,7,15,22,14,7,14,15,17,19,11,16,15,15,7,15,20,14,14,13,11,18,20,17,13,8,12,12,8,13,12,13,14,18,15,17,18,13,16,16,14,DES
file0918.html.enc,html_ecb,7.932180513106369,127.08569004524887,5355.914320112073,73.18411248428222,0.009907913286892653,-1.1802351987498174,384285,10.42486856585658,12,19,9,5,10,14,21,9,18,12,13,11,16,10,14,14,16,18,12,14,10,16,13,7,8,15,12,17,16,13,11,9,11,19,15,12,11,17,15,16,21,13,18,22,24,13,17,15,14,13,15,13,14,30,13,16,8,10,17,15,8,18,4,12,11,10,16,14,5,13,20,14,15,12,13,12,8,9,23,21,14,8,15,12,13,11,17,13,8,14,9,9,11,13,13,13,14,16,22,14,11,16,18,13,6,29,13,16,15,12,24,12,14,13,9,12,16,16,19,11,12,17,13,11,16,7,16,20,14,16,8,16,12,13,11,13,13,12,14,11,10,16,17,17,14,22,15,20,15,12,13,15,15,11,11,18,13,9,24,15,15,13,14,21,9,17,13,19,11,8,18,15,17,11,12,26,17,16,16,8,19,12,8,15,9,16,18,6,16,10,8,13,11,9,12,12,15,15,15,18,17,19,12,16,17,6,8,15,6,10,27,18,16,14,13,7,15,19,20,8,9,11,13,11,15,21,14,8,14,14,11,12,17,12,15,14,7,14,14,10,12,15,10,7,13,8,10,12,12,13,24,20,18,18,15,7,DES
file0919.html.enc,html_ecb,7.967557143542691,126.19916965888689,5378.064348502635,73.33528719861016,0.016219719195058293,-1.1869355390343013,950211,10.325769779730015,43,40,30,22,35,29,49,45,33,25,27,28,35,33,37,43,27,36,52,27,40,46,35,29,33,22,41,36,32,36,39,39,44,28,26,41,30,35,41,28,42,24,35,46,42,28,38,41,50,25,29,29,40,51,33,29,24,40,41,31,25,44,23,34,47,32,36,34,25,36,38,37,33,27,45,34,36,36,33,30,31,33,41,39,45,43,39,31,33,40,41,39,39,39,41,35,22,47,36,46,19,31,38,34,33,60,14,27,40,29,37,34,29,31,42,34,36,35,44,32,37,34,34,30,43,34,52,33,30,29,35,32,35,36,34,31,37,29,37,52,26,28,27,36,23,37,33,31,36,30,34,25,32,29,46,40,28,28,42,40,48,48,31,51,36,30,32,51,48,37,37,26,33,47,32,44,23,42,41,39,28,32,39,32,37,28,36,26,33,20,30,32,41,30,47,39,34,28,25,38,37,27,32,31,48,32,32,30,36,26,65,42,38,22,26,31,30,49,31,23,43,42,33,29,43,29,32,36,25,36,30,36,33,31,34,28,35,39,32,23,30,31,35,28,31,35,42,34,25,38,27,39,21,34,39,31,DES
file0810.html.enc,html_ecb,7.974666774562594,125.83534996276993,5354.601241072611,73.17514086814326,0.01725516469805959,-1.170148800301898,1127315,10.243294121529647,59,51,44,38,37,47,45,43,36,53,48,43,51,39,41,40,37,50,43,33,30,47,34,42,40,42,49,40,32,45,49,40,28,41,38,42,30,34,48,41,46,44,42,47,51,41,41,50,49,46,40,37,55,47,29,47,35,35,55,50,51,40,41,41,55,38,37,36,31,43,34,43,36,32,30,38,36,34,39,36,43,44,59,50,51,36,32,27,42,49,34,50,44,33,51,43,42,45,58,41,38,39,55,33,43,77,44,45,63,53,76,54,47,36,43,45,39,33,57,45,58,35,49,33,37,45,53,45,30,49,31,45,46,45,42,36,50,43,37,36,44,43,44,43,34,38,49,41,50,33,50,37,22,42,45,35,37,45,47,49,58,54,43,40,29,43,40,47,47,40,37,49,42,43,33,56,34,47,32,43,40,38,36,29,35,45,38,29,59,34,43,40,50,37,39,36,41,37,40,41,42,40,48,36,50,41,45,44,35,27,70,49,40,36,46,42,36,36,36,53,32,40,40,40,50,36,39,55,35,42,46,38,32,41,32,34,42,53,34,42,34,40,36,46,48,38,38,33,47,35,38,39,31,33,39,30,DES
file0811.html.enc,html_ecb,7.5058928456180904,128.86019736842104,5246.686047329466,72.43401167496846,-0.005506844835400291,-1.119763971560664,63139,10.190536760822965,2,5,1,1,4,0,11,3,2,1,1,0,0,3,0,0,2,2,2,3,0,2,0,3,4,1,1,0,3,3,3,2,4,1,3,0,2,4,1,2,2,1,1,10,8,2,0,2,2,1,1,5,1,2,2,2,2,1,2,1,1,3,0,3,4,4,2,1,3,5,0,0,4,5,3,1,3,0,2,3,4,1,1,4,2,2,1,2,2,3,3,3,2,3,2,5,1,0,6,6,1,1,11,5,1,1,1,1,2,1,11,0,2,0,2,0,5,3,5,3,2,0,0,3,0,2,3,1,6,3,3,1,0,1,4,1,3,3,3,3,5,5,0,3,1,9,1,2,3,2,4,2,2,3,1,4,4,1,5,1,1,1,4,2,1,0,3,8,3,1,3,0,5,1,1,1,2,5,1,3,5,2,1,1,6,2,1,2,0,0,0,4,5,1,3,2,4,3,0,2,3,2,1,4,2,1,3,6,4,0,3,2,4,2,4,1,2,1,2,1,2,1,3,1,1,2,3,2,2,2,2,1,1,1,4,2,1,10,4,0,1,4,2,2,2,4,2,1,5,0,3,2,6,3,0,2,DES
