file_name,format,entropy,mean,variance,std_dev,skewness,kurtosis,energy,rms,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,histogram_11,histogram_12,histogram_13,histogram_14,histogram_15,histogram_16,histogram_17,histogram_18,histogram_19,histogram_20,histogram_21,histogram_22,histogram_23,histogram_24,histogram_25,histogram_26,histogram_27,histogram_28,histogram_29,histogram_30,histogram_31,histogram_32,histogram_33,histogram_34,histogram_35,histogram_36,histogram_37,histogram_38,histogram_39,histogram_40,histogram_41,histogram_42,histogram_43,histogram_44,histogram_45,histogram_46,histogram_47,histogram_48,histogram_49,histogram_50,histogram_51,histogram_52,histogram_53,histogram_54,histogram_55,histogram_56,histogram_57,histogram_58,histogram_59,histogram_60,histogram_61,histogram_62,histogram_63,histogram_64,histogram_65,histogram_66,histogram_67,histogram_68,histogram_69,histogram_70,histogram_71,histogram_72,histogram_73,histogram_74,histogram_75,histogram_76,histogram_77,histogram_78,histogram_79,histogram_80,histogram_81,histogram_82,histogram_83,histogram_84,histogram_85,histogram_86,histogram_87,histogram_88,histogram_89,histogram_90,histogram_91,histogram_92,histogram_93,histogram_94,histogram_95,histogram_96,histogram_97,histogram_98,histogram_99,histogram_100,histogram_101,histogram_102,histogram_103,histogram_104,histogram_105,histogram_106,histogram_107,histogram_108,histogram_109,histogram_110,histogram_111,histogram_112,histogram_113,histogram_114,histogram_115,histogram_116,histogram_117,histogram_118,histogram_119,histogram_120,histogram_121,histogram_122,histogram_123,histogram_124,histogram_125,histogram_126,histogram_127,histogram_128,histogram_129,histogram_130,histogram_131,histogram_132,histogram_133,histogram_134,histogram_135,histogram_136,histogram_137,histogram_138,histogram_139,histogram_140,histogram_141,histogram_142,histogram_143,histogram_144,histogram_145,histogram_146,histogram_147,histogram_148,histogram_149,histogram_150,histogram_151,histogram_152,histogram_153,histogram_154,histogram_155,histogram_156,histogram_157,histogram_158,histogram_159,histogram_160,histogram_161,histogram_162,histogram_163,histogram_164,histogram_165,histogram_166,histogram_167,histogram_168,histogram_169,histogram_170,histogram_171,histogram_172,histogram_173,histogram_174,histogram_175,histogram_176,histogram_177,histogram_178,histogram_179,histogram_180,histogram_181,histogram_182,histogram_183,histogram_184,histogram_185,histogram_186,histogram_187,histogram_188,histogram_189,histogram_190,histogram_191,histogram_192,histogram_193,histogram_194,histogram_195,histogram_196,histogram_197,histogram_198,histogram_199,histogram_200,histogram_201,histogram_202,histogram_203,histogram_204,histogram_205,histogram_206,histogram_207,histogram_208,histogram_209,histogram_210,histogram_211,histogram_212,histogram_213,histogram_214,histogram_215,histogram_216,histogram_217,histogram_218,histogram_219,histogram_220,histogram_221,histogram_222,histogram_223,histogram_224,histogram_225,histogram_226,histogram_227,histogram_228,histogram_229,histogram_230,histogram_231,histogram_232,histogram_233,histogram_234,histogram_235,histogram_236,histogram_237,histogram_238,histogram_239,histogram_240,histogram_241,histogram_242,histogram_243,histogram_244,histogram_245,histogram_246,histogram_247,histogram_248,histogram_249,histogram_250,histogram_251,histogram_252,histogram_253,histogram_254,histogram_255,algorithm
file1072.html.enc,html_ecb,7.969646103133897,127.20438044530493,5484.411156997565,74.05681033502297,0.01380646790277186,-1.2158106684553458,871701,10.270429785396846,20,31,31,36,32,27,26,28,34,31,43,32,37,19,29,31,36,36,37,45,30,27,40,33,28,36,35,17,35,30,26,42,32,39,31,35,27,57,32,38,49,40,47,29,31,34,28,25,27,30,37,29,28,26,36,32,30,32,33,22,41,23,30,41,31,26,36,29,33,37,30,33,28,37,21,29,32,24,33,55,33,40,28,24,38,35,38,24,38,32,31,32,34,33,30,40,27,27,32,35,34,39,33,40,29,25,36,41,37,28,29,34,28,25,29,26,26,48,39,25,39,35,32,30,46,36,28,22,35,37,23,33,40,28,21,40,28,36,25,33,22,32,39,28,30,27,37,25,26,38,23,38,29,26,36,42,17,34,29,35,40,32,28,30,30,44,34,30,23,39,27,26,31,26,21,36,30,33,32,34,24,34,28,31,36,44,34,34,34,26,28,28,36,25,34,23,57,33,26,26,32,50,31,27,33,24,35,35,43,39,28,29,29,31,34,32,40,34,31,29,35,23,42,21,40,37,37,24,44,27,19,37,19,34,38,32,25,31,28,47,33,27,39,43,34,43,25,31,37,23,31,33,34,32,34,25,DES
file1073.html.enc,html_ecb,7.9274959630837465,128.187225877193,5356.450966207752,73.18777880362097,-0.051961227478325954,-1.17204640722047,392429,10.371776079104665,15,10,13,22,15,15,14,16,19,9,14,8,14,14,14,16,15,11,10,16,19,16,7,18,19,16,20,7,18,10,11,16,18,34,11,19,14,9,10,11,7,14,21,14,13,12,10,20,11,7,7,8,14,18,28,18,19,15,13,14,3,13,6,11,13,10,20,12,16,10,6,15,10,14,7,14,13,17,17,17,7,12,20,13,6,8,8,8,11,13,19,9,8,20,9,11,19,13,9,11,19,16,22,9,15,22,16,15,15,11,11,11,14,25,12,9,24,13,9,18,15,22,11,12,17,13,10,21,13,23,13,17,23,15,16,11,13,15,14,13,20,10,17,23,17,7,14,14,18,19,15,15,13,29,13,13,19,15,16,8,8,18,20,11,11,13,19,13,18,22,14,12,14,21,13,10,18,15,16,15,31,15,16,17,9,18,13,8,12,19,12,15,15,13,6,13,14,10,21,11,15,18,19,12,17,15,18,16,10,12,12,12,15,13,15,18,15,15,17,18,15,16,14,19,15,7,10,13,15,13,15,12,12,12,15,11,14,10,11,20,10,16,18,21,17,21,14,13,18,9,9,7,10,12,10,11,DES
file0674.html.enc,html_ecb,7.905110531129698,127.48238482384824,5378.819472903401,73.34043545618884,0.01702975690698146,-1.189164252650082,310938,10.26310385862913,13,7,7,7,14,14,7,16,10,13,8,23,11,12,6,7,9,13,9,9,13,12,7,7,6,16,6,6,22,10,13,5,9,30,15,18,11,7,6,10,15,14,15,6,6,12,12,16,11,14,11,13,13,16,15,15,5,8,12,9,11,15,11,7,10,16,7,10,11,15,4,16,14,11,11,16,10,19,15,6,10,11,13,10,9,9,10,9,8,12,13,6,12,19,19,12,11,19,15,10,21,8,13,13,7,30,7,12,15,11,9,13,9,10,8,6,14,11,13,14,11,12,5,16,10,6,14,14,10,12,9,13,16,13,15,18,14,12,7,6,5,9,11,17,6,14,10,14,10,8,11,15,9,17,7,14,7,15,10,12,12,18,16,13,14,11,9,13,15,10,14,10,6,15,7,12,13,13,6,17,19,7,8,7,11,17,8,12,7,9,8,14,12,12,7,7,10,15,5,9,10,5,12,8,16,8,28,20,17,11,7,8,7,9,5,12,8,10,14,9,15,8,11,18,12,12,14,11,10,5,11,14,15,11,6,12,13,18,9,22,12,13,21,15,20,6,13,7,11,8,10,7,9,8,9,12,DES
file0882.html.enc,html_ecb,7.915802289001481,127.65194346289752,5386.030800109877,73.38958236773036,-0.00029920722331703084,-1.1907615894915278,239560,10.286531040543093,11,18,5,9,4,12,5,8,9,5,7,12,11,10,13,5,8,6,6,8,9,9,9,8,10,11,12,8,11,8,8,10,4,7,7,10,7,5,5,3,10,9,11,4,9,6,14,7,8,10,3,11,10,8,6,6,12,4,14,7,10,14,9,9,5,12,8,11,10,8,8,6,11,15,5,6,7,8,14,10,5,8,12,14,10,11,11,9,11,8,7,8,8,14,13,13,14,9,15,14,10,8,8,9,11,9,8,10,8,15,9,10,6,13,14,6,11,8,3,4,4,12,11,9,15,5,5,5,7,6,8,13,11,7,7,4,9,9,7,11,9,6,6,7,9,10,11,8,8,11,11,9,10,4,9,7,6,5,3,6,10,12,7,8,12,4,7,9,5,11,7,11,7,7,8,14,5,9,17,8,8,9,15,7,13,8,8,3,10,11,11,16,9,10,4,13,6,6,11,7,19,8,10,5,8,6,9,12,9,9,6,8,13,9,10,5,14,13,14,7,11,10,8,9,9,9,4,5,10,8,6,10,6,11,6,11,11,9,8,11,9,7,10,5,7,13,12,8,8,5,9,14,7,5,6,8,DES
file0883.html.enc,html_ecb,7.969290187558099,127.45867263843648,5436.589497260913,73.73323197352,-0.006724572656850101,-1.1978880741594347,1048670,10.331782264241747,27,44,39,35,24,34,45,26,48,50,39,39,41,36,41,51,38,50,34,43,35,39,35,54,36,43,30,33,34,40,35,59,31,27,29,37,38,54,39,49,39,46,55,39,32,48,30,39,36,32,27,34,36,29,47,25,26,35,33,24,32,41,35,52,42,24,26,40,44,36,28,38,24,36,37,42,40,32,34,80,36,45,38,44,41,46,54,28,33,48,43,43,33,47,45,52,36,39,23,40,42,32,35,22,42,33,43,31,39,31,42,39,50,32,40,26,44,41,44,32,42,38,40,34,39,44,29,34,35,54,40,44,48,40,22,34,29,46,40,42,46,46,39,38,43,30,34,45,41,43,29,50,42,38,22,54,36,44,38,27,32,25,31,42,33,50,34,44,41,51,40,27,46,34,37,44,51,42,28,30,40,46,34,26,41,36,33,50,32,37,33,33,42,51,39,40,37,31,34,30,32,58,50,49,39,39,38,33,48,43,39,37,34,39,47,27,65,35,36,40,43,31,37,31,45,40,33,30,36,37,37,36,38,34,28,43,48,45,26,40,40,37,36,44,40,49,33,36,37,37,34,43,25,41,34,36,DES
file0675.html.enc,html_ecb,7.944355186034051,130.09648187633263,5460.497620885066,73.89517995705177,-0.029729216985898692,-1.179923950010856,387798,10.166497720758283,12,20,13,16,10,20,10,13,22,12,14,13,11,16,14,17,8,9,10,18,9,11,9,16,14,12,11,9,22,20,8,13,16,16,16,24,11,13,6,16,20,15,11,15,19,16,12,12,17,10,6,16,10,20,12,12,16,13,22,10,20,17,9,17,14,8,10,14,16,20,15,14,15,10,11,11,14,10,14,10,20,16,19,19,16,12,13,14,14,11,14,8,13,10,16,12,13,21,17,18,18,18,18,21,14,14,12,8,20,17,13,14,14,23,11,18,12,12,20,20,10,11,16,18,9,13,13,14,13,13,14,25,19,12,22,6,13,22,12,16,19,18,15,11,17,17,22,15,17,17,14,10,11,10,19,12,7,14,15,13,18,20,20,12,17,13,13,17,16,9,14,11,18,12,20,17,19,16,10,18,11,9,14,17,19,10,12,11,16,16,22,13,27,14,10,12,15,12,9,17,17,15,10,14,17,15,9,15,19,13,13,17,22,9,9,11,15,14,14,12,15,17,15,9,16,16,21,18,16,16,11,18,16,14,18,18,9,15,15,10,17,10,18,13,19,34,17,19,21,11,13,12,20,15,23,11,DES
file0918.html.enc,html_ecb,7.936425295920814,127.49179864253394,5581.037828665339,74.70634396532425,0.015568775245599076,-1.1966969785568307,368039,10.202128581909266,13,22,17,19,8,8,11,19,18,14,15,20,9,10,12,25,9,13,11,13,10,16,8,15,17,12,18,19,15,17,14,9,19,20,15,15,17,22,10,13,11,12,13,12,16,15,11,9,15,14,10,6,14,10,7,11,13,11,16,11,18,13,9,15,15,14,19,14,11,9,13,14,9,10,13,16,12,10,14,12,16,14,18,10,11,24,9,10,17,10,14,15,14,7,20,19,20,19,9,18,11,14,14,22,15,19,16,12,24,15,7,19,13,25,17,10,19,6,7,12,18,9,12,15,17,7,16,13,15,15,16,20,15,8,17,9,9,20,13,15,15,13,16,20,16,14,23,14,12,18,15,6,12,10,17,17,13,15,11,10,12,20,15,12,11,8,8,11,8,9,11,11,6,12,17,24,11,12,14,10,8,9,9,8,12,13,14,11,16,13,14,7,20,14,19,15,12,12,11,16,8,13,13,13,15,8,10,13,13,21,9,22,24,12,19,12,9,15,13,13,10,15,9,14,16,17,11,12,11,17,15,11,10,21,19,18,13,13,13,19,22,11,11,6,15,24,16,11,15,14,16,18,16,15,16,15,DES
file0919.html.enc,html_ecb,7.965232077752902,129.34728456014363,5411.572279430695,73.56338953195873,-0.006683541628939769,-1.1867529848831118,944525,10.294829060552507,28,39,31,31,31,20,31,30,48,33,33,31,20,24,41,30,21,30,33,35,32,30,47,38,29,38,37,38,28,39,30,42,24,31,40,30,27,33,37,37,36,39,42,28,27,29,35,35,32,55,14,28,29,27,34,46,35,22,22,33,32,38,35,49,39,36,32,31,42,27,33,21,34,33,29,32,42,28,42,66,29,33,30,41,40,47,41,26,42,48,35,48,34,45,31,63,37,36,35,32,24,25,32,34,37,31,46,33,27,24,29,22,41,28,50,27,34,37,52,35,38,34,39,32,36,36,31,37,40,38,32,40,45,41,23,32,22,39,35,32,42,45,27,44,35,42,36,32,29,34,37,41,36,39,21,41,39,43,40,33,36,24,23,35,33,44,36,37,21,30,29,34,31,40,36,30,31,34,25,39,31,31,40,31,42,32,32,30,30,43,31,34,33,24,32,33,45,32,40,29,41,52,29,32,58,32,37,37,44,28,34,26,33,29,37,30,53,26,29,28,32,43,27,28,41,37,29,29,36,33,38,37,20,34,35,44,28,42,39,41,52,31,47,51,36,58,28,35,43,42,37,35,42,39,26,24,DES
file0810.html.enc,html_ecb,7.9726748178393025,126.41586001489203,5450.63439477415,73.82841183971216,0.006163367981649477,-1.1761987643477205,1125538,10.235217624520526,41,58,35,68,45,46,43,37,51,50,63,50,47,36,41,53,49,35,26,39,42,40,32,41,37,45,52,51,40,32,32,35,39,44,37,46,30,42,44,35,36,44,39,39,36,45,44,48,56,52,44,40,36,46,35,32,38,46,50,46,47,37,32,40,42,28,31,33,49,40,56,32,42,45,41,50,35,31,36,48,55,32,43,42,45,33,46,33,47,31,48,41,35,37,36,42,43,63,55,47,44,34,23,44,53,62,43,35,43,58,40,33,54,47,51,36,45,48,39,51,40,47,56,46,35,36,42,48,42,46,23,46,46,36,30,38,41,71,33,48,36,36,34,50,45,48,43,48,48,62,35,44,37,40,56,40,40,47,41,45,30,73,41,41,45,32,44,33,42,55,39,45,48,24,40,50,40,46,45,45,20,34,31,36,31,39,57,36,32,39,56,36,51,43,44,40,42,36,26,47,31,41,30,42,29,40,43,37,43,49,40,58,44,46,43,36,44,43,43,48,38,48,48,46,32,38,52,44,30,38,31,44,32,37,46,39,40,39,37,46,37,44,35,44,43,52,39,32,47,35,44,36,30,43,45,51,DES
file0811.html.enc,html_ecb,7.51849937127402,121.92105263157895,5498.273372576176,74.15034303748146,0.08146227994283618,-1.1930449302465862,65322,10.36520622081394,0,3,8,4,2,1,1,1,1,2,10,1,3,1,10,3,0,3,3,5,5,1,1,2,3,1,1,0,2,9,2,0,0,4,4,2,2,2,2,2,3,1,0,4,3,2,1,5,1,6,3,4,3,0,2,1,2,3,2,0,3,0,3,2,10,3,1,1,2,3,0,3,2,2,0,4,3,1,3,5,1,2,4,2,5,3,3,0,5,4,4,2,1,4,1,5,4,1,2,4,1,2,3,0,3,4,1,0,2,0,0,1,4,5,10,2,1,3,1,3,3,1,2,2,0,1,1,2,5,5,1,4,5,3,2,1,1,2,2,2,3,1,3,9,3,2,1,3,2,0,1,1,0,5,3,2,3,2,1,2,2,1,2,4,0,11,3,2,1,1,2,0,0,1,3,2,0,1,0,1,0,4,3,1,9,2,1,2,0,2,1,5,1,4,0,2,6,4,3,2,3,3,1,1,1,3,1,0,6,1,1,2,1,4,2,1,0,3,1,3,3,6,2,1,1,6,1,2,1,3,4,1,3,2,1,2,3,3,3,2,1,3,1,3,4,3,1,4,3,2,0,0,1,2,2,2,DES
