"",Model,Class,Precision,Recall,F1-Score
0,RandomForest,0,0.473485,0.573394,0.518672
1,RandomForest,1,0.565891,0.595918,0.580517
2,RandomForest,2,0.647343,0.540323,0.589011
3,RandomForest,3,0.647887,0.597403,0.621622
4,RandomForest,4,1.000000,1.000000,1.000000
5,RandomForest,0,0.475285,0.523013,0.498008
6,RandomForest,1,0.510417,0.630901,0.564299
7,RandomForest,2,0.637306,0.490040,0.554054
8,RandomForest,3,0.592593,0.540084,0.565121
9,RandomForest,4,1.000000,1.000000,1.000000
10,RandomForest,0,0.471042,0.497959,0.484127
11,RandomForest,1,0.598485,0.626984,0.612403
12,RandomForest,2,0.589286,0.605505,0.597285
13,RandomForest,3,0.702586,0.617424,0.657258
14,RandomForest,4,1.000000,1.000000,1.000000
15,RandomForest,0,0.515789,0.595142,0.552632
16,RandomForest,1,0.576132,0.583333,0.579710
17,RandomForest,2,0.622222,0.564516,0.591966
18,RandomForest,3,0.612440,0.563877,0.587156
19,RandomForest,4,1.000000,1.000000,1.000000
20,RandomForest,0,0.553991,0.470120,0.508621
21,RandomForest,1,0.520408,0.665217,0.583969
22,RandomForest,2,0.656250,0.625532,0.640523
23,RandomForest,3,0.628319,0.589212,0.608137
24,RandomForest,4,1.000000,1.000000,1.000000
25,SVM,0,0.345455,0.174312,0.231707
26,SVM,1,0.297721,0.853061,0.441394
27,SVM,2,0.361702,0.068548,0.115254
28,SVM,3,0.273585,0.125541,0.172107
29,SVM,4,0.936170,0.852713,0.892495
30,SVM,0,0.277419,0.179916,0.218274
31,SVM,1,0.276204,0.836910,0.415335
32,SVM,2,0.324324,0.047809,0.083333
33,SVM,3,0.292683,0.101266,0.150470
34,SVM,4,0.950000,0.870833,0.908696
35,SVM,0,0.321101,0.142857,0.197740
36,SVM,1,0.293785,0.825397,0.433333
37,SVM,2,0.224638,0.142202,0.174157
38,SVM,3,0.343750,0.041667,0.074324
39,SVM,4,0.924883,0.891403,0.907834
40,SVM,0,0.276316,0.085020,0.130031
41,SVM,1,0.294118,0.833333,0.434783
42,SVM,2,0.384615,0.060484,0.104530
43,SVM,3,0.244444,0.193833,0.216216
44,SVM,4,0.911111,0.861345,0.885529
45,SVM,0,0.311594,0.171315,0.221080
46,SVM,1,0.272464,0.817391,0.408696
47,SVM,2,0.355263,0.114894,0.173633
48,SVM,3,0.406250,0.107884,0.170492
49,SVM,4,0.918103,0.876543,0.896842
50,NaiveBayes,0,0.100000,0.027523,0.043165
51,NaiveBayes,1,0.273458,0.832653,0.411705
52,NaiveBayes,2,0.342657,0.197581,0.250639
53,NaiveBayes,3,0.040936,0.030303,0.034826
54,NaiveBayes,4,0.912500,0.282946,0.431953
55,NaiveBayes,0,0.163265,0.033473,0.055556
56,NaiveBayes,1,0.258883,0.875536,0.399608
57,NaiveBayes,2,0.265306,0.155378,0.195980
58,NaiveBayes,3,0.034247,0.021097,0.026110
59,NaiveBayes,4,0.942857,0.275000,0.425806
60,NaiveBayes,0,0.169811,0.036735,0.060403
61,NaiveBayes,1,0.281013,0.880952,0.426104
62,NaiveBayes,2,0.194245,0.123853,0.151261
63,NaiveBayes,3,0.048611,0.026515,0.034314
64,NaiveBayes,4,0.837838,0.280543,0.420339
65,NaiveBayes,0,0.339286,0.076923,0.125413
66,NaiveBayes,1,0.274769,0.866667,0.417252
67,NaiveBayes,2,0.252874,0.177419,0.208531
68,NaiveBayes,3,0.062500,0.035242,0.045070
69,NaiveBayes,4,0.870588,0.310924,0.458204
70,NaiveBayes,0,0.232143,0.051793,0.084691
71,NaiveBayes,1,0.260417,0.869565,0.400802
72,NaiveBayes,2,0.294118,0.191489,0.231959
73,NaiveBayes,3,0.047945,0.029046,0.036176
74,NaiveBayes,4,0.870130,0.275720,0.418750
75,KNN,0,0.367089,0.532110,0.434457
76,KNN,1,0.428571,0.612245,0.504202
77,KNN,2,0.381818,0.254032,0.305085
78,KNN,3,0.488889,0.285714,0.360656
79,KNN,4,0.991453,0.899225,0.943089
80,KNN,0,0.343195,0.485356,0.402080
81,KNN,1,0.406528,0.587983,0.480702
82,KNN,2,0.433962,0.274900,0.336585
83,KNN,3,0.489510,0.295359,0.368421
84,KNN,4,0.995516,0.925000,0.958963
85,KNN,0,0.340000,0.485714,0.400000
86,KNN,1,0.414110,0.535714,0.467128
87,KNN,2,0.331492,0.275229,0.300752
88,KNN,3,0.542636,0.265152,0.356234
89,KNN,4,0.981308,0.950226,0.965517
90,KNN,0,0.358065,0.449393,0.398564
91,KNN,1,0.387931,0.562500,0.459184
92,KNN,2,0.475610,0.314516,0.378641
93,KNN,3,0.414013,0.286344,0.338542
94,KNN,4,1.000000,0.928571,0.962963
95,KNN,0,0.369697,0.486056,0.419966
96,KNN,1,0.413994,0.617391,0.495637
97,KNN,2,0.443038,0.297872,0.356234
98,KNN,3,0.424460,0.244813,0.310526
99,KNN,4,0.991304,0.938272,0.964059
100,Bagging,0,0.484615,0.577982,0.527197
101,Bagging,1,0.575092,0.640816,0.606178
102,Bagging,2,0.618182,0.548387,0.581197
103,Bagging,3,0.620321,0.502165,0.555024
104,Bagging,4,0.992308,1.000000,0.996139
105,Bagging,0,0.466887,0.589958,0.521257
106,Bagging,1,0.518519,0.600858,0.556660
107,Bagging,2,0.665000,0.529880,0.589800
108,Bagging,3,0.625668,0.493671,0.551887
109,Bagging,4,0.995851,1.000000,0.997921
110,Bagging,0,0.494700,0.571429,0.530303
111,Bagging,1,0.570909,0.623016,0.595825
112,Bagging,2,0.582160,0.568807,0.575406
113,Bagging,3,0.701923,0.553030,0.618644
114,Bagging,4,1.000000,1.000000,1.000000
115,Bagging,0,0.496689,0.607287,0.546448
116,Bagging,1,0.566929,0.600000,0.582996
117,Bagging,2,0.622642,0.532258,0.573913
118,Bagging,3,0.619792,0.524229,0.568019
119,Bagging,4,0.991667,1.000000,0.995816
120,Bagging,0,0.555556,0.557769,0.556660
121,Bagging,1,0.541667,0.678261,0.602317
122,Bagging,2,0.649485,0.536170,0.587413
123,Bagging,3,0.622120,0.560166,0.589520
124,Bagging,4,0.975904,1.000000,0.987805
125,AdaBoost,0,0.256378,0.922018,0.401198
126,AdaBoost,1,0.777778,0.257143,0.386503
127,AdaBoost,2,0.600000,0.169355,0.264151
128,AdaBoost,3,0.285714,0.008658,0.016807
129,AdaBoost,4,0.992248,0.992248,0.992248
130,AdaBoost,0,0.673469,0.138075,0.229167
131,AdaBoost,1,0.270883,0.974249,0.423903
132,AdaBoost,2,0.333333,0.015936,0.030418
133,AdaBoost,3,0.508197,0.130802,0.208054
134,AdaBoost,4,0.983333,0.983333,0.983333
135,AdaBoost,0,0.271018,1.000000,0.426458
136,AdaBoost,1,0.000000,0.000000,0.000000
137,AdaBoost,2,0.333333,0.009174,0.017857
138,AdaBoost,3,0.622951,0.143939,0.233846
139,AdaBoost,4,0.965066,1.000000,0.982222
140,AdaBoost,0,0.735294,0.202429,0.317460
141,AdaBoost,1,0.340385,0.737500,0.465789
142,AdaBoost,2,0.500000,0.004032,0.008000
143,AdaBoost,3,0.317073,0.515419,0.392617
144,AdaBoost,4,0.975104,0.987395,0.981211
145,AdaBoost,0,0.580000,0.115538,0.192691
146,AdaBoost,1,0.269704,0.952174,0.420345
147,AdaBoost,2,0.142857,0.004255,0.008264
148,AdaBoost,3,0.493671,0.161826,0.243750
149,AdaBoost,4,0.956349,0.991770,0.973737
