"",Model,Class,Precision,Recall,F1-Score
0,RandomForest,0,0.295148,0.309760,0.302277
1,RandomForest,1,0.464668,0.602778,0.524788
2,RandomForest,2,0.293924,0.241892,0.265382
3,RandomForest,3,0.279732,0.233566,0.254573
4,RandomForest,4,1.000000,1.000000,1.000000
5,RandomForest,0,0.309589,0.320567,0.314983
6,RandomForest,1,0.500581,0.596953,0.544536
7,RandomForest,2,0.275362,0.232022,0.251841
8,RandomForest,3,0.236760,0.220290,0.228228
9,RandomForest,4,1.000000,1.000000,1.000000
10,RandomForest,0,0.288288,0.305177,0.296492
11,RandomForest,1,0.471292,0.554149,0.509373
12,RandomForest,2,0.268293,0.243767,0.255443
13,RandomForest,3,0.307815,0.265110,0.284871
14,RandomForest,4,1.000000,0.998582,0.999290
15,RandomForest,0,0.294630,0.268874,0.281163
16,RandomForest,1,0.475202,0.570637,0.518565
17,RandomForest,2,0.258741,0.272861,0.265614
18,RandomForest,3,0.286634,0.241520,0.262150
19,RandomForest,4,1.000000,1.000000,1.000000
20,RandomForest,0,0.277480,0.296137,0.286505
21,RandomForest,1,0.485516,0.577931,0.527708
22,RandomForest,2,0.287520,0.251729,0.268437
23,RandomForest,3,0.259843,0.226027,0.241758
24,RandomForest,4,1.000000,1.000000,1.000000
25,SVM,0,0.241581,0.700141,0.359216
26,SVM,1,0.255452,0.227778,0.240822
27,SVM,2,0.000000,0.000000,0.000000
28,SVM,3,0.253968,0.089510,0.132368
29,SVM,4,1.000000,0.915042,0.955636
30,SVM,0,0.240613,0.690780,0.356907
31,SVM,1,0.252924,0.239612,0.246088
32,SVM,2,0.000000,0.000000,0.000000
33,SVM,3,0.190000,0.055072,0.085393
34,SVM,4,1.000000,0.927614,0.962448
35,SVM,0,0.253134,0.715259,0.373932
36,SVM,1,0.267327,0.113924,0.159763
37,SVM,2,0.274725,0.069252,0.110619
38,SVM,3,0.239796,0.129121,0.167857
39,SVM,4,1.000000,0.920567,0.958641
40,SVM,0,0.000000,0.000000,0.000000
41,SVM,1,0.290323,0.099723,0.148454
42,SVM,2,0.236803,0.939528,0.378266
43,SVM,3,0.000000,0.000000,0.000000
44,SVM,4,1.000000,0.935028,0.966423
45,SVM,0,0.246154,0.778255,0.374012
46,SVM,1,0.302789,0.104828,0.155738
47,SVM,2,0.265487,0.041494,0.071770
48,SVM,3,0.211699,0.104110,0.139578
49,SVM,4,1.000000,0.922545,0.959712
50,NaiveBayes,0,0.247001,0.786421,0.375930
51,NaiveBayes,1,0.260047,0.152778,0.192476
52,NaiveBayes,2,0.225352,0.021622,0.039457
53,NaiveBayes,3,0.034483,0.002797,0.005175
54,NaiveBayes,4,0.815558,0.905292,0.858086
55,NaiveBayes,0,0.259480,0.679433,0.375539
56,NaiveBayes,1,0.241739,0.192521,0.214341
57,NaiveBayes,2,0.295082,0.122117,0.172745
58,NaiveBayes,3,0.269231,0.010145,0.019553
59,NaiveBayes,4,0.804245,0.914209,0.855709
60,NaiveBayes,0,0.260000,0.690736,0.377794
61,NaiveBayes,1,0.186957,0.060478,0.091392
62,NaiveBayes,2,0.263158,0.055402,0.091533
63,NaiveBayes,3,0.260870,0.164835,0.202020
64,NaiveBayes,4,0.789604,0.904965,0.843358
65,NaiveBayes,0,0.262192,0.605298,0.365893
66,NaiveBayes,1,0.293478,0.037396,0.066339
67,NaiveBayes,2,0.210648,0.134218,0.163964
68,NaiveBayes,3,0.270476,0.192673,0.225040
69,NaiveBayes,4,0.792079,0.903955,0.844327
70,NaiveBayes,0,0.243193,0.753934,0.367760
71,NaiveBayes,1,0.200000,0.035862,0.060819
72,NaiveBayes,2,0.000000,0.000000,0.000000
73,NaiveBayes,3,0.231068,0.163014,0.191165
74,NaiveBayes,4,0.837150,0.910097,0.872101
75,KNN,0,0.268421,0.360679,0.307785
76,KNN,1,0.376593,0.451389,0.410613
77,KNN,2,0.277090,0.241892,0.258297
78,KNN,3,0.276596,0.163636,0.205624
79,KNN,4,1.000000,1.000000,1.000000
80,KNN,0,0.261099,0.350355,0.299213
81,KNN,1,0.389732,0.462604,0.423053
82,KNN,2,0.280405,0.225237,0.249812
