"",Model,Class,Precision,Recall,F1-Score
0,RandomForest,0,0.608400,0.758133,0.675063
1,RandomForest,1,0.765906,0.886111,0.821636
2,RandomForest,2,0.795571,0.631081,0.703843
3,RandomForest,3,0.795181,0.646154,0.712963
4,RandomForest,4,1.000000,1.000000,1.000000
5,RandomForest,0,0.636691,0.753191,0.690058
6,RandomForest,1,0.770760,0.912742,0.835764
7,RandomForest,2,0.803819,0.628223,0.705255
8,RandomForest,3,0.775891,0.662319,0.714621
9,RandomForest,4,1.000000,1.000000,1.000000
10,RandomForest,0,0.625698,0.762943,0.687538
11,RandomForest,1,0.734533,0.918425,0.816250
12,RandomForest,2,0.786642,0.587258,0.672482
13,RandomForest,3,0.774869,0.609890,0.682552
14,RandomForest,4,1.000000,0.998582,0.999290
15,RandomForest,0,0.641892,0.754967,0.693853
16,RandomForest,1,0.749428,0.907202,0.820802
17,RandomForest,2,0.722591,0.641593,0.679688
18,RandomForest,3,0.812500,0.582090,0.678261
19,RandomForest,4,1.000000,1.000000,1.000000
20,RandomForest,0,0.622599,0.788269,0.695707
21,RandomForest,1,0.756483,0.925517,0.832506
22,RandomForest,2,0.789207,0.647303,0.711246
23,RandomForest,3,0.839844,0.589041,0.692432
24,RandomForest,4,1.000000,1.000000,1.000000
25,SVM,0,0.274775,0.086280,0.131324
26,SVM,1,0.283617,0.831944,0.423023
27,SVM,2,0.302752,0.089189,0.137787
28,SVM,3,0.251834,0.144056,0.183274
29,SVM,4,0.937402,0.834262,0.882830
30,SVM,0,0.333333,0.106383,0.161290
31,SVM,1,0.291109,0.843490,0.432836
32,SVM,2,0.342105,0.088195,0.140237
33,SVM,3,0.230216,0.139130,0.173442
34,SVM,4,0.948225,0.859249,0.901547
35,SVM,0,0.228216,0.074932,0.112821
36,SVM,1,0.284511,0.855134,0.426966
37,SVM,2,0.296471,0.174515,0.219704
38,SVM,3,0.320000,0.076923,0.124031
39,SVM,4,0.937299,0.826950,0.878674
40,SVM,0,0.221277,0.068874,0.105051
41,SVM,1,0.289952,0.839335,0.431010
42,SVM,2,0.214781,0.137168,0.167417
43,SVM,3,0.261468,0.077341,0.119372
44,SVM,4,0.953526,0.840395,0.893393
45,SVM,0,0.206573,0.062947,0.096491
46,SVM,1,0.286932,0.835862,0.427212
47,SVM,2,0.275779,0.159059,0.201754
48,SVM,3,0.272727,0.078082,0.121406
49,SVM,4,0.953775,0.856155,0.902332
